Marca temporal,Edad,Género,Carrera,Ciclo,Horas del sueño al día,Calidad del sueño,Tiempo en conciliar el sueño (horas),¿Tienes problemas para poder ir a dormir?,¿Te despiertas cansado por las mañanas?,¿Presentas sueño durante el día?,Promedio ponderado,¿Consideras que le prestas atención a las clases?,¿Tienes dificultades para realizar las actividades estudiantiles?
4/05/2022 11:21:05,18,Mujer,Administración y negocios digitales,2,8,Buena,2,A veces,Sí,Sí,entre 11 y 15,Muchas veces,Nunca
4/05/2022 11:22:15,18,Hombre,Ciencia de Datos,2,6,Mala,3,A veces,No,Sí,menor a 11,Nunca,Nunca
4/05/2022 11:22:59,18,Hombre,Ciencia de Datos,2,8,Buena,2,Sí,No,No,mayor a 15,Casi siempre,Muchas veces
4/05/2022 11:33:34,18,Mujer,Ingeniería Civil,2,5,Mala,1,Sí,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 13:29:49,18,Mujer,Ingeniería Civil,2,6,Buena,1,A veces,No,No,entre 11 y 15,Algunas veces,Algunas veces
4/05/2022 14:21:25,20,Hombre,Ingeniería Mecatrónica,5,5,Mala,2,Sí,Sí,A veces,entre 11 y 15,Muchas veces,Muchas veces
4/05/2022 14:21:51,18,Mujer,Ciencia de Datos,3,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Algunas veces
4/05/2022 14:22:29,19,Mujer,Ingeniería Química,4,6,Buena,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Nunca
4/05/2022 14:22:58,22,Hombre,Ingeniería Mecánica,7,5,Buena,1,A veces,Sí,No,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 14:23:36,20,Mujer,Ingeniería Industrial,5,6,Buena,2,Sí,Sí,No,entre 11 y 15,Muchas veces,Nunca
4/05/2022 14:24:14,18,Hombre,Ingeniería Civil,2,8,Buena,1,No,No,No,mayor a 15,Muchas veces,Algunas veces
4/05/2022 14:25:05,23,Hombre,Ingeniería Mecatrónica,10,6,Buena,1,No,Sí,A veces,entre 11 y 15,Muchas veces,Nunca
4/05/2022 14:25:36,19,Mujer,Ingeniería Electrónica,4,5,Mala,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 14:26:12,21,Mujer,Ingeniería Industrial,7,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
4/05/2022 14:26:54,18,Hombre,Bioingeniería,2,7,Buena,1,No,No,A veces,entre 11 y 15,Muchas veces,Nunca
4/05/2022 14:27:26,20,Mujer,Ingeniería Mecatrónica,5,6,Buena,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 14:27:57,21,Hombre,Ingeniería Civil,7,5,Buena,2,A veces,Sí,No,entre 11 y 15,Muchas veces,Muchas veces
4/05/2022 14:28:28,19,Mujer,Ingeniería Civil,4,7,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
4/05/2022 14:29:22,20,Hombre,Ingeniería Electrónica,5,6,Buena,1,A veces,Sí,No,mayor a 15,Casi siempre,Algunas veces
4/05/2022 14:29:57,19,Mujer,Bioingeniería,5,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Algunas veces
4/05/2022 14:30:27,20,Mujer,Ingeniería Química,6,6,Buena,2,A veces,Sí,A veces,entre 11 y 15,Casi siempre,Muchas veces
4/05/2022 14:30:59,18,Hombre,Ciencia de la Computación,3,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
4/05/2022 15:20:23,20,Hombre,Ingeniería Civil,6,5,Mala,2,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 15:20:53,19,Mujer,Ingeniería Ambiental,4,7,Buena,1,No,No,No,mayor a 15,Muchas veces,Nunca
4/05/2022 15:21:18,18,Mujer,Ciencia de Datos,2,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
4/05/2022 15:21:43,22,Hombre,Ingeniería de la energía,10,6,Buena,1,A veces,No,A veces,entre 11 y 15,Casi siempre,Algunas veces
