Fecha UTC,Fecha,profundidad (km),magnitud (M)
31/03/1998,Mar-98,151,5.3
31/03/1998,Mar-98,40,4.9
31/03/1998,Mar-98,15,4.5
02/04/1998,Abr-98,18,4.7
02/04/1998,Abr-98,126,4.6
02/04/1998,Abr-98,22,4.5
03/04/1998,Abr-98,16,4.5
03/04/1998,Abr-98,69,4.6
03/04/1998,Abr-98,177,6.6
04/04/1998,Abr-98,176,4.9
04/04/1998,Abr-98,78,5.4
04/04/1998,Abr-98,132,5.1
05/04/1998,Abr-98,80,4.5
05/04/1998,Abr-98,59,4.9
05/04/1998,Abr-98,149,4.7
06/04/1998,Abr-98,80,4.5
06/04/1998,Abr-98,17,4.9
06/04/1998,Abr-98,21,4.9
06/04/1998,Abr-98,39,4.8
07/04/1998,Abr-98,33,5
08/04/1998,Abr-98,71,4.5
09/04/1998,Abr-98,11,4.9
12/04/1998,Abr-98,22,6
13/04/1998,Abr-98,18,4.7
13/04/1998,Abr-98,154,4.6
14/04/1998,Abr-98,77,4.4
14/04/1998,Abr-98,15,4.5
14/04/1998,Abr-98,56,5.2
14/04/1998,Abr-98,75,4.5
15/04/1998,Abr-98,17,4.6
16/04/1998,Abr-98,36,5
17/04/1998,Abr-98,35,5
19/04/1998,Abr-98,27,4.7
23/04/1998,Abr-98,93,4.5
23/04/1998,Abr-98,120,4.5
28/04/1998,Abr-98,55,4.4
28/04/1998,Abr-98,49,4.5
02/05/1998,May-98,42,4.7
02/05/1998,May-98,12,4.8
02/05/1998,May-98,14,5.1
03/05/1998,May-98,19,5.2
04/05/1998,May-98,65,4.9
04/05/1998,May-98,26,4.7
05/05/1998,May-98,132,4.9
05/05/1998,May-98,26,4.6
06/05/1998,May-98,47,4.7
06/05/1998,May-98,27,4.9
06/05/1998,May-98,50,4.5
06/05/1998,May-98,84,4.9
07/05/1998,May-98,19,4.7
07/05/1998,May-98,32,4.6
07/05/1998,May-98,111,4.9
07/05/1998,May-98,178,4.6
08/05/1998,May-98,29,4.5
09/05/1998,May-98,33,4.3
10/05/1998,May-98,36,5
10/05/1998,May-98,17,4.7
10/05/1998,May-98,26,4.6
11/05/1998,May-98,36,4.7
11/05/1998,May-98,50,4.5
12/05/1998,May-98,162,4.5
13/05/1998,May-98,52,4.5
13/05/1998,May-98,55,5
13/05/1998,May-98,38,4.5
15/05/1998,May-98,145,4.5
15/05/1998,May-98,149,5
18/05/1998,May-98,97,4.9
19/05/1998,May-98,53,5
19/05/1998,May-98,98,5.1
19/05/1998,May-98,79,4.7
20/05/1998,May-98,22,5
20/05/1998,May-98,14,5
21/05/1998,May-98,45,5.1
21/05/1998,May-98,18,5.1
23/05/1998,May-98,137,4.5
23/05/1998,May-98,111,4.6
23/05/1998,May-98,50,4.7
23/05/1998,May-98,107,4.9
24/05/1998,May-98,41,5.7
24/05/1998,May-98,16,4.5
25/05/1998,May-98,54,4.8
25/05/1998,May-98,129,5.2
25/05/1998,May-98,151,4.6
25/05/1998,May-98,52,4.5
26/05/1998,May-98,12,4.7
26/05/1998,May-98,35,4.7
26/05/1998,May-98,13,4.7
26/05/1998,May-98,107,4.6
27/05/1998,May-98,38,4.9
27/05/1998,May-98,100,5.6
28/05/1998,May-98,28,5
28/05/1998,May-98,25,4.6
29/05/1998,May-98,77,5.1
29/05/1998,May-98,33,4.5
31/05/1998,May-98,70,4.5
31/05/1998,May-98,131,4.9
01/06/1998,Jun-98,11,4.7
01/06/1998,Jun-98,97,4.9
02/06/1998,Jun-98,17,4.8
02/06/1998,Jun-98,44,4.6
03/06/1998,Jun-98,49,4.6
04/06/1998,Jun-98,66,4.5
05/06/1998,Jun-98,38,4.5
06/06/1998,Jun-98,93,4.9
07/06/1998,Jun-98,112,5
07/06/1998,Jun-98,143,4.5
07/06/1998,Jun-98,19,4.8
07/06/1998,Jun-98,161,4.8
08/06/1998,Jun-98,125,4.6
09/06/1998,Jun-98,109,5
09/06/1998,Jun-98,138,4.5
11/06/1998,Jun-98,16,4.9
12/06/1998,Jun-98,123,4.9
13/06/1998,Jun-98,115,4.5
16/06/1998,Jun-98,163,4.6
17/06/1998,Jun-98,172,4.9
19/06/1998,Jun-98,76,5
20/06/1998,Jun-98,51,4.6
20/06/1998,Jun-98,24,4.5
20/06/1998,Jun-98,30,4.6
21/06/1998,Jun-98,108,4.7
24/06/1998,Jun-98,90,5.1
24/06/1998,Jun-98,56,4.5
25/06/1998,Jun-98,20,5.6
25/06/1998,Jun-98,22,4.6
25/06/1998,Jun-98,16,4.8
25/06/1998,Jun-98,14,4.5
27/06/1998,Jun-98,34,4.9
27/06/1998,Jun-98,14,4.7
27/06/1998,Jun-98,24,4.8
27/06/1998,Jun-98,172,4.9
28/06/1998,Jun-98,148,4.3
28/06/1998,Jun-98,15,4.5
28/06/1998,Jun-98,113,5.4
29/06/1998,Jun-98,89,4.9
29/06/1998,Jun-98,33,4.3
01/07/1998,Jul-98,11,4.5
01/07/1998,Jul-98,15,4.5
02/07/1998,Jul-98,57,5.1
03/07/1998,Jul-98,540,5.7
03/07/1998,Jul-98,49,4.9
03/07/1998,Jul-98,35,4.9
03/07/1998,Jul-98,52,4.5
03/07/1998,Jul-98,26,5
03/07/1998,Jul-98,25,4.5
04/07/1998,Jul-98,25,4.6
04/07/1998,Jul-98,41,4.9
05/07/1998,Jul-98,150,4.5
06/07/1998,Jul-98,99,4.9
06/07/1998,Jul-98,48,4.5
06/07/1998,Jul-98,13,4.5
08/07/1998,Jul-98,65,4.5
08/07/1998,Jul-98,33,4.5
08/07/1998,Jul-98,67,4.6
09/07/1998,Jul-98,30,4.8
10/07/1998,Jul-98,122,4.9
10/07/1998,Jul-98,142,5.4
12/07/1998,Jul-98,74,4.9
12/07/1998,Jul-98,58,4.6
13/07/1998,Jul-98,33,4.2
13/07/1998,Jul-98,168,4.8
13/07/1998,Jul-98,101,4.9
14/07/1998,Jul-98,48,4.8
14/07/1998,Jul-98,56,4.8
14/07/1998,Jul-98,84,4.6
15/07/1998,Jul-98,30,4.8
16/07/1998,Jul-98,25,5
18/07/1998,Jul-98,44,4.6
19/07/1998,Jul-98,105,4.5
19/07/1998,Jul-98,35,4.5
19/07/1998,Jul-98,43,4.9
19/07/1998,Jul-98,156,5
21/07/1998,Jul-98,38,4.7
26/07/1998,Jul-98,28,4.7
26/07/1998,Jul-98,49,4.9
28/07/1998,Jul-98,80,5
28/07/1998,Jul-98,76,4.1
28/07/1998,Jul-98,40,4.6
29/07/1998,Jul-98,102,4.8
30/07/1998,Jul-98,55,4.6
30/07/1998,Jul-98,87,4.8
03/08/1998,Ago-98,13,4.5
04/08/1998,Ago-98,94,4.3
05/08/1998,Ago-98,32,5.3
05/08/1998,Ago-98,39,4.6
05/08/1998,Ago-98,32,5.2
07/08/1998,Ago-98,134,4.5
09/08/1998,Ago-98,28,5
11/08/1998,Ago-98,178,4.8
13/08/1998,Ago-98,117,4.5
13/08/1998,Ago-98,59,4.5
14/08/1998,Ago-98,109,4.7
15/08/1998,Ago-98,33,4.3
17/08/1998,Ago-98,56,5.2
17/08/1998,Ago-98,50,4.5
18/08/1998,Ago-98,56,4.7
19/08/1998,Ago-98,93,4.9
20/08/1998,Ago-98,33,4.8
21/08/1998,Ago-98,31,4.7
23/08/1998,Ago-98,111,4.6
24/08/1998,Ago-98,122,4.5
24/08/1998,Ago-98,100,4.7
28/08/1998,Ago-98,16,4.6
30/08/1998,Ago-98,75,4.6
30/08/1998,Ago-98,124,4.5
30/08/1998,Ago-98,114,4.5
30/08/1998,Ago-98,104,4.7
30/08/1998,Ago-98,42,4.5
31/08/1998,Ago-98,36,4.9
31/08/1998,Ago-98,57,4.5
31/08/1998,Ago-98,69,4.5
31/08/1998,Ago-98,195,5.2
02/09/1998,Set-98,51,4.5
02/09/1998,Set-98,49,4.5
02/09/1998,Set-98,20,4.6
03/09/1998,Set-98,129,4.3
05/09/1998,Set-98,56,4.9
05/09/1998,Set-98,56,4.5
07/09/1998,Set-98,150,5
08/09/1998,Set-98,62,4.5
09/09/1998,Set-98,41,4.7
09/09/1998,Set-98,65,4.5
10/09/1998,Set-98,39,4.5
12/09/1998,Set-98,25,4.9
12/09/1998,Set-98,107,4.7
12/09/1998,Set-98,85,5.8
14/09/1998,Set-98,18,4.9
14/09/1998,Set-98,149,4.6
14/09/1998,Set-98,49,4.5
14/09/1998,Set-98,79,4.6
16/09/1998,Set-98,23,5.3
17/09/1998,Set-98,129,4.5
17/09/1998,Set-98,116,4.9
17/09/1998,Set-98,26,4.9
19/09/1998,Set-98,143,4.5
19/09/1998,Set-98,21,4.7
20/09/1998,Set-98,48,4.5
21/09/1998,Set-98,15,5.2
21/09/1998,Set-98,7,4.9
21/09/1998,Set-98,45,4.9
21/09/1998,Set-98,29,4.9
21/09/1998,Set-98,84,4.5
22/09/1998,Set-98,31,4.5
22/09/1998,Set-98,20,5
22/09/1998,Set-98,18,4.6
22/09/1998,Set-98,11,4.6
23/09/1998,Set-98,35,5.2
25/09/1998,Set-98,163,4.8
26/09/1998,Set-98,49,4.5
27/09/1998,Set-98,19,4.8
28/09/1998,Set-98,39,4.5
28/09/1998,Set-98,34,4.8
29/09/1998,Set-98,26,4.5
02/10/1998,Oct-98,84,5.1
03/10/1998,Oct-98,76,4.7
03/10/1998,Oct-98,182,4.5
03/10/1998,Oct-98,144,4.6
04/10/1998,Oct-98,35,5.8
04/10/1998,Oct-98,43,4.6
04/10/1998,Oct-98,97,4.6
06/10/1998,Oct-98,37,4.5
07/10/1998,Oct-98,51,4.6
07/10/1998,Oct-98,29,4.7
07/10/1998,Oct-98,36,5.2
08/10/1998,Oct-98,136,6.5
10/10/1998,Oct-98,65,4.6
10/10/1998,Oct-98,30,4.5
12/10/1998,Oct-98,11,4.9
12/10/1998,Oct-98,150,4
14/10/1998,Oct-98,110,5.2
17/10/1998,Oct-98,47,4.5
20/10/1998,Oct-98,27,4.6
20/10/1998,Oct-98,69,4.5
21/10/1998,Oct-98,40,4.9
21/10/1998,Oct-98,145,4.9
21/10/1998,Oct-98,31,4.5
24/10/1998,Oct-98,124,4.8
24/10/1998,Oct-98,53,4.9
24/10/1998,Oct-98,20,5.1
24/10/1998,Oct-98,12,4.9
24/10/1998,Oct-98,24,4.7
25/10/1998,Oct-98,33,5.3
25/10/1998,Oct-98,74,4.9
25/10/1998,Oct-98,39,4.5
25/10/1998,Oct-98,157,4.7
25/10/1998,Oct-98,121,5
29/10/1998,Oct-98,75,4.9
01/11/1998,Nov-98,129,4.9
01/11/1998,Nov-98,156,4.9
02/11/1998,Nov-98,76,4.6
02/11/1998,Nov-98,58,5.1
04/11/1998,Nov-98,57,4.7
05/11/1998,Nov-98,37,5.7
05/11/1998,Nov-98,14,4.9
06/11/1998,Nov-98,22,4.9
07/11/1998,Nov-98,36,4.7
08/11/1998,Nov-98,23,4.8
09/11/1998,Nov-98,122,4.5
13/11/1998,Nov-98,22,4.5
14/11/1998,Nov-98,168,4.6
14/11/1998,Nov-98,40,4.7
14/11/1998,Nov-98,28,4.9
14/11/1998,Nov-98,31,4.5
14/11/1998,Nov-98,164,4.8
14/11/1998,Nov-98,39,4.5
15/11/1998,Nov-98,574,5.3
15/11/1998,Nov-98,124,4.6
15/11/1998,Nov-98,165,4.9
15/11/1998,Nov-98,36,4.9
15/11/1998,Nov-98,80,5
16/11/1998,Nov-98,33,4.5
16/11/1998,Nov-98,30,4.7
16/11/1998,Nov-98,37,4.8
16/11/1998,Nov-98,19,4.9
17/11/1998,Nov-98,68,4.8
18/11/1998,Nov-98,147,4.7
18/11/1998,Nov-98,86,4.5
19/11/1998,Nov-98,18,4.9
19/11/1998,Nov-98,44,5.1
19/11/1998,Nov-98,19,5.1
20/11/1998,Nov-98,24,4.8
20/11/1998,Nov-98,53,4.5
21/11/1998,Nov-98,178,4.8
22/11/1998,Nov-98,22,4.6
22/11/1998,Nov-98,46,4.5
22/11/1998,Nov-98,136,4.8
24/11/1998,Nov-98,92,4.7
25/11/1998,Nov-98,48,4.6
26/11/1998,Nov-98,26,4.8
26/11/1998,Nov-98,15,4.5
26/11/1998,Nov-98,9,4.6
27/11/1998,Nov-98,78,4.6
28/11/1998,Nov-98,25,4.5
28/11/1998,Nov-98,172,5.7
29/11/1998,Nov-98,21,4.9
29/11/1998,Nov-98,56,4.5
30/11/1998,Nov-98,17,4.8
30/11/1998,Nov-98,20,5.2
30/11/1998,Nov-98,32,4.5
01/12/1998,Dic-98,158,5.2
01/12/1998,Dic-98,19,4.9
01/12/1998,Dic-98,145,5.6
02/12/1998,Dic-98,51,4.7
02/12/1998,Dic-98,18,4.5
02/12/1998,Dic-98,20,4.5
03/12/1998,Dic-98,28,4.9
03/12/1998,Dic-98,18,4.5
03/12/1998,Dic-98,14,4.5
03/12/1998,Dic-98,26,4.6
03/12/1998,Dic-98,20,4.6
04/12/1998,Dic-98,96,4.5
04/12/1998,Dic-98,37,4.7
04/12/1998,Dic-98,28,4.8
05/12/1998,Dic-98,19,4.5
06/12/1998,Dic-98,165,4.6
06/12/1998,Dic-98,28,4.9
06/12/1998,Dic-98,77,4.7
07/12/1998,Dic-98,53,4.5
07/12/1998,Dic-98,177,5
08/12/1998,Dic-98,21,4.8
08/12/1998,Dic-98,16,5.3
08/12/1998,Dic-98,53,4.6
09/12/1998,Dic-98,141,4.5
10/12/1998,Dic-98,704,5.8
10/12/1998,Dic-98,48,4.9
10/12/1998,Dic-98,98,4.5
10/12/1998,Dic-98,47,4.6
11/12/1998,Dic-98,25,4.6
12/12/1998,Dic-98,17,4.6
12/12/1998,Dic-98,31,4.5
13/12/1998,Dic-98,11,5
14/12/1998,Dic-98,50,4.5
14/12/1998,Dic-98,48,4.9
14/12/1998,Dic-98,80,4.9
14/12/1998,Dic-98,30,4.5
14/12/1998,Dic-98,34,4.5
15/12/1998,Dic-98,48,4.6
16/12/1998,Dic-98,29,4.5
16/12/1998,Dic-98,45,4.5
16/12/1998,Dic-98,61,4.6
16/12/1998,Dic-98,132,4.5
18/12/1998,Dic-98,17,4.5
18/12/1998,Dic-98,136,4.5
19/12/1998,Dic-98,170,4.5
20/12/1998,Dic-98,146,4.5
21/12/1998,Dic-98,52,4.5
21/12/1998,Dic-98,32,5
22/12/1998,Dic-98,53,4.6
22/12/1998,Dic-98,16,4.7
22/12/1998,Dic-98,46,4.6
23/12/1998,Dic-98,88,4.8
23/12/1998,Dic-98,35,4.5
23/12/1998,Dic-98,47,4.5
23/12/1998,Dic-98,55,4.5
23/12/1998,Dic-98,32,4.6
24/12/1998,Dic-98,88,4.7
24/12/1998,Dic-98,154,4.8
25/12/1998,Dic-98,40,4.5
25/12/1998,Dic-98,30,5.7
26/12/1998,Dic-98,141,5.1
26/12/1998,Dic-98,47,4.6
26/12/1998,Dic-98,17,4.5
26/12/1998,Dic-98,186,5.2
26/12/1998,Dic-98,119,4.8
27/12/1998,Dic-98,68,4.8
28/12/1998,Dic-98,18,4.5
28/12/1998,Dic-98,21,4.9
30/12/1998,Dic-98,45,4.5
30/12/1998,Dic-98,16,4.5
31/12/1998,Dic-98,20,4.8
31/12/1998,Dic-98,23,4.9
02/01/1999,Ene-99,47,4.5
04/01/1999,Ene-99,51,4.8
05/01/1999,Ene-99,40,4.6
08/01/1999,Ene-99,108,4.7
08/01/1999,Ene-99,152,4.7
08/01/1999,Ene-99,93,4.5
09/01/1999,Ene-99,146,4.7
10/01/1999,Ene-99,61,4.6
12/01/1999,Ene-99,151,4.5
13/01/1999,Ene-99,68,4.9
14/01/1999,Ene-99,98,4.7
15/01/1999,Ene-99,61,4.9
20/01/1999,Ene-99,17,5.7
21/01/1999,Ene-99,49,4.8
21/01/1999,Ene-99,149,4.5
22/01/1999,Ene-99,138,4.6
24/01/1999,Ene-99,36,5.1
25/01/1999,Ene-99,17,4.9
27/01/1999,Ene-99,15,4.9
28/01/1999,Ene-99,142,5.3
01/02/1999,Feb-99,156,4.6
02/02/1999,Feb-99,156,4.5
04/02/1999,Feb-99,140,4.9
09/02/1999,Feb-99,34,4.7
09/02/1999,Feb-99,128,4.9
10/02/1999,Feb-99,43,4.5
10/02/1999,Feb-99,22,4.6
12/02/1999,Feb-99,147,4.6
15/02/1999,Feb-99,58,4.9
16/02/1999,Feb-99,100,4.7
19/02/1999,Feb-99,139,4.5
24/02/1999,Feb-99,155,4.6
27/02/1999,Feb-99,92,4.6
28/02/1999,Feb-99,111,4.6
01/03/1999,Mar-99,36,5.3
02/03/1999,Mar-99,50,4.5
02/03/1999,Mar-99,109,4.6
03/03/1999,Mar-99,24,4.5
04/03/1999,Mar-99,169,4.8
04/03/1999,Mar-99,17,4.7
04/03/1999,Mar-99,38,5
06/03/1999,Mar-99,41,4.5
07/03/1999,Mar-99,30,5.3
08/03/1999,Mar-99,136,4.8
09/03/1999,Mar-99,20,4.5
10/03/1999,Mar-99,48,4.6
11/03/1999,Mar-99,123,4.7
11/03/1999,Mar-99,68,4.5
12/03/1999,Mar-99,151,4.6
12/03/1999,Mar-99,160,4.5
13/03/1999,Mar-99,25,4.5
15/03/1999,Mar-99,133,4.5
15/03/1999,Mar-99,45,4.6
17/03/1999,Mar-99,158,4.7
17/03/1999,Mar-99,100,4.2
18/03/1999,Mar-99,54,4.9
18/03/1999,Mar-99,146,4.8
18/03/1999,Mar-99,142,5.1
18/03/1999,Mar-99,123,5.6
20/03/1999,Mar-99,15,4.5
21/03/1999,Mar-99,145,4.6
23/03/1999,Mar-99,14,4.5
25/03/1999,Mar-99,30,4.5
25/03/1999,Mar-99,29,4.9
26/03/1999,Mar-99,53,4.5
26/03/1999,Mar-99,154,4.8
27/03/1999,Mar-99,10,4.5
28/03/1999,Mar-99,58,4.5
30/03/1999,Mar-99,21,4.6
31/03/1999,Mar-99,76,4.6
31/03/1999,Mar-99,118,4.5
01/04/1999,Abr-99,22,4.9
03/04/1999,Abr-99,79,4.5
03/04/1999,Abr-99,94,6.8
05/04/1999,Abr-99,25,4.5
07/04/1999,Abr-99,11,4.9
10/04/1999,Abr-99,110,4.6
11/04/1999,Abr-99,142,4.5
12/04/1999,Abr-99,50,4.6
12/04/1999,Abr-99,71,4.5
12/04/1999,Abr-99,153,4.7
13/04/1999,Abr-99,15,4.5
16/04/1999,Abr-99,124,4.7
16/04/1999,Abr-99,33,4.6
20/04/1999,Abr-99,45,4.9
20/04/1999,Abr-99,75,4.6
21/04/1999,Abr-99,21,4.9
21/04/1999,Abr-99,14,4.5
22/04/1999,Abr-99,15,5.1
22/04/1999,Abr-99,18,4.6
22/04/1999,Abr-99,47,4.6
22/04/1999,Abr-99,49,4.5
23/04/1999,Abr-99,66,4.5
23/04/1999,Abr-99,53,4.5
23/04/1999,Abr-99,148,4.7
24/04/1999,Abr-99,149,4.6
25/04/1999,Abr-99,130,4.6
26/04/1999,Abr-99,96,4.8
28/04/1999,Abr-99,47,4.5
28/04/1999,Abr-99,212,4.7
28/04/1999,Abr-99,43,4.9
29/04/1999,Abr-99,28,4.9
29/04/1999,Abr-99,38,4.5
02/05/1999,May-99,151,4.7
05/05/1999,May-99,123,4.9
06/05/1999,May-99,42,5.3
07/05/1999,May-99,23,4.5
07/05/1999,May-99,116,4.7
08/05/1999,May-99,32,4.5
09/05/1999,May-99,134,4.9
09/05/1999,May-99,75,4.5
10/05/1999,May-99,138,4.9
12/05/1999,May-99,57,4.5
13/05/1999,May-99,43,4.5
15/05/1999,May-99,167,4.5
17/05/1999,May-99,55,4.9
18/05/1999,May-99,119,4.7
19/05/1999,May-99,118,4.9
20/05/1999,May-99,35,4.5
20/05/1999,May-99,134,4.6
21/05/1999,May-99,24,4.5
24/05/1999,May-99,89,4.6
24/05/1999,May-99,65,4.7
25/05/1999,May-99,32,5.1
26/05/1999,May-99,38,4.9
28/05/1999,May-99,64,5.1
30/05/1999,May-99,156,4.6
31/05/1999,May-99,56,4.5
31/05/1999,May-99,151,4.5
31/05/1999,May-99,33,4.7
01/06/1999,Jun-99,54,4.5
02/06/1999,Jun-99,32,4.8
02/06/1999,Jun-99,38,4.5
04/06/1999,Jun-99,22,4.5
07/06/1999,Jun-99,6,4.8
08/06/1999,Jun-99,171,5
08/06/1999,Jun-99,168,4.6
08/06/1999,Jun-99,43,4.5
10/06/1999,Jun-99,57,4.5
13/06/1999,Jun-99,36,4.7
14/06/1999,Jun-99,35,4.6
16/06/1999,Jun-99,140,4.8
16/06/1999,Jun-99,42,4.5
17/06/1999,Jun-99,154,4.5
18/06/1999,Jun-99,140,4.6
18/06/1999,Jun-99,147,4.6
20/06/1999,Jun-99,36,4.6
22/06/1999,Jun-99,117,4.5
22/06/1999,Jun-99,27,4.5
23/06/1999,Jun-99,140,4.5
24/06/1999,Jun-99,50,5.1
26/06/1999,Jun-99,62,4.9
26/06/1999,Jun-99,30,4.7
26/06/1999,Jun-99,125,4.5
27/06/1999,Jun-99,31,5
27/06/1999,Jun-99,130,4.9
27/06/1999,Jun-99,146,4.6
29/06/1999,Jun-99,131,5.6
30/06/1999,Jun-99,135,4.9
02/07/1999,Jul-99,119,4.9
06/07/1999,Jul-99,126,4.9
07/07/1999,Jul-99,67,4.5
07/07/1999,Jul-99,29,4.5
08/07/1999,Jul-99,44,4.7
08/07/1999,Jul-99,87,4.5
08/07/1999,Jul-99,171,4.7
08/07/1999,Jul-99,76,4.5
11/07/1999,Jul-99,81,4.8
11/07/1999,Jul-99,61,4.8
12/07/1999,Jul-99,26,4.5
13/07/1999,Jul-99,92,4.7
14/07/1999,Jul-99,23,4.5
14/07/1999,Jul-99,69,5
16/07/1999,Jul-99,47,4.9
16/07/1999,Jul-99,48,4.7
17/07/1999,Jul-99,151,4.7
18/07/1999,Jul-99,157,4.6
21/07/1999,Jul-99,150,4.5
23/07/1999,Jul-99,119,4.5
24/07/1999,Jul-99,58,4.5
25/07/1999,Jul-99,119,4.5
27/07/1999,Jul-99,46,4.5
28/07/1999,Jul-99,152,4.5
28/07/1999,Jul-99,82,4.7
31/07/1999,Jul-99,20,4.6
01/08/1999,Ago-99,165,4.6
03/08/1999,Ago-99,144,4.9
04/08/1999,Ago-99,120,4.8
06/08/1999,Ago-99,42,4.7
06/08/1999,Ago-99,131,4.6
06/08/1999,Ago-99,113,4.6
06/08/1999,Ago-99,61,4.7
07/08/1999,Ago-99,141,5.1
07/08/1999,Ago-99,45,4.5
08/08/1999,Ago-99,31,4.5
09/08/1999,Ago-99,20,4.5
09/08/1999,Ago-99,74,4.7
10/08/1999,Ago-99,44,4.7
10/08/1999,Ago-99,48,4.5
10/08/1999,Ago-99,43,4.5
11/08/1999,Ago-99,82,4.8
13/08/1999,Ago-99,57,4.5
13/08/1999,Ago-99,173,5.3
13/08/1999,Ago-99,132,5
17/08/1999,Ago-99,48,4.9
18/08/1999,Ago-99,98,5.2
18/08/1999,Ago-99,56,4.5
19/08/1999,Ago-99,121,5
19/08/1999,Ago-99,19,4.7
21/08/1999,Ago-99,23,4.5
22/08/1999,Ago-99,22,4.9
22/08/1999,Ago-99,58,4.5
24/08/1999,Ago-99,55,4.5
24/08/1999,Ago-99,19,4.5
25/08/1999,Ago-99,152,4.9
27/08/1999,Ago-99,139,4.5
27/08/1999,Ago-99,16,4.5
27/08/1999,Ago-99,54,4.5
27/08/1999,Ago-99,48,4.6
29/08/1999,Ago-99,38,4.6
31/08/1999,Ago-99,23,4.9
01/09/1999,Set-99,28,5
01/09/1999,Set-99,22,4.9
02/09/1999,Set-99,143,4.9
04/09/1999,Set-99,85,4.5
04/09/1999,Set-99,50,4.5
05/09/1999,Set-99,141,4.9
05/09/1999,Set-99,31,5.4
07/09/1999,Set-99,149,4.7
10/09/1999,Set-99,19,4.9
12/09/1999,Set-99,50,4.5
13/09/1999,Set-99,26,4.7
14/09/1999,Set-99,124,4.5
15/09/1999,Set-99,177,4.8
15/09/1999,Set-99,109,4.8
16/09/1999,Set-99,113,4.5
16/09/1999,Set-99,55,4.5
16/09/1999,Set-99,12,4.8
17/09/1999,Set-99,144,4.9
19/09/1999,Set-99,35,5.2
20/09/1999,Set-99,28,4.5
21/09/1999,Set-99,37,4.9
22/09/1999,Set-99,124,4.5
23/09/1999,Set-99,37,4.8
23/09/1999,Set-99,18,4.5
23/09/1999,Set-99,141,5
24/09/1999,Set-99,152,4.5
24/09/1999,Set-99,134,4.8
28/09/1999,Set-99,31,4.7
29/09/1999,Set-99,137,4.6
30/09/1999,Set-99,17,4.7
30/09/1999,Set-99,47,4.9
30/09/1999,Set-99,29,4.7
02/10/1999,Oct-99,12,4.7
03/10/1999,Oct-99,141,4.9
04/10/1999,Oct-99,152,4.7
04/10/1999,Oct-99,186,4.9
04/10/1999,Oct-99,24,5.8
04/10/1999,Oct-99,108,4.5
04/10/1999,Oct-99,9,4.5
05/10/1999,Oct-99,56,4.8
07/10/1999,Oct-99,16,4.7
09/10/1999,Oct-99,75,5.2
12/10/1999,Oct-99,143,4.7
12/10/1999,Oct-99,55,4.5
13/10/1999,Oct-99,33,5.3
14/10/1999,Oct-99,208,5.8
15/10/1999,Oct-99,48,5.1
18/10/1999,Oct-99,167,4.6
19/10/1999,Oct-99,22,4.6
20/10/1999,Oct-99,73,4.5
21/10/1999,Oct-99,91,4.9
21/10/1999,Oct-99,75,4.5
21/10/1999,Oct-99,50,4.6
22/10/1999,Oct-99,38,4.6
23/10/1999,Oct-99,45,4.5
24/10/1999,Oct-99,166,5.1
25/10/1999,Oct-99,32,4.5
29/10/1999,Oct-99,148,4.5
31/10/1999,Oct-99,5,4.9
01/11/1999,Nov-99,26,4.5
01/11/1999,Nov-99,122,5
02/11/1999,Nov-99,138,4.5
03/11/1999,Nov-99,15,4.9
03/11/1999,Nov-99,37,4.5
06/11/1999,Nov-99,42,5.2
08/11/1999,Nov-99,167,4.5
08/11/1999,Nov-99,50,4.5
10/11/1999,Nov-99,34,4.5
10/11/1999,Nov-99,151,5
12/11/1999,Nov-99,123,4.8
14/11/1999,Nov-99,156,4.5
16/11/1999,Nov-99,129,4.6
19/11/1999,Nov-99,116,4.7
21/11/1999,Nov-99,67,4.5
21/11/1999,Nov-99,158,5.3
22/11/1999,Nov-99,125,4.5
23/11/1999,Nov-99,131,4.4
23/11/1999,Nov-99,28,4.5
23/11/1999,Nov-99,44,4.5
27/11/1999,Nov-99,132,6.1
27/11/1999,Nov-99,76,4.5
28/11/1999,Nov-99,152,4.8
29/11/1999,Nov-99,156,4.7
04/12/1999,Dic-99,56,4.9
06/12/1999,Dic-99,88,4.5
08/12/1999,Dic-99,68,5.2
10/12/1999,Dic-99,138,5
10/12/1999,Dic-99,49,5
11/12/1999,Dic-99,148,4.5
11/12/1999,Dic-99,48,4.5
12/12/1999,Dic-99,47,4.6
12/12/1999,Dic-99,40,5
13/12/1999,Dic-99,30,4.6
13/12/1999,Dic-99,55,4.7
13/12/1999,Dic-99,150,4.7
14/12/1999,Dic-99,171,4.6
14/12/1999,Dic-99,169,4.6
15/12/1999,Dic-99,9,5
16/12/1999,Dic-99,143,4.7
17/12/1999,Dic-99,43,4.5
17/12/1999,Dic-99,113,4.7
17/12/1999,Dic-99,53,4.6
18/12/1999,Dic-99,18,4.5
20/12/1999,Dic-99,113,5.7
21/12/1999,Dic-99,138,4.5
22/12/1999,Dic-99,46,4.9
24/12/1999,Dic-99,104,4.9
24/12/1999,Dic-99,58,4.7
24/12/1999,Dic-99,131,4.5
25/12/1999,Dic-99,150,4.7
25/12/1999,Dic-99,38,6
26/12/1999,Dic-99,98,5.4
26/12/1999,Dic-99,59,4.5
27/12/1999,Dic-99,50,4.5
27/12/1999,Dic-99,58,4.9
27/12/1999,Dic-99,566,5.1
28/12/1999,Dic-99,30,4.5
29/12/1999,Dic-99,49,4.5
03/01/2000,Ene-00,18,4.6
06/01/2000,Ene-00,86,5
