X,X.1,Edad,Genero,Generacion,RedesSociales,Tiempoinstalado,Seguidores,Tiempodeuso,Canticaracteres,TipoCaracteres,Nseguridad,Usodecontraseña,Tcambiocontraseña,Cuentahackeada,Numnotificaciones
NA,NA,18,Masculino,Centenial,4,10,128,En la noche,7,"mayúsculas, minúsculas, números",5,Si,7,No,3
NA,NA,22,Masculino,Centenial,3,5,50,En la noche,12,"minúsculas, números",4,Si,30,No,45
NA,NA,22,Masculino,Centenial,5,12,324,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,180,Si,9
NA,NA,19,Femenino,Milenial,3,1999,1,En la noche,12234,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",1,No,364,No,1233
NA,NA,21,Masculino,Centenial,5,10,3,En la noche,10,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,300,No,20
NA,NA,23,Femenino,Centenial,5,8.5,300,En la tarde,15,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,60,No,5
NA,NA,19,Femenino,Centenial,4,9,470,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,200,No,10
NA,NA,18,Femenino,Centenial,2,7,30,En la noche,8,"símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,No,3
NA,NA,19,Masculino,Centenial,4,10,202,En la noche,8,"mayúsculas, minúsculas, números",3,Si,0,No,15
NA,NA,18,Masculino,Centenial,1,7,80,En la noche,11,mayúsculas,4,Si,0,Si,2
NA,NA,17,Masculino,Centenial,3,4,1,En la noche,7,"mayúsculas, minúsculas, números",4,No,180,Si,15
NA,NA,21,Femenino,Centenial,8,10,100,En la mañana,10,"símbolos(ejemplo: *;#;%,etc.)",3,No,7,No,24 7
NA,NA,17,Masculino,Centenial,2,2.5,54,En la noche,2,números,1,No,2,No,10
NA,NA,18,Masculino,Centenial,3,4,2000,En la tarde,5,"mayúsculas, minúsculas, números",4,Si,14,No,10
NA,NA,19,Femenino,Centenial,4,6,250,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,0,Si,10
NA,NA,22,Femenino,Centenial,4,10,200,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,120,No,15
NA,NA,37,Femenino,Milenial,2,3,80,En la noche,6,minúsculas,1,Si,5,Si,5
NA,NA,39,Femenino,Milenial,4,5,250,En la noche,6,"minúsculas, números",3,Si,8,Si,20
NA,NA,60,Femenino,GX,3,18,30,En la noche,9,"símbolos(ejemplo: *;#;%,etc.)",2,No,15,Si,1
NA,NA,31,Masculino,Milenial,4,15,100,En la noche,3,"símbolos(ejemplo: *;#;%,etc.)",3,Si,15,No,5
NA,NA,22,Femenino,Centenial,5,10,3,En la mañana,10,"símbolos(ejemplo: *;#;%,etc.)",4,Si,3,No,20
NA,NA,35,Femenino,Milenial,4,5,10,En la tarde,3,mayúsculas,4,No,2,No,5
NA,NA,19,Femenino,Centenial,5,11,50,En la noche,3,minúsculas,5,No,2,No,10
NA,NA,28,Masculino,Milenial,2,6,600,En la noche,3,"símbolos(ejemplo: *;#;%,etc.)",5,Si,1,No,1
NA,NA,20,Masculino,Centenial,6,8,300,En la noche,10,minúsculas,2,Si,50,No,50
NA,NA,39,Femenino,Milenial,3,8,5000,En la noche,8,minúsculas,5,Si,1,No,2
NA,NA,46,Masculino,GX,4,15,2000,En la noche,8,"símbolos(ejemplo: *;#;%,etc.)",1,No,4,No,5
NA,NA,20,Masculino,Centenial,3,10,1100,En la noche,12,"mayúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,365,No,15
NA,NA,18,Masculino,Centenial,3,3,1,En la tarde,8,"mayúsculas, minúsculas, números",5,Si,100000,No,4
NA,NA,19,Femenino,Centenial,4,9,405,En la tarde,7,números,5,Si,6,No,1
NA,NA,34,Masculino,Milenial,3,10,300,En la noche,7,minúsculas,3,Si,20,No,10
NA,NA,25,Masculino,Centenial,9,7,100,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,20
NA,NA,19,Masculino,GX,4,5,150,En la mañana,8,"minúsculas, números",3,Si,30,Si,10
NA,NA,42,Femenino,GX,3,4,138,En la tarde,8,"minúsculas, números",1,No,180,No,8
NA,NA,18,Femenino,Centenial,2,6,30,En la tarde,8,"mayúsculas, minúsculas, números",2,Si,0,No,10
NA,NA,42,Femenino,GX,5,5,118,En la noche,10,mayúsculas,5,No,1,No,2
NA,NA,37,Femenino,Milenial,7,10,200,En la noche,7,números,4,No,0,No,6
NA,NA,17,Femenino,Centenial,9,5,229,En la noche,12,minúsculas,3,Si,1,Si,10
NA,NA,19,Femenino,Centenial,4,10,100,En la noche,18,"minúsculas, números",5,No,60,No,8
NA,NA,27,Femenino,Centenial,8,13,2,En la noche,9,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,180,No,15
NA,NA,19,Femenino,Centenial,4,6,170,En la tarde,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,180,No,5
NA,NA,52,Masculino,GX,4,5,359,En la tarde,17,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,3,No,15
NA,NA,25,Masculino,Centenial,5,7,300,En la noche,15,minúsculas,4,No,720,No,2
NA,NA,20,Femenino,Centenial,4,4,200,En la noche,6,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.)",3,Si,7,No,8
NA,NA,22,Femenino,Centenial,6,10,350,En la noche,10,"mayúsculas, minúsculas, números",5,Si,30,Si,3
