,,Edad en años cumplidos ( ejemplo: 19 ) ,Género (elegir solo una opción) ,¿A qué generación pertenece ? (importante: elegir solo una opción) ,¿Cantidad de redes sociales que utiliza actualmente? ( Ejemplo: 4),¿Desde hace cuánto tiempo (en años) utiliza redes sociales?  (Inserte un número entero o decimal),¿Cuántos seguidores tiene en sus redes sociales aproximadamente o la red social que utiliza más seguido?  (Inserte un número) ,¿En qué momento del día utiliza más seguido redes Sociales? (elegir solo una opción) ,¿Cuántos caracteres en promedio tienen sus contraseñas de redes sociales? (Inserte un número) Ejemplo: 5,¿Qué caracteres contiene generalmente sus contraseñas de redes sociales? (puede seleccionar más de una opción),¿Considera que la contraseñas de su cuenta de red social es segura? (siendo 1: No segura y 5: Muy segura),¿Prefiere utilizar una  misma contraseña para ingresar a todas sus redes sociales? (elija solo una opción),"Hace algunos días Facebook publicó en su blog oficial una infografía en la que se estima que a diario 600.00 cuentas de Facebook han estado en peligro de ser hackeadas . ¿Sabiendo esa noticia y sobre los peligros del hackeo en redes sociales, cada cuánto tiempo(en días) cambiarías tu contraseña? ",¿Su cuenta ha sido hackeada anteriormente? (elija solo una opción),¿Cada cuántas veces al día usted revisa las notificaciones que le llegan a su celular? (inserte un número) Ejemplo: 10
,,28,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),1,15,2000,En la noche,8,números,5,No,60,Si,8
,,28,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,10,700,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",4,No,1,No,5
,,14,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,4,300,En la noche,6,minúsculas,5,Si,0,No,1
,,31,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,6,90,En la tarde,8,"símbolos(ejemplo: *;#;%,etc.)",3,No,2,No,3
,,32,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),7,15,300,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,10
,,41,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,5,70,En la noche,11,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,90,No,4
,,42,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),4,8,2,En la mañana,4,minúsculas,5,No,4,No,5
,,45,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,10,150,En la noche,8,números,4,No,365,No,12
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,8,300,En la noche,7,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",4,No,3,No,2
,,35,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,10,100,En la noche,4,minúsculas,4,No,30,No,3
,,44,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,3,5,En la noche,8,números,4,No,3,No,3
,,50,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,12,10,En la noche,5,"símbolos(ejemplo: *;#;%,etc.)",1,Si,2,No,8
,,39,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),2,6,150,En la noche,12,"símbolos(ejemplo: *;#;%,etc.), números",3,No,60,No,5
,,34,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),2,15,50,En la tarde,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",2,No,365,Si,7
,,27,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),1234,6,10,En la tarde,10,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,2
,,51,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),4,9,1200,En la noche,7,minúsculas,5,Si,500,Si,12
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,1,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,5,No,8
,,31,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),2,10,300,En la noche,15,minúsculas,5,No,1,No,15
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),9,10,77,En la noche,14,números,5,Si,31,Si,20
,,35,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,7,880,En la noche,9,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,30,Si,15
,,37,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),3,8,1500,En la noche,13,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,90,No,8
,,27,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,11,50,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,3
,,46,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),1,10,1,En la noche,9,"mayúsculas, minúsculas, números",4,Si,30,No,5
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,379,En la noche,11,"minúsculas, números",4,Si,1,No,3
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),12,6.5 ,347,En la noche,3,"mayúsculas, minúsculas, números",4,No,120,No,10
,,23,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,13,4,En la noche,320,"mayúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,No,2,No,20
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,2.5,16,En la mañana,5,"símbolos(ejemplo: *;#;%,etc.)",5,Si,6,No,6
,,17,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,4,325,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",4,Si,5,No,1
,,24,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,300,En la noche,10,"símbolos(ejemplo: *;#;%,etc.)",4,No,30,No,3
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,6,300,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,90,No,20
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,3,5,En la noche,7,"mayúsculas, minúsculas",5,Si,7,No,2
,,32,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,8,500,En la noche,10,"minúsculas, números",4,Si,300,No,8
,,52,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,5,120,En la noche,2,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,No,15,No,15
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,90,En la noche,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,180,Si,20
,,49,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),2,10,50,En la noche,4,minúsculas,3,No,7,No,12
,,29,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,13,238,En la noche,11,"minúsculas, símbolos(ejemplo: *;#;%,etc.)",5,No,6,No,20
,,48,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),8,10,1156,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,20
,,23,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,10,210,En la mañana,8,"mayúsculas, minúsculas, números",3,No,720,No,20
,,49,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),2,6,100,En la noche,8,números,4,Si,365,No,10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,6,200,En la noche,8,"mayúsculas, minúsculas, números",3,Si,0,No,10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,10,500,En la noche,13,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,60,No,50
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,100,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,Si,3
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,6,265,En la tarde,5,"mayúsculas, minúsculas",4,Si,10,No,15
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,6,300,En la mañana,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,365,No,10
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,10,500,En la noche,7,"mayúsculas, minúsculas, números",5,No,0,No,10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,526,En la noche,8,números,5,Si,3,No,30
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,8,250,En la tarde,13,"mayúsculas, minúsculas, números",1,Si,10,Si,6
,,22,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),8,2.5,10000,En la tarde,5,"mayúsculas, minúsculas",2,Si,9,Si,10
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,460,En la mañana,11,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.)",3,No,30,No,20
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,3,150,En la noche,9,"símbolos(ejemplo: *;#;%,etc.)",3,No,90,Si,1
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,7,134,En la noche,5,"mayúsculas, minúsculas",5,Si,0,No,5
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),9,10,1394,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,10,Si,20
,,22,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,15,200,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,1,Si,20
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,8,20,En la noche,10,mayúsculas,3,Si,30,No,5
,,50,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),5,7,789,En la noche,4,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,2,Si,2
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,115,En la noche,7,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,100,No,23
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,11,560,En la noche,11,"mayúsculas, minúsculas, números",5,Si,0,No,10
,,23,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,100,En la noche,12,"mayúsculas, minúsculas, números",4,No,90,No,8
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,500,En la noche,8,números,5,No,100,No,10
,,21,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,5,80,En la noche,8,"símbolos(ejemplo: *;#;%,etc.)",4,Si,30,Si,12
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,5,50,En la tarde,4,"símbolos(ejemplo: *;#;%,etc.)",3,Si,15,No,20
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,5,100,En la noche,8,minúsculas,3,Si,100,No,5
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,6,300,En la noche,8,minúsculas,4,Si,1000,No,23
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,12,100,En la noche,10,"mayúsculas, minúsculas, números",3,Si,90,No,20
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,2.6,48,En la noche,6,"mayúsculas, minúsculas",3,Si,6,No,5
,,24,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,13,125,En la tarde,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,0,No,10
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,2,En la noche,5,"símbolos(ejemplo: *;#;%,etc.)",3,No,5,Si,4
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,128,En la noche,7,"mayúsculas, minúsculas, números",5,Si,7,No,3
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,5,50,En la noche,12,"minúsculas, números",4,Si,30,No,45
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,12,324,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,180,Si,9
,,19,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),3,1999,1,En la noche,12234,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",1,No,364,No,1233
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,10,3,En la noche,10,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,300,No,20
,,23,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,8.5,300,En la tarde,15,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,60,No,5
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,9,470,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,200,No,10
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,7,30,En la noche,8,"símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,No,3
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,202,En la noche,8,"mayúsculas, minúsculas, números",3,Si,0,No,15
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),1,7,80,En la noche,11,mayúsculas,4,Si,0,Si,2
,,17,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,1,En la noche,7,"mayúsculas, minúsculas, números",4,No,180,Si,15
,,21,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,10,100,En la mañana,10,"símbolos(ejemplo: *;#;%,etc.)",3,No,7,No,24 7
,,17,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,2.5,54,En la noche,2,números,1,No,2,No,10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,2000,En la tarde,5,"mayúsculas, minúsculas, números",4,Si,14,No,10
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,6,250,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,0,Si,10
,,22,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,200,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,120,No,15
,,37,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),2,3,80,En la noche,6,minúsculas,1,Si,5,Si,5
,,39,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,5,250,En la noche,6,"minúsculas, números",3,Si,8,Si,20
,,60,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,18,30,En la noche,9,"símbolos(ejemplo: *;#;%,etc.)",2,No,15,Si,1
,,31,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,15,100,En la noche,3,"símbolos(ejemplo: *;#;%,etc.)",3,Si,15,No,5
,,22,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,10,3,En la mañana,10,"símbolos(ejemplo: *;#;%,etc.)",4,Si,3,No,20
,,35,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,5,10,En la tarde,3,mayúsculas,4,No,2,No,5
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,11,50,En la noche,3,minúsculas,5,No,2,No,10
,,28,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),2,6,600,En la noche,3,"símbolos(ejemplo: *;#;%,etc.)",5,Si,1,No,1
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,8,300,En la noche,10,minúsculas,2,Si,50,No,50
,,39,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),3,8,5000,En la noche,8,minúsculas,5,Si,1,No,2
,,46,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),4,15,2000,En la noche,8,"símbolos(ejemplo: *;#;%,etc.)",1,No,4,No,5
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,1100,En la noche,12,"mayúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,365,No,15
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,3,1,En la tarde,8,"mayúsculas, minúsculas, números",5,Si,100000,No,4
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,9,405,En la tarde,7,números,5,Si,6,No,1
,,34,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),3,10,300,En la noche,7,minúsculas,3,Si,20,No,10
,,25,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),9,7,100,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,20
,,19,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),4,5,150,En la mañana,8,"minúsculas, números",3,Si,30,Si,10
,,42,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,4,138,En la tarde,8,"minúsculas, números",1,No,180,No,8
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,6,30,En la tarde,8,"mayúsculas, minúsculas, números",2,Si,0,No,10
,,42,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),5,5,118,En la noche,10,mayúsculas,5,No,1,No,2
,,37,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),7,10,200,En la noche,7,números,4,No,0,No,6
,,17,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),9,5,229,En la noche,12,minúsculas,3,Si,1,Si,10
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,100,En la noche,18,"minúsculas, números",5,No,60,No,8
,,27,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,13,2,En la noche,9,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,180,No,15
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,6,170,En la tarde,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,180,No,5
,,52,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),4,5,359,En la tarde,17,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,3,No,15
,,25,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,7,300,En la noche,15,minúsculas,4,No,720,No,2
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,4,200,En la noche,6,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.)",3,Si,7,No,8
,,22,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,10,350,En la noche,10,"mayúsculas, minúsculas, números",5,Si,30,Si,3
