dpt_cdc,prov_cdc,dist_cdc,altitud
AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,2630
AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,3003
AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,3284
AYACUCHO,SUCRE,QUEROBAMBA,3508
AYACUCHO,SUCRE,BELEN,3239
AYACUCHO,SUCRE,CHALCOS,3649
AYACUCHO,SUCRE,CHILCAYOC,3410
AYACUCHO,SUCRE,HUACAÑA,3187
AYACUCHO,SUCRE,MORCOLLA,3452
AYACUCHO,SUCRE,PAICO,3117
AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,3493
AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,3122
AYACUCHO,SUCRE,SANTIAGO DE PAUCARAY,3259
AYACUCHO,SUCRE,SORAS,3411
AYACUCHO,VICTOR FAJARDO,HUANCAPI,3102
AYACUCHO,VICTOR FAJARDO,ALCAMENCA,3219
AYACUCHO,VICTOR FAJARDO,APONGO,3166
AYACUCHO,VICTOR FAJARDO,ASQUIPATA,3370
AYACUCHO,VICTOR FAJARDO,CANARIA,3031
AYACUCHO,VICTOR FAJARDO,CAYARA,3224
AYACUCHO,VICTOR FAJARDO,COLCA,2992
AYACUCHO,VICTOR FAJARDO,HUAMANQUIQUIA,3349
AYACUCHO,VICTOR FAJARDO,HUANCARAYLLA,3211
AYACUCHO,VICTOR FAJARDO,HUAYA,3431
AYACUCHO,VICTOR FAJARDO,SARHUA,3183
AYACUCHO,VICTOR FAJARDO,VILCANCHOS,3064
AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,3482
AYACUCHO,VILCAS HUAMAN,ACCOMARCA,3380
AYACUCHO,VILCAS HUAMAN,CARHUANCA,2975
AYACUCHO,VILCAS HUAMAN,CONCEPCION,3067
AYACUCHO,VILCAS HUAMAN,HUAMBALPA,3217
AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,3208
AYACUCHO,VILCAS HUAMAN,SAURAMA,3601
AYACUCHO,VILCAS HUAMAN,VISCHONGO,3113
CAJAMARCA,CAJAMARCA,CAJAMARCA,2719
CAJAMARCA,CAJAMARCA,ASUNCION,2206
CAJAMARCA,CAJAMARCA,CHETILLA,2776
CAJAMARCA,CAJAMARCA,COSPAN,2463
CAJAMARCA,CAJAMARCA,ENCAÑADA,3123
CAJAMARCA,CAJAMARCA,JESUS,2531
CAJAMARCA,CAJAMARCA,LLACANORA,2644
CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,2665
CAJAMARCA,CAJAMARCA,MAGDALENA,1308
CAJAMARCA,CAJAMARCA,MATARA,2895
CAJAMARCA,CAJAMARCA,NAMORA,2743
CAJAMARCA,CAJAMARCA,SAN JUAN,2297
CAJAMARCA,CAJABAMBA,CAJABAMBA,2651
CAJAMARCA,CAJABAMBA,CACHACHI,3275
CAJAMARCA,CAJABAMBA,CONDEBAMBA,2807
CAJAMARCA,CAJABAMBA,SITACOCHA,3218
CAJAMARCA,CELENDIN,CELENDIN,2645
CAJAMARCA,CELENDIN,CHUMUCH,2281
CAJAMARCA,CELENDIN,CORTEGANA,1667
CAJAMARCA,CELENDIN,HUASMIN,2560
CAJAMARCA,CELENDIN,JORGE CHAVEZ,2630
CAJAMARCA,CELENDIN,JOSE GALVEZ,2601
CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,3025
CAJAMARCA,CELENDIN,OXAMARCA,2903
CAJAMARCA,CELENDIN,SOROCHUCO,2674
CAJAMARCA,CELENDIN,SUCRE,2611
CAJAMARCA,CELENDIN,UTCO,2196
CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,2985
CAJAMARCA,CHOTA,CHOTA,2387
CAJAMARCA,CHOTA,ANGUIA,2450
CAJAMARCA,CHOTA,CHADIN,2385
CAJAMARCA,CHOTA,CHIGUIRIP,2612
CAJAMARCA,CHOTA,CHIMBAN,1611
CAJAMARCA,CHOTA,CHOROPAMPA,2820
CAJAMARCA,CHOTA,COCHABAMBA,1694
CAJAMARCA,CHOTA,CONCHAN,2315
CAJAMARCA,CHOTA,HUAMBOS,2273
CAJAMARCA,CHOTA,LAJAS,2137
CAJAMARCA,CHOTA,LLAMA,2096
CAJAMARCA,CHOTA,MIRACOSTA,2976
CAJAMARCA,CHOTA,PACCHA,2120
CAJAMARCA,CHOTA,PION,1820
CAJAMARCA,CHOTA,QUEROCOTO,2426
CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,3012
CAJAMARCA,CHOTA,TACABAMBA,2075
CAJAMARCA,CHOTA,TOCMOCHE,1286
CAJAMARCA,CHOTA,CHALAMARCA,2319
CAJAMARCA,CONTUMAZA,CONTUMAZA,2647
CAJAMARCA,CONTUMAZA,CHILETE,847
CAJAMARCA,CONTUMAZA,CUPISNIQUE,1881
CAJAMARCA,CONTUMAZA,GUZMANGO,2502
CAJAMARCA,CONTUMAZA,SAN BENITO,1457
CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,2328
CAJAMARCA,CONTUMAZA,TANTARICA,2842
CAJAMARCA,CONTUMAZA,YONAN,436
CAJAMARCA,CUTERVO,CUTERVO,2628
CAJAMARCA,CUTERVO,CALLAYUC,1330
CAJAMARCA,CUTERVO,CHOROS,481
CAJAMARCA,CUTERVO,CUJILLO,1585
CAJAMARCA,CUTERVO,LA RAMADA,1484
CAJAMARCA,CUTERVO,PIMPINGOS,1748
CAJAMARCA,CUTERVO,QUEROCOTILLO,1982
CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,2058
CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,1975
CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,1786
CAJAMARCA,CUTERVO,SANTA CRUZ,1580
CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,1663
CAJAMARCA,CUTERVO,SANTO TOMAS,2061
CAJAMARCA,CUTERVO,SOCOTA,1822
CAJAMARCA,CUTERVO,TORIBIO CASANOVA,1497
CAJAMARCA,HUALGAYOC,BAMBAMARCA,2580
CAJAMARCA,HUALGAYOC,CHUGUR,2739
CAJAMARCA,HUALGAYOC,HUALGAYOC,3716
CAJAMARCA,JAEN,JAEN,753
CAJAMARCA,JAEN,BELLAVISTA,434
CAJAMARCA,JAEN,CHONTALI,1621
CAJAMARCA,JAEN,COLASAY,1783
CAJAMARCA,JAEN,HUABAL,1628
CAJAMARCA,JAEN,LAS PIRIAS,1555
CAJAMARCA,JAEN,POMAHUACA,1082
CAJAMARCA,JAEN,PUCARA,897
CAJAMARCA,JAEN,SALLIQUE,1658
CAJAMARCA,JAEN,SAN FELIPE,1852
CAJAMARCA,JAEN,SAN JOSE DEL ALTO,1872
CAJAMARCA,JAEN,SANTA ROSA,1199
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,1303
CAJAMARCA,SAN IGNACIO,CHIRINOS,1887
CAJAMARCA,SAN IGNACIO,HUARANGO,785
CAJAMARCA,SAN IGNACIO,LA COIPA,1466
CAJAMARCA,SAN IGNACIO,NAMBALLE,732
CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,1092
CAJAMARCA,SAN IGNACIO,TABACONAS,1888
CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,2252
CAJAMARCA,SAN MARCOS,CHANCAY,2668
CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,2009
CAJAMARCA,SAN MARCOS,GREGORIO PITA,2712
CAJAMARCA,SAN MARCOS,ICHOCAN,2602
CAJAMARCA,SAN MARCOS,JOSE MANUEL QUIROZ,2823
CAJAMARCA,SAN MARCOS,JOSE SABOGAL,2989
CAJAMARCA,SAN MIGUEL,SAN MIGUEL,2659
CAJAMARCA,SAN MIGUEL,BOLIVAR,912
CAJAMARCA,SAN MIGUEL,CALQUIS,2883
CAJAMARCA,SAN MIGUEL,CATILLUC,2793
CAJAMARCA,SAN MIGUEL,EL PRADO,2839
CAJAMARCA,SAN MIGUEL,LA FLORIDA,987
CAJAMARCA,SAN MIGUEL,LLAPA,2956
CAJAMARCA,SAN MIGUEL,NANCHOC,399
CAJAMARCA,SAN MIGUEL,NIEPOS,2451
CAJAMARCA,SAN MIGUEL,SAN GREGORIO,1821
CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHAN,2912
CAJAMARCA,SAN MIGUEL,TONGOD,2683
CAJAMARCA,SAN MIGUEL,UNION AGUA BLANCA,2911
CAJAMARCA,SAN PABLO,SAN PABLO,2381
CAJAMARCA,SAN PABLO,SAN BERNARDINO,1376
CAJAMARCA,SAN PABLO,SAN LUIS,1334
CAJAMARCA,SAN PABLO,TUMBADEN,2940
CAJAMARCA,SANTA CRUZ,SANTA CRUZ,2034
CAJAMARCA,SANTA CRUZ,ANDABAMBA,2538
CAJAMARCA,SANTA CRUZ,CATACHE,1343
CAJAMARCA,SANTA CRUZ,CHANCAYBAÑOS,1603
CAJAMARCA,SANTA CRUZ,LA ESPERANZA,1713
CAJAMARCA,SANTA CRUZ,NINABAMBA,2159
CAJAMARCA,SANTA CRUZ,PULAN,2137
CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,1881
CAJAMARCA,SANTA CRUZ,SEXI,2475
CAJAMARCA,SANTA CRUZ,UTICYACU,2283
CAJAMARCA,SANTA CRUZ,YAUYUCAN,2499
CALLAO,CALLAO,CALLAO,3
CALLAO,CALLAO,BELLAVISTA,14
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,51
CALLAO,CALLAO,LA PERLA,24
CALLAO,CALLAO,LA PUNTA,3
CALLAO,CALLAO,VENTANILLA,55
CALLAO,CALLAO,MI PERU,135
CUSCO,CUSCO,CUSCO,3414
CUSCO,CUSCO,CCORCA,3625
CUSCO,CUSCO,POROY,3499
CUSCO,CUSCO,SAN JERONIMO,3245
CUSCO,CUSCO,SAN SEBASTIAN,3295
CUSCO,CUSCO,SANTIAGO,3427
CUSCO,CUSCO,SAYLLA,3150
CUSCO,CUSCO,WANCHAQ,3363
CUSCO,ACOMAYO,ACOMAYO,3221
CUSCO,ACOMAYO,ACOPIA,3713
CUSCO,ACOMAYO,ACOS,3096
CUSCO,ACOMAYO,MOSOC LLACTA,3810
CUSCO,ACOMAYO,POMACANCHI,3693
CUSCO,ACOMAYO,RONDOCAN,3359
CUSCO,ACOMAYO,SANGARARA,3769
CUSCO,ANTA,ANTA,3345
CUSCO,ANTA,ANCAHUASI,3457
CUSCO,ANTA,CACHIMAYO,3423
CUSCO,ANTA,CHINCHAYPUJIO,3075
CUSCO,ANTA,HUAROCONDO,3353
CUSCO,ANTA,LIMATAMBO,2577
CUSCO,ANTA,MOLLEPATA,2976
CUSCO,ANTA,PUCYURA,3383
CUSCO,ANTA,ZURITE,3405
CUSCO,CALCA,CALCA,2925
CUSCO,CALCA,COYA,2944
CUSCO,CALCA,LAMAY,2934
CUSCO,CALCA,LARES,3171
CUSCO,CALCA,PISAC,2974
CUSCO,CALCA,SAN SALVADOR,3020
CUSCO,CALCA,TARAY,3024
CUSCO,CALCA,YANATILE,1357
CUSCO,CANAS,YANAOCA,3910
CUSCO,CANAS,CHECCA,3833
CUSCO,CANAS,KUNTURKANKI,3941
CUSCO,CANAS,LANGUI,3964
CUSCO,CANAS,LAYO,3980
CUSCO,CANAS,PAMPAMARCA,3792
CUSCO,CANAS,QUEHUE,3799
CUSCO,CANAS,TUPAC AMARU,3849
CUSCO,CANCHIS,SICUANI,3546
CUSCO,CANCHIS,CHECACUPE,3441
CUSCO,CANCHIS,COMBAPATA,3481
CUSCO,CANCHIS,MARANGANI,3698
CUSCO,CANCHIS,PITUMARCA,3570
CUSCO,CANCHIS,SAN PABLO,3486
CUSCO,CANCHIS,SAN PEDRO,3489
CUSCO,CANCHIS,TINTA,3484
CUSCO,CHUMBIVILCAS,SANTO TOMAS,3678
CUSCO,CHUMBIVILCAS,CAPACMARCA,3584
CUSCO,CHUMBIVILCAS,CHAMACA,3739
CUSCO,CHUMBIVILCAS,COLQUEMARCA,3592
CUSCO,CHUMBIVILCAS,LIVITACA,3752
CUSCO,CHUMBIVILCAS,LLUSCO,3496
CUSCO,CHUMBIVILCAS,QUIÑOTA,3593
CUSCO,CHUMBIVILCAS,VELILLE,3738
CUSCO,ESPINAR,ESPINAR,3924
CUSCO,ESPINAR,CONDOROMA,4675
CUSCO,ESPINAR,COPORAQUE,3941
CUSCO,ESPINAR,OCORURO,4102
CUSCO,ESPINAR,PALLPATA,3998
CUSCO,ESPINAR,PICHIGUA,3909
CUSCO,ESPINAR,SUYCKUTAMBO,4801
CUSCO,ESPINAR,ALTO PICHIGUA,4032
CUSCO,LA CONVENCION,SANTA ANA,1063
CUSCO,LA CONVENCION,ECHARATE,1162
CUSCO,LA CONVENCION,HUAYOPATA,1524
CUSCO,LA CONVENCION,MARANURA,1110
CUSCO,LA CONVENCION,OCOBAMBA,1543
CUSCO,LA CONVENCION,QUELLOUNO,800
CUSCO,LA CONVENCION,KIMBIRI,739
CUSCO,LA CONVENCION,SANTA TERESA,1811
CUSCO,LA CONVENCION,VILCABAMBA,2764
CUSCO,LA CONVENCION,PICHARI,614
CUSCO,LA CONVENCION,INKAWASI,N.D.
CUSCO,LA CONVENCION,VILLA VIRGEN,N.D.
CUSCO,PARURO,PARURO,3068
CUSCO,PARURO,ACCHA,3591
CUSCO,PARURO,CCAPI,3196
CUSCO,PARURO,COLCHA,2800
CUSCO,PARURO,HUANOQUITE,3391
CUSCO,PARURO,OMACHA,3910
CUSCO,PARURO,PACCARITAMBO,3581
CUSCO,PARURO,PILLPINTO,2866
CUSCO,PARURO,YAURISQUE,3328
CUSCO,PAUCARTAMBO,PAUCARTAMBO,3005
CUSCO,PAUCARTAMBO,CAICAY,3110
CUSCO,PAUCARTAMBO,CHALLABAMBA,2767
CUSCO,PAUCARTAMBO,COLQUEPATA,3650
CUSCO,PAUCARTAMBO,HUANCARANI,3850
CUSCO,PAUCARTAMBO,KOSÑIPATA,689
CUSCO,QUISPICANCHI,URCOS,3158
CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,3121
CUSCO,QUISPICANCHI,CAMANTI,873
CUSCO,QUISPICANCHI,CCARHUAYO,3449
CUSCO,QUISPICANCHI,CCATCA,3700
CUSCO,QUISPICANCHI,CUSIPATA,3319
CUSCO,QUISPICANCHI,HUARO,3162
CUSCO,QUISPICANCHI,LUCRE,3111
CUSCO,QUISPICANCHI,MARCAPATA,3150
CUSCO,QUISPICANCHI,OCONGATE,3540
CUSCO,QUISPICANCHI,OROPESA,3110
CUSCO,QUISPICANCHI,QUIQUIJANA,3553
CUSCO,URUBAMBA,URUBAMBA,2869
CUSCO,URUBAMBA,CHINCHERO,3754
CUSCO,URUBAMBA,HUAYLLABAMBA,2868
CUSCO,URUBAMBA,MACHUPICCHU,2162
CUSCO,URUBAMBA,MARAS,3384
CUSCO,URUBAMBA,OLLANTAYTAMBO,2848
CUSCO,URUBAMBA,YUCAY,2858
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,3679
HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,3820
HUANCAVELICA,HUANCAVELICA,ACORIA,3301
HUANCAVELICA,HUANCAVELICA,CONAYCA,3708
HUANCAVELICA,HUANCAVELICA,CUENCA,3190
HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,4102
HUANCAVELICA,HUANCAVELICA,HUAYLLAHUARA,3872
HUANCAVELICA,HUANCAVELICA,IZCUCHACA,2900
HUANCAVELICA,HUANCAVELICA,LARIA,3906
HUANCAVELICA,HUANCAVELICA,MANTA,3675
HUANCAVELICA,HUANCAVELICA,MARISCAL CACERES,2881
HUANCAVELICA,HUANCAVELICA,MOYA,3118
HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,3857
HUANCAVELICA,HUANCAVELICA,PALCA,3791
HUANCAVELICA,HUANCAVELICA,PILCHACA,3586
HUANCAVELICA,HUANCAVELICA,VILCA,3390
HUANCAVELICA,HUANCAVELICA,YAULI,3402
HUANCAVELICA,HUANCAVELICA,ASCENSION,3693
HUANCAVELICA,HUANCAVELICA,HUANDO,3586
HUANCAVELICA,ACOBAMBA,ACOBAMBA,3431
HUANCAVELICA,ACOBAMBA,ANDABAMBA,3526
HUANCAVELICA,ACOBAMBA,ANTA,3588
HUANCAVELICA,ACOBAMBA,CAJA,3380
HUANCAVELICA,ACOBAMBA,MARCAS,3382
HUANCAVELICA,ACOBAMBA,PAUCARA,3795
HUANCAVELICA,ACOBAMBA,POMACOCHA,3145
HUANCAVELICA,ACOBAMBA,ROSARIO,3625
HUANCAVELICA,ANGARAES,LIRCAY,3271
HUANCAVELICA,ANGARAES,ANCHONGA,3358
HUANCAVELICA,ANGARAES,CALLANMARCA,3532
HUANCAVELICA,ANGARAES,CCOCHACCASA,4179
HUANCAVELICA,ANGARAES,CHINCHO,3215
HUANCAVELICA,ANGARAES,CONGALLA,3535
HUANCAVELICA,ANGARAES,HUANCA-HUANCA,3569
HUANCAVELICA,ANGARAES,HUAYLLAY GRANDE,3588
HUANCAVELICA,ANGARAES,JULCAMARCA,3404
HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,2771
HUANCAVELICA,ANGARAES,SANTO TOMAS DE PATA,3165
HUANCAVELICA,ANGARAES,SECCLLA,3375
HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,3958
HUANCAVELICA,CASTROVIRREYNA,ARMA,3332
HUANCAVELICA,CASTROVIRREYNA,AURAHUA,3488
HUANCAVELICA,CASTROVIRREYNA,CAPILLAS,3188
HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,3329
HUANCAVELICA,CASTROVIRREYNA,COCAS,3210
HUANCAVELICA,CASTROVIRREYNA,HUACHOS,2751
HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,3261
HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,2515
HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,1913
HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,4497
HUANCAVELICA,CASTROVIRREYNA,TANTARA,2874
HUANCAVELICA,CASTROVIRREYNA,TICRAPO,2178
HUANCAVELICA,CHURCAMPA,CHURCAMPA,3275
HUANCAVELICA,CHURCAMPA,ANCO,2413
HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,2776
HUANCAVELICA,CHURCAMPA,EL CARMEN,3050
HUANCAVELICA,CHURCAMPA,LA MERCED,2628
HUANCAVELICA,CHURCAMPA,LOCROJA,3387
HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,3373
HUANCAVELICA,CHURCAMPA,SAN MIGUEL DE MAYOCC,2237
HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,3564
HUANCAVELICA,CHURCAMPA,PACHAMARCA,2768
HUANCAVELICA,CHURCAMPA,COSME,3496
HUANCAVELICA,HUAYTARA,HUAYTARA,2712
HUANCAVELICA,HUAYTARA,AYAVI,3801
HUANCAVELICA,HUAYTARA,CORDOVA,3216
HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,3175
HUANCAVELICA,HUAYTARA,LARAMARCA,3278
HUANCAVELICA,HUAYTARA,OCOYO,1951
HUANCAVELICA,HUAYTARA,PILPICHACA,4109
HUANCAVELICA,HUAYTARA,QUERCO,2873
HUANCAVELICA,HUAYTARA,QUITO-ARMA,2994
HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,3379
HUANCAVELICA,HUAYTARA,SAN FRANCISCO DE SANGAYAICO,3375
HUANCAVELICA,HUAYTARA,SAN ISIDRO,3606
HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,2669
HUANCAVELICA,HUAYTARA,SANTIAGO DE QUIRAHUARA,2828
HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,3379
HUANCAVELICA,HUAYTARA,TAMBO,3200
HUANCAVELICA,TAYACAJA,PAMPAS,3251
HUANCAVELICA,TAYACAJA,ACOSTAMBO,3610
HUANCAVELICA,TAYACAJA,ACRAQUIA,3277
HUANCAVELICA,TAYACAJA,AHUAYCHA,3264
HUANCAVELICA,TAYACAJA,COLCABAMBA,2967
HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,3249
HUANCAVELICA,TAYACAJA,HUACHOCOLPA,2914
HUANCAVELICA,TAYACAJA,HUARIBAMBA,3170
HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,3712
HUANCAVELICA,TAYACAJA,PAZOS,3804
HUANCAVELICA,TAYACAJA,QUISHUAR,3101
HUANCAVELICA,TAYACAJA,SALCABAMBA,3138
HUANCAVELICA,TAYACAJA,SALCAHUASI,3145
HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,3211
HUANCAVELICA,TAYACAJA,SURCUBAMBA,2581
HUANCAVELICA,TAYACAJA,TINTAY PUNCU,2313
HUANCAVELICA,TAYACAJA,QUICHUAS,N.D.
HUANCAVELICA,TAYACAJA,ANDAYMARCA,N.D.
HUANUCO,HUANUCO,HUANUCO,1898
HUANUCO,HUANUCO,AMARILIS,1921
HUANUCO,HUANUCO,CHINCHAO,2074
HUANUCO,HUANUCO,CHURUBAMBA,1983
HUANUCO,HUANUCO,MARGOS,3547
HUANUCO,HUANUCO,QUISQUI,2131
HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,2227
HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN,3612
HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,1906
HUANUCO,HUANUCO,YARUMAYO,3086
HUANUCO,HUANUCO,PILLCO MARCA,1934
HUANUCO,HUANUCO,YACUS,3226
HUANUCO,AMBO,AMBO,2076
HUANUCO,AMBO,CAYNA,3296
HUANUCO,AMBO,COLPAS,2770
HUANUCO,AMBO,CONCHAMARCA,2162
HUANUCO,AMBO,HUACAR,2116
HUANUCO,AMBO,SAN FRANCISCO,3450
HUANUCO,AMBO,SAN RAFAEL,2703
HUANUCO,AMBO,TOMAY KICHWA,2020
HUANUCO,DOS DE MAYO,LA UNION,3210
HUANUCO,DOS DE MAYO,CHUQUIS,3377
HUANUCO,DOS DE MAYO,MARIAS,3530
HUANUCO,DOS DE MAYO,PACHAS,3499
HUANUCO,DOS DE MAYO,QUIVILLA,2981
HUANUCO,DOS DE MAYO,RIPAN,3211
HUANUCO,DOS DE MAYO,SHUNQUI,3552
HUANUCO,DOS DE MAYO,SILLAPATA,3446
HUANUCO,DOS DE MAYO,YANAS,3461
HUANUCO,HUACAYBAMBA,HUACAYBAMBA,3191
HUANUCO,HUACAYBAMBA,CANCHABAMBA,3154
HUANUCO,HUACAYBAMBA,COCHABAMBA,3307
HUANUCO,HUACAYBAMBA,PINRA,2895
HUANUCO,HUAMALIES,LLATA,3436
HUANUCO,HUAMALIES,ARANCAY,3137
HUANUCO,HUAMALIES,CHAVIN DE PARIARCA,3386
HUANUCO,HUAMALIES,JACAS GRANDE,3632
HUANUCO,HUAMALIES,JIRCAN,3292
HUANUCO,HUAMALIES,MIRAFLORES,3691
HUANUCO,HUAMALIES,MONZON,1108
HUANUCO,HUAMALIES,PUNCHAO,3547
HUANUCO,HUAMALIES,PUÑOS,3733
HUANUCO,HUAMALIES,SINGA,3648
HUANUCO,HUAMALIES,TANTAMAYO,3484
HUANUCO,LEONCIO PRADO,RUPA-RUPA,648
HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,768
HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,1250
HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,569
HUANUCO,LEONCIO PRADO,LUYANDO,631
HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,982
HUANUCO,MARAÑON,HUACRACHUCO,2893
HUANUCO,MARAÑON,CHOLON,2127
HUANUCO,MARAÑON,SAN BUENAVENTURA,3160
HUANUCO,PACHITEA,PANAO,2772
HUANUCO,PACHITEA,CHAGLLA,2568
HUANUCO,PACHITEA,MOLINO,2361
HUANUCO,PACHITEA,UMARI,2424
HUANUCO,PUERTO INCA,PUERTO INCA,210
HUANUCO,PUERTO INCA,CODO DEL POZUZO,367
HUANUCO,PUERTO INCA,HONORIA,168
HUANUCO,PUERTO INCA,TOURNAVISTA,188
HUANUCO,PUERTO INCA,YUYAPICHIS,207
HUANUCO,LAURICOCHA,JESUS,3485
HUANUCO,LAURICOCHA,BAÑOS,3423
HUANUCO,LAURICOCHA,JIVIA,3388
HUANUCO,LAURICOCHA,QUEROPALCA,3831
HUANUCO,LAURICOCHA,RONDOS,3568
HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,3439
HUANUCO,LAURICOCHA,SAN MIGUEL DE CAURI,3594
HUANUCO,YAROWILCA,CHAVINILLO,3254
HUANUCO,YAROWILCA,CAHUAC,3332
HUANUCO,YAROWILCA,CHACABAMBA,3171
HUANUCO,YAROWILCA,APARICIO POMARES,3423
HUANUCO,YAROWILCA,JACAS CHICO,3761
HUANUCO,YAROWILCA,OBAS,3528
HUANUCO,YAROWILCA,PAMPAMARCA,3445
HUANUCO,YAROWILCA,CHORAS,3585
ICA,ICA,ICA,409
ICA,ICA,LA TINGUIÑA,440
ICA,ICA,LOS AQUIJES,417
ICA,ICA,OCUCAJE,334
ICA,ICA,PACHACUTEC,409
ICA,ICA,PARCONA,436
ICA,ICA,PUEBLO NUEVO,404
ICA,ICA,SALAS,430
ICA,ICA,SAN JOSE DE LOS MOLINOS,532
ICA,ICA,SAN JUAN BAUTISTA,426
ICA,ICA,SANTIAGO,378
ICA,ICA,SUBTANJALLA,424
ICA,ICA,TATE,395
ICA,ICA,YAUCA DEL ROSARIO,833
ICA,CHINCHA,CHINCHA ALTA,94
ICA,CHINCHA,ALTO LARAN,91
ICA,CHINCHA,CHAVIN,3170
ICA,CHINCHA,CHINCHA BAJA,33
ICA,CHINCHA,EL CARMEN,153
ICA,CHINCHA,GROCIO PRADO,93
ICA,CHINCHA,PUEBLO NUEVO,126
ICA,CHINCHA,SAN JUAN DE YANAC,2533
ICA,CHINCHA,SAN PEDRO DE HUACARPANA,3776
ICA,CHINCHA,SUNAMPE,64
ICA,CHINCHA,TAMBO DE MORA,5
ICA,NASCA,NASCA,585
ICA,NASCA,CHANGUILLO,244
ICA,NASCA,EL INGENIO,447
ICA,NASCA,MARCONA,45
ICA,NASCA,VISTA ALEGRE,565
ICA,PALPA,PALPA,351
ICA,PALPA,LLIPATA,301
ICA,PALPA,RIO GRANDE,357
ICA,PALPA,SANTA CRUZ,526
ICA,PALPA,TIBILLO,2180
ICA,PISCO,PISCO,15
ICA,PISCO,HUANCANO,994
ICA,PISCO,HUMAY,410
ICA,PISCO,INDEPENDENCIA,211
ICA,PISCO,PARACAS,7
ICA,PISCO,SAN ANDRES,8
ICA,PISCO,SAN CLEMENTE,70
ICA,PISCO,TUPAC AMARU INCA,84
JUNIN,HUANCAYO,HUANCAYO,3245
JUNIN,HUANCAYO,CARHUACALLANGA,3824
JUNIN,HUANCAYO,CHACAPAMPA,3358
JUNIN,HUANCAYO,CHICCHE,3560
JUNIN,HUANCAYO,CHILCA,3245
JUNIN,HUANCAYO,CHONGOS ALTO,3625
JUNIN,HUANCAYO,CHUPURO,3180
JUNIN,HUANCAYO,COLCA,3544
JUNIN,HUANCAYO,CULLHUAS,3732
JUNIN,HUANCAYO,EL TAMBO,3262
JUNIN,HUANCAYO,HUACRAPUQUIO,3219
JUNIN,HUANCAYO,HUALHUAS,3263
JUNIN,HUANCAYO,HUANCAN,3214
JUNIN,HUANCAYO,HUASICANCHA,3746
JUNIN,HUANCAYO,HUAYUCACHI,3188
JUNIN,HUANCAYO,INGENIO,3451
JUNIN,HUANCAYO,PARIAHUANCA,2589
