COMPOSICION NUTRICIONAL DE SEGUNDOS (100g),,,,,,,,,,,,,,
Estrato,Código de Segundo,Nombre de Segundo,"Energía
<ENERC>","Proteínas
<PROCNT>","Grasa total
<FAT>","Carbohidratos disponibles
<CHOAVL>","Zinc
<ZN>","Hierro
<FE>","b caroteno
equivalentes totales
<CARTBQ>",Retinol,"Vitamina A
equivalentes totales
<VITA>","Sodio
<NA>",Plato,Orden
C,S0480,ARVEJITA VERDE PARTIDA CON POLLO AL HORNO CON ARROZ,"124,23","7,28","3,45","14,82","0,73","0,77","0,00","4,66","8,84","324,27",1,14
C,S0487,ASADO DE POLLO CON MENESTRA CON ARROZ,"123,87","7,39","1,55","17,23","0,83","1,19","214,70","39,00","39,76","169,60",1,15
C,S0489,ASADO DE RES CON ARROZ,"146,89","4,32","0,59","29,63","0,89","0,88","0,00","5,90","0,47","43,63",1,16
C,S0491,ASADO DE RES CON MENESTRA CON ARROZ,"104,28","5,73","0,86","15,33","0,94","1,34","60,38","11,28","10,84","73,77",2,17
C,S0496,BISTECK DE RES A LO POBRE CON ARROZ,"147,03","5,46","6,05","12,79","1,04","0,90","62,94","11,42","12,11","26,03",1,18
C,S0501,CABRITO CON FREJOLES CON ARROZ,"146,43","7,98","3,32","18,38","1,38","1,64","6,61","8,22","2,67","307,07",5,19
C,S0509,CABRITO A LA NORTEÑA CON ARROZ,"133,86","7,28","1,70","21,69","0,83","0,84","5,53","10,58","5,84","429,29",1,20
C,S0517,CARAPULCRA DE CERDO CON ARROZ,"136,97","6,64","2,55","21,05","0,64","0,89","0,00","2,60","0,60","592,02",1,21
C,S0523,CAU CAU CON ARROZ,"103,16","4,43","1,53","14,99","0,53","0,47","152,41","45,78","26,03","88,01",3,22
C,S0531,CERDO AL HORNO CON ARROZ,"161,13","7,66","3,53","23,19","0,88","0,65","0,00","4,17","0,86","181,98",1,23
C,S0543,CHICHARRON DE PESCADO CON FREJOLES CON ARROZ,"106,81","4,12","1,23","17,79","0,52","1,00","473,50","84,64","83,46","150,15",2,24
C,S0552,CHICHARRON DE POLLO CON ENSALADA CON ARROZ,"202,10","6,63","8,98","21,14","0,72","1,12","0,00","0,86","3,78","88,89",1,25
C,S0555,CHICHARRON MIXTO,"221,90","9,26","14,10","13,65","0,55","1,13","0,23","10,02","15,36","398,27",2,26
C,S0575,CHURRASCO CON ARROZ,"99,64","3,75","0,73","18,53","0,72","0,65","0,00","2,61","2,87","161,50",2,27
C,S0586,COMBINADO DE POLLO,"150,84","6,15","1,30","27,68","0,73","2,34","108,07","23,48","21,90","166,15",4,28
C,S0588,CORDERO A LA NORTEÑA CON FREJOLES CON ARROZ,"172,38","10,36","6,31","19,42","1,09","1,93","4,72","8,11","2,34","393,80",1,29
C,S0600,ENSALADA RUSA CON POLLO AL HORNO CON ARROZ,"121,97","7,14","3,35","14,77","0,68","0,77","367,75","100,75","76,46","212,88",1,30
C,S0602,ENSALADA RUSA CON POLLO FRITO CON ARROZ,"172,87","7,30","2,64","26,40","0,87","0,76","870,05","147,67","148,88","42,48",1,31
C,S0603,ESCABECHE DE PESCADO CON ARROZ,"227,09","3,28","10,21","30,08","0,59","0,61","71,11","13,51","11,95","74,63",1,32
C,S0605,ESCABECHE DE POLLO CON ARROZ,"136,63","7,70","2,81","19,33","0,75","0,93","118,88","29,85","25,02","131,50",5,33
C,S0609,ESTOFADO DE LENGUA CON ARROZ,"133,29","4,88","5,11","15,93","0,84","0,83","518,35","90,23","89,33","814,76",1,34
C,S0612,ESTOFADO DE POLLO CON ARROZ,"117,05","6,62","1,39","17,55","0,69","0,74","168,97","35,98","34,96","246,98",7,35
C,S0613,ESTOFADO DE POLLO CON ARROZ CON ENSALADA,"116,40","6,02","1,91","18,46","0,37","1,65","438,00","77,10","77,09","462,75",1,36
C,S0614,ESTOFADO DE POLLO CON MENESTRA CON ARROZ,"145,38","7,45","1,95","19,87","1,11","1,16","200,79","63,18","46,23","331,37",6,37
C,S0617,ESTOFADO DE RES CON MENESTRA CON ARROZ,"121,33","5,69","1,05","19,25","1,10","1,36","40,28","8,61","8,82","93,20",1,38
C,S0627,FILETE DE PESCADO CON MENESTRA CON ARROZ,"239,77","9,67","10,64","23,05","0,59","2,81","0,00","0,00","0,01","258,52",1,39
C,S0631,ARROZ BLANCO CON FILETE DE POLLO Y PAPAS SANCOCHADAS,"145,81","6,48","2,45","19,91","0,73","0,69","0,00","6,89","4,52","75,56",1,40
,,Y ENSALADA,,,,,,,,,,,,
C,S0632,FILETE DE POLLO CON PAPAS FRITAS CON ARROZ,"155,61","8,92","4,83","17,48","0,82","0,84","0,00","1,02","5,36","420,52",1,41
C,S0636,FREJOLES CON BISTECK CON ARROZ,"150,13","9,39","0,95","22,20","1,67","1,88","0,00","0,34","0,40","84,86",1,42
C,S0644,FREJOLES CON PESCADO CON ARROZ,"167,93","6,65","4,52","22,53","0,78","1,19","42,00","10,06","8,45","324,60",2,43
C,S0646,FREJOLES CON POLLO A LA NORTENA CON ARROZ,"114,12","7,01","1,88","14,90","0,92","1,14","4,20","2,71","5,11","606,78",1,44
C,S0650,FREJOLES CON SECO A LA NORTEÑA CON ARROZ,"145,69","6,31","0,97","25,44","1,10","1,27","4,03","4,32","1,89","78,95",2,45
C,S0651,FREJOLES CON SECO CON ARROZ,"151,08","7,85","2,81","19,82","0,88","1,69","10,36","7,16","4,23","154,70",5,46
C,S0674,GUISO DE TRIGO CON POLLO CON ARROZ,"108,55","6,37","1,92","15,63","0,63","0,61","0,00","2,20","8,60","313,32",1,47
C,S0675,GUISO DE VAINITA CON POLLO CON ARROZ,"95,14","4,30","0,72","13,29","0,91","1,39","491,81","175,39","121,00","124,61",1,48
C,S0684,JALEA MIXTA,"176,93","9,52","9,27","11,28","0,66","1,17","0,00","9,81","11,79","133,69",1,49
C,S0691,KAM LU WANTAN CON ARROZ CHAUFA,"153,68","6,09","3,20","19,53","0,63","0,62","7,47","6,75","7,19","106,91",1,50
C,S0698,LENTEJA CON ADOBO CON ARROZ,"127,92","7,48","0,32","17,42","1,80","0,94","0,00","9,38","2,85","724,83",1,51
C,S0704,LENTEJA CON ESTOFADO CON ARROZ,"131,35","7,44","1,28","18,95","1,14","1,09","114,95","23,33","24,21","137,80",3,52
C,S0705,LENTEJA CON FILETE DE PECHUGA CON ARROZ,"147,79","8,69","9,71","3,70","0,90","0,91","0,00","1,31","5,73","637,86",1,53
C,S0710,LENTEJA CON HIGADO CON ARROZ,"178,66","8,85","2,40","25,37","1,77","1,93","0,00","1203,17","738,74","158,58",1,54
C,S0714,LENTEJA CON MILANESA CON ARROZ,"153,93","8,01","2,39","21,16","1,14","1,07","0,00","0,45","2,98","51,01",1,55
C,S0716,LENTEJA CON PESCADO CON ARROZ,"157,63","7,26","3,48","20,76","0,84","1,11","32,31","6,96","7,91","398,98",17,56
C,S0724,LOCRO DE ZAPALLO CON BISTECK CON ARROZ,"116,85","5,06","2,16","17,71","0,91","1,07","0,00","45,09","26,78","984,42",1,57
C,S0729,LOMO AL JUGO CON MENESTRA CON ARROZ,"132,50","6,15","1,26","21,76","1,09","1,37","0,00","0,28","0,12","141,84",1,58
C,S0733,LOMO SALTADO CON ARROZ,"147,02","5,06","5,40","18,26","0,95","0,91","1,57","7,61","4,28","256,11",12,59
C,S0735,LOMO SALTADO CON MENESTRA CON ARROZ,"159,38","6,01","4,61","18,89","1,16","1,18","0,00","5,47","2,86","464,78",1,60
C,S0741,MACARRONES CON POLLO,"176,78","8,96","4,48","25,29","0,99","2,53","312,38","48,56","52,23","65,81",4,61
C,S0753,MILANESA CON MENESTRA CON ARROZ,"154,53","9,29","3,62","19,27","0,95","1,08","0,00","0,36","4,81","41,25",1,62
C,S0761,MOLLEJA SALTADA CON ARROZ,"98,29","7,02","1,19","10,74","1,26","1,51","0,00","1,81","4,26","88,51",1,63
C,S0767,OLLUQUITO DE CHARQUI CON ARROZ,"161,03","6,18","3,15","26,35","0,42","1,51","0,00","18,20","4,86","382,86",2,64
C,S0775,PALLARES CON CHULETA CON ARROZ,"119,20","6,19","1,29","17,80","0,81","1,19","0,00","0,55","0,26","40,86",1,65
C,S0779,PALLARES CON PESCADO CON ARROZ,"166,26","5,88","3,19","26,06","0,71","1,57","0,00","0,69","0,12","138,61",1,66
C,S0781,PALLARES CON POLLO CON ARROZ,"135,23","5,83","4,16","16,59","1,03","1,48","135,29","25,00","24,60","70,96",1,67
C,S0787,PATITA CON MANI CON ARROZ,"134,29","4,07","1,72","21,85","0,43","0,79","0,06","3,20","0,57","97,98",2,68
C,S0797,PAVITA CON PURE CON ARROZ,"153,52","7,18","4,82","19,73","0,92","1,25","0,00","4,50","11,36","253,79",1,69
C,S0820,PESCADO A LO MACHO CON ARROZ,"153,75","6,88","4,61","20,25","0,52","0,53","0,00","1,36","11,05","231,37",1,70
C,S0825,PESCADO CON ARROZ,"155,83","6,42","4,64","21,25","0,52","0,94","2,24","1,70","4,43","74,02",2,71
C,S0828,PESCADO CON MENESTRA CON ARROZ,"205,68","8,06","6,34","25,13","0,80","1,43","0,00","1,30","0,19","589,99",3,72
C,S0840,PESCADO EN SALSA DE LANGOSTINOS CON ARROZ,"177,63","6,06","4,99","26,77","0,49","0,78","0,00","1,56","5,50","320,99",1,73
C,S0843,PICANTE DE CUY CON ARROZ,"169,55","3,99","11,18","1,33","0,37","0,59","0,00","11,52","2,88","484,56",1,74
C,S0851,POLLO  A LA BRASA CON PAPAS FRITAS,"181,27","7,44","10,86","10,83","0,64","0,80","103,89","55,80","29,16","448,27",10,75
C,S0873,POLLO A LA LEÑA,"163,49","3,35","9,80","13,62","0,32","0,53","0,00","28,73","2,52","846,66",1,76
C,S0876,POLLO A LA NORTEÑA CON ARROZ,"144,00","9,36","1,79","18,78","0,96","1,27","5,26","4,60","5,49","41,79",2,77
C,S0878,POLLO A LA NORTEÑA CON MENESTRA CON ARROZ,"133,95","8,64","2,67","16,10","0,90","1,32","14,34","21,89","11,51","254,09",3,78
C,S0881,POLLO A LA OLLA CON MENESTRA CON ARROZ,"149,43","5,76","1,90","23,59","0,81","1,42","41,00","19,56","9,22","285,11",1,79
C,S0885,POLLO A LA PARRILLA CON ENSALADA CON ARROZ,"138,29","9,45","3,26","16,68","0,87","0,87","176,39","38,87","38,71","93,98",1,80
C,S0888,POLLO A LA PARRILLA CON PURE CON ARROZ,"132,65","5,62","3,83","18,53","0,59","0,75","0,00","9,89","16,14","725,23",1,81
C,S0892,POLLO A LA PLANCHA CON MENESTRA CON ARROZ,"149,80","8,55","1,35","21,69","1,00","1,47","0,00","4,80","3,96","445,53",1,82
C,S0898,POLLO AL HORNO CON ARROZ,"158,56","3,80","3,05","25,08","0,59","0,49","0,00","0,88","1,06","53,36",1,83
C,S0899,POLLO AL HORNO CON ENSALADA CON ARROZ,"139,23","6,37","2,00","21,98","0,72","0,70","285,34","51,02","53,82","210,14",5,84
C,S0900,POLLO AL HORNO CON ENSALADA RUSA CON ARROZ,"129,92","7,00","2,56","17,43","0,73","0,74","381,90","70,60","72,08","310,81",8,85
C,S0901,POLLO AL HORNO CON MENESTRA CON ARROZ,"137,13","7,93","3,16","16,58","0,88","1,04","0,91","8,31","6,68","438,25",4,86
C,S0902,POLLO AL HORNO CON MENESTRA CON ENSALADA CON ARROZ,"111,49","5,40","1,81","15,77","0,76","1,01","21,36","7,24","9,00","261,00",3,87
C,S0904,POLLO AL HORNO CON PURE CON ENSALADA CON ARROZ,"125,63","9,35","2,76","14,99","0,85","0,79","98,88","20,39","33,88","208,14",1,88
C,S0913,POLLO AL SILLAO CON ARROZ,"130,43","7,08","2,47","17,96","0,68","1,19","39,15","7,67","16,50","156,74",2,89
C,S0920,POLLO BROASTER CON ENSALADA RUSA CON ARROZ,"193,43","6,92","10,05","18,26","0,76","0,77","322,91","59,78","60,68","325,45",1,90
C,S0922,POLLO BROASTER CON PAPAS FRITAS CON ENSALADA CON,"187,64","5,69","10,54","16,47","0,62","0,87","0,00","6,10","5,21","595,07",2,91
,,ARROZ,,,,,,,,,,,,
C,S0923,POLLO CON ARROZ,"156,49","4,38","5,32","21,88","0,58","0,58","0,00","8,30","4,45","222,99",2,92
C,S0929,POLLO CON VERDURAS CON ARROZ CHAUFA,"144,04","4,56","0,66","29,11","0,68","1,18","78,20","13,46","14,67","75,96",1,93
C,S0935,POLLO ENROLLADO CON ARROZ,"156,27","6,76","3,58","20,45","0,71","1,66","14,23","18,87","32,25","49,69",1,94
C,S0937,POLLO FRITO CON ENSALADA CON ARROZ,"156,88","9,85","5,05","15,65","0,91","0,88","232,60","40,42","47,18","103,63",2,95
C,S0939,POLLO FRITO CON MENESTRA CON ARROZ,"178,69","4,43","6,90","23,03","0,67","0,90","0,00","2,04","1,34","535,54",1,96
C,S0942,POLLO FRITO CON PAPAS FRITAS CON ENSALADA CON ARROZ,"165,04","5,51","6,59","19,87","0,62","0,62","45,97","10,44","12,91","229,90",2,97
C,S0944,POLLO SALTADO CON ARROZ,"182,66","5,50","9,61","17,28","0,58","0,68","2,03","3,81","6,50","508,62",1,98
C,S0948,PURE CON BISTECK CON ARROZ,"127,02","4,77","2,27","21,28","0,90","0,70","0,00","2,91","11,50","60,76",1,99
C,S0950,PURE CON CHURRASCO CON ARROZ,"167,02","5,66","6,87","16,12","1,00","0,73","0,00","4,21","15,45","798,59",1,100
C,S0955,PURE CON POLLO CON ARROZ,"150,62","5,89","3,32","23,49","0,69","0,61","0,00","12,46","11,80","230,25",5,101
C,S0956,PURE CON POLLO CON ENSALADA CON ARROZ,"134,36","8,11","2,57","18,80","0,81","0,73","0,00","8,36","8,21","304,53",1,102
C,S0960,QUINUA GUISADA CON POLLO CON ARROZ,"133,98","6,99","2,44","20,31","0,85","1,18","0,00","1,96","3,64","216,50",1,103
C,S0961,RAVIOLES CON CARNE,"191,03","9,76","9,41","0,84","0,53","0,44","0,00","4,34","16,33","763,52",1,104
C,S0969,SALTADO DE POLLO CON PAPAS FRITAS CON ARROZ,"214,98","3,71","10,33","24,38","0,57","0,57","0,72","1,65","2,48","298,80",1,105
C,S0973,SECO DE RES CON ARROZ,"135,95","6,63","2,34","19,42","1,28","1,19","302,36","52,27","52,12","255,68",2,106
C,S0975,SECO A LA HUACHANA CON MENESTRA CON ARROZ,"153,99","6,50","1,90","24,33","0,96","1,42","8,53","86,06","26,55","241,44",1,107
C,S0978,SECO A LA NORTEÑA CON MENESTRA CON ARROZ,"110,09","6,38","1,11","15,41","1,05","1,44","14,24","91,80","28,62","173,68",6,108
C,S0980,SECO A LA NORTEÑA CON MENESTRA CON SARSA CRIOLLA CON,"122,94","5,93","1,31","18,80","0,99","1,46","7,87","7,22","2,67","176,25",5,109
,,ARROZ,,,,,,,,,,,,
C,S0982,SECO A LA NORTEÑA CON SARSA CRIOLLA CON ARROZ,"117,12","4,54","1,51","20,47","0,91","0,91","16,37","6,76","3,53","492,78",1,110
C,S0984,SECO A LA NORTEÑA DE POLLO CON MENESTRA CON ARROZ,"119,83","6,36","1,51","19,31","0,70","0,74","65,08","12,57","14,42","229,88",1,111
C,S0986,SECO A LA NORTEÑA DE RES CON MENESTRA CON ARROZ,"126,60","5,94","1,42","19,68","1,03","1,37","11,13","10,64","9,92","175,99",2,112
C,S0987,SECO A LA NORTEÑA DE RES CON MENESTRA CON SARSA,"91,73","4,72","1,09","14,51","0,89","1,02","38,98","16,92","6,61","200,09",2,113
,,CRIOLLA CON ARROZ,,,,,,,,,,,,
C,S0991,SECO DE CABRITO CON MENESTRA CON ARROZ,"112,21","6,42","1,58","15,67","1,16","1,34","7,20","4,70","1,81","185,64",2,114
C,S0994,SECO DE CORDERO CON MENESTRA CON ARROZ,"95,25","3,95","1,53","14,05","0,48","1,02","86,84","25,20","27,28","304,15",3,115
C,S0995,SECO DE CORDERO CON MENESTRA CON SARSA CRIOLLA CON,"134,67","6,53","4,72","14,44","0,45","1,12","17,55","9,68","4,81","626,33",1,116
,,ARROZ,,,,,,,,,,,,
C,S0998,SECO DE PATO CON ARROZ,"216,70","9,03","11,66","16,24","0,98","1,53","135,88","53,59","56,48","140,84",1,117
C,S1002,SECO DE POLLO CON ARROZ,"128,86","7,58","1,49","19,93","0,78","0,83","110,09","25,74","29,27","233,36",3,118
C,S1004,SECO DE POLLO CON MENESTRA CON ARROZ,"135,77","8,56","2,09","17,62","0,94","1,33","79,64","17,90","19,45","214,89",17,119
C,S1008,SECO DE RES A LA NORTEÑA CON MENESTRA CON ARROZ,"121,76","5,77","1,90","18,05","1,04","1,38","10,22","8,83","5,82","200,17",3,120
C,S1009,SECO DE RES CON MENESTRA CON ARROZ,"132,66","6,56","1,28","20,91","1,12","1,47","84,97","21,89","18,19","239,24",23,121
C,S1010,SECO DE RES CON MENESTRA CON ENSALADA CON ARROZ,"108,46","6,39","1,07","14,78","1,15","1,45","18,07","6,92","5,09","165,10",3,122
C,S1011,SECO DE RES CON MENESTRA CON SARSA CRIOLLA CON ARROZ,"116,52","5,67","1,81","16,81","0,97","1,41","101,17","30,48","20,97","362,15",6,123
C,S1013,SECO HUACHANO CON MENESTRA CON ARROZ,"113,34","5,74","1,21","13,77","1,13","1,24","72,61","13,09","12,40","277,68",1,124
C,S1020,SUDADO DE PESCADO CON ARROZ,"131,02","4,46","2,28","22,42","0,40","0,75","3,21","15,37","5,79","195,65",4,125
C,S1023,SUPREMA DE POLLO CON ARROZ,"176,98","8,08","2,58","28,11","1,02","2,69","96,93","16,39","18,07","67,90",1,126
C,S1025,TACACHO CON CECINA,"213,14","5,37","10,22","26,33","0,50","0,52","0,00","88,68","38,64","414,59",1,127
C,S1034,TACU TACU CON PESCADO,"161,97","10,09","4,50","16,33","0,69","1,48","10,79","7,40","4,08","373,71",2,128
C,S1044,TALLARINES CON POLLO,"159,24","10,54","1,91","24,59","0,96","2,40","407,60","73,38","78,69","358,17",1,129
C,S1055,TALLARINES ROJOS CON POLLO,"131,62","8,22","2,33","17,91","0,76","1,85","379,98","76,64","76,19","227,39",16,130
C,S1060,TALLARINES SALTADO,"189,70","8,52","1,63","33,67","0,88","5,71","244,63","51,63","44,75","774,74",1,131
C,S1061,TALLARINES SALTADO CON POLLO,"164,06","8,54","3,40","24,09","0,82","2,71","46,78","15,86","14,29","156,97",4,132
C,S1067,TALLARINES VERDES CON HIGADO,"229,81","9,01","9,54","27,44","1,38","3,91","0,00","1535,94","984,95","243,14",1,133
C,S1068,TALLARINES VERDES CON MILANESA,"111,07","6,56","4,24","11,39","0,60","1,85","0,00","60,49","92,02","424,28",1,134
C,S1069,TALLARINES VERDES CON POLLO,"197,98","12,18","4,06","27,71","1,14","3,13","0,00","50,58","68,32","75,52",1,135
C,S1072,TALLARINES VERDES CON RES,"176,14","7,84","5,12","24,48","1,12","2,96","0,33","39,74","65,58","615,33",7,136
C,S1086,TRIGO GUISADO CON POLLO CON ARROZ,"118,30","7,92","3,26","13,32","0,69","0,75","0,00","1,95","5,70","820,46",1,137
C,S1102,CEBICHE DE PESCADO,"165,62","5,60","3,27","29,38","0,32","1,53","293,51","71,20","50,42","291,00",1,138
C,S1111,FREJOLES CON SECO ENSALADA CON ARROZ,"121,03","4,43","3,22","16,21","0,54","0,86","60,79","12,99","11,89","1974,46",1,139
C,S1119,LOCRO DE ZAPALLO CON FILETE DE POLLO CON ARROZ,"144,49","6,13","4,19","19,91","0,66","0,75","0,00","31,07","19,08","367,49",1,140
C,S1125,MILANESA CON ENSALADA CON ARROZ,"159,70","5,82","6,25","19,00","0,66","0,60","0,00","3,83","6,71","101,00",1,141
C,S1134,PIZZA AMERICANA PERSONAL,"202,57","7,72","7,29","26,33","0,48","1,94","10,52","21,05","38,30","1262,45",1,142
C,S1137,POLLO AL AJI CON MENESTRA CON ARROZ,"136,91","5,21","0,90","24,82","0,81","0,92","0,00","9,40","1,23","247,05",1,143
C,S1144,POLLO DORADO CON PAPAS FRITAS CON ARROZ,"180,01","7,93","5,48","23,56","0,80","0,90","0,00","0,83","4,10","306,78",1,144
C,S1145,PURE CON ASADO CON ARROZ,"115,46","7,04","3,60","13,34","1,36","1,13","366,35","69,70","64,15","234,47",1,145
C,S1150,SECO DE POLLO CON SARSA CRIOLLA CON ARROZ,"132,23","7,55","1,61","21,24","0,84","0,86","67,83","11,59","15,91","205,91",1,146
C,S1152,SPAGUETTI  CON CREMA,"175,78","13,92","4,25","19,91","2,38","3,71","0,00","30,77","46,56","721,65",1,147
C,S1160,TRIGO CON ADOBO DE POLLO Y ARROZ,"138,11","5,51","4,50","17,84","0,56","0,80","0,00","36,05","15,22","232,99",1,148
C,S1166,ENSALADA RUSA CON POLLO A LA BRASA CON ARROZ,"146,23","8,75","3,45","18,24","0,86","0,83","579,43","98,35","103,52","192,39",1,149
C,S1361,ASADO DE CERDO CON ALVERJITA VERDE CON ARROZ,"129,23","9,37","1,85","18,32","0,88","2,70","0,00","63,75","76,88","106,76",1,150
C,S1368,CAUSA CON POLLO AL HORNO CON ARROZ,"130,48","3,31","2,28","22,94","0,50","0,63","100,32","32,72","31,41","67,49",1,151
C,S1387,ESTOFADO DE PAVITA CON ARROZ CON ENSALADA,"135,70","5,46","3,12","20,47","0,75","1,09","0,00","9,98","8,91","54,18",1,152
C,S1395,HIGADO FRITO CON ARROZ,"173,69","5,42","5,10","24,01","1,04","1,16","0,00","1132,90","697,11","148,69",2,153
C,S1402,POLLO AL HORNO CON PURE CON ARROZ,"156,25","7,06","3,10","24,17","0,77","0,81","0,00","28,20","14,98","218,98",2,154
C,S1404,PASTA AL PESTO,"114,90","5,78","1,77","18,35","1,01","1,94","224,27","44,62","43,22","362,05",1,155
C,S1410,POLLO AL SILLAO CON ENSALADA CON ARROZ,"119,68","5,30","1,36","20,44","0,61","1,27","70,42","12,33","14,85","178,84",1,156
C,S1433,PURE CON ASADO CON ARROZ INTEGRAL,"155,56","4,91","3,26","21,91","0,44","0,71","0,00","11,66","9,40","286,92",1,157
C,S1445,GUISO DE QUINUA CON PESCADO CON ARROZ,"179,40","4,77","8,21","21,44","0,67","0,94","0,00","0,47","2,01","376,85",1,158
C,S1809,CHICHARRON DE PESCADO CON YUCA FRITA CON ARROZ,"210,22","7,62","5,32","31,70","0,63","0,74","0,00","1,07","0,83","88,23",1,159
C,S1813,CHICHARRON DE PESCADO CON CON YUCAS DORADAS,"194,88","9,88","6,86","20,19","0,42","2,37","0,00","39,27","20,91","560,68",1,160
C,S1901,COMBINADO DE TALLARIN ROJO CON FREJOLES Y ARROZ,"192,60","10,36","3,55","29,38","1,16","2,17","515,55","87,08","90,61","177,50",1,161
C,S1907,ARROZ CON FRIJOL Y SECO DE RES,"132,20","6,95","2,32","17,63","1,09","1,60","14,26","6,23","3,56","274,90",10,162
C,S1908,ARROZ CON FRIJOLES Y SECO DE POLLO,"131,51","7,52","1,79","18,43","0,83","1,17","79,08","21,11","18,81","324,25",6,163
C,S1909,GUISO DE HABAS CON CHURRASCO Y ARROZ,"172,96","5,20","1,21","33,92","0,94","0,80","0,00","0,79","1,31","426,14",1,164
C,S1911,LOMITO DE ATUN CON ARROZ,"159,19","4,30","2,20","29,10","0,55","0,56","0,00","6,80","4,41","94,64",1,165
D,S0414,AJI DE POLLO CON ARROZ,"156,55","5,42","2,56","26,76","0,68","0,99","0,00","14,92","9,09","244,71",4,1
D,S0419,ARROZ A LA JARDINERA CON POLLO,"131,64","8,27","1,72","19,68","0,83","1,09","88,93","38,53","21,65","668,54",1,2
D,S0423,ARROZ CHAUFA CON POLLO CHIJAUKAY,"164,22","7,51","4,22","22,74","0,83","0,76","0,00","0,54","7,44","85,23",2,3
D,S0434,ARROZ CHAUFA DE CERDO,"194,24","6,82","4,86","29,36","0,90","0,55","0,00","0,44","2,52","23,49",1,4
D,S0439,ARROZ CHAUFA DE POLLO,"176,12","6,35","2,39","30,76","0,86","0,72","0,22","3,59","8,12","179,44",22,5
D,S0447,ARROZ CON MARISCOS,"155,92","6,06","2,79","25,66","0,70","0,81","29,99","27,04","16,10","161,79",12,6
D,S0455,ARROZ CON POLLO,"139,23","6,84","2,54","20,85","0,75","0,89","230,53","50,64","54,79","215,33",65,7
D,S0466,ARROZ DE CERDO CON SARSA CRIOLLA,"139,87","4,10","2,90","23,41","0,66","0,89","499,84","100,59","88,90","764,83",1,8
D,S0475,ARVEJITA VERDE PARTIDA CON GUISO DE POLLO CON ARROZ,"142,85","7,77","1,16","23,77","0,91","0,92","0,04","4,46","8,86","129,51",1,9
D,S0476,ARVEJITA VERDE PARTIDA CON HIGADO FRITO CON ARROZ,"149,75","4,64","1,10","27,13","0,78","0,85","0,00","17,42","11,44","197,54",1,10
D,S0479,ARVEJITA VERDE PARTIDA CON PESCADO FRITO CON ARROZ,"182,74","8,49","4,79","22,83","1,02","1,02","0,00","5,60","4,52","116,22",1,11
D,S0485,ASADO DE POLLO CON ARROZ,"149,57","8,00","3,54","20,13","0,80","0,82","0,00","11,68","6,97","162,32",1,12
D,S0491,ASADO DE RES CON MENESTRA CON ARROZ,"126,28","6,69","2,33","16,72","1,18","1,36","209,64","54,16","42,65","159,98",3,13
D,S0492,ASADO DE RES CON PURE CON ARROZ,"119,57","4,80","1,61","19,91","0,88","0,89","14,50","8,72","11,80","357,74",2,14
D,S0498,BISTECK DE RES CON ARROZ,"172,48","7,53","7,32","18,33","1,38","1,26","0,00","18,06","21,89","228,84",1,15
D,S0515,CARAPULCRA CON ARROZ,"150,64","6,14","3,97","18,51","0,74","1,58","0,00","28,52","8,94","157,62",1,16
D,S0517,CARAPULCRA DE CERDO CON ARROZ,"175,77","6,05","2,04","32,83","0,67","1,51","0,00","8,05","0,36","125,73",1,17
D,S0523,CAU CAU CON ARROZ,"101,26","2,94","0,43","20,14","0,43","0,42","133,58","29,88","22,47","70,35",1,18
D,S0528,CEBICHE DE POLLO CON ARROZ,"138,34","7,60","2,29","21,11","0,83","0,75","1,24","5,22","4,49","429,55",1,19
D,S0532,CHANFAINITA CON ARROZ,"150,61","4,26","1,79","28,16","0,66","0,96","0,00","4,67","1,14","263,24",1,20
D,S0540,CHICHARRON DE PESCADO,"102,11","5,58","4,27","9,70","0,14","1,80","6,38","7,58","5,87","40,10",1,21
D,S0541,CHICHARRON DE PESCADO CON ARROZ,"215,19","4,81","9,86","25,96","0,49","0,50","77,44","21,85","17,98","382,79",1,22
D,S0543,CHICHARRON DE PESCADO CON FREJOLES CON ARROZ,"163,24","6,74","2,18","26,20","0,69","1,19","0,00","0,35","0,44","68,21",1,23
D,S0552,CHICHARRON DE POLLO CON ENSALADA CON ARROZ,"178,65","6,69","4,72","23,92","0,86","1,33","73,04","15,52","16,26","444,48",2,24
D,S0558,CHICHARRON MIXTO CON SARSA CRIOLLA CON ARROZ,"168,15","6,31","3,79","25,83","0,63","1,13","1,44","7,21","6,01","265,69",1,25
D,S0568,CHULETA DE CERDO CON PAPAS FRITAS CON ARROZ,"177,58","6,71","7,96","18,66","0,76","0,53","0,00","3,15","3,43","262,70",1,26
D,S0586,COMBINADO DE POLLO,"198,67","5,12","0,96","41,31","0,78","1,98","3,82","0,98","2,31","21,99",1,27
D,S0588,CORDERO A LA NORTEÑA CON FREJOLES CON ARROZ,"178,94","8,61","4,27","26,08","0,86","1,37","6,24","3,15","2,90","56,81",1,28
D,S0592,COSTILLAS CON PAPA  CON ARROZ,"166,45","8,27","5,74","19,78","0,37","0,98","0,00","7,79","1,60","104,00",1,29
D,S0593,COSTILLAS NORTEÑO CON FREJOLES CON ARROZ,"151,78","8,04","3,33","20,12","1,40","1,49","5,68","8,79","6,34","631,39",1,30
D,S0601,ENSALADA RUSA CON POLLO BROSTER CON ARROZ,"156,94","8,84","4,93","15,96","0,86","0,89","71,23","16,12","21,47","21,98",1,31
