"Marca temporal","Género","Edad","¿Cuántos cursos llevaste el ciclo 2022-2?","¿Cuál fue tu promedio ponderado del ciclo 2022-2? (Redondeado a las décimas / Punto como separador decimal) (Ejemplo: si tu ponderado fue de 15.88, la respuesta debería ser ""15.9"")
","¿Cuántas horas diarias en promedio de sueño tuviste durante el ciclo 2022-2? (Ejemplo: si dormiste 5 horas en promedio, la respuesta debería ser ""5"")","¿Cómo describirías la calidad de tu sueño durante el ciclo 2022-2?","¿Cómo describirías tu nivel de estrés durante el ciclo 2022-2?","¿Cuántas horas de ocio diarias tenías en promedio durante el ciclo 2022-2?  (Ejemplo: si tenías 3 horas de ocio en promedio, la respuesta debería ser ""3"")","¿Faltabas a clase durante el ciclo 2022-2 ?","¿Cuánto tiempo necesitas para llegar a la universidad?","¿Qué tipo de evaluaciones que has tenido durante el ciclo 2022-2, se te dificultaron más?"
"2023/05/22 5:30:06 p. m. GMT-5","Prefiero no decirlo","20","5","13.5","5","Mala","Alto","3","Medianamente","1h y media","Examenes;Test;Tareas"
"2023/05/22 5:30:25 p. m. GMT-5","Masculino","18","6","16.4","5","Mala","Medio","2","Irregularmente","2 h","Examenes;Trabajos grupales"
"2023/05/22 5:31:01 p. m. GMT-5","Femenino","18","6","15.2","6","Regular","Medio","2","Irregularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/22 5:31:44 p. m. GMT-5","Masculino","19","5","15.8","6","Buena","Bajo","3","Irregularmente","2 h y media","Test;Proyectos;Trabajos grupales"
"2023/05/22 5:32:35 p. m. GMT-5","Masculino","17","7","14.9","3","Mala","Alto","1","Irregularmente","2 h","Examenes;Test;Proyectos"
"2023/05/22 5:33:18 p. m. GMT-5","Prefiero no decirlo","17","7","16.2","7","Regular","Medio","2","Nunca","menos de 30 min","Test;Proyectos;Trabajos grupales"
"2023/05/22 5:33:56 p. m. GMT-5","Prefiero no decirlo","22","4","15.3","5","Regular","Medio","1","Nunca","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/22 5:40:28 p. m. GMT-5","Masculino","18","6","14.6","3","Buena","Bajo","3","Medianamente","2 h y media","Examenes;Tareas;Trabajos grupales"
"2023/05/22 5:42:27 p. m. GMT-5","Femenino","17","7","16.5","8","Excelente","Bajo","2","Nunca","menos de 30 min","Examenes;Test;Trabajos grupales"
"2023/05/22 5:43:22 p. m. GMT-5","Prefiero no decirlo","19","4","13.2","6","Mala","Medio","3","Nunca","2 h","Tareas;Proyectos;Trabajos grupales"
"2023/05/22 5:44:02 p. m. GMT-5","Femenino","19","6","16.4","5","Mala","Alto","2","Irregularmente","1h y media","Test;Proyectos;Trabajos grupales"
"2023/05/22 5:44:37 p. m. GMT-5","Femenino","17","7","14.5","5","Mala","Alto","4","Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"2023/05/22 5:45:39 p. m. GMT-5","Femenino","18","6","17.2","7","Excelente","Alto","4","Nunca","menos de 30 min","Examenes;Tareas;Proyectos"
"2023/05/22 5:48:30 p. m. GMT-5","Masculino","17","6","14","5","Mala","Alto","5","Medianamente","2 h y media","Examenes;Test;Tareas"
"2023/05/22 5:49:08 p. m. GMT-5","Prefiero no decirlo","18","5","13.2","3","Pésima","Alto","6","Medianamente","menos de 30 min","Examenes;Tareas;Trabajos grupales"
"2023/05/22 5:50:17 p. m. GMT-5","Femenino","16","7","14.2","6","Mala","Bajo","5","Regularmente","2 h","Examenes;Tareas;Trabajos grupales"
"2023/05/22 5:50:57 p. m. GMT-5","Masculino","18","5","16.3","8","Buena","Medio","3","Irregularmente","2 h","Examenes;Tareas;Trabajos grupales"
"2023/05/22 5:51:29 p. m. GMT-5","Prefiero no decirlo","16","7","16.2","6","Regular","Alto","4","Irregularmente","1 h","Examenes;Test;Proyectos"
"2023/05/22 5:52:07 p. m. GMT-5","Femenino","23","6","16.3","5","Mala","Alto","6","Irregularmente","2 h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/22 5:52:40 p. m. GMT-5","Masculino","26","5","14.6","8","Regular","Alto","3","Nunca","1 h","Test;Proyectos;Trabajos grupales"
"2023/05/22 6:47:11 p. m. GMT-5","Femenino","19","4","14","6","Regular","Bajo","4","Regularmente","3 h","Examenes;Test;Tareas"
"2023/05/22 6:47:39 p. m. GMT-5","Femenino","18","3","16","7","Excelente","Medio","3","Regularmente","1h y media","Tareas;Proyectos;Trabajos grupales"
"2023/05/22 6:48:12 p. m. GMT-5","Masculino","19","5","17","6","Mala","Alto","2","Regularmente","menos de 30 min","Examenes;Tareas;Proyectos"
"2023/05/22 6:48:39 p. m. GMT-5","Masculino","20","5","15","4","Regular","Medio","3","Medianamente","menos de 30 min","Tareas;Proyectos;Trabajos grupales"
"2023/05/22 6:49:13 p. m. GMT-5","Femenino","21","5","16","8","Buena","Bajo","7","Medianamente","menos de 30 min","Examenes;Tareas;Trabajos grupales"
"2023/05/22 6:49:44 p. m. GMT-5","Femenino","19","2","14","6","Regular","Alto","2","Irregularmente","2 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/22 6:50:16 p. m. GMT-5","Femenino","18","4","16.5","8","Regular","Bajo","3","Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/22 6:50:54 p. m. GMT-5","Masculino","22","6","16","7","Buena","Medio","3","Irregularmente","1h y media","Examenes;Tareas;Proyectos"
"2023/05/22 6:51:25 p. m. GMT-5","Prefiero no decirlo","18","3","13","7","Regular","Medio","4","Irregularmente","1 h","Examenes;Test;Tareas"
"2023/05/22 6:52:08 p. m. GMT-5","Masculino","20","4","14.4","7","Buena","Alto","4","Medianamente","1h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/23 3:00:57 a. m. GMT-5","Masculino","19","7","11.2","3","Pésima","Alto","2","Medianamente","1h y media","Examenes;Tareas;Trabajos grupales"
"2023/05/23 3:01:42 a. m. GMT-5","Femenino","17","6","13.6","6","Buena","Medio","2","Irregularmente","2 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/23 3:04:37 a. m. GMT-5","Masculino","18","5","12.3","5","Regular","Medio","4","Irregularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/23 3:05:16 a. m. GMT-5","Femenino","17","8","15.9","4","Buena","Alto","1","Nunca","3 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/23 3:07:09 a. m. GMT-5","Masculino","20","7","14","3","Pésima","Medio","3","Irregularmente","1h y media","Examenes;Tareas"
"2023/05/24 12:18:25 a. m. GMT-5","Masculino","17","6","13.4","5","Regular","Alto","3","Nunca","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 12:19:35 a. m. GMT-5","Femenino","18","5","15.3","4","Regular","Medio","2","Medianamente","1h y media","Examenes;Tareas;Proyectos"
"2023/05/24 12:23:09 a. m. GMT-5","Masculino","17","5","12.3","5","Regular","Medio","2","Nunca","1h y media","Proyectos;Trabajos grupales"
"2023/05/24 9:18:14 p. m. GMT-5","Masculino","19","4","15.3","7","Regular","Alto","4","Regularmente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:19:28 p. m. GMT-5","Masculino","20","5","16.8","8","Buena","Medio","3","Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:20:50 p. m. GMT-5","Masculino","20","7","16.5","4","Buena","Medio","4","Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:21:43 p. m. GMT-5","Masculino","19","6","16.4","6","Buena","Medio","2","Regularmente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:22:40 p. m. GMT-5","Prefiero no decirlo","21","5","16","4","Buena","Bajo","5","Medianamente","menos de 30 min","Examenes;Test;Proyectos"
"2023/05/24 9:24:16 p. m. GMT-5","Femenino","22","5","14","3","Buena","Medio","4","Irregularmente","1 h","Examenes;Tareas;Proyectos"
"2023/05/24 9:27:42 p. m. GMT-5","Masculino","18","6","8.7","4","Regular","Alto","6","Medianamente","1 h","Examenes;Tareas"
"2023/05/24 9:28:53 p. m. GMT-5","Masculino","22","6","16","7","Regular","Alto","4","Irregularmente","2 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:33:07 p. m. GMT-5","Masculino","18","7","13.5","7","Buena","Bajo","3","Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"2023/05/24 9:34:03 p. m. GMT-5","Masculino","25","5","16","6","Buena","Alto","3","Medianamente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:34:44 p. m. GMT-5","Femenino","20","5","13.2","3","Mala","Medio","2","Irregularmente","1h y media","Examenes;Trabajos grupales"
"2023/05/24 9:36:21 p. m. GMT-5","Masculino","24","6","15.4","6","Regular","Bajo","4","Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:40:06 p. m. GMT-5","Masculino","19","6","11.7","4","Buena","Medio","1","Nunca","2 h","Tareas;Trabajos grupales"
"2023/05/24 9:40:46 p. m. GMT-5","Femenino","17","7","16","8","Regular","Medio","5","Medianamente","1h y media","Examenes;Tareas;Trabajos grupales"
"2023/05/24 9:41:21 p. m. GMT-5","Femenino","21","6","12.4","6","Mala","Alto","4","Medianamente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:42:23 p. m. GMT-5","Masculino","20","5","10.5","2","Mala","Alto","3","Nunca","1h y media","Tareas;Trabajos grupales"
"2023/05/24 9:44:57 p. m. GMT-5","Femenino","24","6","16.3","7","Buena","Bajo","4","Irregularmente","1 h","Examenes;Tareas;Proyectos"
"2023/05/24 9:46:13 p. m. GMT-5","Femenino","19","6","17","7","Excelente","Bajo","4","Medianamente","1h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:50:41 p. m. GMT-5","Masculino","20","6","12.4","4","Regular","Bajo","3","Medianamente","2 h y media","Tareas;Proyectos;Trabajos grupales"
"2023/05/24 9:51:15 p. m. GMT-5","Masculino","19","6","15.2","4","Regular","Medio","3","Irregularmente","2 h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 9:57:39 p. m. GMT-5","Masculino","19","5","9.6","5","Regular","Medio","3","Medianamente","1h y media","Examenes;Tareas;Proyectos"
"2023/05/24 10:41:04 p. m. GMT-5","Masculino","18","5","11.4","3","Regular","Medio","6","Irregularmente","1h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/24 11:12:06 p. m. GMT-5","Femenino","19","6","8.6","3","Mala","Medio","3","Irregularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/25 7:00:20 p. m. GMT-5","Femenino","18","6","12.3","7","Regular","Alto","4","Medianamente","1h y media","Tareas;Proyectos"
"2023/05/25 7:14:30 p. m. GMT-5","Femenino","21","7","14.3","8","Regular","Medio","4","Medianamente","2 h","Examenes;Test"
"2023/05/25 7:16:06 p. m. GMT-5","Femenino","20","7","11.8","7","Buena","Medio","4","Medianamente","1h y media","Tareas"
"2023/05/25 7:16:51 p. m. GMT-5","Femenino","18","5","12.8","12","Regular","Medio","9","Medianamente","2 h","Examenes;Test"
"2023/05/25 7:17:45 p. m. GMT-5","Masculino","18","7","14.7","8","Mala","Medio","5","Medianamente","1 h","Examenes;Test;Tareas"
"2023/05/25 7:54:58 p. m. GMT-5","Masculino","19","7","10.7","8","Mala","Alto","4","Irregularmente","1 h","Examenes;Test;Tareas"
"2023/05/25 7:59:03 p. m. GMT-5","Masculino","18","6","12.4","6","Mala","Medio","2","Irregularmente","1 h","Test"
"2023/05/25 8:29:53 p. m. GMT-5","Femenino","20","4","13.8","8","Mala","Medio","4","Irregularmente","2 h","Examenes;Test;Tareas"
"2023/05/25 8:30:38 p. m. GMT-5","Prefiero no decirlo","19","5","12.7","7","Regular","Medio","4","Medianamente","1 h","Examenes;Test"
"2023/05/25 8:36:51 p. m. GMT-5","Masculino","20","7","15","6","Pésima","Medio","4","Irregularmente","1h y media","Examenes;Test"
"2023/05/25 8:43:19 p. m. GMT-5","Femenino","18","7","12.8","7","Regular","Medio","4","Medianamente","1h y media","Examenes;Test;Tareas"
"2023/05/25 8:47:37 p. m. GMT-5","Prefiero no decirlo","20","5","12.6","7","Pésima","Medio","5","Irregularmente","2 h","Examenes;Test;Proyectos"
"2023/05/25 8:57:40 p. m. GMT-5","Masculino","18","6","14.8","5","Mala","Alto","5","Irregularmente","1h y media","Examenes;Test"
"2023/05/25 8:58:48 p. m. GMT-5","Prefiero no decirlo","19","7","12.9","8","Regular","Alto","7","Medianamente","2 h","Examenes;Test;Tareas"
"2023/05/25 9:05:48 p. m. GMT-5","Femenino","19","6","12.4","6","Regular","Medio","9","Irregularmente","1h y media","Examenes"
"2023/05/25 9:09:20 p. m. GMT-5","Masculino","21","6","11.7","8","Regular","Medio","6","Irregularmente","1 h","Examenes;Test"
"2023/05/25 9:13:50 p. m. GMT-5","Femenino","20","7","12.8","7","Regular","Medio","6","Irregularmente","1h y media","Examenes;Test"
"2023/05/25 9:14:21 p. m. GMT-5","Femenino","19","7","12.2","8","Regular","Medio","5","Medianamente","1h y media","Examenes;Test"
"2023/05/25 9:14:59 p. m. GMT-5","Femenino","21","7","12.8","7","Buena","Medio","9","Medianamente","menos de 30 min","Examenes;Proyectos"
"2023/05/25 9:15:33 p. m. GMT-5","Masculino","18","7","15.2","7","Regular","Medio","4","Irregularmente","1h y media","Examenes;Proyectos"
"2023/05/25 11:01:24 p. m. GMT-5","Femenino","21","6","13.7","6","Regular","Medio","3","Medianamente","1h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/25 11:02:19 p. m. GMT-5","Prefiero no decirlo","22","5","14.4","7","Buena","Alto","2","Irregularmente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/25 11:03:16 p. m. GMT-5","Masculino","19","4","16.3","7","Excelente","Bajo","2","Nunca","2 h","Test;Tareas;Trabajos grupales"
"2023/05/25 11:06:16 p. m. GMT-5","Femenino","21","5","14.2","5","Buena","Bajo","4","Irregularmente","menos de 30 min","Tareas;Proyectos"
"2023/05/25 11:07:05 p. m. GMT-5","Prefiero no decirlo","17","4","16.3","8","Buena","Bajo","2","Nunca","2 h y media","Test;Trabajos grupales"
"2023/05/25 11:21:39 p. m. GMT-5","Masculino","19","7","13.5","6","Pésima","Alto","1","Nunca","2 h","Examenes;Tareas;Trabajos grupales"
"2023/05/25 11:22:56 p. m. GMT-5","Prefiero no decirlo","18","5","12.5","8","Regular","Medio","3","Irregularmente","1h y media","Proyectos;Trabajos grupales"
"2023/05/26 8:34:53 a. m. GMT-5","Masculino","19","6","17.2","7","Buena","Alto","6","Medianamente","1 h","Examenes;Test;Proyectos"
"2023/05/26 11:00:42 a. m. GMT-5","Masculino","18","7","12.3","5","Regular","Bajo","2","Nunca","3 h","Examenes;Test;Proyectos"
"2023/05/26 11:01:20 a. m. GMT-5","Femenino","18","4","17","9","Mala","Alto","2","Irregularmente","menos de 30 min","Examenes;Tareas"
"2023/05/26 11:01:58 a. m. GMT-5","Femenino","20","5","13.4","5","Buena","Bajo","4","Medianamente","menos de 30 min","Tareas;Proyectos"
"2023/05/26 11:04:34 a. m. GMT-5","Femenino","23","4","17.5","9","Excelente","Medio","4","Nunca","menos de 30 min","Test;Proyectos;Trabajos grupales"
"2023/05/26 11:05:45 a. m. GMT-5","Prefiero no decirlo","19","5","17.8","9","Excelente","Bajo","3","Nunca","1 h","Examenes;Test;Trabajos grupales"
"2023/05/26 11:28:26 a. m. GMT-5","Prefiero no decirlo","21","6","13.2","5","Mala","Medio","2","Medianamente","3 h","Test;Proyectos;Trabajos grupales"
"2023/05/26 11:34:58 a. m. GMT-5","Femenino","19","8","11.6","5","Buena","Alto","1","Irregularmente","2 h","Test;Proyectos;Trabajos grupales"
"2023/05/26 11:36:03 a. m. GMT-5","Masculino","22","4","16.1","9","Excelente","Medio","2","Irregularmente","menos de 30 min","Examenes;Tareas"
"2023/05/26 11:38:40 a. m. GMT-5","Femenino","19","5","12.6","8","Regular","Medio","4","Irregularmente","2 h","Examenes;Tareas"
"2023/05/26 11:38:44 a. m. GMT-5","Masculino","16","6","14.3","7","Pésima","Medio","2","Medianamente","2 h y media","Examenes;Test"
"2023/05/26 11:39:17 a. m. GMT-5","Femenino","18","7","11.5","5","Pésima","Alto","2","Irregularmente","1h y media","Examenes;Test"
"2023/05/26 11:39:57 a. m. GMT-5","Femenino","19","7","11.9","6","Mala","Alto","5","Medianamente","1h y media","Examenes"
"2023/05/26 11:40:45 a. m. GMT-5","Prefiero no decirlo","19","7","13.7","8","Mala","Medio","4","Medianamente","1h y media","Examenes;Tareas"
"2023/05/26 11:41:23 a. m. GMT-5","Masculino","20","6","12.2","8","Mala","Alto","4","Irregularmente","1h y media","Examenes;Test"
"2023/05/26 11:42:00 a. m. GMT-5","Femenino","21","6","14.5","7","Mala","Alto","2","Medianamente","1h y media","Examenes;Test"
"2023/05/26 11:42:42 a. m. GMT-5","Femenino","22","7","13.1","6","Mala","Medio","2","Medianamente","1h y media","Examenes"
"2023/05/26 11:43:23 a. m. GMT-5","Masculino","21","5","11.7","6","Mala","Alto","4","Regularmente","1h y media","Examenes;Test"
"2023/05/26 11:43:47 a. m. GMT-5","Femenino","23","5","11.2","4","Pésima","Alto","1","Medianamente","3 h","Examenes;Tareas"
"2023/05/26 11:44:39 a. m. GMT-5","Femenino","18","7","14.1","7","Pésima","Alto","2","Medianamente","2 h","Examenes;Test"
"2023/05/26 11:46:58 a. m. GMT-5","Masculino","19","6","16.8","9","Buena","Medio","2","Nunca","1h y media","Examenes"
"2023/05/26 11:47:13 a. m. GMT-5","Femenino","21","6","13.6","7","Mala","Alto","3","Medianamente","1h y media","Examenes;Test"
"2023/05/26 11:48:57 a. m. GMT-5","Prefiero no decirlo","23","4","15.8","8","Buena","Bajo","4","Nunca","menos de 30 min","Test;Proyectos;Trabajos grupales"
"2023/05/26 11:49:30 a. m. GMT-5","Masculino","19","4","13.4","6","Pésima","Alto","3","Medianamente","1h y media","Examenes;Test;Trabajos grupales"
"2023/05/26 11:53:54 a. m. GMT-5","Prefiero no decirlo","18","6","14.5","8","Regular","Alto","4","Irregularmente","menos de 30 min","Examenes;Tareas;Trabajos grupales"
"2023/05/26 11:55:46 a. m. GMT-5","Femenino","20","7","12.7","7","Mala","Alto","3","Medianamente","1h y media","Examenes;Tareas"
"2023/05/26 11:56:24 a. m. GMT-5","Femenino","19","7","12.8","7","Regular","Medio","3","Medianamente","1h y media","Examenes;Test"
"2023/05/26 11:58:12 a. m. GMT-5","Prefiero no decirlo","19","6","14.1","6","Mala","Bajo","4","Medianamente","1h y media","Examenes;Test"
"2023/05/26 11:59:23 a. m. GMT-5","Femenino","20","6","13.2","5","Mala","Medio","2","Medianamente","1h y media","Examenes;Test"
"2023/05/26 11:59:58 a. m. GMT-5","Masculino","19","6","14.2","8","Mala","Medio","3","Medianamente","1 h","Examenes"
"2023/05/26 12:00:33 p. m. GMT-5","Femenino","21","7","12.5","8","Mala","Medio","3","Medianamente","1 h","Examenes;Test;Tareas"
"2023/05/26 12:01:23 p. m. GMT-5","Femenino","19","6","13.2","7","Mala","Alto","3","Medianamente","1 h","Examenes;Test"
"2023/05/26 12:01:58 p. m. GMT-5","Femenino","21","7","11.8","6","Mala","Alto","2","Medianamente","1 h","Examenes;Test"
"2023/05/26 12:03:08 p. m. GMT-5","Femenino","20","7","11.9","7","Mala","Alto","4","Irregularmente","1 h","Examenes;Test"
"2023/05/26 12:03:57 p. m. GMT-5","Femenino","19","6","12.3","8","Mala","Alto","3","Medianamente","1h y media","Examenes;Test"
"2023/05/26 12:04:37 p. m. GMT-5","Femenino","18","7","13.1","7","Mala","Medio","2","Medianamente","1 h","Examenes;Test;Tareas"
"2023/05/26 12:05:37 p. m. GMT-5","Masculino","21","7","13.7","6","Mala","Alto","3","Irregularmente","1h y media","Examenes;Test"
"2023/05/26 12:07:01 p. m. GMT-5","Femenino","19","7","14.2","8","Mala","Alto","8","Irregularmente","1 h","Examenes;Test"
"2023/05/26 12:07:27 p. m. GMT-5","Femenino","20","6","15.2","6","Mala","Alto","1","Irregularmente","1 h","Examenes;Test"
"2023/05/26 12:08:42 p. m. GMT-5","Femenino","20","7","14.2","8","Buena","Alto","2","Medianamente","1h y media","Examenes;Tareas;Proyectos"
"2023/05/26 12:09:23 p. m. GMT-5","Femenino","20","6","13.1","7","Mala","Medio","2","Medianamente","2 h","Examenes;Test"
"2023/05/26 12:10:10 p. m. GMT-5","Femenino","18","5","12.2","7","Pésima","Alto","3","Medianamente","1h y media","Examenes;Proyectos"
"2023/05/26 12:10:49 p. m. GMT-5","Masculino","19","7","12.4","7","Mala","Medio","2","Medianamente","1 h","Examenes;Tareas"
"2023/05/26 12:10:55 p. m. GMT-5","Masculino","18","6","15","15.3","Buena","Bajo","3","Nunca","menos de 30 min","Trabajos grupales"
"2023/05/26 12:11:29 p. m. GMT-5","Femenino","19","7","12.5","8","Mala","Alto","3","Medianamente","2 h","Examenes;Tareas"
"2023/05/26 12:11:42 p. m. GMT-5","Prefiero no decirlo","19","6","12.6","5","Regular","Medio","4","Irregularmente","2 h","Examenes;Test;Proyectos"
"2023/05/26 12:12:06 p. m. GMT-5","Femenino","20","6","13.2","8","Mala","Alto","3","Medianamente","1h y media","Examenes;Tareas;Proyectos"
"2023/05/26 12:12:21 p. m. GMT-5","Masculino","17","5","13.6","4","Buena","Medio","1","Irregularmente","3 h","Test;Proyectos"
"2023/05/28 12:47:52 p. m. GMT-5","Masculino","19","5","16.7","8","Buena","Medio","2","Irregularmente","1h y media","Test;Trabajos grupales"
"2023/05/28 12:48:59 p. m. GMT-5","Masculino","22","5","14.8","6","Regular","Medio","1","Irregularmente","1 h","Examenes;Proyectos"
"2023/05/28 12:54:11 p. m. GMT-5","Masculino","21","6","12.4","6","Buena","Alto","0","Nunca","1 h","Examenes;Proyectos"
"2023/05/28 12:54:49 p. m. GMT-5","Femenino","17","6","16","9","Excelente","Bajo","1","Nunca","1 h","Test;Proyectos"
"2023/05/28 12:57:30 p. m. GMT-5","Femenino","19","5","15.6","7","Regular","Bajo","7","Irregularmente","1h y media","Examenes;Proyectos"
"2023/05/28 1:00:31 p. m. GMT-5","Masculino","20","5","16.3","8","Excelente","Bajo","2","Nunca","menos de 30 min","Examenes;Trabajos grupales"
