Marca temporal,Selecciona tu sexo,Edad en años (Ejemplo: 19),¿En qué ciclo de te encuentras?,Indicar cual es el recurso tecnológico que más te ayuda académicamente,Cuantos dispositivos tecnológicos electrónicos dispones para fines de estudio ?,¿En qué ciclo lo adquiriste?,"De esas horas de estudio, ¿cuántas se ven acompañadas de recursos tecnológicos aproximadamente?","En una escala del 1 al 10, ¿Cuánto consideras que incluir recursos tecnológicos es beneficioso para el rendimiento académico?",¿Cuál consideras el grupo de cursos donde mejor aprovechaste los recursos tecnológicos?,De acuerdo con ese grupo ¿cuál consideras el curso donde se puede aprovecha mejor el uso de recursos  tecnológicos? (Todo en mayúscula y el nombre completo),¿Cuántas horas aproximadas dispones de uso de internet diariamente?(libre),Empleas activamente algún recurso de H,¿Aproximadamente cuantas horas le dedicas semanalmente al estudio?,¿Cuál es tu promedio ponderado previo a ese ciclo que?,¿Cuál era tu promedio ponderado posterior al empleo de dicho recurso tecnológico?,¿Empleas activamente aplicaciones de software para el estudio de tus cursos?,Que carrera estudias?,¿Qué tipo de aplicaciones más empleas?,¿Cuántos días estudias por semana?
05/05/2023 14:10:44,Femenino,21,4,No uso activamente recursos tecnologicos con fines académicos,0,2,5,5,"Proyectos Interdisciplinarios, tesis y Real life experiences",Proyectos interdisciplinarios,10,No,42,17.25,11.65,Sí,Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
05/05/2023 14:10:53,Masculino,16,1,Laptop,3,1,8,10,"Proyectos Interdisciplinarios, tesis y Real life experiences",PROYECTOS INTERDISCIPLINARIOS,24,Sí,34,10.56,10.96,Sí,Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
05/05/2023 14:10:58,Masculino,20,9,Laptop,3,6,2,10,Cursos de carrera,RLE - DISEÑO DE SISTEMAS MECATRONICOS,24,Sí,33,10.38,10.78,Sí,Ingeniería Mecatrónica,"Aplicaciones de organización (Google calendar, calendario, etc.)",5
05/05/2023 14:11:09,Femenino,20,9,Laptop,13,6,7,10,Cursos de carrera,INTRODUCCION A SISTEMAS EMBEBIDOS,14,Sí,34,11.36,12.06,Sí,Ingeniería Electrónica,"Aplicaciones de texto y notas(word, outlook, etc.)",3
05/05/2023 14:14:45,Femenino,18,4,Laptop,2,1,6,8,"Humanidades, arte y ciencias sociales",COMUNICACIÓN,24,Sí,36,14.52,18.1,Sí,Ingenieria Química,"Aplicaciones de organización (Google calendar, calendario, etc.)",6
05/05/2023 14:15:20,Masculino,18,3,No uso activamente recursos tecnologicos con fines académicos,0,2,,5,"Humanidades, arte y ciencias sociales",LABORATORIO DE COMUNICACIÓN 2,24,No,41,18.65,19.35,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",8
05/05/2023 14:16:01,Femenino,20,7,Laptop,4,1,14,10,Cursos de carrera,CURSOS DE CARRERA,24,Sí,34,15.84,18.54,Sí,Ingeniería Electrónica,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",7
05/05/2023 14:21:32,Masculino,23,4,Laptop,2,1,4,10,Ciencias Generales,Programacion,24,Sí,33,10.65,11.35,Sí,Ingeniería Mecatrónica,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",6
05/05/2023 14:21:48,Femenino,20,7,Laptop,3,1,10,10,Cursos de carrera,ANALISIS DE SEÑALES Y SISTEMAS,24,Sí,34,11.78,12.48,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 14:24:24,Femenino,19,4,No uso activamente recursos tecnologicos con fines académicos,0,1,5,10,Ciencias Generales,FUNDAMENTOS DE ELECTRICIDAD Y MAGNETISMO,24,No,40,17.54,11.58,"Sí, pero no activamente",Ingeniería Mecatrónica,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 14:26:03,Masculino,19,3,Laptop,3,2,1,5,Ciencias Generales,Intro mecánica,8,Sí,34,12.56,13.26,Sí,Ingeniería Civil,"Aplicaciones de organización (Google calendar, calendario, etc.)",7
05/05/2023 14:30:07,Masculino,20,1,Laptop,2,1,3,9,Proyectos Interdisciplinarios,PROYECTOS INTERDISCIPLINARIOS,7,Sí,36,13.78,14.48,Sí,Ciencia de datos,"Lenguajes de programación (Python, C++, etc.)",6
05/05/2023 14:30:08,Femenino,16,1,Laptop,3,1,4,9,"Humanidades, arte y ciencias sociales",LABORATORIO DE COMUNICACIÓN,7,Sí,35,14.21,14.91,Sí,Ciencia de datos,"Lenguajes de programación (Python, C++, etc.)",5
05/05/2023 14:31:09,Femenino,19,5,Laptop,3,1,8,7,Ciencias Generales,PROGRAMACIÓN 1,12,Sí,35,15.75,17.15,Sí,Ingenieria Química,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",6
05/05/2023 14:32:39,Femenino,17,1,No uso activamente recursos tecnologicos con fines académicos,0,2,6,7,Ciencias Generales,Cálculo,15,No,42,17.74,12.71,"Sí, pero no activamente",Ciencia de datos,"Lenguajes de programación (Python, C++, etc.)",6
05/05/2023 14:38:15,Masculino,21,4,No uso activamente recursos tecnologicos con fines académicos,0,2,7,7,Cursos de carrera,Macromoléculas,14,No,42,16.35,16.23,"Sí, pero no activamente",Bioingeniería,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",4
05/05/2023 14:40:11,Masculino,17,1,Laptop,2,1,6,10,"Proyectos Interdisciplinarios, tesis y Real life experiences",PROYECTO INTERDISCIPLINARIO,24,Sí,35,14.39,14.79,Sí,Ciencia de datos,"Lenguajes de programación (Python, C++, etc.)",3
05/05/2023 14:40:14,Femenino,20,1,Laptop,2,1,10,10,Ciencias Generales,PROGRAMACIÓN,24,Sí,36,12.34,12.74,Sí,Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",7
05/05/2023 14:53:19,Masculino,20,2,Laptop,2,1,8,8,Cursos de carrera,CURSOS DE CARRERA,1,Sí,35,14.37,16.77,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",7
05/05/2023 14:53:39,Masculino,17,1,Laptop,2,1,2,9,"Cursos de carrera, Proyectos Interdisciplinarios, tesis y Real life experiences",Proyectos Interdisciplinarios,5,Sí,35,12.39,12.79,Sí,Administración y Negocios Digitales,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",3
05/05/2023 14:53:44,Masculino,18,2,Celular,2,1,2,10,Ciencias Generales,INTRODUCCIÓN A LA MECÁNICA,3,Sí,36,11.25,11.65,No,Ingeniería Mecatrónica,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",1
05/05/2023 14:53:51,Masculino,17,1,Laptop,3,1,10,10,Otros,Programación y Tendencias en Tecnología,24,Sí,34,10.56,10.96,Sí,Administración y Negocios Digitales,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",6
05/05/2023 14:53:55,Femenino,20,3,Laptop,3,2,6,9,Ciencias Generales,CALCULO,8,Sí,36,13.38,10.78,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 14:54:14,Masculino,17,1,Laptop,3,1,4,10,Ciencias Generales,PROGRAMACIÓN,10,Sí,34,11.36,11.76,Sí,Administración y Negocios Digitales,"Aplicaciones de organización (Google calendar, calendario, etc.)",6
05/05/2023 14:57:23,Masculino,23,7,Laptop,1,2,4,7,"Proyectos Interdisciplinarios, tesis y Real life experiences",PROYECTO DE ECE,18,Sí,33,12.86,14.5,Sí,Ingeniería Electrónica,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 14:57:28,Femenino,19,4,Laptop,2,1,5,9,Cursos de carrera,CURSOS DE CARRERA,24,Sí,33,13.16,14.58,"Sí, pero no activamente",Ingeniería Ambiental,"Aplicaciones de texto y notas(word, outlook, etc.)",4
05/05/2023 14:59:44,Masculino,18,2,Laptop,2,1,2,10,Cursos de carrera,Control de procesos,24,Sí,34,13.84,15.24,Sí,Ingeniería Mecatrónica,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 14:59:49,Femenino,19,2,Laptop,12,1,7,7,Ciencias Generales,Ciencias generales,40,Sí,34,10.65,10.95,Sí,Ingeniería Ambiental,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",7
05/05/2023 14:59:54,Masculino,18,2,Computadora,2,2,3,10,Ciencias Generales,CALCULO,14,Sí,33,11.78,12.08,Sí,Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",7
05/05/2023 15:00:12,Masculino,18,1,Computadora,2,1,7,10,"Proyectos Interdisciplinarios, tesis y Real life experiences",PROYECTOS INTERDISCIPLINARIOS,24,Sí,33,11.54,11.84,Sí,Administración y Negocios Digitales,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",3
05/05/2023 15:00:12,Masculino,17,1,No uso activamente recursos tecnologicos con fines académicos,0,2,5,10,Otros,Mate,9,No,42,17.56,12.52,"Sí, pero no activamente",Administración y Negocios Digitales,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",5
05/05/2023 15:02:38,Femenino,19,2,Laptop,3,1,4,5,Ciencias Generales,Programación,24,Sí,34,13.78,14.08,Sí,Ingeniería Ambiental,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",5
05/05/2023 15:07:03,Masculino,20,2,Laptop,3,1,7,10,Ciencias Generales,PROGRAMACIÓN,20,Sí,34,14.21,14.51,Sí,Ingeniería Ambiental,"Aplicaciones de organización (Google calendar, calendario, etc.)",7
05/05/2023 15:08:07,Masculino,18,3,Laptop,3,1,10,10,Ciencias Generales,INTRODUCCIÓN A LA MECÁNICA,10,Sí,36,16.75,17.05,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 15:08:56,Femenino,19,4,Laptop,2,1,5,8,Ciencias Generales,PROGRAMACIÓN,6,Sí,34,12.74,13.84,Sí,Ingeniería Ambiental,"Aplicaciones de texto y notas(word, outlook, etc.)",4
05/05/2023 15:11:48,Masculino,0,10,Tablet,2,2,,6,Ciencias Generales,Programación,24,Sí,33,14.35,15.48,No,Ingeniría de la Energía,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 15:11:56,Femenino,18,3,Tablet,3,2,7,7,"Humanidades, arte y ciencias sociales",EMPRESA,84,Sí,34,14.39,15.28,No,Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
05/05/2023 15:12:02,Femenino,18,3,Tablet,3,1,10,10,Otros,Todos,14,Sí,35,12.34,13.45,Sí,Ingeniería Industrial,"Aplicaciones de organización (Google calendar, calendario, etc.)",7
05/05/2023 15:12:31,Femenino,16,1,Laptop,4,1,3,10,Cursos de carrera,"Tendencias en tecnología, estrategias de planeamiento y aprendizaje, etc",21,Sí,35,16.37,17.29,Sí,Administración y Negocios Digitales,"Aplicaciones de organización (Google calendar, calendario, etc.)",5
05/05/2023 15:13:07,Masculino,17,3,Tablet,3,1,5,9,Ciencias Generales,PROGRAMACIÓN III,6,Sí,34,12.39,14.57,Sí,Ciencia de datos,"Lenguajes de programación (Python, C++, etc.)",7
05/05/2023 15:13:27,Masculino,18,4,Tablet,3,2,,8,Ciencias Generales,CÁLCULO DE UNA VARIABLE,24,Sí,36,11.25,12.28,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 15:16:43,Femenino,19,5,Computadora,2,1,6,8,Ciencias Generales,FEM,3,Sí,36,10.56,12.54,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 15:18:25,Femenino,22,5,Tablet,3,4,7,10,Ciencias Generales,Fundamentos electricidad y magnetismo,7,Sí,34,10.38,11.47,Sí,Bioingeniería,"Aplicaciones de organización (Google calendar, calendario, etc.)",7
05/05/2023 15:28:16,Masculino,19,2,Computadora,2,1,15,5,Ciencias Generales,PROGRAMACIÓN,2,Sí,27,11.36,13.84,"Sí, pero no activamente",Ingeniería Industrial,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",7
05/05/2023 15:31:25,Masculino,18,3,Laptop,3,2,1,7,Ciencias Generales,CIENCIAS GENERALES,24,Sí,35,17.54,17.46,Sí,Ingeniería Industrial,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",7
05/05/2023 15:36:18,Masculino,23,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,3,Cursos de carrera,Algoritmos y Estructura de Datos,8,No,40,18.65,18.24,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",5
05/05/2023 15:45:19,Femenino,20,7,Celular,11,1,4,8,Ciencias Generales,ESTADÍSTICA,6,Sí,34,15.14,17.24,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 15:51:41,Femenino,22,10,Tablet,2,1,10,10,Ciencias Generales,ANÁLISIS DE CIRCUITOS ANALÓGICOS Y DIGITALES,20,Sí,35,10.65,12.38,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",4
05/05/2023 15:53:51,Masculino,22,9,Tablet,3,1,10,10,"Humanidades, arte y ciencias sociales, Cursos de carrera, Ciencias Generales, Proyectos Interdisciplinarios, tesis y Real life experiences",TESIS,80,Sí,31,11.78,12.59,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 16:00:40,Femenino,20,7,Tablet,1,2,,7,Cursos de carrera,Mecánica de fluidos,24,Sí,36,11.54,13.47,Sí,Ingeniería Ambiental,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
05/05/2023 16:04:43,Masculino,19,6,No uso activamente recursos tecnologicos con fines académicos,0,2,,5,Ciencias Generales,ESTADISTICA,24,No,42,17.56,14.56,"Sí, pero no activamente",Ingeniería Ambiental,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
05/05/2023 16:06:13,Masculino,19,5,Tablet,2,1,10,10,"Proyectos Interdisciplinarios, tesis y Real life experiences",PI3,24,Sí,33,13.78,14.98,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 23:52:52,Femenino,20,4,Tablet,3,2,7,9,Ciencias Generales,TERMODINÁMICA,24,Sí,36,14.21,13.84,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 23:57:09,Masculino,21,4,Tablet,2,2,,8,Cursos de carrera,DINÁMICA Y VIBRACIONES,24,Sí,34,15.94,14.54,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",3
06/05/2023 0:00:18,Femenino,18,2,No uso activamente recursos tecnologicos con fines académicos,0,2,10,10,Cursos de carrera,INTRODUCCIÓN A LA MECÁNICA,16,No,40,16.57,15.8,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de organización (Google calendar, calendario, etc.)",7
06/05/2023 0:07:48,Femenino,21,5,Tablet,2,2,4,9,Ciencias Generales,PROGRAMACIÓN II,24,Sí,34,15.32,14.07,Sí,Ingenieria Química,"Lenguajes de programación (Python, C++, etc.)",7
06/05/2023 1:06:23,Femenino,19,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,9,Cursos de carrera,INTRODUCCIÓN A MECÁNICA DE SÓLIDOS,18,No,42,16.57,14.82,"Sí, pero no activamente",Ingeniería Civil,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",5
06/05/2023 1:23:18,Femenino,20,2,Laptop,2,2,7,9,Cursos de carrera,PROGRAMACIÓN II,24,Sí,34,14.32,14.57,Sí,Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",7
06/05/2023 1:44:44,Femenino,20,5,Tablet,3,2,7,8,Ciencias Generales,Ecuaciones Diferenciales,14,Sí,30,12.57,14.78,Sí,Ingeniería Electrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
06/05/2023 2:02:52,Femenino,21,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,8,Ciencias Generales,FUNDAMENTOS Y ELECTROMAGNETISM,14,No,43,17.35,14.65,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
06/05/2023 2:05:08,Femenino,22,5,Tablet,3,3,7,9,Ciencias Generales,TERMODINÁMICA,24,Sí,31,12.39,13.58,"Sí, pero no activamente",Bioingeniería,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",7
06/05/2023 2:07:50,Femenino,19,5,No uso activamente recursos tecnologicos con fines académicos,0,2,,6,Ciencias Generales,PROGRAMACIÓN II,18,No,42,17.54,13.25,"Sí, pero no activamente",Ingenieria Química,"Aplicaciones de texto y notas(word, outlook, etc.)",5
06/05/2023 6:49:01,Femenino,21,4,Tablet,2,2,6,10,"Humanidades, arte y ciencias sociales, Ciencias Generales",CIENCIAS GENERALES,3,Sí,36,11.62,12.68,Sí,Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",4
06/05/2023 20:05:32,Femenino,19,6to,Tablet,3,1er ciclo,15,,,,,Sí,36,11.35,12.26,,Ingenieria Química,"Aplicaciones de texto y notas(word, outlook, etc.)",2
05/05/2023 15:08:56,Femenino,19,4,Tablet,2,1,5,8,Ciencias Generales,PROGRAMACIÓN,6,Sí,34,12.57,16.95,Sí,Ingeniería Ambiental,"Aplicaciones de organización (Google calendar, calendario, etc.)",4
05/05/2023 15:11:48,Masculino,0,10,No uso activamente recursos tecnologicos con fines académicos,0,2,,6,Ciencias Generales,Programación,24,No,41,17.23,12.28,"Sí, pero no activamente",Ingeniría de la Energía,"Aplicaciones de organización (Google calendar, calendario, etc.)",4
05/05/2023 15:11:56,Femenino,18,3,Tablet,3,2,7,7,"Humanidades, arte y ciencias sociales",EMPRESA,84,Sí,34,15.19,16.24,No,Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 15:12:02,Femenino,18,3,Tablet,3,1,10,10,Otros,Todos,14,Sí,29,12.74,13.13,Sí,Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 15:12:31,Femenino,16,1,No uso activamente recursos tecnologicos con fines académicos,0,1,3,10,Cursos de carrera,"Tendencias en tecnología, estrategias de planeamiento y aprendizaje, etc",21,No,40,16.34,15.62,"Sí, pero no activamente",Administración y Negocios Digitales,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",5
05/05/2023 15:13:07,Masculino,17,3,Tablet,3,1,5,9,Ciencias Generales,PROGRAMACIÓN III,6,Sí,33,11.68,11.79,Sí,Ciencia de datos,"Lenguajes de programación (Python, C++, etc.)",7
05/05/2023 15:13:27,Masculino,18,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,8,Ciencias Generales,CÁLCULO DE UNA VARIABLE,24,No,38,13.65,12.36,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",3
05/05/2023 15:16:43,Femenino,19,5,Computadora,2,1,6,8,Ciencias Generales,FEM,3,Sí,35,11.36,11.27,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 15:18:25,Femenino,22,5,Computadora,3,4,7,10,Ciencias Generales,Fundamentos electricidad y magnetismo,7,Sí,35,12.54,13.27,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 15:28:16,Masculino,19,2,Tablet,2,1,15,5,Ciencias Generales,PROGRAMACIÓN,2,Sí,37,10.39,12.52,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 15:31:25,Masculino,18,3,Tablet,3,2,1,7,Ciencias Generales,CIENCIAS GENERALES,24,Sí,36,13.58,14.36,Sí,Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
05/05/2023 15:36:18,Masculino,23,4,No uso activamente recursos tecnologicos con fines académicos,8,2,,3,Cursos de carrera,Algoritmos y Estructura de Datos,8,No,42,17.39,12.13,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",3
05/05/2023 15:45:19,Femenino,20,7,Celular,2,1,4,8,Ciencias Generales,ESTADÍSTICA,6,Sí,34,11.28,13.67,Sí,Bioingeniería,"Lenguajes de programación (Python, C++, etc.)",6
05/05/2023 15:51:41,Femenino,22,10,Computadora,2,1,10,10,Ciencias Generales,ANÁLISIS DE CIRCUITOS ANALÓGICOS Y DIGITALES,20,Sí,35,11.68,12.21,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",4
05/05/2023 15:53:51,Masculino,22,9,Computadora,3,1,10,10,"Humanidades, arte y ciencias sociales, Cursos de carrera, Ciencias Generales, Proyectos Interdisciplinarios, tesis y Real life experiences",TESIS,80,Sí,36,13.54,14.86,Sí,Bioingeniería,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
05/05/2023 16:00:40,Femenino,20,7,No uso activamente recursos tecnologicos con fines académicos,0,2,,7,Cursos de carrera,Mecánica de fluidos,24,No,43,16.38,10.53,"Sí, pero no activamente",Ingeniería Ambiental,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
05/05/2023 16:04:43,Masculino,19,6,No uso activamente recursos tecnologicos con fines académicos,0,2,,5,Ciencias Generales,ESTADISTICA,24,No,43,18.34,12.26,"Sí, pero no activamente",Ingeniería Ambiental,"Aplicaciones de texto y notas(word, outlook, etc.)",2
05/05/2023 16:06:13,Masculino,19,5,Laptop,2,1,10,10,"Proyectos Interdisciplinarios, tesis y Real life experiences",PI3,24,Sí,36,14.19,18.03,Sí,Ingeniería Civil,"Aplicaciones de organización (Google calendar, calendario, etc.)",7
05/05/2023 23:52:52,Femenino,20,4,Laptop,3,2,7,9,Ciencias Generales,TERMODINÁMICA,24,Sí,35,15.34,15.67,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 23:57:09,Masculino,21,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,8,Cursos de carrera,DINÁMICA Y VIBRACIONES,24,No,41,15.62,14.54,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
06/05/2023 0:00:18,Femenino,18,2,Tablet,3,2,10,10,Cursos de carrera,INTRODUCCIÓN A LA MECÁNICA,16,Sí,33,17.67,18.21,Sí,Ingeniería Industrial,"Aplicaciones de organización (Google calendar, calendario, etc.)",7
06/05/2023 0:07:48,Femenino,21,5,Laptop,2,2,4,9,Ciencias Generales,PROGRAMACIÓN II,24,Sí,37,15.34,16.01,Sí,Ingenieria Química,"Aplicaciones de texto y notas(word, outlook, etc.)",7
06/05/2023 1:06:23,Femenino,39,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,9,Cursos de carrera,INTRODUCCIÓN A MECÁNICA DE SÓLIDOS,18,No,39,15.34,14.82,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",3
06/05/2023 1:23:18,Femenino,20,2,Laptop,2,2,7,9,Cursos de carrera,PROGRAMACIÓN II,24,Sí,36,13.75,14.57,Sí,Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",7
06/05/2023 1:44:44,Femenino,20,5,Tablet,3,2,7,8,Ciencias Generales,Ecuaciones Diferenciales,14,Sí,35,14.65,14.78,Sí,Ingeniería Electrónica,"Aplicaciones de texto y notas(word, outlook, etc.)",7
06/05/2023 2:02:52,Femenino,21,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,8,Ciencias Generales,FUNDAMENTOS Y ELECTROMAGNETISM,14,No,40,16.45,15.65,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",4
06/05/2023 2:05:08,Femenino,22,5,Tablet,3,3,7,9,Ciencias Generales,TERMODINÁMICA,24,Sí,32,11.84,16.12,"Sí, pero no activamente",Bioingeniería,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",7
06/05/2023 2:07:50,Femenino,19,5,No uso activamente recursos tecnologicos con fines académicos,0,2,,6,Ciencias Generales,PROGRAMACIÓN II,18,No,39,14.38,14.21,"Sí, pero no activamente",Ingenieria Química,"Aplicaciones de texto y notas(word, outlook, etc.)",2
06/05/2023 6:49:01,Femenino,21,4,Computadora,2,2,6,10,"Humanidades, arte y ciencias sociales, Ciencias Generales",CIENCIAS GENERALES,3,Sí,34,14.75,15.85,Sí,Ingeniería Industrial,"Aplicaciones de organización (Google calendar, calendario, etc.)",4
06/05/2023 20:05:32,Femenino,19,6,Computadora,3,1er ciclo,15,,,,,Sí,34,13.62,14.72,Sí,Ingenieria Química,"Aplicaciones de texto y notas(word, outlook, etc.)",2
04/05/2023 10:01:46,Masculino,21,4,No uso activamente recursos tecnologicos con fines académicos,0,2,5,6,Ciencias Generales,INTRODUCCIÒN A LA MECÀNICA,24,No,39,16.53,15.82,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de organización (Google calendar, calendario, etc.)",5
04/05/2023 10:03:56,Femenino,18,4,Laptop,3,1,10,8,Cursos de carrera.,Modelado y simulación,20,Sí,34,14.35,15.7,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 10:05:33,Masculino,21,4,Computadora,2,1,16,8,Cursos de carrera,DINÁMICA,79,Sí,35,15.34,16,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 10:08:15,Masculino,20,4,Computadora,2,1,1,7,"Humanidades, arte y ciencias sociales",Comunicación,3,Sí,36,14.62,14.68,Sí,Ingeniería Electrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
04/05/2023 10:15:04,Masculino,20,4,Laptop,3,1,8,10,Cursos de carrera,DINAMICA Y VIBRACIONES,12,Sí,10,18.35,18.36,"Sí, pero no activamente",Ingeniería Civil,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",6
04/05/2023 10:18:20,Masculino,22,4,Tablet,3,4,4,9,"Proyectos Interdisciplinarios, tesis y Real life experiences",Pi3,24,Sí,10,15.34,16.28,Sí,Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
04/05/2023 10:25:42,Femenino,19,4,Computadora,2,1,6,10,"Humanidades, arte y ciencias sociales","EN LOS CURSOS DE NÚMEROS, PORQUE SE PUEDE SACAR PROBLEMAS DEL MISMO LIBRO Y NO NECESITAS ESTAR COPIANDO O IMPRIMIENDO EL PROBLEMA",24,Sí,35,15.34,15.24,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",4
04/05/2023 10:26:18,Femenino,18,4,Computadora,1,2,2,7,"Proyectos Interdisciplinarios, tesis y Real life experiences",PI2,8,Sí,34,13.75,14.7,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",3
04/05/2023 10:29:20,Masculino,20,4,Laptop,3,3,5,9,Cursos de carrera,INTRODUCCIÓN A LA MECÁNICA DE SÓLIDOS,2,Sí,34,13.65,14.75,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
04/05/2023 10:31:35,Masculino,20,4,Computadora,2,1,22,10,Cursos de carrera,CURSOS DE CARRERA,8,Sí,35,14.45,16.52,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
