"","Género","Edad","Ciclo","Carrera","Curso","H.Estudio","Calificación","Peso","Estatura","H.Desayuno","H.Almuerzo","H.Cena","A.Desayuno","A.Almuerzo","A.Cena","Comer","Agua","Académicas","Enfermedad","Dormido","Alimentación","Rendimiento"
"85","M",20,"6","Ing. Industrial",4,2.5,"3",65,1.59,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Café o filtrantes","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Sopas",40,2,"No","No","En ocasiones","3","3"
"86","M",18,"2","Ing. Industrial",6,2,"4",62,1.73,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes",30,3,"Sí","No","Nunca","4","3"
"87","F",19,"3","Ing. Mecánica",5,5,"5",68,1.65,"9-10am","1:00-2:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Lácteos (Yogurt, leche, queso)",25,3,"Sí","Sí","Nunca","5","5"
"88","F",19,"2","Ing. Industrial",6,4,"3",68,1.65,"No suelo desayunar","3:00 a más","10:00 a más","No suelo desayunar","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Café o filtrantes",30,2,"Sí","Sí","En ocasiones","4","4"
"89","M",20,"4","Ing. Electrónica",4,5,"4",70,1.75,"9-10am","1:00-2:00 PM","9:00-10:00 PM","Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Cereales (arroz, pan, cebada, avena, etc)",25,3,"No","No","Nunca","4","5"
"90","M",22,"3","Ing. Química",4,6,"4",69,1.78,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en frituras","Cereales (arroz, pan, cebada, avena, etc), Sopas",24,3,"Sí","No","En ocasiones","4","5"
"91","M",18,"4","Ing. Electrónica",5,6,"4",70,1.78,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Lácteos (Yogurt, leche, queso)",20,1,"No","No","En ocasiones","5","5"
"92","M",19,"5","Ing. Civil",5,5,"5",76,1.69,"9-10am","1:00-2:00 PM","9:00-10:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Café o filtrantes",25,3,"Sí","Sí","Nunca","5","5"
"93","F",21,"3","Ing. Civil",5,8,"5",70,1.69,"8-9am","2:00-3:00 PM","10:00 a más","Carnes, huevos o embutidos, Pastas(tallarines, macarrones)","Alimentos basados en ensaladas","Cereales (arroz, pan, cebada, avena, etc)",25,3,"Sí","Sí","Nunca","5","5"
"94","M",20,"4","Ing. Industrial",4,7,"5",67,1.79,"9-10am","1:00-2:00 PM","9:00-10:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en frituras","Pastas(tallarines, macarrones), Sopas",25,3,"No","Sí","Con frecuencia","5","4"
"95","M",19,"5","Ing. Industrial",4,5,"5",70,1.78,"6-7am","1:00-2:00 PM","8:00-9:00 PM","Pastas(tallarines, macarrones), Verduras, frutas","Alimentos basados en menestras","Verduras, frutas, Lácteos (Yogurt, leche, queso)",25,3,"Sí","No","Nunca","4","3"
"96","M",21,"5","Ing. Civil",5,7,"5",70,1.7,"9-10am","2:00-3:00 PM","10:00 a más","Lácteos (Yogurt, leche, queso)","Alimentos basados en frituras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Café o filtrantes",20,1,"Sí","Sí","En ocasiones","5","3"
"97","M",19,"5","Ing. Industrial",5,8,"5",70,1.74,"9-10am","1:00-2:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en ensaladas","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)",25,1,"No","No","En ocasiones","3","3"
"98","F",21,"4","Ing. Industrial",5,7,"4",70,1.76,"7-8am","2:00-3:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en frituras","Pastas(tallarines, macarrones), Verduras, frutas",30,3,"No","No","Nunca","4","3"
"99","M",20,"5","Ing. Industrial",4,4,"4",60,1.59,"9-10am","2:00-3:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones)",25,3,"No","No","Nunca","4","4"
"100","F",18,"4","Ing. Industrial",5,5,"5",75,1.76,"9-10am","1:00-2:00 PM","8:00-9:00 PM","Sopas","Alimentos basados en menestras","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)",24,1,"No","No","Nunca","5","3"
"101","M",19,"4","Ing. Industrial",5,7,"4",70,1.78,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso)","Alimentos basados en frituras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Verduras, frutas",25,1.25,"No","No","En ocasiones","4","4"
"102","M",20,"5","Ing. Industrial",4,7,"5",80,1.75,"9-10am","12:00-1:00 PM","10:00 a más","Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones)",25,1.25,"No","No","Nunca","5","4"
"103","F",19,"4","Ing. Industrial",6,8,"4",78,1.75,"7-8am","1:00-2:00 PM","8:00-9:00 PM","Sopas","Alimentos basados en guisos","Sopas, Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",20,3,"No","No","En ocasiones","5","4"
"104","F",19,"2","Ing. Civil",6,5,"4",59,1.64,"6-7am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Lácteos (Yogurt, leche, queso)",40,1.5,"Sí","Sí","Nunca","3","3"
"105","M",20,"4","Ing. Civil",6,6.3,"4",57,1.65,"6-7am","1:00-2:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Verduras, frutas, Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",20,2.33,"No","No","En ocasiones","4","4"
"106","M",19,"2","Ing. de la Energía",7,4,"4",70,1.8,"7-8am","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en frituras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",45,1,"Sí","Sí","Nunca","4","3"
"107","F",19,"2","Ing. Industrial",7,7,"4",55,1.53,"9-10am","2:00-3:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",40,2.5,"Sí","Sí","En ocasiones","3","3"
"108","F",21,"4","Ing. Civil",6,3,"4",60,1.54,"9-10am","12:00-1:00 PM","No suelo cenar","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Café o filtrantes, No suelo cenar",30,0.5,"Sí","Sí","En ocasiones","2","4"
"109","M",19,"2","Ing. Industrial",6,1,"3",90,1.85,"9-10am","12:00-1:00 PM","10:00 a más","Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes",30,3,"Sí","No","Con frecuencia","4","5"
"110","F",18,"1","Ing. Industrial",7,7,"2",60,1.58,"9-10am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",40,1,"Sí","Sí","Nunca","1","4"
"111","M",18,"3","Ing. Industrial",3,5,"3",79,1.73,"7-8am","2:00-3:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes",40,2,"Sí","No","Nunca","4","3"
"112","F",19,"5","Ing. Industrial",4,3,"3",55,1.63,"8-9am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en guisos","No suelo cenar",30,1,"Sí","No","Nunca","5","2"
"113","F",20,"4","Bioingeniería",6,2,"4",56,1.66,"7-8am","12:00-1:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Café o filtrantes","Alimentos basados en menestras","No suelo cenar",40,1.5,"No","No","Nunca","5","1"
"114","F",18,"3","Ing. Química",5,3,"5",55,1.65,"8-9am","12:00-1:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Café o filtrantes","Alimentos basados en ensaladas","Verduras, frutas, Sopas, Café o filtrantes",40,1.5,"No","No","Nunca","5","1"
"115","F",20,"5","Ing. Ambiental",6,3.5,"4",57,1.68,"9-10am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes",30,2,"Sí","No","Nunca","5","2"
"116","F",18,"2","Ing. de la Energía",6,4,"3",52,1.61,"6-7am","3:00 a más","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes",30,2,"Sí","No","En ocasiones","3","4"
"117","M",20,"4","Ing. Civil",5,3,"5",63,1.7,"7-8am","1:00-2:00 PM","No suelo cenar","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","No suelo cenar",40,1.5,"No","No","En ocasiones","4","1"
"118","M",18,"2","Ing. Química",6,3,"4",58,1.7,"7-8am","12:00-1:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en guisos","No suelo cenar",30,1.5,"No","No","Nunca","4","1"
"119","F",22,"8","Bioingeniería",5,4,"3",68,1.57,"5-6am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en frituras","No suelo cenar",30,3,"Sí","Sí","En ocasiones","3","3"
"120","F",19,"4","Ing. de la Energía",5,3,"5",57,1.68,"8-9am","12:00-1:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Café o filtrantes","Alimentos basados en ensaladas","No suelo cenar",30,2,"Sí","No","Nunca","5","2"
"121","F",18,"2","Ing. Ambiental",6,4.5,"3",58,1.69,"6-7am","2:00-3:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Sopas, Lácteos (Yogurt, leche, queso)",55,1.5,"Sí","No","En ocasiones","4","3"
"122","M",20,"5","Ing. Mecatrónica",4,5,"3",72,1.78,"9-10am","3:00 a más","9:00-10:00 PM","Verduras, frutas, Café o filtrantes","Alimentos basados en guisos","Cereales (arroz, pan, cebada, avena, etc), Sopas, Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",45,1.5,"Sí","No","Nunca","2","3"
"123","F",20,"4","Bioingeniería",5,4,"3",59,1.59,"9-10am","12:00-1:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc)",20,1,"Sí","No","En ocasiones","4","4"
"124","F",22,"7","Ing. Mecatrónica",6,3,"5",70,1.74,"7-8am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","No suelo cenar",40,2,"Sí","No","Nunca","4","1"
"125","M",17,"2","Ing. Electrónica",5,3,"4",69,1.77,"7-8am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","No suelo cenar",30,1.5,"No","No","En ocasiones","4","1"
"126","M",20,"1","Ing. Civil",7,3,"2",78,1.6,"5-6am","12:00-1:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos","Alimentos basados en guisos","Pastas(tallarines, macarrones)",30,1.6,"Sí","No","En ocasiones","4","2"
"127","F",20,"1","Ing. Química",7,3,"3",73,1.7,"6-7am","12:00-1:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Verduras, frutas, Lácteos (Yogurt, leche, queso)",30,3,"Sí","Sí","En ocasiones","2","2"
"128","F",19,"5","Ing. de la Energía",6,4,"4",60,1.65,"8-9am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en guisos","No suelo cenar",40,2,"Sí","No","Nunca","4","1"
"129","F",21,"2","Ing. Ambiental",6,6,"3",48,1.69,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Pastas(tallarines, macarrones)","Alimentos basados en menestras","Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",10,3,"No","No","En ocasiones","3","3"
"130","M",18,"3","Ing. Civil",3,2,"3",62.5,1.74,"10-11am","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Pastas(tallarines, macarrones), Lácteos (Yogurt, leche, queso)",38,1,"Sí","Sí","En ocasiones","3","2"
"131","M",20,"4","Ing. Mecatrónica",7,6,"3",60,1.65,"7-8am","12:00-1:00 PM","7:00-8:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",15,2,"No","No","En ocasiones","3","2"
"132","M",18,"2","Ing. Mecatrónica",5,4,"3",75,1.63,"6-7am","12:00-1:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Cereales (arroz, pan, cebada, avena, etc)",20,1,"Sí","No","Nunca","3","3"
"133","M",24,"2","Ing. Mecánica",4,6,"3",90,1.72,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Verduras, frutas, Sopas, Café o filtrantes",30,2,"Sí","Sí","En ocasiones","4","2"
"134","M",18,"3","Ing. Mecatrónica",5,4,"3",69.8,1.71,"7-8am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Lácteos (Yogurt, leche, queso)","Alimentos basados en pastas (tallarines)","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)",60,1.6,"Sí","Sí","En ocasiones","3","3"
"135","F",17,"2","Ing. Ambiental",6,6,"4",45,1.55,"7-8am","12:00-1:00 PM","10:00 a más","Carnes, huevos o embutidos, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Sopas",60,1.5,"Sí","No","En ocasiones","3","4"
"136","M",22,"2","Ing. Civil",6,1,"4",55,1.6,"5-6am","No suelo almorzar","No suelo cenar","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","No suelo cenar",55,1,"Sí","Sí","Nunca","3","3"
"137","M",19,"2","Ciencias de la Computación",4,3,"4",67,1.83,"8-9am","3:00 a más","8:00-9:00 PM","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes",30,1,"Sí","No","En ocasiones","3","2"
"138","F",23,"6","Ing. Ambiental",5,3,"3",50,1.57,"8-9am","1:00-2:00 PM","10:00 a más","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en frituras","Sopas",30,1,"Sí","Sí","En ocasiones","4","5"
"139","F",18,"2","Ing. Industrial",7,8,"3",62,1.54,"8-9am","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Sopas, Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas)","Alimentos basados en guisos","Lácteos (Yogurt, leche, queso), Café o filtrantes",60,1,"Sí","Sí","En ocasiones","3","4"
"140","M",21,"2","Ing. Electrónica",4,2,"2",57.5,1.69,"7-8am","1:00-2:00 PM","10:00 a más","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",30,2,"Sí","No","Nunca","2","4"
"141","F",17,"2","Bioingeniería",7,4,"3",47,1.59,"10-11am","3:00 a más","No suelo cenar","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes, No suelo desayunar","Alimentos basados en pastas (tallarines)","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes, No suelo cenar",60,1,"Sí","Sí","Con frecuencia","2","3"
"142","M",19,"2","Ing. Mecánica",5,5,"3",85,1.88,"9-10am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Verduras, frutas, Sopas, Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",20,2,"Sí","No","Nunca","5","2"
"143","M",21,"5","Ing. Civil",5,2,"3",68,1.76,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Sopas",25,1.5,"Sí","No","Con frecuencia","3","3"
"144","M",20,"5","Ing. Mecánica",3,5,"3",73,1.74,"9-10am","1:00-2:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",40,1.6,"No","No","Nunca","3","2"
"145","M",20,"7","Ing. Industrial",4,2.5,"3",74,1.8,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en ensaladas","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",30,2,"No","No","En ocasiones","4","1"
"146","F",21,"6","Ing. Ambiental",4,3.5,"4",56,1.64,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en pastas (tallarines)","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Café o filtrantes",30,1.7,"Sí","No","En ocasiones","3","1"
"147","F",18,"2","Ing. Civil",5,10,"4",53.6,1.63,"7-8am","1:00-2:00 PM","7:00-8:00 PM","Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",60,2,"Sí","No","Nunca","3","3"
"148","M",22,"6","Ing. Mecánica",4,5,"3",70,1.78,"7-8am","1:00-2:00 PM","10:00 a más","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Café o filtrantes",30,1.5,"Sí","No","Nunca","3","2"
"149","M",22,"8","Ing. Industrial",3,4,"3",73.4,1.77,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes",45,1.7,"No","No","En ocasiones","3","4"
"150","M",21,"5","Ing. Mecánica",4,4,"2",73,1.8,"8-9am","2:00-3:00 PM","7:00-8:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas","Alimentos basados en menestras","Café o filtrantes",35,1.8,"Sí","No","Nunca","3","2"
"151","M",18,"2","Ing. Civil",4,5,"4",60,1.6,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",30,1,"Sí","Sí","Nunca","4","2"
"152","F",18,"3","Ciencias de Datos",6,4,"2",53,1.6,"7-8am","1:00-2:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",30,2,"No","No","Nunca","5","5"
"153","M",19,"2","Ciencias de la Computación",6,3,"4",60.5,1.74,"8-9am","3:00 a más","9:00-10:00 PM","Carnes, huevos o embutidos","Alimentos basados en guisos","Pastas(tallarines, macarrones)",20,1.5,"No","No","Nunca","4","2"
"154","M",18,"3","Ing. de la Energía",5,4,"4",63,1.68,"7-8am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","No suelo cenar",40,1.5,"Sí","No","Nunca","4","1"
"155","M",19,"4","Ing. Civil",6,2,"3",73,1.72,"9-10am","12:00-1:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en guisos","No suelo cenar",40,1.5,"Sí","No","En ocasiones","4","2"
"156","F",20,"5","Bioingeniería",6,4,"4",58,1.64,"8-9am","12:00-1:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","No suelo cenar",40,2,"Sí","No","En ocasiones","4","1"
"157","M",17,"3","Administración y Negocios Digitales",6,6,"4",68,1.72,"5-6am","12:00-1:00 PM","6:00-7:00 PM","Lácteos (Yogurt, leche, queso)","Alimentos basados en pastas (tallarines)","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",25,2,"Sí","No","En ocasiones","3","2"
"158","M",18,"3","Administración y Negocios Digitales",6,3,"4",80,1.81,"5-6am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Cereales (arroz, pan, cebada, avena, etc)",25,2.5,"Sí","No","Nunca","3","3"
"159","F",20,"4","Ing. Civil",7,5,"2",56,1.62,"8-9am","12:00-1:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Lácteos (Yogurt, leche, queso)",30,3,"Sí","Sí","Con frecuencia","3","3"
"160","M",21,"4","Ing. Civil",7,7,"3",63,1.7,"9-10am","2:00-3:00 PM","8:00-9:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso)",45,3,"No","Sí","En ocasiones","3","2"
"161","M",20,"4","Ing. Civil",6,5.5,"3",65,1.64,"7-8am","1:00-2:00 PM","10:00 a más","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Sopas",30,2.5,"Sí","Sí","Nunca","3","3"
