Ciclo,Edad,Peso,Sexo,Carrera,TiempoUtec,TiempoFuera,VecesUtec,Satisfaccion,PrecioMinimo,PrecioMaximo,Conocimiento,Vegetarianismo,MotivoSí,MotivoNo,TiempoVeg,CrueldadAnimal,MedioAmbiente,ConocAmbien,AprenderVeg,AdoptarVeg,OpcionesVeg,VegMin,VegMax
5,20,46.5,Femenino,Ingenieria de la Energia,7,10,NA,Medianamente satisfecho,10,12,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Interesado,3,Difícil,14,15
4,21,70,Femenino,Bioingenieria,10,15,2,Satisfecho,10,15,Básico,No,Salud,Costo,NA,Regular,Muy poco importante,3,Interesado,3,No me importa conseguir alimentos vegetarianos,13,15
4,18,45,Femenino,Ingenieria Quimica,NA,NA,NA,No compro alimentos en UTEC,12,15,Básico,No,Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,4,Interesado,3,Difícil,15,20
5,21,48,Masculino,Ingenieria Civil,25,NA,7,Completamente satisfecho,18,17,Básico,No,Salud,Salud,NA,Poco,Importante,4,Muy interesado,3,Regular,17,28
4,22,60.2,Masculino,Ingeniería Mecatrónica,NA,15,NA,No compro alimentos en UTEC,11,21,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,4,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,12,14
4,20,67,Masculino,Ingeniería Mecatrónica,NA,10,NA,No compro alimentos en UTEC,11,11,Avanzado,Sí,Salud,Costo,12,Mucho,Muy importante,5,Muy interesado,1,Difícil,18,21
5,17,62,Femenino,Ciencias de la computación,NA,NA,NA,No compro alimentos en UTEC,6,15,Intermedio,"No, pero desearía serlo",Salud,Costo,NA,Nada,No tengo conocimiento sobre su implicancia,2,Interesado,5,Fácil,NA,NA
4,21,86,Masculino,Ingenieria Civil,5,20,3,Medianamente satisfecho,12,15,Básico,No,Salud,Gusto personal,NA,Bastante,Importante,4,Muy poco interesado,3,Difícil,13,15
5,22,56,Masculino,Ingenieria Mecánica,5,23,4,Medianamente satisfecho,12,16,Intermedio,Sí,Entorno familiar y/o social,Salud,7,Bastante,Muy poco importante,3,Interesado,4,Regular,16,19
5,22,53,Masculino,Ingenieria Quimica,10,12,6,Satisfecho,10,13,Básico,"No, pero desearía serlo",Salud,Costo,NA,Regular,Importante,3,Interesado,4,Difícil,13,15
4,19,58.5,Femenino,Ingenieria Civil,NA,15,NA,No compro alimentos en UTEC,11,17,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,3,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,13,20
4,21,57,Masculino,Ciencias de la computación,5,30,1,Medianamente satisfecho,15,17,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
5,19,67,Masculino,Ingenieria Industrial,NA,20,2,No compro alimentos en UTEC,22,40,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Regular,Importante,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,70,Masculino,Bioingenieria,5,15,3,Medianamente satisfecho,10,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,4,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,20,63,Masculino,Ingenieria Civil,10,30,NA,Medianamente satisfecho,12,18,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Mucho,Importante,1,Muy interesado,1,Regular,15,20
4,20,55,Masculino,Ingenieria Industrial,NA,20,NA,No compro alimentos en UTEC,11,13,Intermedio,"No, pero desearía serlo",Obligación,Sí adoptaría una dieta vegetariana,NA,Regular,Muy poco importante,3,Interesado,3,Difícil,18,10
4,19,56,Masculino,Bioingenieria,12,15,NA,Medianamente satisfecho,8,12,Avanzado,No,Salud,Sí adoptaría una dieta vegetariana,1,Regular,Muy poco importante,5,Interesado,4,Difícil,12,15
4,20,73,Femenino,Ingenieria Mecánica,15,40,3,Medianamente satisfecho,13,16,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,4,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,74,Masculino,Ciencias de la computación,10,20,4,Satisfecho,10,20,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,3,Nada interesado,5,No me importa conseguir alimentos vegetarianos,NA,NA
5,20,80,Masculino,Ingenieria Industrial,NA,27,NA,Medianamente satisfecho,12,20,Básico,No,Salud,Costo,NA,Regular,Importante,3,Interesado,2,Difícil,13,18
4,18,70.4,Masculino,Ciencias de la computación,15,20,2,Medianamente satisfecho,10,NA,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,No tengo conocimiento sobre su implicancia,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,78,Masculino,Ingenieria Mecánica,5,NA,5,Satisfecho,10,16,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,4,Interesado,2,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
4,18,57.2,Masculino,Ciencias de la computación,5,15,5,Satisfecho,10,20,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Importante,4,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,19,60,Femenino,Ciencias de la computación,30,75,4,No compro alimentos en UTEC,13,30,Intermedio,No,Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,NA,Bastante,Muy importante,4,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,12,25
4,NA,55.3,Masculino,Ciencias de la computación,10,15,5,Satisfecho,10,NA,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Mucho,Importante,3,Nada interesado,1,Difícil,10,13
4,18,70,Masculino,Ciencias de la computación,10,NA,3,Medianamente satisfecho,10,NA,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Muy poco importante,3,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,69,Masculino,Ciencias de la computación,30,60,1,Medianamente satisfecho,10,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,4,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
5,20,49.67,Femenino,Mecatrónica,NA,NA,NA,Nada satisfecho,NA,NA,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Mucho,Muy importante,3,Muy poco interesado,1,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
5,21,80,Femenino,Ingenieria Ambiental,10,35,6,Medianamente satisfecho,15,20,Intermedio,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,NA,Bastante,Importante,4,Interesado,4,Difícil,10,16
5,21,82,Femenino,Ingenieria Industrial,5,30,3,Medianamente satisfecho,10,15,Básico,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,NA,Regular,Muy importante,5,Interesado,3,Difícil,13,15
4,18,55,Femenino,Bioingenieria,15,10,3,Medianamente satisfecho,15,20,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,2,Muy poco interesado,2,Regular,15,16
5,20,94,Masculino,Ingeniería Mecatrónica,20,40,2,Medianamente satisfecho,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Bastante,Muy importante,4,Muy interesado,3,No tengo conocimiento sobre alimentos vegetarianos,15,20
4,18,78,Masculino,Ingenieria Civil,5,10,2,Medianamente satisfecho,12,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Mucho,Muy importante,3,Muy poco interesado,1,Fácil,10,10
4,22,65,Masculino,Ingenieria Civil,30,30,3,Medianamente satisfecho,11,25,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Mucho,Muy poco importante,3,Muy poco interesado,3,Difícil,16,18
5,21,58.9,Masculino,Ingenieria Civil,NA,30,NA,No compro alimentos en UTEC,NA,NA,Básico,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,No tengo conocimiento sobre su implicancia,1,Muy interesado,4,Difícil,15,16
4,21,60,Femenino,Ingenieria Ambiental,15,20,NA,Completamente satisfecho,11,15,Intermedio,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,NA,Bastante,Muy importante,5,Muy interesado,5,Regular,20,25
4,16,70,Femenino,Ingeniería Mecatrónica,5,10,2,Satisfecho,10,16,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Regular,Importante,4,Muy interesado,4,Regular,15,20
4,21,65.5,Masculino,Ingeniería Mecatrónica,30,60,3,Satisfecho,14,15,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Poco,Importante,1,Muy poco interesado,1,Regular,15,15
4,19,45,Femenino,Ingenieria Ambiental,20,20,2,Medianamente satisfecho,13,15,Intermedio,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,NA,Bastante,Muy importante,5,Muy interesado,5,Regular,15,20
4,20,52.4,Masculino,Ciencias de la computación,10,NA,2,Satisfecho,10,NA,Nada,"No, pero desearía serlo",Salud,Costo,NA,Regular,Muy importante,4,Muy poco interesado,3,Difícil,NA,15
4,18,60,Femenino,Ingenieria Ambiental,5,10,4,Medianamente satisfecho,10,13,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Bastante,Muy importante,4,Muy interesado,3,Difícil,14,20
4,20,58,Femenino,Ingenieria Ambiental,NA,10,NA,No compro alimentos en UTEC,10,11,Básico,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Costo,NA,Bastante,Muy importante,5,Interesado,5,No tengo conocimiento sobre alimentos vegetarianos,10,10
4,19,65,Masculino,Ingenieria Mecánica,20,30,2,Medianamente satisfecho,14,25,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,3,Interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,66.5,Masculino,Ingeniería Mecatrónica,10,20,3,Satisfecho,9,20,Básico,No,Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,3,Interesado,4,Regular,10,14
4,18,48,Femenino,Bioingenieria,20,30,3,Satisfecho,10,20,Avanzado,"No, pero desearía serlo",Salud,Gusto personal,NA,Bastante,Muy importante,4,Muy interesado,4,Regular,19,15
4,17,87,Femenino,Bioingenieria,40,15,NA,Medianamente satisfecho,10,40,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Regular,Muy importante,3,Interesado,2,Difícil,10,30
4,19,50,Femenino,Ingenieria Civil,5,10,1,Satisfecho,11,16,Básico,No,Salud,Sí adoptaría una dieta vegetariana,NA,Nada,Muy importante,3,Interesado,3,Regular,10,15
4,19,65,Otro,Bioingenieria,20,57,2,Satisfecho,10,14,Intermedio,No,Sostenibilidad y medio ambiente,Costo,NA,Bastante,Importante,4,Muy interesado,4,No tengo conocimiento sobre alimentos vegetarianos,12,16
5,18,48,Femenino,Ciencias de la computación,NA,NA,NA,No compro alimentos en UTEC,12,14,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,2,Interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,58,Masculino,Ingenieria Industrial,NA,25,NA,No compro alimentos en UTEC,12,14,Nada,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Nada,Nada importante,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,69,Masculino,Ingenieria Civil,10,15,NA,Satisfecho,11,13,Intermedio,No,Salud,Gusto personal,NA,Nada,Muy poco importante,3,Muy poco interesado,2,Regular,10,15
4,19,60.4,Masculino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Interesado,1,Regular,NA,NA
4,21,64,Femenino,Bioingenieria,20,30,2,Satisfecho,10,15,Intermedio,No,Interés por los derechos de los animales,Salud,NA,Regular,Importante,4,Interesado,3,Regular,13,18
4,19,68,Masculino,Ingenieria Industrial,13,20,3,Satisfecho,12,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Interesado,3,Regular,17,25
4,18,58,Femenino,Bioingenieria,45,60,2,Satisfecho,13,16,Avanzado,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Costo,NA,Bastante,Muy importante,5,Muy interesado,5,Difícil,14,16
4,20,63,Masculino,Ingenieria Civil,25,25,4,Medianamente satisfecho,12,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Regular,Importante,4,Interesado,3,Difícil,NA,15
4,19,56,Femenino,Bioingenieria,5,20,2,Medianamente satisfecho,13,20,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,3,Interesado,4,Regular,13,15
4,19,68.7,Masculino,Bioingenieria,28,20,2,Medianamente satisfecho,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,2,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,18.5
4,21,51,Femenino,Ingenieria Industrial,7,15,2,Satisfecho,10,15,Básico,Sí,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Mucho,Muy importante,3,Interesado,1,No tengo conocimiento sobre alimentos vegetarianos,13,20
4,19,60,Masculino,Bioingenieria,5,15,1,Medianamente satisfecho,11,NA,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,4,Interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,60,Femenino,Ingenieria Industrial,15,30,NA,Medianamente satisfecho,13,15,Intermedio,"No, pero desearía serlo",Entorno familiar y/o social,Soy vegetariano o vegano,1,Regular,Muy poco importante,3,Muy poco interesado,3,Difícil,13,26
4,29,52,Femenino,Ingenieria Civil,20,25,1,Medianamente satisfecho,10,13,Avanzado,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,4,Interesado,4,Difícil,12,15
5,20,52,Femenino,Ingenieria Ambiental,10,20,1,Medianamente satisfecho,11,40,Básico,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,NA,Mucho,Muy importante,4,Muy interesado,5,Regular,15,18
4,20,62,Masculino,Ingenieria Civil,NA,25,4,Satisfecho,20,30,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Muy interesado,4,No me importa conseguir alimentos vegetarianos,14,20
5,18,85,Masculino,Ingenieria Quimica,5,15,3,Medianamente satisfecho,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,20,68,Masculino,Ingenieria Civil,10,25,4,Completamente satisfecho,15,15,Intermedio,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Soy vegetariano o vegano,23,Regular,Nada importante,5,Nada interesado,4,Difícil,16,30
4,20,58,Femenino,Ingenieria Industrial,15,20,1,Medianamente satisfecho,14,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,4,Interesado,2,No tengo conocimiento sobre alimentos vegetarianos,12,15
4,19,65,Masculino,Ingenieria Civil,10,20,5,Medianamente satisfecho,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,2,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
4,19,76.1,Masculino,Ciencias de la computación,5,10,2,Medianamente satisfecho,11,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Muy poco importante,3,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,17,20
4,19,45,Femenino,Ingenieria Industrial,10,10,NA,No compro alimentos en UTEC,10,18,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Bastante,Muy importante,4,Muy poco interesado,4,No me importa conseguir alimentos vegetarianos,15,18
4,18,63,Masculino,Ciencias de la computación,NA,NA,NA,No compro alimentos en UTEC,10,20,Básico,No,Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,NA,Mucho,Nada importante,3,Interesado,4,Difícil,13,14
4,19,60,Masculino,Ingenieria Civil,NA,20,NA,No compro alimentos en UTEC,10,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,4,Muy poco interesado,3,Regular,10,14
4,20,57,Femenino,Ingenieria Industrial,NA,15,NA,No compro alimentos en UTEC,11,14,Básico,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,12
4,21,56,Masculino,Ingeniería Mecatrónica,30,60,7,No compro alimentos en UTEC,11,20,Intermedio,"No, pero desearía serlo",Salud,Sí adoptaría una dieta vegetariana,NA,Nada,Nada importante,3,Interesado,4,Difícil,12,20
4,19,53.2,Femenino,Ingeniería Mecatrónica,20,NA,NA,No compro alimentos en UTEC,NA,NA,Básico,"No, pero desearía serlo",Interés por los derechos de los animales,Costo,NA,Mucho,Importante,2,Interesado,4,No tengo conocimiento sobre alimentos vegetarianos,10,13
