Marca temporal,Edad,Género,Carrera,Distrito en el que vives,Ciclo de Estudio,¿Qué tan buena consideras que es tu educación financiera?,¿Has llevado un curso de finanzas en UTEC?,"En caso de marcar ""Sí"". ¿Crees que esto te ayudó a moderar tus gastos?",¿Cuánto dinero sueles ahorrar al mes?,¿Cuántas veces al mes comes fuera de casa?,¿Planificas y controlas tus finanzas personales?,¿Has invertido tu dinero en algún momento?,¿Cuentas con una tarjeta de crédito?,¿Has solicitado préstamos?,¿Con qué frecuencia estableces un presupuesto mensual?,¿Sueles contabilizar tus gastos en transporte/comida?,¿Cuánto meses llevas ahorrando?,¿Cuánto dinero tienes ahorrado a día de hoy?
6/05/2023 12:38:14,17,Masculino,Ingeniería Mecatrónica,Magdalena del Mar,1,3,No,,S/50 - S/100,Menos de 3 veces al mes.,No,No,No,No,A veces,Sí,144,120
6/05/2023 13:00:54,21,Femenino,Ingeniería Industrial,Cercado de Lima,4,3,Sí,3,S/50 - S/100,Más de 10 veces al mes.,No,No,Sí,Sí,Nunca,No,0,0
6/05/2023 13:05:41,23,Masculino,Ingeniería Mecatrónica,Ate,8,3,Sí,2,S/50 - S/100,Más de 10 veces al mes.,Sí,Sí,No,No,A veces,Sí,6,500
6/05/2023 13:08:32,18,Femenino,Administración y Negocios Digitales,Cercado de Lima,2,4,No,3,S/50 - S/100,3-5 veces al mes.,Sí,No,Sí,No,A veces,Sí,1,8
6/05/2023 13:08:41,22,Masculino,Administración y Negocios Digitales,Los Olivos,5,2,Sí,2,Menos de S/50,3-5 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,1,60
6/05/2023 13:10:27,20,Femenino,Administración y Negocios Digitales,Villa María del Triunfo,2,3,No,,Menos de S/50,Menos de 3 veces al mes.,Sí,No,No,No,A veces,No,3,140
6/05/2023 13:17:25,19,Femenino,Bioingeniería,Santiago de Surco,5,1- Muy mala,No,,Menos de S/50,3-5 veces al mes.,No,No,Sí,No,Nunca,Sí,2,0
6/05/2023 13:18:08,19,Femenino,Ingeniería Civil,San Borja,3,3,No,,S/50 - S/100,Más de 10 veces al mes.,Sí,Sí,Sí,Sí,A veces,Sí,3,300
6/05/2023 13:21:42,17,Masculino,Ingeniería Civil,Barranco,2,3,No,,S/100 - S/200,5-10 veces al mes.,No,No,Sí,Sí,A veces,Sí,2,500
6/05/2023 13:21:48,19,Femenino,Ingeniería Civil,Santiago de Surco,2,4,No,,Más de S/200,Más de 10 veces al mes.,Sí,Sí,Sí,No,Nunca,Sí,8,1600
6/05/2023 13:24:10,20,Masculino,Ingeniería Electrónica,Chaclacayo,2,3,No,,Más de S/200,5-10 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,1,300
6/05/2023 13:27:46,18,Femenino,Ingeniería Industrial,Barranco,2,4,No,4,S/50 - S/100,Más de 10 veces al mes.,Sí,No,No,No,A veces,Sí,3,700
6/05/2023 13:28:17,20,Masculino,Ingeniería Industrial,San Juan de Miraflores,2,3,No,3,Más de S/200,Más de 10 veces al mes.,No,No,Sí,No,Nunca,No,17,3500
6/05/2023 13:28:53,20,Masculino,Ingeniería Civil,Carabayllo,4,3,Sí,4,Más de S/200,3-5 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,5,1600
