"","Edad","Altura","Peso","Sexo","Hora.desayuno","Hora.desgaste","Tipo.de.producto","Producto.principal","Porción.producto.principal","Costo.producto.principal","Unidades.producto.principal","Tipo.producto.secundario","Producto.secundario","Porción.producto.secundario","Costo.unidad.producto.secundario","Unidades.producto.secundario","Actividad.pre.desgasto","Tiempo.pre.desgaste"
"124",20,170,69,"Masculino","07:00","10:00",NA,"Queso","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",3
"125",20,173,65,"Masculino","09:00","13:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Keke","Una porción estandar (normal)",0,2,"Poco",4
"126",19,160,65,"Femenino","06:00","11:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1vaso","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",5
"127",18,185,85,"Masculino","07:30","14:00","Bebida","Quaker","En tamaño, como un vaso de jugo",0,"1","Fruta","Fruta","Una porción estandar (normal)",0,2,"Normal",6.5
"128",19,170,59,"Masculino","08:00","12:00","Bebida","Avena","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Regular",4
"129",19,152,54,"Femenino","05:40","12:00","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,1,"Regular",6.3333
"130",21,153,60,"Femenino","05:00","13:00","Bebida","Leche","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Muy poco",8
"131",18,178,73,"Masculino","07:00","13:00","Bebida","Avena","En tamaño, como un vaso de jugo",0,"2","Fruta","Fruta","Una porción estandar (normal)",0,2,"Regular",6
"132",22,168,68,"Masculino","11:00","12:30","Bebida","Quinua","En tamaño, como un vaso de jugo",1.5,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",1.5,2,"Poco",1.5
"133",19,167,62,"Masculino","00:00","15:00","Bebida","Quaker","En tamaño, como un vaso de jugo",0,"1","kekes (keke de chocolate, de pecanas, de naranja, etc.)","Keke","Una porción pequeña",0,1,"Normal",15
"134",31,145,NA,"Femenino","09:00","14:00","Bebida","Avena","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,1,"Normal",5
"135",19,178,80,"Masculino","08:00","13:00","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",5
"136",18,170,89,"Femenino","08:00","13:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1","Panqueques ","Avena","Una porción estandar (normal)",0,2,"Normal",5
"137",36,170,63,"Femenino","07:00","10:30","Comida","Pan/(mantequilla,jamon,palta)","1 pan",0,"1","Fruta","Ensalada de fruta","Una porción estandar (normal)",0,1,"Regular",3.5
"138",23,160,65,"Masculino","00:00","12:00","Bebida","Jugo de fruta(s)","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","snaks (galletas, chocolates, etc.)","Keke","Una porción pequeña",0,2,"Normal",12
"139",21,165,76,"Femenino","10:00","12:00","Comida","Fruta","Tamañano de una manzana",0,"1","kekes (keke de chocolate, de pecanas, de naranja, etc.)","Keke","Una porción estandar (normal)",0,1,"Normal",2
"140",22,175,66,"Masculino","00:00","12:00","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Muy poco",12
"141",22,160,49,"Femenino","09:40","15:00",NA,"Pan","un pan blanco",0,"1","Tortilla","Huevo  ","Una porción estandar (normal)",0,1,"Muy poco",5.3333
"142",20,170,64,"Masculino","07:30","13:00","Bebida","Quaker","Un plato de segundo",0,"2","Fruta","Galleta","Una porción estandar (normal)",0,2,"Normal",5.5
"143",18,170,58,"Masculino","08:30","13:30","Bebida","Te","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",5
"144",22,160,58,"Femenino","09:00","12:30","Bebida","Maca","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,2,"Poco",3.5
"145",18,172,60,"Masculino","00:00","10:00","Bebida","Quaker","Un plato de segundo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Empanada","Una porción estandar (normal)",0,2,"Poco",10
"146",20,169,85,"Femenino","09:00","12:30","Bebida","Quaker","En tamaño, como un vaso de jugo",5,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)",NA,"Una porción estandar (normal)",2,2,"Normal",3.5
"147",21,156,42,"Femenino","08:50","14:00","Comida","Quaker","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Fruta","Una porción estandar (normal)",0,1,"Normal",5.1667
"148",26,163,57,"Masculino","10:00","14:00","Bebida","Yogurt ","En tamaño, como un vaso de jugo",0,"1","snaks (galletas, chocolates, etc.)","Galleta","Una porción pequeña",0,1,"Regular",4
"149",25,172,74,"Masculino","06:30","12:30","Bebida","Quinua","En tamaño, como un vaso de jugo",0,"1","Huevo duro","Huevo  ","Una porción estandar (normal)",0,2,"Normal",6
"150",26,171,68,"Masculino","08:00","12:45","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"2.4","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción grande",0,3.1416,"Normal",4.75
"151",20,155,69,"Femenino","06:10","11:30","Bebida","Maca","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Mucho",5.3333
"152",23,165,68,"Masculino","08:00","17:30","Bebida","Quinua","En tamaño, como un vaso de jugo",2,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",2,2,"Normal",9.5
"153",25,165,70,"Masculino","08:30","10:00",NA,"Avena","Tazón, 1 litro",0,"1","Pan con palta","Pan","Una porción estandar (normal)",0,2,"Mucho",1.5
"154",22,160,53,"Femenino","08:00","13:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Regular",5
"155",18,180,80,"Masculino","07:00","11:00","Bebida","Arroz","En tamaño, como un vaso de jugo",0,"1","kekes (keke de chocolate, de pecanas, de naranja, etc.)","Pollo","Una porción estandar (normal)",0,2,"Mucho",4
