"¿Cuál es tu edad?","¿Cuál es su género?","¿Qué carrera estudias?","¿En qué ciclo se encuentra?","¿Conoces alguna inteligencia artificial?","¿Has utilizado la IA antes?","¿Desde cuando utilizas sistemas de IA en tu entorno académico?","¿Crees que mejoró tu rendimiento académico?","¿Para que cursos utilizas más sistemas de IA?  ","Escribe tu promedio ponderado del ciclo 2022-2","¿Cuál es tu actitud hacia la IA?","¿Cuánto tiempo en promedio usas IA al día? (Solo escribe el número de horas, si lo usas dos horas y media escribe ""2.5"" Si no usa escribe ""0"")","¿Qué tan beneficiosos consideras que son los sistemas de IA? (1= Nada beneficioso 10= Extremadamente beneficioso)","¿Cuáles son tus principales preocupaciones acerca de la IA? ","¿Qué nivel de confianza tienes en la IA?","¿Crees que la regulación de la IA es necesaria?","¿En qué nivel de optimismo clasificarías el futuro de la IA?","¿Crees que la inteligencia artificial tendrá un impacto significativo en tu futura profesión o campo de estudio?","¿Cuál de las siguientes áreas crees que se beneficiará más con el avance de la inteligencia artificial en el futuro?","¿Te gustaría aprender más sobre inteligencia artificial y cómo se aplica en la vida cotidiana, en tu campo de estudio o en tu futura profesión?","¿Qué inteligencias artificiales conoces?","¿Estarías dispuesto/a a estudiar algo relacionado con la tecnología para mantener tus habilidades actualizadas y no quedarte sin trabajo?","¿Crees que la creciente dependencia de la inteligencia artificial podría afectar la capacidad de las personas para ejercer un juicio crítico independiente?","En tu uso cotidiano de IAs, ¿Cuánto consideras que te proporciona resultados útiles?. (1= Nada útil 10= Extremadamente útil ; Si no usas sistemas de IA pon ""0"") ","Del 1 al 10 ¿Cuánto tiempo sientes que ahorras usando inteligencia artificial para tus actividades? (1= Nada de tiempo 10= Demasiado Tiempo; Si no usas sistemas de IA pon ""0"")","",""
"20","Femenino","Ingeniería Ambiental","1","Sí","Sí","No he hecho uso de sistemas de IA","Tal vez","Programación","13","Neutral","1","10","Disminución del criterio de las personas","Bajo","Si","Neutral","No","Área Artística","Si","Github Copilot","Si","No","7","10","",""
"23","Femenino","Administración y Negocios Digitales","6","Sí","Sí","No he hecho uso de sistemas de IA","Si","Numeros","12.9","Negativa","2.5","7","Disminución del criterio de las personas","Bajo","No","Neutral","No","Área Artística","Tal vez","Youchat","No","Si","4","7","",""
"17","Femenino","Ciencia de Datos","4","Sí","Sí","Mucho antes","No","Programación","15","Positiva","2","6","Reemplazar a las personas laboralmente","Alto","No","Neutral","No","Área Artística","Tal vez","ChatGPT","No","Si","2","4","",""
"18","Femenino","Ingeniería Mecánica","4","Sí","No","Desde este ciclo","Si","Ciencias","12.6","Neutral","0","5","Reemplazar a las personas laboralmente","Medio","Si","Pesimista","No","Área estudiantil","Tal vez","Github Copilot","No","No","7","8","",""
"20","Masculino","Ingeniería Química","6","No","No","No he hecho uso de sistemas de IA","Tal vez","Letras","11.3","Negativa","1.5","5","No tengo preocupaciones","Medio","No","Muy optimista","Si","Área estudiantil","Si","Github Copilot","Si","Si","1","5","",""
"17","Masculino","Ciencias de la Computación","2","Sí","No","Desde el ciclo pasado","Tal vez","Programación","16","Negativa","1.5","8","Mal uso de las IAs","Bajo","No","Muy pesimista","Tal vez","Medicina","Si","Wombo","Si","Si","7","10","",""
"23","Femenino","Ingeniería Mecatrónica","3","Sí","No","Desde este ciclo","Si","Numeros","12.5","Positiva","0","8","No obtener información verídica","Nulo","Si","Neutral","Si","Todos","Tal vez","Github Copilot","Si","Si","4","6","",""
"17","Masculino","Ingeniería Química","6","No","No","Desde el ciclo pasado","Si","Programación","11.4","Neutral","2.5","6","Disminución del criterio de las personas","Medio","Si","Muy optimista","No","Área Artística","Tal vez","Wombo","No","No","0","6","",""
"18","Femenino","Ingeniería Química","4","No","No","No he hecho uso de sistemas de IA","No","Letras","11","Negativa","3","5","Mal uso de las IAs","Alto","No","Muy optimista","No","Área estudiantil","Tal vez","ChatGPT","Tal vez","No","3","10","",""
"21","Masculino","Administración y Negocios Digitales","3","Sí","No","No he hecho uso de sistemas de IA","Tal vez","Programación","16.8","Negativa","0","5","No tengo preocupaciones","Nulo","No","Pesimista","Tal vez","Área estudiantil y laboral","Si","Google Bard","Si","No","5","3","",""
"18","Masculino","Ingeniería Ambiental","1","No","No","No he hecho uso de sistemas de IA","Si","Letras","13","Negativa","3","7","Reemplazar a las personas laboralmente","Nulo","No","Optimista","Si","Área Artística","Si","Dall E","Tal vez","Si","5","7","",""
"21","Masculino","Bioingeniería","6","No","No","Mucho antes","No","Programación","15.4","Negativa","1","8","Reemplazar a las personas laboralmente","Alto","No","Pesimista","No","Área estudiantil y laboral","No","Github Copilot","Si","No","1","0","",""
"23","Masculino","Ingeniería Mecánica","3","No","No","Desde este ciclo","No","Programación","15.1","Positiva","2","10","Disminución del criterio de las personas","Nulo","Si","Pesimista","Tal vez","Medicina","Si","Github Copilot","Si","No","4","3","",""
"20","Femenino","Ingeniería Industrial","5","No","No","Desde este ciclo","No","Letras","16.4","Negativa","2","10","Mal uso de las IAs","Alto","Si","Muy optimista","No","Áreas de investigación","Tal vez","Youchat","Si","Si","5","6","",""
"17","Femenino","Ingeniería Industrial","4","No","No","No he hecho uso de sistemas de IA","Tal vez","Ciencias","17","Positiva","1.5","9","No obtener información verídica","Bajo","Si","Optimista","Si","Medicina","No","Github Copilot","Si","No","2","1","",""
"19","Femenino","Ingeniería Química","6","No","No","Mucho antes","No","Numeros","14.6","Positiva","1.5","10","Reemplazar a las personas laboralmente","Alto","No","Muy pesimista","Tal vez","Área estudiantil","Tal vez","Wombo","Tal vez","No","3","4","",""
"23","Masculino","Ingeniería Civil","3","Sí","No","Mucho antes","No","Ciencias","17.7","Neutral","2","8","Mal uso de las IAs","Nulo","Si","Pesimista","No","Todos","No","Wombo","Si","No","7","7","",""
"19","Masculino","Ingeniería Mecatrónica","1","Sí","Sí","No he hecho uso de sistemas de IA","Tal vez","Numeros","15.2","Positiva","1","7","No tengo preocupaciones","Medio","Si","Muy optimista","Si","Todos","No","Github Copilot","Tal vez","Si","9","5","",""
"22","Masculino","Ciencias de la Computación","3","Sí","Sí","Desde este ciclo","No","Numeros","15.5","Positiva","0.5","6","Dependencia de las personas en las IAs","Bajo","No","Neutral","Tal vez","Área estudiantil","No","Dall E","Si","No","10","4","",""
"17","Masculino","Ciencias de la Computación","2","Sí","Sí","Mucho antes","Tal vez","Programación","16.7","Neutral","0.5","10","Disminución del criterio de las personas","Alto","No","Neutral","Tal vez","Área Artística","Si","Github Copilot","No","Si","2","6","",""
"23","Masculino","Ciencia de Datos","2","Sí","Sí","No he hecho uso de sistemas de IA","No","Programación","18","Neutral","2.5","10","Mal uso de las IAs","Alto","No","Muy optimista","No","Áreas de investigación","Si","ChatGPT","No","No","10","1","",""
"20","Femenino","Ingeniería Industrial","4","No","No","Desde el ciclo pasado","Si","Ciencias","15.7","Negativa","3.5","6","Dependencia de las personas en las IAs","Alto","No","Neutral","Tal vez","Área laboral","No","Wombo","Si","Si","5","9","",""
"19","Masculino","Ingeniería Electrónica","2","Sí","No","No he hecho uso de sistemas de IA","Si","Numeros","15.6","Positiva","0","7","Dependencia de las personas en las IAs","Bajo","No","Neutral","Si","Medicina","No","Google Bard","Si","Si","10","2","",""
"17","Femenino","Ingeniería Industrial","6","Sí","Sí","No he hecho uso de sistemas de IA","No","Programación","16.6","Neutral","0","9","No tengo preocupaciones","Nulo","No","Muy optimista","No","Todos","Tal vez","ChatGPT","Si","No","5","6","",""
"20","Masculino","Ciencias de la Computación","4","Sí","Sí","Desde este ciclo","Tal vez","Letras","12.9","Negativa","2","8","Reemplazar a las personas laboralmente","Nulo","Si","Muy pesimista","Si","Área estudiantil y laboral","No","Youchat","Tal vez","Si","6","0","",""
"19","Femenino","Ingeniería Civil","3","Sí","No","Desde el ciclo pasado","No","Ciencias","11.6","Neutral","1","9","Dependencia de las personas en las IAs","Medio","Si","Optimista","Si","Área laboral","Si","Google Bard","Tal vez","No","3","4","",""
"17","Masculino","Ingeniería Química","2","Sí","Sí","Desde el ciclo pasado","Si","Ciencias","15.1","Neutral","3","9","Mal uso de las IAs","Bajo","Si","Pesimista","Tal vez","Áreas de investigación","Si","Google Bard","No","No","4","3","",""
"21","Femenino","Ingeniería Química","5","Sí","Sí","Desde este ciclo","Tal vez","Programación","14.1","Neutral","0.5","8","No obtener información verídica","Bajo","Si","Neutral","Si","Áreas de investigación","Tal vez","Dall E","Tal vez","Si","2","8","",""
"18","Femenino","Ingeniería Industrial","5","No","No","Mucho antes","Tal vez","Numeros","11.9","Negativa","0","5","No tengo preocupaciones","Bajo","No","Optimista","No","Área Artística","Si","ChatGPT","Tal vez","No","9","9","",""
"17","Femenino","Ingeniería Civil","3","No","No","Desde el ciclo pasado","No","Numeros","11.9","Positiva","3","7","Mal uso de las IAs","Bajo","Si","Muy optimista","No","Medicina","Si","ChatGPT","No","Si","5","5","",""
"17","Femenino","Ingeniería Química","1","No","No","Mucho antes","Tal vez","Programación","12.5","Positiva","2","9","Mal uso de las IAs","Alto","No","Muy pesimista","No","Medicina","Si","Github Copilot","No","No","2","4","",""
"19","Femenino","Administración y Negocios Digitales","1","Sí","Sí","Mucho antes","Tal vez","Letras","14.8","Neutral","3.5","10","Disminución del criterio de las personas","Nulo","No","Neutral","Tal vez","Áreas de investigación","Si","Wombo","No","No","0","7","",""
"20","Masculino","Ciencias de la Computación","5","Sí","No","Mucho antes","Si","Letras","17.2","Neutral","3.5","9","Reemplazar a las personas laboralmente","Bajo","Si","Neutral","Si","Área Artística","No","Google Bard","Tal vez","No","5","3","",""
"18","Femenino","Ingeniería Química","5","Sí","Sí","Desde este ciclo","Si","Letras","17.5","Positiva","0","9","Dependencia de las personas en las IAs","Bajo","Si","Neutral","No","Área laboral","Si","Wombo","Si","Si","9","9","",""
"21","Masculino","Administración y Negocios Digitales","5","Sí","No","No he hecho uso de sistemas de IA","No","Numeros","13.6","Neutral","2.5","7","Reemplazar a las personas laboralmente","Bajo","No","Optimista","Si","Medicina","No","Youchat","Tal vez","No","7","7","",""
"18","Masculino","Bioingeniería","2","No","No","Mucho antes","Tal vez","Letras","16.4","Negativa","2","9","Dependencia de las personas en las IAs","Medio","No","Muy optimista","Tal vez","Área estudiantil y laboral","Tal vez","Youchat","Tal vez","Si","10","7","",""
"17","Femenino","Administración y Negocios Digitales","6","Sí","Sí","Mucho antes","Si","Numeros","11.2","Neutral","2.5","10","Mal uso de las IAs","Nulo","No","Pesimista","Tal vez","Área estudiantil y laboral","Si","Github Copilot","No","Si","1","5","",""
"19","Masculino","Ciencias de la Computación","5","Sí","No","Mucho antes","Si","Programación","14.9","Positiva","0.5","5","No tengo preocupaciones","Nulo","No","Optimista","Tal vez","Área laboral","Tal vez","Youchat","Si","Si","6","0","",""
"18","Masculino","Ingeniería Ambiental","1","Sí","No","Desde este ciclo","Si","Programación","17.4","Positiva","2.5","6","No tengo preocupaciones","Nulo","No","Neutral","Si","Área laboral","No","Wombo","Si","Si","8","4","",""
"23","Femenino","Ingeniería Industrial","3","Sí","No","Desde este ciclo","Si","Numeros","15.6","Positiva","0.5","8","Reemplazar a las personas laboralmente","Alto","Si","Pesimista","Si","Área estudiantil y laboral","Si","Youchat","Si","Si","0","1","",""
"20","Femenino","Ciencias de la Computación","2","Sí","Sí","Desde el ciclo pasado","Si","Ciencias","12.8","Negativa","1","6","Reemplazar a las personas laboralmente","Medio","Si","Muy pesimista","Si","Medicina","Si","Wombo","Tal vez","Si","1","1","",""
"23","Femenino","Ingeniería Ambiental","2","Sí","Sí","Desde este ciclo","No","Programación","13.1","Neutral","0","9","Dependencia de las personas en las IAs","Nulo","Si","Muy pesimista","Tal vez","Área laboral","Tal vez","Google Bard","Si","Si","4","10","",""
"20","Masculino","Ingeniería Electrónica","6","Sí","No","Desde el ciclo pasado","Tal vez","Ciencias","12.9","Positiva","0.5","9","Disminución del criterio de las personas","Nulo","Si","Pesimista","Tal vez","Área laboral","No","Wombo","Tal vez","No","5","0","",""
"17","Masculino","Ingeniería Mecatrónica","5","No","No","Desde el ciclo pasado","Si","Numeros","16.4","Negativa","2","9","No obtener información verídica","Alto","No","Muy pesimista","Si","Área laboral","Si","ChatGPT","No","Si","3","8","",""
"21","Femenino","Bioingeniería","2","Sí","Sí","No he hecho uso de sistemas de IA","Si","Programación","13.9","Positiva","0","7","Disminución del criterio de las personas","Bajo","Si","Optimista","No","Medicina","Tal vez","Dall E","Tal vez","No","3","3","",""
"19","Femenino","Bioingeniería","5","No","No","No he hecho uso de sistemas de IA","Si","Letras","11.2","Negativa","3.5","7","Dependencia de las personas en las IAs","Alto","No","Muy optimista","No","Medicina","Si","Github Copilot","Tal vez","Si","4","1","",""
"18","Femenino","Ingeniería Electrónica","2","Sí","Sí","Mucho antes","Si","Programación","17.4","Positiva","2.5","10","Disminución del criterio de las personas","Nulo","No","Muy pesimista","Si","Área Artística","No","Google Bard","Tal vez","No","2","4","",""
"19","Masculino","Ingeniería Mecatrónica","4","Sí","Sí","Desde este ciclo","Tal vez","Ciencias","15.4","Neutral","3","8","No tengo preocupaciones","Alto","No","Pesimista","Si","Todos","Tal vez","ChatGPT","Tal vez","Si","4","2","",""
"18","Femenino","Ingeniería Electrónica","1","Sí","Sí","Mucho antes","No","Ciencias","14.2","Negativa","0","6","No tengo preocupaciones","Nulo","No","Optimista","No","Áreas de investigación","Tal vez","Dall E","Tal vez","No","8","8","",""
"21","Masculino","Administración y Negocios Digitales","4","No","No","No he hecho uso de sistemas de IA","No","Programación","12.6","Negativa","0","9","Reemplazar a las personas laboralmente","Medio","No","Muy pesimista","Si","Área laboral","No","ChatGPT","Tal vez","No","2","2","",""
"17","Femenino","Ciencia de Datos","2","Sí","Sí","Desde el ciclo pasado","No","Programación","12","Positiva","0.5","10","Mal uso de las IAs","Alto","Si","Muy optimista","Tal vez","Áreas de investigación","No","Dall E","No","Si","7","4","",""
"23","Masculino","Ciencias de la Computación","5","Sí","Sí","No he hecho uso de sistemas de IA","Tal vez","Numeros","17.7","Neutral","2.5","10","Disminución del criterio de las personas","Bajo","Si","Muy optimista","No","Medicina","No","Dall E","Tal vez","No","10","5","",""
"23","Masculino","Ingeniería Mecatrónica","3","No","No","Mucho antes","No","Programación","11.1","Negativa","2.5","7","Mal uso de las IAs","Nulo","No","Optimista","Si","Todos","Tal vez","Google Bard","Tal vez","Si","8","4","",""
"21","Masculino","Ingeniería Química","3","Sí","No","Mucho antes","Si","Letras","15.9","Positiva","3.5","8","Mal uso de las IAs","Bajo","No","Optimista","Si","Áreas de investigación","Si","Google Bard","No","No","1","7","",""
"23","Femenino","Administración y Negocios Digitales","3","No","No","Desde este ciclo","No","Programación","12.8","Positiva","2","6","No obtener información verídica","Alto","No","Pesimista","No","Área estudiantil","No","Google Bard","Si","Si","6","10","",""
"23","Femenino","Ingeniería Química","5","No","No","No he hecho uso de sistemas de IA","Si","Ciencias","15.8","Negativa","1","6","Mal uso de las IAs","Nulo","No","Muy pesimista","Tal vez","Área estudiantil","Si","Github Copilot","Si","No","3","7","",""
"17","Femenino","Ciencias de la Computación","2","Sí","No","Desde el ciclo pasado","No","Letras","13.9","Neutral","3","10","Reemplazar a las personas laboralmente","Alto","Si","Optimista","Tal vez","Área estudiantil","Tal vez","Dall E","Si","Si","9","1","",""
"21","Femenino","Ciencia de Datos","4","Sí","No","No he hecho uso de sistemas de IA","Tal vez","Programación","14.3","Positiva","1.5","8","No obtener información verídica","Medio","No","Pesimista","No","Áreas de investigación","No","Google Bard","Si","Si","6","5","",""
"21","Femenino","Ciencias de la Computación","2","Sí","Sí","Desde este ciclo","No","Numeros","15.7","Neutral","0","5","Disminución del criterio de las personas","Bajo","Si","Neutral","No","Áreas de investigación","Tal vez","Dall E","Tal vez","Si","10","10","",""
"18","Masculino","Ciencias de la Computación","6","Sí","Sí","Desde el ciclo pasado","Tal vez","Programación","17.2","Positiva","3","10","No tengo preocupaciones","Bajo","No","Muy pesimista","Si","Áreas de investigación","Si","Youchat","Tal vez","No","7","2","",""
"19","Femenino","Ingeniería Mecatrónica","1","No","No","Desde el ciclo pasado","Si","Letras","12.7","Positiva","2","7","Disminución del criterio de las personas","Bajo","No","Pesimista","Si","Área estudiantil y laboral","No","Youchat","Tal vez","No","3","2","",""
"17","Masculino","Ingeniería Civil","1","Sí","No","Desde el ciclo pasado","No","Numeros","17.2","Positiva","2","5","Disminución del criterio de las personas","Medio","No","Optimista","Tal vez","Áreas de investigación","Si","Google Bard","Si","No","2","8","",""
"17","Femenino","Ingeniería Industrial","3","Sí","No","Desde el ciclo pasado","No","Programación","14.9","Positiva","2","7","No obtener información verídica","Bajo","No","Optimista","Tal vez","Áreas de investigación","No","ChatGPT","Tal vez","No","10","10","",""
"23","Femenino","Ciencias de la Computación","1","Sí","Sí","Mucho antes","No","Numeros","14","Positiva","3","9","Dependencia de las personas en las IAs","Nulo","Si","Neutral","Tal vez","Áreas de investigación","No","Wombo","Tal vez","Si","6","8","",""
"18","Femenino","Ingeniería Industrial","2","No","No","Desde el ciclo pasado","No","Programación","12.7","Positiva","0.5","5","Dependencia de las personas en las IAs","Alto","No","Optimista","Tal vez","Área laboral","Tal vez","ChatGPT","No","Si","2","4","",""
"19","Femenino","Ingeniería Civil","5","No","No","Desde el ciclo pasado","No","Programación","15.5","Negativa","1","9","No obtener información verídica","Alto","No","Muy optimista","Si","Áreas de investigación","No","Wombo","Si","No","9","8","",""
"19","Masculino","Ingeniería Ambiental","2","Sí","Sí","Mucho antes","No","Ciencias","12.1","Positiva","0.5","10","Reemplazar a las personas laboralmente","Alto","No","Muy optimista","No","Áreas de investigación","Si","Github Copilot","No","Si","6","10","",""
"21","Femenino","Ciencia de Datos","6","Sí","No","Desde el ciclo pasado","Si","Numeros","13.1","Positiva","3","10","No obtener información verídica","Alto","Si","Optimista","Si","Todos","No","ChatGPT","Tal vez","No","4","8","",""
"22","Femenino","Ingeniería Civil","4","Sí","Sí","No he hecho uso de sistemas de IA","No","Numeros","12.2","Positiva","1.5","8","No tengo preocupaciones","Bajo","No","Muy optimista","Si","Áreas de investigación","Tal vez","ChatGPT","Tal vez","No","1","5","",""
"20","Femenino","Ciencia de Datos","5","Sí","Sí","Mucho antes","Si","Numeros","14.2","Positiva","0","10","No tengo preocupaciones","Medio","Si","Muy optimista","Si","Áreas de investigación","Tal vez","Wombo","No","Si","4","0","",""
"18","Femenino","Bioingeniería","5","Sí","No","Mucho antes","Tal vez","Programación","11.8","Negativa","2","8","Mal uso de las IAs","Nulo","Si","Muy optimista","No","Áreas de investigación","No","Wombo","Tal vez","Si","6","10","",""
"23","Masculino","Ingeniería Civil","3","Sí","Sí","No he hecho uso de sistemas de IA","Tal vez","Programación","15","Neutral","2","7","Disminución del criterio de las personas","Nulo","No","Neutral","Si","Área Artística","Si","Github Copilot","Si","Si","9","0","",""
"20","Masculino","Ciencia de Datos","2","Sí","No","No he hecho uso de sistemas de IA","Si","Numeros","17.1","Negativa","1","8","Disminución del criterio de las personas","Alto","No","Neutral","No","Todos","Tal vez","Github Copilot","No","Si","1","3","",""
"17","Masculino","Ingeniería Química","5","Sí","No","Desde este ciclo","Si","Programación","11.8","Positiva","0","5","Dependencia de las personas en las IAs","Nulo","No","Neutral","Si","Áreas de investigación","Si","Google Bard","Si","Si","6","3","",""
"17","Femenino","Ingeniería Civil","4","Sí","No","Desde el ciclo pasado","Si","Programación","16.3","Positiva","2.5","9","No tengo preocupaciones","Medio","No","Muy pesimista","No","Medicina","Si","Wombo","No","Si","8","0","",""
"19","Masculino","Administración y Negocios Digitales","3","Sí","Sí","No he hecho uso de sistemas de IA","Tal vez","Letras","15.3","Positiva","0","6","Dependencia de las personas en las IAs","Alto","Si","Pesimista","No","Área estudiantil","No","ChatGPT","Si","No","8","6","",""
"17","Femenino","Bioingeniería","2","Sí","Sí","No he hecho uso de sistemas de IA","Tal vez","Programación","15","Neutral","2.5","10","Mal uso de las IAs","Nulo","No","Optimista","Si","Área estudiantil","Tal vez","Google Bard","Si","Si","8","6","",""
"22","Femenino","Ingeniería Electrónica","5","No","No","No he hecho uso de sistemas de IA","Si","Programación","13.1","Positiva","0.5","6","No obtener información verídica","Nulo","Si","Muy pesimista","Si","Áreas de investigación","Tal vez","Github Copilot","No","Si","4","6","",""
"18","Femenino","Ingeniería Ambiental","5","No","No","No he hecho uso de sistemas de IA","Si","Letras","16.6","Positiva","0.5","5","No obtener información verídica","Bajo","No","Neutral","Tal vez","Todos","No","Dall E","No","No","5","1","",""
"21","Masculino","Bioingeniería","2","Sí","No","Desde este ciclo","No","Numeros","15.7","Neutral","2","5","Reemplazar a las personas laboralmente","Alto","Si","Optimista","No","Todos","Si","Wombo","Si","Si","4","7","",""
"19","Femenino","Ingeniería Industrial","5","No","No","Desde el ciclo pasado","No","Programación","15.3","Neutral","3","7","Disminución del criterio de las personas","Alto","Si","Pesimista","Si","Área estudiantil y laboral","Si","ChatGPT","Si","No","5","2","",""
"18","Masculino","Ingeniería Industrial","1","No","No","Mucho antes","No","Numeros","17.8","Neutral","3.5","10","No tengo preocupaciones","Alto","Si","Optimista","Tal vez","Área estudiantil y laboral","Tal vez","Google Bard","Si","No","5","6","",""
"21","Femenino","Ingeniería Mecánica","1","Sí","No","Mucho antes","No","Programación","15","Neutral","3","7","Mal uso de las IAs","Alto","Si","Neutral","Si","Medicina","Si","Github Copilot","No","No","7","0","",""
"18","Femenino","Ingeniería Mecánica","2","Sí","No","Desde el ciclo pasado","Si","Numeros","15.5","Neutral","1","8","No obtener información verídica","Nulo","No","Pesimista","No","Área estudiantil y laboral","Si","Youchat","No","No","6","8","",""
"17","Femenino","Administración y Negocios Digitales","3","Sí","No","Mucho antes","No","Programación","16.4","Positiva","1.5","6","Mal uso de las IAs","Medio","Si","Neutral","Si","Áreas de investigación","Si","Github Copilot","Tal vez","No","4","3","",""
"18","Femenino","Ingeniería Mecánica","2","No","No","Mucho antes","No","Numeros","11.9","Neutral","3.5","9","Reemplazar a las personas laboralmente","Nulo","No","Optimista","No","Área estudiantil y laboral","Tal vez","Wombo","Tal vez","Si","6","5","",""
"23","Masculino","Ingeniería Civil","3","Sí","No","No he hecho uso de sistemas de IA","No","Letras","11.7","Positiva","1","10","No tengo preocupaciones","Medio","Si","Neutral","Si","Todos","Tal vez","Dall E","Si","Si","0","0","",""
"17","Masculino","Ingeniería Civil","5","Sí","No","No he hecho uso de sistemas de IA","No","Letras","13.1","Negativa","2","10","Disminución del criterio de las personas","Nulo","Si","Muy optimista","Tal vez","Área estudiantil","Si","Dall E","Tal vez","No","10","3","",""
"23","Femenino","Administración y Negocios Digitales","4","No","No","No he hecho uso de sistemas de IA","Si","Ciencias","17.2","Negativa","0","10","Mal uso de las IAs","Medio","No","Optimista","No","Medicina","Tal vez","ChatGPT","No","Si","5","4","",""
"18","Masculino","Ciencia de Datos","2","Sí","No","Mucho antes","No","Programación","17.2","Neutral","0.5","9","No tengo preocupaciones","Nulo","Si","Optimista","Si","Área estudiantil","No","Google Bard","Tal vez","Si","8","7","",""
"18","Masculino","Ingeniería Mecánica","1","No","No","No he hecho uso de sistemas de IA","No","Programación","11.2","Neutral","1","10","Reemplazar a las personas laboralmente","Alto","Si","Optimista","Si","Áreas de investigación","Tal vez","Youchat","No","No","0","2","",""
"20","Femenino","Ingeniería Mecánica","6","No","No","No he hecho uso de sistemas de IA","Si","Programación","16.4","Neutral","1","9","Mal uso de las IAs","Bajo","No","Muy pesimista","Tal vez","Área estudiantil y laboral","Si","Google Bard","No","Si","9","7","",""
"17","Femenino","Ingeniería Química","2","Sí","Sí","Desde este ciclo","Tal vez","Letras","16.9","Neutral","0","5","Reemplazar a las personas laboralmente","Alto","Si","Muy optimista","Tal vez","Todos","Tal vez","Dall E","Si","Si","9","4","",""
"18","Masculino","Ingeniería Mecánica","1","Sí","Sí","No he hecho uso de sistemas de IA","Si","Letras","14.7","Positiva","3","9","No obtener información verídica","Nulo","No","Muy optimista","Si","Medicina","Tal vez","Youchat","Si","No","7","7","",""
"17","Masculino","Bioingeniería","1","Sí","Sí","No he hecho uso de sistemas de IA","Si","Numeros","12.7","Neutral","2","9","Mal uso de las IAs","Medio","Si","Neutral","Si","Áreas de investigación","Tal vez","Wombo","Tal vez","Si","9","4","",""
