Carrera,Ciclo,Promedio,Edad,Ocio,Transporte,Creditos,Tiempo_libre,Nivel_estres,Recreativos,Competencia,Sobrecarga,Caracter_profesor,Evaluaciones,Trabajo_profesores,Tiempo_limitado,No_entender_temas,Asesorias,Horas_asesorias,Ayuda_asesorias,Satisfaccion_asesorias,Valor_estres
Ing Mecatronica,I Ciclo,14,18,4,2,7,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,4,5,4,5,5,5,4,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.9142857142857143
Ing Civil,III Ciclo,14.33,18,5,1,16,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,5,5,5,5,5,5,Si,5,Muchisimo,"Frustrado, pude hacerlo mejor",1
Ing Civil,II Ciclo,15.7,20,2,0,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,4,5,3,4,4,4,4,Si,6,Poco,"Frustrado, pude hacerlo mejor",0.8
Ing Civil,IV Ciclo,13,19,2,2,16,3,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,2,3,2,2,2,2,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.45714285714285713
Ing Industrial,II Ciclo,11.5,18,3,0,26,5,Entrega de trabajos finales,Con ideas claras para mis proyectos,2,4,2,3,2,4,2,Si,6,Regular,"Satisfecho, las asesorias me salvaron",0.5428571428571428
Ing Mecanica,I Ciclo,15.7,17,4,2,20,6,Semana de examenes parciales,Feliz y relajado,3,5,2,2,2,2,2,Si,4,Muchisimo,"Frustrado, pude hacerlo mejor",0.5142857142857142
Ing Mecanica,II Ciclo,13.5,18,3,2,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,4,1,2,3,3,2,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.5714285714285714
Ing Industrial,IV Ciclo,14.94,20,2,2,18,5,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,3,5,4,5,5,5,1,Si,3,Poco,"Satisfecho, las asesorias me salvaron",0.8
Ing Mecatronica,IV Ciclo,15.639999999999999,18,4,0,23,6,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,3,4,4,4,3,4,4,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.7428571428571429
Bioingenieria,II Ciclo,16.2,18,2,0,18,2,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,2,4,4,5,5,3,4,Si,3,Poco,"Frustrado, pude hacerlo mejor",0.7714285714285715
Ing Ambiental,II Ciclo,15,20,6,3,19,5,Semana de examenes parciales,Feliz y relajado,4,5,2,4,5,3,4,No,0,No asistí a asesorías,No asistí a asesorías,0.7714285714285715
Ciencias de la Computacion,II Ciclo,15,18,4,0,20,5,Semana de examenes parciales,Feliz y relajado,4,5,3,4,4,4,5,No,0,No asistí a asesorías,No asistí a asesorías,0.8285714285714286
Ing Mecatronica,II Ciclo,17.5,17,3,0,20,5,Semana de exámenes finales,Feliz y relajado,4,4,2,5,5,5,5,Si,10,Regular,"Satisfecho, las asesorias me salvaron",0.8571428571428571
Bioingenieria,I Ciclo,16,18,4,2,20,4,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,3,3,3,3,3,3,3,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.6
Ing Industrial,III Ciclo,14.5,19,3,0,16,4,Semana de examenes parciales,Feliz y relajado,4,5,3,3,3,5,5,Si,6,Muchisimo,"Satisfecho, las asesorias me salvaron",0.8
Ing Civil,II Ciclo,14.5,18,3,0,21,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,4,5,5,5,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.9714285714285714
Ing Industrial,I Ciclo,15,17,6,3,20,5,Semana de examenes parciales,Feliz y relajado,3,5,3,5,5,5,4,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.8571428571428571
Ing Civil,II Ciclo,15,20,4,0,20,3,Semana de examenes parciales,Feliz y relajado,3,3,2,2,2,2,3,Si,6,Regular,"Satisfecho, las asesorias me salvaron",0.4857142857142857
Ciencias de la Computacion,II Ciclo,14.350000000000001,17,2,0,21,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,5,3,5,5,5,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.9142857142857143
Ing Industrial,IV Ciclo,13,20,2,1,24,3,Semana de examenes parciales,Feliz y relajado,3,3,4,3,4,2,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6285714285714286
Ing Mecatronica,III Ciclo,15.4,17,4,1,20,6,Entrega de trabajos finales,Feliz y relajado,3,3,4,4,4,2,3,Si,4,Muchisimo,"Frustrado, pude hacerlo mejor",0.6571428571428571
Bioingenieria,I Ciclo,18,18,2,0,26,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,1,5,3,2,3,3,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6285714285714286
Ing de la Energia,II Ciclo,12,18,2,1,20,2,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,3,5,3,5,1,2,5,No,0,No asistí a asesorías,No asistí a asesorías,0.6857142857142857
Ing Industrial,II Ciclo,14,20,4,3,7,2,Semana de exámenes finales,Con ideas claras para mis proyectos,5,4,4,4,4,4,3,Si,6,Regular,"Frustrado, pude hacerlo mejor",0.8
Ing Mecatronica,II Ciclo,11,18,2,2,17,5,Entrega de trabajos finales,Feliz y relajado,4,4,3,4,3,5,2,Si,4,Muchisimo,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Industrial,IV Ciclo,14.33,19,5,0,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,3,4,4,3,3,5,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.7428571428571429
Ing Industrial,I Ciclo,17,17,4,2,20,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,2,5,5,3,4,3,5,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.7714285714285715
Ing Industrial,VI Ciclo,16.7,22,2,1,15,4,Semana de examenes parciales,Feliz y relajado,4,5,3,5,3,3,3,No,0,No asistí a asesorías,No asistí a asesorías,0.7428571428571429
Ciencias de la Computacion,V Ciclo,14.5,18,4,0,18,3,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,4,2,5,4,4,5,Si,6,Poco,"Frustrado, pude hacerlo mejor",0.7714285714285715
Ing Civil,III Ciclo,13.98,21,6,0,26,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,3,3,4,2,3,4,Si,2,Muchisimo,"Satisfecho, las asesorias me salvaron",0.6571428571428571
Ing de la Energia,III Ciclo,14.6,18,4,1,22,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,1,2,2,2,2,2,2,Si,4,Poco,"Descontento, no consegui resultados",0.37142857142857144
Ing Civil,III Ciclo,15.5,17,3,1,21,3,Semana de exámenes finales,Feliz y relajado,3,3,3,3,4,5,4,Si,3,Poco,"Descontento, no consegui resultados",0.7142857142857143
Ing Quimica,II Ciclo,12.5,17,4,1,17,5,Entrega de trabajos finales,Con ideas claras para mis proyectos,4,5,3,3,5,4,4,No,0,No asistí a asesorías,No asistí a asesorías,0.8
Ing Ambiental,IV Ciclo,16.4,19,5,1,22,5,Semana de exámenes finales,Feliz y relajado,4,3,4,5,2,2,3,No,0,No asistí a asesorías,No asistí a asesorías,0.6571428571428571
Ing Civil,IV Ciclo,13.350000000000001,18,3,0,4,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,3,3,3,3,3,2,Si,6,Muchisimo,"Satisfecho, las asesorias me salvaron",0.5714285714285714
Ing Electronica,II Ciclo,16.8,18,4,2,22,2,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,2,3,2,2,2,2,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.45714285714285713
Ing Quimica,III Ciclo,13.05,16,4,2,21,6,Entrega de trabajos finales,Feliz y relajado,3,4,3,4,3,3,3,No,0,No asistí a asesorías,No asistí a asesorías,0.6571428571428571
Ing Quimica,IV Ciclo,15,17,4,2,21,5,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,3,4,3,4,3,3,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6571428571428571
Administración y Negocios Digitales,V Ciclo,12,19,7,2,17,5,Entrega de trabajos finales,Con ideas claras para mis proyectos,3,3,3,3,3,3,5,Si,3,Poco,"Descontento, no consegui resultados",0.6571428571428571
Administración y Negocios Digitales,IV Ciclo,16,20,6,3,22,6,Entrega de trabajos finales,Enérgico capaz de todo,3,3,4,3,4,4,3,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.6857142857142857
Ing de la Energia,II Ciclo,15,18,5,3,22,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,3,3,3,3,3,3,Si,4,Regular,"Descontento, no consegui resultados",0.6
Ciencias de la Computacion,III Ciclo,16,17,4,2,19,6,Semana de exámenes finales,Estresado porque pude haber avanzado proyectos,3,4,3,4,3,4,3,Si,6,Regular,"Frustrado, pude hacerlo mejor",0.6857142857142857
Ing Civil,V Ciclo,14,18,5,1,17,4,Semana de examenes parciales,Con ideas claras para mis proyectos,3,3,3,3,3,4,4,Si,4,Poco,"Descontento, no consegui resultados",0.6571428571428571
Ing Industrial,I Ciclo,18.75,17,2,0,20,5,Entrega de trabajos finales,Feliz y relajado,4,3,4,4,4,1,2,No,0,No asistí a asesorías,No asistí a asesorías,0.6285714285714286
Bioingenieria,III Ciclo,15,21,6,1,19,2,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,3,4,4,5,5,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ing de la Energia,III Ciclo,14.6,18,4,2,22,1,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,2,2,2,3,2,2,2,No,0,No asistí a asesorías,No asistí a asesorías,0.42857142857142855
Administración y Negocios Digitales,II Ciclo,15.8,18,4,1,23,2,Semana de exámenes finales,Estresado porque pude haber avanzado proyectos,2,1,2,2,2,2,2,Si,4,Regular,"Descontento, no consegui resultados",0.37142857142857144
Ing Quimica,IV Ciclo,13,18,5,1,15,5,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,3,4,4,4,4,4,4,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.7714285714285715
Ing Mecatronica,V Ciclo,16,19,8,1,22,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,3,1,2,3,3,3,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.5142857142857142
Ing Industrial,I Ciclo,14.89,20,4,2,20,3,Todas las semanas me causan estrés por la cantidad de tareas,Enérgico capaz de todo,5,5,5,5,5,5,5,Si,6,Regular,"Frustrado, pude hacerlo mejor",1
Ing Civil,I Ciclo,17,20,4,2,20,4,Entrega de trabajos finales,Enérgico capaz de todo,4,5,3,3,3,5,5,Si,5,Muchisimo,"Satisfecho, las asesorias me salvaron",0.8
Ciencias de la Computacion,III Ciclo,12.34,19,4,0,21,5,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,4,5,5,5,5,5,5,Si,4,Poco,"Descontento, no consegui resultados",0.9714285714285714
Ing Industrial,III Ciclo,11.5,18,4,2,20,3,Entrega de trabajos finales,Feliz y relajado,5,5,5,5,5,5,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",1
Ing Mecatronica,I Ciclo,15.350000000000001,17,3,1,20,5,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,4,3,4,4,5,4,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ciencias de la Computacion,II Ciclo,18.2,17,1.5,1,21,2,Entrega de trabajos finales,Feliz y relajado,3,3,4,4,3,3,3,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.6571428571428571
Ing Mecanica,VII Ciclo,13.2,20,5,1,18,5,Entrega de trabajos finales,Feliz y relajado,4,5,4,4,4,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.8857142857142857
Ciencias de la Computacion,II Ciclo,11,17,5,2,18,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,4,4,4,4,4,4,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.7714285714285715
Ing Quimica,VI Ciclo,15,22,3,1,14,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,3,5,5,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.8857142857142857
Ing Industrial,X Ciclo,11,22,8,2,18,5,Semana de examenes parciales,Feliz y relajado,1,1,1,1,1,1,1,No,0,No asistí a asesorías,No asistí a asesorías,0.2
Ciencia de Datos,II Ciclo,14.729999999999999,18,4,1,18,3,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,2,2,2,2,2,2,2,Si,6,Regular,"Descontento, no consegui resultados",0.4
Ing Quimica,IV Ciclo,15.5,19,4,2,20,1,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,3,3,3,3,3,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6
Bioingenieria,III Ciclo,14.76,18,8,0,22,2,Entrega de trabajos finales,Feliz y relajado,4,3,2,3,2,4,2,Si,5,Poco,"Frustrado, pude hacerlo mejor",0.5714285714285714
Ing Electronica,II Ciclo,13.2,19,4,2,21,1,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,4,4,4,4,4,4,Si,6,Poco,"Frustrado, pude hacerlo mejor",0.8
Ing Ambiental,II Ciclo,14.8,18,4,0,20,2,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,3,4,4,4,4,5,5,Si,3,Regular,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ing Civil,IV Ciclo,11.7,20,8,1,21,3,Entrega de trabajos finales,Con ideas claras para mis proyectos,2,2,2,2,2,2,2,Si,3,Regular,"Frustrado, pude hacerlo mejor",0.4
Bioingenieria,III Ciclo,12.9,21,4,1,22,4,Entrega de trabajos finales,Feliz y relajado,5,5,5,5,5,5,5,Si,2,Poco,"Frustrado, pude hacerlo mejor",1
Ing Industrial,III Ciclo,16.8,19,6,2,20,2,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,4,4,4,4,5,4,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ing Ambiental,I Ciclo,16,17,8,1,20,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,5,5,5,5,5,5,Si,6,Muchisimo,"Satisfecho, las asesorias me salvaron",1
Administración y Negocios Digitales,III Ciclo,14.8,20,9,2,19,2,Entrega de trabajos finales,Enérgico capaz de todo,4,3,4,3,4,4,3,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.7142857142857143
Ing Quimica,I Ciclo,18.6,17,8,0,18,3,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,5,5,5,5,5,5,Si,4,Muchisimo,"Satisfecho, las asesorias me salvaron",1
Ing Quimica,III Ciclo,16.91,20,7,3,19,2,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,4,3,2,3,2,4,2,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.5714285714285714
Ciencias de la Computacion,I Ciclo,14.3,17,7,0,18,4,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,5,5,5,5,5,5,5,Si,4,Muchisimo,"Satisfecho, las asesorias me salvaron",1
Ing Mecatronica,I Ciclo,12,24,2,2,21,0,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,3,5,5,3,5,4,2,Si,1,Poco,"Frustrado, pude hacerlo mejor",0.7714285714285715
Ing Industrial,I Ciclo,14.8,19,2,1,21,6,Semana de exámenes finales,Estresado porque pude haber avanzado proyectos,4,5,3,4,4,4,3,Si,3,Regular,"Frustrado, pude hacerlo mejor",0.7714285714285715
Ing Quimica,III Ciclo,13,16,2,1,21,4,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,3,4,3,4,3,4,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6857142857142857
Ing Quimica,III Ciclo,14,16,2,1,17,3,Semana de examenes parciales,Con ideas claras para mis proyectos,3,4,2,3,3,4,3,Si,4,Poco,"Descontento, no consegui resultados",0.6285714285714286
