"Genero","Edad","Cursos","Promedio","HorasSueño","Calidad","Estres","Ocio","Faltas","Tiempollegada","Evaluaciones"
"Femenino",20,5,13.4,5,"Buena","Bajo",4,"Medianamente","menos de 30 min","Tareas;Proyectos"
"Femenino",23,4,17.5,9,"Excelente","Medio",4,"Nunca","menos de 30 min","Test;Proyectos;Trabajos grupales"
"Prefiero no decirlo",19,5,17.8,9,"Excelente","Bajo",3,"Nunca","1 h","Examenes;Test;Trabajos grupales"
"Prefiero no decirlo",21,6,13.2,5,"Mala","Medio",2,"Medianamente","3 h","Test;Proyectos;Trabajos grupales"
"Femenino",19,8,11.6,5,"Buena","Alto",1,"Irregularmente","2 h","Test;Proyectos;Trabajos grupales"
"Masculino",22,4,16.1,9,"Excelente","Medio",2,"Irregularmente","menos de 30 min","Examenes;Tareas"
"Femenino",19,5,12.6,8,"Regular","Medio",4,"Irregularmente","2 h","Examenes;Tareas"
"Masculino",16,6,14.3,7,"Pésima","Medio",2,"Medianamente","2 h y media","Examenes;Test"
"Femenino",18,7,11.5,5,"Pésima","Alto",2,"Irregularmente","1h y media","Examenes;Test"
"Femenino",19,7,11.9,6,"Mala","Alto",5,"Medianamente","1h y media","Examenes"
"Prefiero no decirlo",19,7,13.7,8,"Mala","Medio",4,"Medianamente","1h y media","Examenes;Tareas"
"Masculino",20,6,12.2,8,"Mala","Alto",4,"Irregularmente","1h y media","Examenes;Test"
"Femenino",21,6,14.5,7,"Mala","Alto",2,"Medianamente","1h y media","Examenes;Test"
"Femenino",22,7,13.1,6,"Mala","Medio",2,"Medianamente","1h y media","Examenes"
"Masculino",21,5,11.7,6,"Mala","Alto",4,"Regularmente","1h y media","Examenes;Test"
"Femenino",23,5,11.2,4,"Pésima","Alto",1,"Medianamente","3 h","Examenes;Tareas"
"Femenino",18,7,14.1,7,"Pésima","Alto",2,"Medianamente","2 h","Examenes;Test"
"Masculino",19,6,16.8,9,"Buena","Medio",2,"Nunca","1h y media","Examenes"
"Femenino",21,6,13.6,7,"Mala","Alto",3,"Medianamente","1h y media","Examenes;Test"
"Prefiero no decirlo",23,4,15.8,8,"Buena","Bajo",4,"Nunca","menos de 30 min","Test;Proyectos;Trabajos grupales"
"Masculino",19,4,13.4,6,"Pésima","Alto",3,"Medianamente","1h y media","Examenes;Test;Trabajos grupales"
"Prefiero no decirlo",18,6,14.5,8,"Regular","Alto",4,"Irregularmente","menos de 30 min","Examenes;Tareas;Trabajos grupales"
"Femenino",20,7,12.7,7,"Mala","Alto",3,"Medianamente","1h y media","Examenes;Tareas"
"Femenino",19,7,12.8,7,"Regular","Medio",3,"Medianamente","1h y media","Examenes;Test"
"Prefiero no decirlo",19,6,14.1,6,"Mala","Bajo",4,"Medianamente","1h y media","Examenes;Test"
"Femenino",20,6,13.2,5,"Mala","Medio",2,"Medianamente","1h y media","Examenes;Test"
"Masculino",19,6,14.2,8,"Mala","Medio",3,"Medianamente","1 h","Examenes"
"Femenino",21,7,12.5,8,"Mala","Medio",3,"Medianamente","1 h","Examenes;Test;Tareas"
"Femenino",19,6,13.2,7,"Mala","Alto",3,"Medianamente","1 h","Examenes;Test"
"Femenino",21,7,11.8,6,"Mala","Alto",2,"Medianamente","1 h","Examenes;Test"
"Femenino",20,7,11.9,7,"Mala","Alto",4,"Irregularmente","1 h","Examenes;Test"
"Femenino",19,6,12.3,8,"Mala","Alto",3,"Medianamente","1h y media","Examenes;Test"
"Femenino",18,7,13.1,7,"Mala","Medio",2,"Medianamente","1 h","Examenes;Test;Tareas"
"Masculino",21,7,13.7,6,"Mala","Alto",3,"Irregularmente","1h y media","Examenes;Test"
"Femenino",19,7,14.2,8,"Mala","Alto",8,"Irregularmente","1 h","Examenes;Test"
"Femenino",20,6,15.2,6,"Mala","Alto",1,"Irregularmente","1 h","Examenes;Test"
"Femenino",20,7,14.2,8,"Buena","Alto",2,"Medianamente","1h y media","Examenes;Tareas;Proyectos"
"Femenino",20,6,13.1,7,"Mala","Medio",2,"Medianamente","2 h","Examenes;Test"
"Femenino",18,5,12.2,7,"Pésima","Alto",3,"Medianamente","1h y media","Examenes;Proyectos"
"Masculino",19,7,12.4,7,"Mala","Medio",2,"Medianamente","1 h","Examenes;Tareas"
"Femenino",19,7,12.5,8,"Mala","Alto",3,"Medianamente","2 h","Examenes;Tareas"
"Prefiero no decirlo",19,6,12.6,5,"Regular","Medio",4,"Irregularmente","2 h","Examenes;Test;Proyectos"
"Femenino",20,6,13.2,8,"Mala","Alto",3,"Medianamente","1h y media","Examenes;Tareas;Proyectos"
"Masculino",17,5,13.6,4,"Buena","Medio",1,"Irregularmente","3 h","Test;Proyectos"
"Masculino",19,5,16.7,8,"Buena","Medio",2,"Irregularmente","1h y media","Test;Trabajos grupales"
"Masculino",22,5,14.8,6,"Regular","Medio",1,"Irregularmente","1 h","Examenes;Proyectos"
"Masculino",21,6,12.4,6,"Buena","Alto",0,"Nunca","1 h","Examenes;Proyectos"
"Femenino",17,6,16,9,"Excelente","Bajo",1,"Nunca","1 h","Test;Proyectos"
"Femenino",19,5,15.6,7,"Regular","Bajo",7,"Irregularmente","1h y media","Examenes;Proyectos"
"Masculino",20,5,16.3,8,"Excelente","Bajo",2,"Nunca","menos de 30 min","Examenes;Trabajos grupales"
