País / Código,Número,Posición,Debut,Estatura,Peso,Nacimiento,Origen,Lugar de compra,Clase,Especial,Extra sticker
CMR,7,Defensa,2019,1.91,74,1997,Paquete,Wong,Jugador,FALSE ,FALSE 
CMR,8,Defensa,2016,1.90,93,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CMR,12,Mediocampista,2021,1.83,73,1996,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CMR,14,Mediocampista,2017,1.84,83,1995,Paquete,Wong,Jugador,FALSE ,FALSE 
POR,5,Defensa,2014,1.91,81,1983,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
POR,8,Defensa,2014,1.70,71,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
POR,11,Mediocampista,2017,1.79,69,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
POR,12,Mediocampista,2015,1.88,83,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
POR,13,Mediocampista,2005,1.70,61,1986,Paquete,Wong,Jugador,FALSE ,FALSE 
GHA,14,Mediocampista,2012,1.71,72,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
GHA,16,Delantero,2007,1.76,72,1989,Paquete,Wong,Jugador,FALSE ,FALSE 
GHA,18,Delantero,2021,1.77,72,2004,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
URU,5,Defensa,2007,1.89,78,1987,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
URU,6,Defensa,2013,1.85,80,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
URU,11,Mediocampista,2014,1.72,70,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
URU,15,Mediocampista,2016,1.87,81,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
KOR,1,,,,,,Paquete,Tailoy 1,Escudo,TRUE ,FALSE 
KOR,3,Arquero,2017,1.89,75,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
KOR,4,Defensa,2011,1.76,70,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
KOR,6,Defensa,2017,1.90,88,1996,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
KOR,9,Defensa,2013,1.80,74,1986,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
KOR,12,Mediocampista,2015,1.80,70,1986,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
QAT,18,Delantero,2016,1.80,68,1996,Paquete,Wong,Jugador,FALSE ,FALSE 
USA,4,Defensa,2019,1.75,62,2000,Paquete,Tailoy 1,Escudo,TRUE ,FALSE 
BRA,17,Delantero,2021,1.76,63,1996,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SUI,15,Mediocampista,2017,1.82,79,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
JPN,18,Delantero,2021,1.78,71,1997,Paquete,Wong,Jugador,FALSE ,FALSE 
KSA,12,Mediocampista,2019,1.76,69,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
FWC,0,,,,,,Paqueton,Vivalo Import Export,Logo,TRUE ,FALSE 
FWC,1,,,,,,Paqueton,Vivalo Import Export,Logo,FALSE ,FALSE 
FWC,2,,,,,,Paqueton,Vivalo Import Export,Logo,TRUE ,FALSE 
FWC,4,,,,,,Paqueton ,Vivalo Import Export,Logo,TRUE ,FALSE 
FWC,7,,,,,,Paqueton,Vivalo Import Export,Logo,TRUE ,FALSE 
FWC,9,,,,,,Paqueton,Vivalo Import Export,Estadio,FALSE ,FALSE 
FWC,10,,,,,,Paqueton,Vivalo Import Export,Estadio,FALSE ,FALSE 
FWC,11,,,,,,Paqueton,Vivalo Import Export,Estadio,FALSE ,FALSE 
FWC,13,,,,,,Paqueton,Vivalo Import Export,Estadio,FALSE ,FALSE 
FWC,15,,,,,,Paqueton,Vivalo Import Export,Estadio,FALSE ,FALSE 
FWC,16,,,,,,Paqueton,Vivalo Import Export,Estadio,FALSE ,FALSE 
FWC,17,,,,,,Paqueton,Vivalo Import Export,Estadio,FALSE ,FALSE 
FWC,18,,,,,,Paqueton,Vivalo Import Export,Pelota,FALSE ,FALSE 
QAT,2,Arquero,2009,1.88,83,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,4,Defensa,2019,1.86,71,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,5,Defensa,2017,1.74,77,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,6,Defensa,2010,1.85,82,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,8,Defensa,2014,1.84,78,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,9,Defensa,2016,1.80,73,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,11,Mediocampista,2013,1.90,87,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,14,Delantero,2019,1.77,74,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,15,Delantero,2015,1.76,68,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT,16,Delantero,2016,1.76,73,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
QAT ,19,Delantero,2014,1.94,77,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
ECU,2,Arquero,2021,1.90,90,1987,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,3,Arquero,2011,1.95,84,1987,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,4,Defensa,2016,1.87,85,1991,Paqueton ,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,6,Defensa,2019,1.75,78,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,7,Defensa,2021,1.83,66,2002,Paqueton,Vivalo Import Export,Jugador ,FALSE ,FALSE 
ECU,9,Defensa,2019,1.87,78,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,11,Mediocampista,2018,1.76,67,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,12,Mediocampista,2014,1.73,71,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,13,Mediocampista,2018,1.75,72,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,15,Delantero,2017,1.87,85,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,16,Delantero,2015,1.68,70,1988,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,17,Delantero,2019,1.78,65,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ECU,18,Delantero,2017,1.81,72,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,1,,,,,,Paqueton,VIvalo Import Export,Escudo,FALSE ,FALSE 
SEN,5,Defensa,2018,1.97,83,1995,Paqueton,VIvalo Import Export,Jugador,FALSE ,FALSE 
SEN,7,Defensa,2015,1.95,89,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,8,Defensa,2016,1.88,70,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,10,Mediocampista,2019,1.75,59,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,11,Mediocampista,2011,1.74,66,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,12,Mediocampista,2021,1.87,79,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,13,Mediocampista,2012,1.89,83,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,14,Mediocampista,2021,1.67,73,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,16,Delantero,2014,1.89,80,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,17,Delantero,2021,1.78,72,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,18,Delantero,2012,1.75,69,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
SEN,19,Delantero,2016,1.85,76,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,2,Arquero,2021,1.90,84,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,3,Arquero,2013,1.85,83,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,5,Defensa,2017,1.88,96,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,6,Defensa,2012,1.89,78,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,10,Mediocampista,2018,1.80,74,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,12,Mediocampista,2014,1.79,70,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,13,Mediocampista,2020,1.83,77,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,14,Mediocampista,2011,1.73,74,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,15,Delantero,2018,1.78,74,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
NED,19,Delantero,2019,1.79,78,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
ENG,2,Arquero,2017,1.85,77,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,3,Arquero,2021,1.88,77,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,4,Defensa,2018,1.75,69,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,5,Defensa,2020,1.86,80,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,6,Defensa,2017,1.94,100,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,7,Defensa,2014,1.85,75,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,9,Defensa,2011,1.78,70,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,10,Mediocampista,2020,1.86,75,2003,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,11,Mediocampista,2020,1.75,68,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,12,Mediocampista,2010,1.82,67,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,14,Mediocampista,2020,1.78,73,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,16,Delantero,2020,1.71,70,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ENG,18,Delantero,2020,1.78,65,2001,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,1,,,,,,,,Escudo,TRUE ,FALSE 
IRN,3,Arquero,2015,1.95,79,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,4,Defensa,2008,1.76,74,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,5,Defensa,2018,1.83,78,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,8,Defensa,2015,1.78,79,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,9,Defensa,2018,1.74,71,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,10,Defensa,2018,1.82,78,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,11,Mediocampista,2015,1.82,79,1988,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,12,Mediocampista,2015,1.90,78,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,13,Mediocampista,2018,1.76,69,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,14,Mediocampista,2013,1.80,76,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,15,Mediocampista,2018,1.83,74,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,18,Delantero,2017,1.76,75,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
IRN,19,Delantero,2015,1.87,79,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,2,Arquero,2021,1.90,79,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,3,Arquero,2018,1.91,86,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,6,Defensa,2020,1.88,87,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,9,Defensa,2017,1.90,89,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,12,Mediocampista,2017,1.75,72,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,13,Mediocampista,2017,1.80,86,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,15,Delantero,2020,1.75,68,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,16,Delantero,2021,1.85,74,2003,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,17,Delantero,2016,1.77,73,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
USA,18,Delantero,2020,1.85,79,2002,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
WAL,2,Arquero,2016,1.91,88,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,3,Arquero,2007,1.98,90,1987,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,5,Defensa,2012,1.81,76,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,6,Defensa,2007,1.80,71,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,7,Defensa,2018,1.91,84,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,8,Defensa,2018,1.73,75,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,9,Defensa,2019,1.92,87,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,10,Defensa,2020,1.83,72,2001,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,11,Mediocampista,2009,1.68,62,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,16,Delantero,2006,1.85,81,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
WAL,19,Delantero,2019,1.96,83,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ARG,4,Defensa,2016,1.72,69,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ARG,7,Defensa,2017,1.87,82,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ARG,11,Mediocampista,2017,1.77,70,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ARG,12,Mediocampista,2017,1.80,75,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ARG,14,Delantero,2021,1.70,71,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ARG,16,Delantero,2017,1.65,68,1988,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ARG,18,Delantero,2018,1.74,72,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ARG,19,Delantero,2005,1.70,72,1987,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,3,Arquero,2019,1.88,77,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,5,Defensa,2018,1.85,80,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,6,Defensa,2017,1.73,69,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,7,Defensa,2019,1.73,67,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,8,Defensa,2012,1.71,62,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,9,Defensa,2019,1.82,73,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,10,Defensa,2019,1.87,77,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,11,Mediocampista,2012,1.80,62,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,13,Mediocampista,2017,1.76,68,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,14,Mediocampista,2017,1.70,63,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,16,Mediocampista,2012,1.77,68,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,17,Delantero,2019,1.81,80,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
KSA,18,Delantero,2012,1.71,72,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
MEX,2,Arquero,2005,1.83,78,1985,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,6,Defensa,2017,1.91,70,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,7,Defensa,2007,1.83,80,1988,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,8,Defensa,2019,1.82,84,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,9,Defensa,2019,1.75,71,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,11,Mediocampista,2014,1.73,62,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,12,Mediocampista,2005,1.69,60,1986,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,13,Mediocampista,2016,1.78,70,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,14,Mediocampista,2012,1.85,78,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,16,Mediocampista,2019,1.76,66,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
MEX,18,Delantero,2013,1.90,76,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,2,Arquero,2009,1.92,96,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,3,Arquero,2012,1.87,84,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,4,Defensa,2017,1.89,77,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,5,Defensa,2013,1.83,77,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,7,Defensa,2010,1.90,80,1988,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,8,Defensa,2021,1.80,74,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,10,Mediocampista,2019,1.76,70,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,13,Mediocampista,2020,1.88,78,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,15,Mediocampista,2013,1.80,75,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,16,Delantero,2008,1.84,80,1988,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,17,Delantero,2012,1.86,78,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
POL,18,Delantero,2018,1.83,77,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
FRA,2,Arquero,2008,1.88,82,1986,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,3,Arquero,2020,1.91,91,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,4,Defensa,2018,1.80,75,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,8,Defensa,2017,1.86,76,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,10,Mediocampista,2016,1.68,70,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,11,Mediocampista,2013,1.91,87,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,12,Mediocampista,2016,1.88,72,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,14,Delantero,2018,1.70,68,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,15,Delantero,2007,1.85,81,1987,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,16,Delantero,2015,1.81,71,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,18,Delantero,2017,1.78,73,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
FRA,19,Delantero,2022,1.75,73,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
AUS,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
AUS,2,Arquero,2012,1.84,82,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
AUS,5,Defensa,2016,1.87,82,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
AUS,6,Defensa,2018,1.76,79,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
AUS,7,Defensa,2022,1.80,78,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
AUS,8,Defensa,2014,1.83,76,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
AUS,11,Mediocampista,2013,1.89,70,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
AUS,13,Mediocampista,2018,1.79,65,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
DEN,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
DEN,6,Defensa,2020,1.84,79,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
DEN,7,Defensa,2016,1.80,74,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
ESP,3,Arquero,2021,1.97,90,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,4,Defensa,2013,1.78,77,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,5,Defensa,2020,1.82,79,2001,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,6,Defensa,2011,1.70,68,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,8,Defensa,2019,1.91,80,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,10,Mediocampista,2013,1.76,74,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,11,Mediocampista,2020,1.84,74,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,13,Mediocampista,2018,1.91,82,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,16,Delantero,2020,1.78,66,2002,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,18,Delantero,2014,1.89,82,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
ESP,19,Delantero,2019,1.74,70,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,1,,,,,,Paqueton,Vivalo Import Export,Escudo,TRUE ,FALSE 
CRC,3,Arquero,2011,1.79,71,1990,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,5,Defensa,2011,1.80,77,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,7,Defensa,2019,1.83,78,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,12,Mediocampista,2021,1.76,73,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,13,Mediocampista,2005,1.88,81,1985,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,14,Delantero,2011,1.79,66,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,15,Delantero,2021,1.75,70,2004,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,16,Delantero,2011,1.78,71,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,17,Delantero,2021,1.80,72,2000,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,18,Delantero,2017,1.76,71,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
CRC,19,Delantero,2014,1.83,76,1988,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,3,Arquero,2012,1.87,85,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,4,Defensa,2014,1.88,83,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,5,Defensa,2020,1.83,76,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,6,Defensa,2018,1.86,76,1996,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,7,Defensa,2021,1.80,75,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,8,Defensa,2014,1.90,85,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,9,Defensa,2016,1.95,97,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,10,Mediocampista,2014,1.89,79,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,12,Mediocampista,2018,1.89,82,1999,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,13,Mediocampista,2020,1.76,73,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,14,Mediocampista,2016,1.76,73,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
GER,27,Delantero,2011,1.80,71,1989,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,3,Arquero,2008,1.85,82,1983,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,4,Defensa,2008,1.70,68,1986,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,5,Defensa,2019,1.81,76,1997,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,6,Defensa,2018,1.87,84,1998,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,9,Mediocampista,2015,1.78,76,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,10,Mediocampista,2011,1.77,68,1991,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,11,Mediocampista,2018,1.77,74,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,12,Mediocampista,2014,1.75,64,1992,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,14,Delantero,2015,1.73,71,1994,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,15,Delantero,2019,1.70,63,1995,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
JPN,16,Delantero,2017,1.76,66,1993,Paqueton,Vivalo Import Export,Jugador,FALSE ,FALSE 
