Edad (años cumplidos) ,Género,Carrera,Ciclo,Lugar de residencia,¿Qué método de estudio usas con más frecuencia?,¿De qué manera prefiere realizar sus apuntes para un examen?,¿Que zona es de su preferencia para aplicar su método de estudio?,¿Eres autodidacta?,¿Prefieres estudiar solo o con un grupo de amigos?,Días de anticipación que tomas para rendir un examen ,¿Cuántos días sueles estudiar a la semana? fuera de clases,Tiempo que le dedica a estudiar en horas al día - Ej. 1 o 15 (solo el número de horas),Moda de notas en los exámenes del ciclo regular anterior. Ej. 14 o 14.5 (máximo 1 decimal) ,Promedio general del ciclo regular anterior. Ej. 13 o 13.5 (máximo 1 decimal) 
22,Masculino,Ciencia de la computación,9,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Virtual,Casa,Si,Solo,7,3,2,16,14.5
18,Masculino,Ing. Química,3,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Virtual,Casa,Si,Solo,7,7,4,18,18.12
19,Masculino,Ing. Mecatrónica,6,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,Si,Solo,3,3,1,13,12
20,Masculino,Ciencia de la computación,4,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Biblioteca,Si,Solo,3,3,5,15,14.5
19,Masculino,Ing. Mecánica,5,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",No tengo un método de estudios,Virtual,Biblioteca,No,Solo,1,3,6,13,11.29
20,Masculino,Bioingeniería,4,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Ambos,Biblioteca,Si,Ambos,2,4,2,17,18.4
18,Masculino,Ing. Industrial,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Ambos,Biblioteca,No,Ambos,3,3,3,15,15
22,Masculino,Ciencia de la computación,10,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Casa,Si,Con amigos,7,3,2,17,16.5
18,Femenino,Bioingeniería,4,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Biblioteca,No,Ambos,6,6,5,16,14.5
18,Femenino,Ing. Química,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resaltado,Físico,Biblioteca,No,Solo,4,3,5,14,13
18,Femenino,Ing. Industrial,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Solo,4,4,6,15,16
21,Masculino,Ing. Ambiental,8,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Ambos,Casa,No,Ambos,7,6,2,15,17
21,Masculino,Ing. Mecatrónica,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Virtual,Casa,Si,Solo,10,4,2,15,16.4
20,Masculino,Bioingeniería,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Casa,Si,Ambos,4,3,3,15,12
18,Femenino,Ing. Industrial,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Ambos,Casa,Si,Ambos,7,7,2,11,12.6
21,Masculino,Ing.Civil,4,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Físico,Casa,No,Solo,5,2,5,17,17.4
24,Femenino,Bioingeniería,7,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Casa,Si,Solo,10,7,6,17,16.7
19,Masculino,Ing. Mecatrónica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,No,Solo,3,6,5,14,14
19,Femenino,Bioingeniería,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Biblioteca,Si,Con amigos,4,5,6,17,16.4
21,Masculino,Ing.Civil,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Biblioteca,No,Ambos,9,6,4,14,13
18,Masculino,Bioingeniería,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Resúmenes gráficos (mapas mentales, diagramas)",Físico,Biblioteca,No,Con amigos,7,5,10,13,12
19,Femenino,Ing. Ambiental,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Ambos,Casa,Si,Solo,3,6,4,15,16
19,Femenino,Ing.Civil,4,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Solo,5,6,4,15,14
18,Masculino,Ciencia de la computación,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",No tengo un método de estudios,Ambos,Biblioteca,Si,Con amigos,2,1,3,15,13.68
18,Femenino,Ciencia de la computación,2,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Biblioteca,Si,Con amigos,8,2,7,16,15.5
21,Masculino,Ing. Mecatrónica,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Biblioteca,Si,Solo,10,5,10,14.5,14.6
18,Femenino,Ing. Ambiental,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Biblioteca,Si,Ambos,7,5,3,15.5,15.5
18,Femenino,Ing. Industrial,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Con amigos,8,4,6,15,14.83
18,Femenino,Ing. Ambiental,2,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,No,Ambos,2,3,5,11,11
20,Masculino,Ing. Mecatrónica,7,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resaltado,Virtual,Casa,Si,Ambos,4,3,3,16,16.47
18,Masculino,Ing. Mecánica,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",No tengo un método de estudios,Físico,Casa,Si,Ambos,4,5,5,12,15.2
21,Femenino,Bioingeniería,7,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Casa,Si,Ambos,2,3,2,16,16.3
18,Femenino,Ciencia de la computación,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Resúmenes gráficos (mapas mentales, diagramas)",Virtual,Cafetería,Si,Ambos,4,2,2,16,15.8
18,Masculino,Ing. Mecatrónica,3,"Balneareos del Sur (Pta. Hermosa, Pucusana, Pta. Negra, San Bartolo, Sta. María)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Casa,Si,Ambos,5,6,5,16,15.5
18,Femenino,Ing.Civil,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Biblioteca,Si,Solo,3,4,4,17,16.6
19,Masculino,Ing. Mecatrónica,4,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",No tengo un método de estudios,Virtual,Casa,Si,Solo,2,7,4,14,14.5
18,Masculino,Ing. Mecatrónica,3,Provincia,"Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,No,Solo,2,3,2,13.3,12.1
19,Masculino,Ciencia de la computación,5,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Cafetería,Si,Ambos,7,6,2,17,17.69
19,Masculino,Bioingeniería,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Casa,Si,Ambos,5,3,3,18,17.2
18,Masculino,Ing. Mecatrónica,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Físico,Casa,Si,Ambos,7,4,4,14,14
20,Femenino,Ing.Civil,4,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",No tengo un método de estudios,Virtual,Biblioteca,Si,Ambos,5,6,5,18,16
19,Masculino,Ing. Mecatrónica,1,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,No,Solo,2,1,2,16,15
18,Masculino,Ciencia de la computación,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Casa,No,Solo,5,3,4,18,17.5
18,Masculino,Bioingeniería,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Casa,Si,Ambos,7,7,10,17,16.2
20,Femenino,Ing. Ambiental,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",No tengo un método de estudios,Virtual,Biblioteca,Si,Ambos,5,2,6,15,16.4
18,Masculino,Ing. Mecatrónica,5,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Virtual,Casa,Si,Ambos,5,2,8,15,16
19,Masculino,Ing. Mecatrónica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Ambos,5,3,2,14,12
18,Femenino,Ing. Ambiental,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,Si,Ambos,5,7,8,14,15
19,Femenino,Ing. Mecánica,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resaltado,Físico,Casa,Si,Con amigos,4,1,2,16,13
19,Masculino,Bioingeniería,7,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Ambos,Casa,Si,Ambos,3,4,4,14,13.5
19,Masculino,Ciencia de la computación,2,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",No tengo un método de estudios,Virtual,Casa,No,Ambos,9,3,3,13, 13.3
18,Femenino,Ciencia de la computación,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Casa,Si,Con amigos,7,6,8,14.5,15.2
21,Femenino,Ing. Industrial,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Flashcards,Ambos,Casa,Si,Solo,4,4,2,14.2,13.7
19,Masculino,Ing. Mecatrónica,5,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Físico,Casa,Si,Solo,7,7,2,15,15.07
18,Femenino,Administración y negocios digitales,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Ambos,1,5,3,14,12.2
23,Masculino,Ing. Mecatrónica,3,Provincia,"Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,No,Con amigos,3,4,4,18,18.32
20,Masculino,Administración y negocios digitales,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Virtual,Casa,Si,Ambos,7,2,3,14,16.2
22,Masculino,Ing.Civil,2,Provincia,No tengo un método de estudios,Ambos,Biblioteca,No,Solo,1,1,5,12,11
18,Femenino,Ing. Mecatrónica,3,Provincia,Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Biblioteca,No,Ambos,5,5,4,12,13
18,Masculino,Ing. Ambiental,4,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,No,Ambos,3,4,3,15,17.17
20,Masculino,Ing. Mecatrónica,7,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,Si,Con amigos,5,2,3,16,15
19,Masculino,Bioingeniería,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Biblioteca,Si,Solo,3,5,2,20,19.21
19,Masculino,Ing. Mecatrónica,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Virtual,Casa,Si,Con amigos,3,4,2,14,13.25
19,Femenino,Ing. Química,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Casa,Si,Ambos,7,4,4,14,15
18,Masculino,Ing. Mecánica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,Si,Ambos,7,7,4,18,16.2
19,Masculino,Ing.Civil,2,Provincia,Resúmenes escritos,Ambos,Casa,Si,Ambos,10,6,8,15,15
18,Femenino,Ing. Química,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",No tengo un método de estudios,Físico,Casa,No,Ambos,5,3,3,13,13.4
18,Masculino,Ing. Mecatrónica,3,Provincia,"Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Virtual,Casa,Si,Solo,5,4,8,15,15
20,Masculino,Ing. Industrial,6,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,No,Solo,2,2,5,16,14.2
18,Masculino,Ing. Industrial,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Casa,No,Con amigos,3,3,6,14,12
19,Masculino,Ing. Industrial,5,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Biblioteca,Si,Ambos,6,3,3,14,14.5
18,Masculino,Ing. Mecatrónica,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",No tengo un método de estudios,Ambos,Casa,Si,Solo,2,1,4,20,18.17
18,Masculino,Ing.Civil,5,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Casa,Si,Solo,7,7,5,18,16.6
19,Masculino,Ing. Industrial,5,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Resúmenes escritos,Físico,Casa,Si,Ambos,2,4,2,16,14.6
22,Femenino,Ing. Industrial,8,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Biblioteca,No,Ambos,3,3,3,16,18
18,Masculino,Ing. Ambiental,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",No tengo un método de estudios,Virtual,Casa,Si,Solo,2,7,1,15,14.9
19,Femenino,Ing. Industrial,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Biblioteca,Si,Ambos,3,2,1,15,15
20,Masculino,Ing. Industrial,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Solo,3,3,2,14,14
20,Masculino,Ing. Mecatrónica,4,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Biblioteca,Si,Ambos,7,3,4,14,15.2
18,Femenino,Bioingeniería,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Casa,Si,Ambos,3,5,2,14.83,14.83
20,Masculino,Ciencia de la computación,7,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,Si,Ambos,4,6,4,15,16
18,Masculino,Ciencia de la computación,2,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,Si,Ambos,3,5,4,16,14.5
20,Masculino,Ing. Industrial,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Virtual,Casa,Si,Ambos,3,2,2,14,14.68
22,Masculino,Ing. Química,5,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Ambos,Biblioteca,No,Con amigos,4,3,5,14,12
18,Femenino,Ciencia de la computación,3,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Resúmenes escritos,Ambos,Casa,Si,Solo,4,7,8,16,16.4
18,Femenino,Ing. Mecánica,2,Provincia,Resúmenes escritos,Ambos,Casa,Si,Solo,4,5,10,16,17
18,Masculino,Ing. Mecatrónica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Con amigos,4,3,3,14,13.7
18,Masculino,Ing. Mecánica,4,Provincia,"Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,Si,Ambos,2,2,2,15,16
18,Masculino,Bioingeniería,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Casa,Si,Ambos,3,5,4,13,14.26
