Marca temporal,¿Que edad tienes?(responder solo con el número),Género,¿En qué distrito de Lima vives? ,"¿De qué Universidad eres? Mencionar sede
Ejemplo:  UTEC - Barranco",DISTRITO - U,Distancia Vivienda - Universidad (Km),¿Cómo calificas la calidad de transporte en lima?,¿Cuál es tu principal medio de transporte para llegar a la universidad? ,¿Cuál es tiempo máximo que te demoras en llegar a tu universidad? (minutos),¿Qué tan estresante consideras el impacto del transporte en tus calificaciones?,¿Cuántos días a la semana asistes a la universidad? (Responder solo con un número),"¿Cuál es tu promedio ponderado? (Utilice decimales si es necesario)
Ejemplo: 15.6","¿Cuántos días a la semana te encuentras en situaciones de tráfico congestionado en Lima, por el cual llegas tarde a la universidad y consideras que te perjudica académicamente ?",Porcentaje,"¿Qué tan de acuerdo estás en fomentar las alternativas de transporte (como bicicleta, scooter, caminar, etc.) para evitar la congestión vehicular en Lima?"
28/04/2023 13:43:14,19,Femenino,San Miguel,Norbert wiener,Jesús María,8.6,Regular,Transporte público,30,Poco estresante,6,16.2,3,50,Muy de acuerdo
28/04/2023 21:02:23,18,Masculino,Barranco,UTEC ,Barranco,                                  0.8,Mala,Me traslado caminando,30,Poco estresante,5,14.9,1,20,Muy de acuerdo
30/04/2023 8:26:10,19,Femenino,Barranco,  UTEC ,Barranco,                                 0.6,Regular,Me traslado caminando,30,Poco estresante,6,12.6,2,33.3,Muy de acuerdo
30/04/2023 11:17:51,21,Femenino,La molina,Utec,Barranco,19.5,Regular,Transporte público,90,Muy estresante,6,14.8,4,66.6,Muy de acuerdo
30/04/2023 11:24:18,21,Femenino,Santiago de Surco,UNI,Rimac,20.4,Regular,Transporte público,120,Muy estresante,4,13.5,3,75,Muy de acuerdo
30/04/2023 11:32:31,20,Femenino,Los olivos,Upn ,Los Olivos,5.3,Muy buena,Transporte público,50,Poco estresante,5,13.6,2,40,Muy de acuerdo
30/04/2023 11:35:05,19,Femenino,Santiago de Surco,Ucsur ,Villa el Salvador,13.4,Regular,Transporte público,90,Muy estresante,6,18.9,5,83.3,Muy de acuerdo
30/04/2023 11:36:20,18,Femenino,San Miguel,Universidad Peruana de Ciencias Aplicadas,San Isidro,6.1,Regular,Transporte público,50,Muy estresante,6,13.7,5,83.3,Muy de acuerdo
30/04/2023 11:54:47,18,Femenino,Surquillo,Upc,Surco,6.4,Regular,Auto particular,90,Muy estresante,5,18.8,1,20,Muy de acuerdo
30/04/2023 11:59:21,18,Femenino,La victoria,Utec,Barranco,9.5,Regular,Transporte público,90,Muy estresante,6,16.8,4,66.6,Muy de acuerdo
30/04/2023 12:00:17,20,Femenino,Comas,Utec,Barranco,29.5,Regular,Transporte público,90,Muy estresante,5,16.6,4,80,Muy de acuerdo
30/04/2023 12:00:59,20,Femenino,La molina,Upc ,Chorrillos,27.3,Regular,Auto particular,90,Muy estresante,5,16.799,4,80,Muy de acuerdo
30/04/2023 12:04:17,17,Masculino,Lince,Utec,Barranco,8.1,Muy buena,Auto particular,90,Muy estresante,5,13.8,4,80,Muy de acuerdo
30/04/2023 12:04:50,17,Masculino,Santiago de Surco,Upc ,Chorrillos,9.3,Buena,Transporte público,90,Muy estresante,5,17.9,4,80,Muy de acuerdo
30/04/2023 12:06:16,18,Femenino,La molina,Universidad Peruana de Ciencias Aplicadas,Chorrillos,26.3,Regular,Auto particular,90,Muy estresante,5,15.9,4,80,Muy de acuerdo
30/04/2023 12:08:58,20,Femenino,La victoria,Utec,Barranco,10.2,Mala,Transporte público,90,Muy estresante,5,12.9,4,80,Muy de acuerdo
30/04/2023 12:10:01,20,Femenino,Ate,Utec,Barranco,21.7,Mala,Transporte público,120,Muy estresante,5,13.7,4,80,Muy de acuerdo
30/04/2023 12:10:44,20,Masculino,Pueblo Libre,Utec,Barranco,12.8,Mala,Transporte público,120,Muy estresante,5,11.9,4,80,A medias
30/04/2023 12:19:39,17,Masculino,Comas,UPC,San Miguel,23.9,Muy mala,Transporte público,120,Poco estresante,5,13.7,3,60,A medias
30/04/2023 12:21:22,19,Femenino,Comas,Utec,Barranco,26.2,Mala,Transporte público,90,Muy estresante,5,12.9,4,80,Muy de acuerdo
30/04/2023 12:21:52,21,Masculino,La victoria,UTEC,Barranco,10.6,Regular,Taxi,50,Muy estresante,6,14.8,2,33.3,Muy de acuerdo
30/04/2023 12:21:57,18,Masculino,Miraflores,Upc ,Chorrillos,13.6,Mala,Transporte público,90,Muy estresante,4,17.9,1,25,Muy de acuerdo
30/04/2023 12:24:31,20,Masculino,Barranco,UTEC ,Barranco,1.5,Regular,Bicicleta o scooter.,30,Poco estresante,5,15.3,1,20,Muy de acuerdo
30/04/2023 12:24:44,17,Femenino,Chorrillos,Upc,Chorrillos,5.1,Regular,Transporte público,90,Poco estresante,5,17.9,1,20,Muy de acuerdo
30/04/2023 12:25:22,20,Femenino,Los olivos,Utec,Barranco,23.1,Buena,Transporte público,90,Muy estresante,5,13.9,4,80,Muy de acuerdo
30/04/2023 12:26:09,22,Masculino,Los olivos,U DE LIMA,Surco,24.2,Mala,Auto particular,50,Muy estresante,5,16.8,3,60,Muy de acuerdo
30/04/2023 12:26:46,22,Femenino,Chorrillos,Utec,Barranco,6.2,Mala,Transporte público,90,Muy estresante,5,17.9,4,80,Muy de acuerdo
30/04/2023 12:27:29,20,Femenino,San Juan de Lurigancho,UNMSM ,Lima,21.5,Muy mala,Transporte público,120,Poco estresante,6,16.8,2,33.3,A medias
30/04/2023 12:28:29,20,Femenino,Lurín,Utec,Barranco,23.4,Regular,Transporte público,90,Muy estresante,5,13.7,4,80,Muy de acuerdo
30/04/2023 12:29:32,20,Femenino,Lince,Utec ,Barranco,8.3,Mala,Bicicleta o scooter.,50,Muy estresante,5,15.4,4,80,Muy de acuerdo
30/04/2023 12:30:09,18,Femenino,La molina,Upc ,Chorrillos,26.4,Regular,Transporte público,90,Muy estresante,5,17.3,2,40,Muy de acuerdo
30/04/2023 12:30:37,19,Femenino,Lince,Utec,Barranco,8.1,Regular,Transporte público,90,Muy estresante,5,17.8,4,80,A medias
30/04/2023 12:31:05,18,Femenino,Lince,Utec ,Barranco,7.5,Regular,Transporte público,90,Muy estresante,5,14.2,4,80,Muy de acuerdo
30/04/2023 12:31:44,21,Femenino,Miraflores,Universidad del Pacífico ,Jesús María,10.3,Muy mala,Auto particular,50,Muy estresante,5,13.4,4,80,Muy de acuerdo
30/04/2023 12:32:33,17,Femenino,Comas,Utec ,Barranco,26.9,Mala,Transporte público,120,Muy estresante,6,12.9,4,66.6,Muy de acuerdo
30/04/2023 12:33:05,21,Masculino,La molina,Utec ,Barranco,15.1,Buena,Auto particular,90,Muy estresante,5,11.9,4,80,Muy de acuerdo
30/04/2023 12:34:18,20,Femenino,Lince,Utec ,Barranco,8.1,Muy mala,Transporte público,120,Muy estresante,6,11.8,4,66.6,Muy de acuerdo
30/04/2023 12:34:40,20,Femenino,San Miguel,Utec ,BarrancO,10.4,Muy mala,Auto particular,50,Poco estresante,5,15.3,2,40,Muy de acuerdo
30/04/2023 12:34:54,18,Femenino,Los olivos,Utec ,Barranco,23.8,Mala,Transporte público,90,Muy estresante,6,10.8,5,83.3,Muy de acuerdo
30/04/2023 12:35:27,20,Masculino,Lurín,Utec ,Barranco,24.2,Regular,Transporte público,120,Muy estresante,6,13.9,5,83.3,Muy de acuerdo
30/04/2023 12:44:02,19,Masculino,Miraflores,UTEC ,Barranco,5.6,Mala,Auto particular,30,Poco estresante,6,16.7,1,16.6,A medias
30/04/2023 15:48:38,18,Masculino,San Juan de Lurigancho,UTEC,Barranco,26.7,Regular,Transporte público,90,Muy estresante,6,15,5,83.3,Muy de acuerdo
1/05/2023 14:45:13,18,Masculino,Barranco,Utec ,Barranco,1.2,Regular,Me traslado caminando,30,Poco estresante,6,13,4,66.6,Muy de acuerdo
1/05/2023 19:26:27,22,Masculino,San Juan de Lurigancho,UTEC ,BarrancO,16.3,Muy mala,Auto particular,120,Muy estresante,6,14,5,83.3,Muy de acuerdo
