AÑO,MES,CONCESION,ENTIDAD PRESTADORA,TIPO DE VEHICULO,CV(k),PESO,EJES,PASAJEROS
A,JULIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,180.79,11795.35,4,3
B,JUNIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,15.376,14008.78,4,3
C,DICIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,126.339,22746.69,5,3
A,SETIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,157.835,20182.81,5,3
C,SETIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,472.644,23036.91,5,3
B,OCTUBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,439.585,18565.52,5,3
A,MARZO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,178.962,22640.58,5,3
C,JULIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,230.285,23832.54,5,3
B,MAYO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,177.587,21392.61,5,3
A,ABRIL,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,372.493,20383.82,5,3
A,OCTUBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,373.912,20607.54,5,3
B,ENERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,497.046,1017.59,2,4
A,ENERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,463.673,1034.54,2,4
A,NOVIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,283.171,1060.01,2,4
B,NOVIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,497.248,1064.08,2,4
C,NOVIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,286.478,1107.27,2,4
C,JUNIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,402.585,1113.87,2,4
B,ENERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,264.927,1230.57,2,4
C,OCTUBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,544.354,1294.08,2,4
A,AGOSTO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,252.53,1424.04,2,4
A,ABRIL,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,219.878,1449.87,2,4
C,ENERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,491.863,1497.78,2,4
C,DICIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,638.352,1625.66,2,4
B,ABRIL,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,56.378,1655.96,2,4
A,DICIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,370.916,1733.35,2,4
B,MARZO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,1.071,6520.13,2,4
C,ABRIL,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,390.777,6531.93,2,4
A,SETIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,354.192,6917.89,2,4
C,AGOSTO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,235.43,6805.68,2,4
C,JULIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,154.475,6505.99,2,4
C,AGOSTO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,455.591,6907.76,2,4
C,FEBRERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,315.258,6237.82,2,4
A,FEBRERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,168.328,6672.6,2,4
C,JULIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,359.166,7558.81,3,4
C,ABRIL,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,206.444,7505.82,3,4
C,JUNIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,146.046,8579.09,3,4
C,NOVIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,153.877,8093.16,3,4
A,DICIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,389.383,8067.32,3,4
A,DICIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,166.364,9123.92,3,4
A,AGOSTO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,446.253,8512.48,3,4
B,SETIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,193.138,11568.36,4,4
C,SETIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,159.875,15365.36,4,4
A,NOVIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,246.199,10658.89,4,4
A,JUNIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,365.129,16123.3,4,4
B,ENERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,377.072,12379.21,4,4
A,ABRIL,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,325.037,14883.74,4,4
B,OCTUBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,355.589,13513.27,4,4
C,OCTUBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,497.354,11235.59,4,4
C,FEBRERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,146.314,14712.27,4,4
A,SETIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,428.298,16482.01,4,4
B,JULIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,28.087,18223.06,5,4
C,FEBRERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,187.217,17541.15,5,4
B,MAYO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,0,20305.43,5,4
B,JULIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,1.226,18321.31,5,4
A,SETIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,241.636,22730.3,5,4
A,MAYO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,420.827,19650.44,5,4
B,AGOSTO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,134.576,20804.12,5,4
B,SETIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,302.463,22119.22,5,4
A,MAYO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,148.112,22297.68,5,4
C,SETIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,355.039,22223.56,5,4
C,MAYO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,427.096,19023.73,5,4
B,NOVIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,218.024,19723.71,5,4
B,OCTUBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,220.048,22611.56,5,4
B,MAYO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,232.432,19092.37,5,4
C,OCTUBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,369.797,18370,5,4
B,ABRIL,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,99.275,1012.04,2,5
C,DICIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,539.891,1290.2,2,5
A,ENERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,265.368,1298.93,2,5
C,SETIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,446.563,1299.99,2,5
A,FEBRERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,441.092,1346.54,2,5
B,JUNIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,0,1426.93,2,5
B,MAYO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,186.569,1577.02,2,5
C,JULIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,502.08,1646.04,2,5
B,AGOSTO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,422.34,1650.68,2,5
B,MARZO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,2.805,1677.73,2,5
C,MAYO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,414.768,1692.6,2,5
A,OCTUBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,407.227,1698.73,2,5
C,SETIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,448.883,1717.97,2,5
B,FEBRERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,528.664,1726.06,2,5
C,NOVIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,547.608,1013.41,2,6
A,OCTUBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,324.257,1059.39,2,6
C,MARZO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,443.012,1079.48,2,6
A,JUNIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,372.591,1084.24,2,6
A,MAYO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,378.33,1117.47,2,6
B,AGOSTO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,346.006,1279.15,2,6
A,FEBRERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,396.543,1295.58,2,6
A,ABRIL,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,360.365,1373.19,2,6
B,ABRIL,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,77.483,1389.51,2,6
B,JULIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,23.756,1400.1,2,6
B,FEBRERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,464.493,1417.63,2,6
C,ENERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,458.606,1425.92,2,6
C,MAYO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,269.929,1438.8,2,6
C,OCTUBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,318.544,1570.24,2,6
B,DICIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,414.232,1584.32,2,6
C,JULIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,318.984,1584.85,2,6
C,JUNIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,378.351,1636.95,2,6
A,ENERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,460.799,1793.37,2,6
C,MAYO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,431.252,1050.88,2,7
B,OCTUBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,494.936,1100.88,2,7
B,DICIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,296.938,1109.82,2,7
B,OCTUBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,417.58,1155.31,2,7
A,AGOSTO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,438.92,1368.27,2,7
B,AGOSTO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,234.329,1546.11,2,7
A,MARZO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,387.193,1641.56,2,7
C,MARZO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,280.549,1747.17,2,7
B,OCTUBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,272.765,1000.61,2,8
B,MAYO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,175.579,1036.27,2,8
A,SETIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,383.042,1110.66,2,8
B,MARZO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,2.36,1128.67,2,8
A,FEBRERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,293.747,1132.56,2,8
C,FEBRERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,328.288,1276.72,2,8
C,AGOSTO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,618.019,1307.74,2,8
A,OCTUBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,227.629,1321.65,2,8
A,MAYO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,219.857,1547.13,2,8
B,JUNIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,26.611,1751.15,2,8
A,FEBRERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,224.388,1014.91,2,9
A,JULIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,433.071,1173.43,2,9
B,MAYO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,0,1180.65,2,9
C,JULIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,491.613,1190.83,2,9
A,SETIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,224.494,1232.7,2,9
C,SETIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,301.221,1296.89,2,9
C,DICIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,294.533,1334.46,2,9
A,AGOSTO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,332.133,1336.83,2,9
A,ABRIL,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,385.666,1403.23,2,9
B,MARZO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,2.519,1679.47,2,9
C,MARZO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,499.835,1799.48,2,9
B,OCTUBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,407.609,1015.88,2,10
A,JUNIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,248.211,1067.83,2,10
