Precio,Dormitorios,Antiguedad,Luminosidad,Tipo,Area_total_m2,Area_constr_m2,NroBanios,Estado de Inmueble,Distrito,Cocheras,Uso_profesional,Uso_comercial,Nro_pisos,Piscina,Amoblado
20,4,2,Muy luminoso,Casa,228,300,4,Muy bueno,Chaclacayo,3,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
59,3,6,NoEspecifica,Casa en condominio,303,268,4,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
58,3,2,NoEspecifica,Casa en condominio,325,233,4,Bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,0
72,3,4,NoEspecifica,Casa,364,270,3,Bueno,Miraflores,2,NoEspecifica,NoEspecifica,2,0,0
15.5,5+,1,Luminoso,Casa,120,220,4,Excelente,SanMartinDePorres,1,Si,Si,2,NoEspecifica,NoEspecifica
36,5+,3,NoEspecifica,Casa,210,210,4,NoEspecifica,Barranco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
51,5+,4,NoEspecifica,Casa,300,321,4,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
65,4,3,NoEspecifica,Casa,323,354,5,Bueno,LaMolina,3,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
65,4,3,NoEspecifica,Casa,338,346,5,Bueno,LaMolina,3,NoEspecifica,NoEspecifica,3,0,NoEspecifica
66,4,3,NoEspecifica,Casa,331,354,5,Bueno,LaMolina,3,NoEspecifica,NoEspecifica,3,0,NoEspecifica
37.9,5+,3,Luminoso,Casa,205,205,5,Muy bueno,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,3,NoEspecifica,0
56,5+,3,Luminoso,Casa,392,392,4,Bueno,SantiagoDeSurco,3,Si,No,3,NoEspecifica,0
56.5,4,1,Luminoso,Casa,296,262,4,Muy bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
38.5,4,3,Luminoso,Casa,225,245,3,Bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
52.9,4,3,Muy luminoso,Casa,250,250,3,Remodelado,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
43.5,5+,3,Luminoso,Casa,213,340,4,Remodelado,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
38.5,4,2,Luminoso,Casa,200,274,3,Bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,0
39.4,4,1,Luminoso,Casa,280,280,3,Remodelado,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
35.5,3,3,Luminoso,Casa,170,170,2,A Remodelar,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
43.5,4,3,Luminoso,Casa,236,220,2,A Remodelar,SantiagoDeSurco,2,NoEspecifica,No,2,0,0
36,5+,1,NoEspecifica,Casa,298,298,4,NoEspecifica,LaMolina,1,NoEspecifica,NoEspecifica,3,0,NoEspecifica
18.5,5+,3,Muy luminoso,Casa,359,359,3,Excelente,SanMartinDePorres,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
23,5+,2,NoEspecifica,Casa,135,328,3,Bueno,SanJuanDeLurigancho,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
53,5+,3,Muy luminoso,Casa,269,450,4,Bueno,SanBorja,2,No,No,3,NoEspecifica,NoEspecifica
125,5+,3,Luminoso,Casa,425,425,5,Excelente,SanIsidro,5,NoEspecifica,Si,2,NoEspecifica,0
37.5,5+,2,Muy luminoso,Casa,269,269,4,NoEspecifica,Surquillo,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
25.9,5+,3,Muy luminoso,Casa,166,166,3,Muy bueno,SantaAnita,2,Si,Si,2,0,0
5.9,2,3,Muy luminoso,Casa en condominio,90,90,2,Excelente,Carabayllo,1,Si,Si,1,1,0
27,5+,1,NoEspecifica,Casa,200,600,5,NoEspecifica,SanJuanDeLurigancho,0,NoEspecifica,Si,3,NoEspecifica,NoEspecifica
32,3,4,Muy luminoso,Casa,170,138,3,Remodelado,SanMiguel,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
32,3,3,Muy luminoso,Casa,120,98,5,Excelente,LaVictoria,0,NoEspecifica,NoEspecifica,1,NoEspecifica,NoEspecifica
58,4,3,Luminoso,Casa,300,200,4,Muy bueno,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
21,4,7,Muy luminoso,Casa de Playa,203,190,5,Muy bueno,PuntaHermosa,2,NoEspecifica,NoEspecifica,3,NoEspecifica,1
21,4,7,Muy luminoso,Casa de Playa,203,190,3,Excelente,PuntaHermosa,2,NoEspecifica,NoEspecifica,3,NoEspecifica,1
50,4,3,Muy luminoso,Casa,328,380,3,Muy bueno,LaMolina,1,NoEspecifica,NoEspecifica,2,1,0
18,3,3,Muy luminoso,Casa de Playa,130,120,3,Bueno,Asia,3,No,No,2,0,0
90,3,2,Muy luminoso,Casa en condominio,848,607,5,Excelente,LaMolina,5,NoEspecifica,NoEspecifica,3,NoEspecifica,0
29.5,4,4,Muy luminoso,Casa,350,350,3,A Remodelar,SantiagoDeSurco,5,Si,Si,2,0,0
84.9,4,2,Luminoso,Casa,328,490,3,Muy bueno,SanBorja,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
35,5+,2,Muy luminoso,Casa,264,264,5,Remodelado,SanMiguel,1,Si,Si,3,NoEspecifica,0
11.5,4,1,Luminoso,Casa,225,150,2,A Remodelar,Carabayllo,1,Si,NoEspecifica,2,NoEspecifica,NoEspecifica
35,5+,3,Muy luminoso,Casa,228,228,5,Remodelado,SanMiguel,2,Si,Si,2,NoEspecifica,0
20,5+,4,Luminoso,Casa,129,90,2,NA,Brenia,1,Si,No,1,NoEspecifica,NoEspecifica
23.6,5+,3,Muy luminoso,Casa,150,194,2,NoEspecifica,SanMiguel,0,NoEspecifica,NoEspecifica,3,NoEspecifica,0
13.4,3,1,Muy luminoso,Casa de Playa,100,100,2,Muy bueno,Asia,1,NoEspecifica,NoEspecifica,1,1,1
31.9,5+,2,Muy luminoso,Casa,160,180,4,Excelente,SantaAnita,2,NoEspecifica,Si,2,0,0
92.5,4,2,Muy luminoso,Casa,805,390,4,Excelente,LaMolina,5,No,No,2,NoEspecifica,0
155,5+,2,Muy luminoso,Casa,950,950,5,Excelente,LaMolina,4,NoEspecifica,NoEspecifica,3,1,1
31.9,4,3,NoEspecifica,Casa,160,320,5,NoEspecifica,SanMiguel,0,NoEspecifica,NoEspecifica,3,NoEspecifica,0
31,5+,3,Muy luminoso,Casa de Playa,380,380,5,Excelente,Asia,2,NoEspecifica,NoEspecifica,2,1,1
48,4,3,NoEspecifica,Casa,338,306,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
135,3,3,NoEspecifica,Casa,1074,711,5,NoEspecifica,LaMolina,5,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
42.5,3,2,Luminoso,Casa,160,230,4,Bueno,SantiagoDeSurco,2,No,No,3,NoEspecifica,0
58.5,5+,3,NoEspecifica,Casa,384,305,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
37,3,3,Muy luminoso,Casa,128,160,4,Excelente,SanIsidro,1,No,No,3,0,0
55,4,3,NoEspecifica,Casa,300,300,3,NoEspecifica,SanBorja,4,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
59,4,4,Muy luminoso,Casa,318,274,4,Muy bueno,Miraflores,2,Si,No,2,NoEspecifica,0
62,5+,3,NoEspecifica,Casa,390,304,4,NoEspecifica,SanIsidro,4,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
100,5+,2,NoEspecifica,Casa de Playa,330,330,5,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,1,1,1
54.9,5+,5,Muy luminoso,Casa,312,280,2,A Remodelar,Miraflores,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
80,5+,2,Muy luminoso,Casa,390,500,4,A Remodelar,Miraflores,4,No,No,2,NoEspecifica,NoEspecifica
11,5+,2,NoEspecifica,Casa,90,165,3,NoEspecifica,SanJuanDeLurigancho,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
96,4,3,Muy luminoso,Casa,630,630,4,Muy bueno,LaMolina,3,NoEspecifica,NoEspecifica,2,1,0
37,4,3,NoEspecifica,Casa,255,190,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
65,3,3,NoEspecifica,Casa en condominio,457,279,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,1,NoEspecifica
53,4,3,NoEspecifica,Casa en condominio,500,267,3,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
67,4,3,NoEspecifica,Casa,409,235,3,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
69,5+,3,NoEspecifica,Casa,336,521,5,NoEspecifica,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
65,4,4,NoEspecifica,Casa,350,350,3,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
71.5,4,3,NoEspecifica,Casa,368,391,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
69,4,3,NoEspecifica,Casa,544,396,4,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,0,0
34,3,2,Muy luminoso,Casa,173,250,2,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,1
75,5+,3,NoEspecifica,Casa,415,380,4,NoEspecifica,SantiagoDeSurco,4,NoEspecifica,NoEspecifica,3,NoEspecifica,0
78,4,3,NoEspecifica,Casa,490,366,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
88,5+,3,NoEspecifica,Casa,1148,230,4,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,0,0
90,5+,3,NoEspecifica,Casa,600,600,5,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
94,5+,3,NoEspecifica,Casa,850,290,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,1,0
95,5+,3,NoEspecifica,Casa,312,312,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
98,4,3,NoEspecifica,Casa,804,600,4,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,1,NoEspecifica
57,4,3,Muy luminoso,Casa,300,462,3,Excelente,SanBorja,2,No,No,2,0,0
103.5,3,3,NoEspecifica,Casa,710,274,2,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
140,4,3,NoEspecifica,Casa,1016,487,5,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
138,5+,3,NoEspecifica,Casa,1000,380,5,NoEspecifica,LaMolina,5,NoEspecifica,NoEspecifica,2,1,0
45,4,3,Muy luminoso,Casa,270,320,3,Excelente,PuebloLibre,2,NoEspecifica,NoEspecifica,3,NoEspecifica,1
140,5+,1,NoEspecifica,Casa,699,507,5,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
98,4,1,NoEspecifica,Casa,700,350,4,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,0,0
78,3,1,NoEspecifica,Casa en condominio,300,330,3,NoEspecifica,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
170,4,3,Muy luminoso,Casa,1002,510,4,Remodelado,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
38.5,3,3,Muy luminoso,Casa,200,160,3,Bueno,SantiagoDeSurco,2,No,No,2,NoEspecifica,0
115,5+,2,NoEspecifica,Casa de Playa,1000,455,5,NoEspecifica,Asia,4,NoEspecifica,NoEspecifica,2,1,NoEspecifica
42,5+,2,Muy luminoso,Casa,360,200,4,Excelente,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,0
47,3,3,NoEspecifica,Casa,200,275,3,NoEspecifica,SanIsidro,0,NoEspecifica,NoEspecifica,3,NoEspecifica,1
50,5+,2,NoEspecifica,Casa,220,330,4,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
52,4,2,NoEspecifica,Casa,259,300,4,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
136.9,5+,2,NoEspecifica,Casa,1140,600,5,Bueno,LaMolina,5,NoEspecifica,NoEspecifica,2,1,0
139,4,3,NoEspecifica,Casa,1000,500,4,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,1,1,0
38.5,4,3,NoEspecifica,Casa,286,235,4,Bueno,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
79,3,6,Luminoso,Casa,313,198,3,NoEspecifica,SanIsidro,3,No,No,1,NoEspecifica,NoEspecifica
39.9,4,4,NoEspecifica,Casa,800,300,3,NoEspecifica,Chaclacayo,5,NoEspecifica,NoEspecifica,2,0,0
43,5+,3,Muy luminoso,Casa,311,311,5,Excelente,SanMiguel,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
61.5,3,3,Muy luminoso,Casa,250,300,4,Muy bueno,SantiagoDeSurco,2,Si,No,2,NoEspecifica,0
18,4,7,Luminoso,Casa de Playa,155,155,4,Muy bueno,Asia,2,NoEspecifica,NoEspecifica,3,1,1
6.5,3,3,NoEspecifica,Casa,140,60,1,NoEspecifica,Ancon,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
34,5+,3,Luminoso,Casa,166,255,5,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
9.9,5+,2,Luminoso,Casa,120,180,2,Remodelado,Comas,2,No,No,2,0,0
17.9,4,3,Luminoso,Casa,220,220,2,Muy bueno,SanJuanDeLurigancho,0,Si,Si,2,NoEspecifica,0
75.5,4,3,NoEspecifica,Casa,301,300,3,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,4,0,0
22.7,5+,1,Muy luminoso,Casa,160,320,3,Muy bueno,Lurigancho,2,Si,Si,3,NoEspecifica,0
48,5+,3,Muy luminoso,Casa,1000,405,5,Excelente,Lurigancho,5,NoEspecifica,NoEspecifica,3,0,0
36.5,3,3,Luminoso,Casa,317,251,3,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
89.5,5+,4,Luminoso,Casa,360,349,4,Bueno,SanIsidro,3,NoEspecifica,NoEspecifica,2,0,0
120,5+,4,Muy luminoso,Casa,329,608,5,Bueno,Miraflores,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
13.2,5+,9,Muy luminoso,Casa,320,320,3,Bueno,Ate,1,NoEspecifica,NoEspecifica,5,NoEspecifica,NoEspecifica
21.5,5+,3,Muy luminoso,Casa,200,300,5,Remodelado,Lurigancho,2,NoEspecifica,NoEspecifica,2,1,0
7,3,6,NoEspecifica,Casa,100,100,3,Bueno,Carabayllo,1,NoEspecifica,NoEspecifica,2,1,NoEspecifica
75.5,4,3,NoEspecifica,Casa,301,300,3,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,4,0,0
17,4,3,NoEspecifica,Casa de Playa en condominio,120,200,3,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,3,1,1
20,3,9,NoEspecifica,Casa de Playa en condominio,125,174,3,Muy bueno,Asia,2,NoEspecifica,NoEspecifica,3,1,1
36.9,4,1,Muy luminoso,Casa en condominio,272,272,4,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
18,3,2,Muy luminoso,Casa,189,137,2,A Remodelar,Barranco,1,Si,Si,3,NoEspecifica,0
65,5+,1,Muy luminoso,Casa,890,300,5,Muy bueno,Chorrillos,3,NoEspecifica,NoEspecifica,2,0,0
37.5,5+,1,Muy luminoso,Casa de Playa en condominio,192,180,5,Muy bueno,Asia,3,NoEspecifica,NoEspecifica,2,1,0
32,5+,3,NoEspecifica,Casa,160,213,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
125,3,1,NoEspecifica,Casa,720,300,3,Muy bueno,SanBorja,2,NoEspecifica,NoEspecifica,3,1,0
98,3,9,NoEspecifica,Casa,314,500,3,Remodelado,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,0
50,4,9,NoEspecifica,Casa en condominio,310,261,4,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
31.2,5+,3,NoEspecifica,Casa,150,250,4,NoEspecifica,LosOlivos,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
90,5+,1,Muy luminoso,Casa,1150,1150,5,Excelente,Chorrillos,3,NoEspecifica,NoEspecifica,2,1,0
36,4,2,Muy luminoso,Casa,209,180,3,Bueno,PuebloLibre,2,NoEspecifica,NoEspecifica,3,NoEspecifica,1
55,3,1,NoEspecifica,Casa en condominio,232,226,4,Remodelado,Chorrillos,2,NoEspecifica,NoEspecifica,2,1,0
50,4,3,NoEspecifica,Casa,300,297,3,Bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
47,4,4,NoEspecifica,Casa,190,222,3,Muy bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,4,0,NoEspecifica
17.3,5+,2,NoEspecifica,Casa,130,130,4,NoEspecifica,SanJuanDeLurigancho,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
39,4,1,Luminoso,Casa de Playa en condominio,200,150,3,Muy bueno,SanAntonio,2,No,No,2,1,1
28,5+,1,Luminoso,Casa,127,380,4,Muy bueno,LosOlivos,1,NoEspecifica,NoEspecifica,4,NoEspecifica,NoEspecifica
13.95,3,2,NoEspecifica,Casa de Playa,427,300,2,NoEspecifica,Mala,4,NoEspecifica,NoEspecifica,1,1,1
95,5+,3,Luminoso,Casa,1323,1323,5,Excelente,LaMolina,4,Si,Si,2,1,0
44,4,3,NoEspecifica,Casa,278,479,4,A Remodelar,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
29.8,5+,5,NoEspecifica,Casa,144,260,4,Bueno,Ate,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
63,5+,3,Muy luminoso,Casa,312,336,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
14.5,4,4,Muy luminoso,Casa en quinta,160,160,2,Bueno,MagdalenaDelMar,0,Si,NoEspecifica,2,NoEspecifica,0
28.5,4,4,Luminoso,Casa,200,205,4,Excelente,SanMiguel,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
49.5,5+,3,Muy luminoso,Casa,206,447,5,Excelente,CercadoDeLima,2,NoEspecifica,NoEspecifica,4,NoEspecifica,0
21.5,5+,3,Muy luminoso,Casa de Playa,250,160,4,Excelente,Ancon,3,NoEspecifica,NoEspecifica,2,0,0
51.5,4,2,Muy luminoso,Casa,312,299,3,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
50,5+,8,Muy luminoso,Casa,300,445,5,Muy bueno,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
70,5+,3,NoEspecifica,Casa,250,750,5,NoEspecifica,Miraflores,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
19,4,3,Muy luminoso,Casa,200,200,2,Muy bueno,CercadoDeLima,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
7.7,2,1,NoEspecifica,Casa en quinta,70,70,1,Remodelado,SanMiguel,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
33,4,4,NoEspecifica,Casa,143,325,4,NoEspecifica,PuebloLibre,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
16.9,3,5,Muy luminoso,Casa de Playa,184,125,3,Excelente,Asia,2,NoEspecifica,No,3,1,NoEspecifica
21,4,1,NoEspecifica,Casa en condominio,122,298,5,NoEspecifica,Ate,1,NoEspecifica,NoEspecifica,3,1,0
24.5,5+,2,NoEspecifica,Casa,191,282,3,NoEspecifica,Ate,0,NoEspecifica,NoEspecifica,3,NoEspecifica,0
22,5+,3,Muy luminoso,Casa,375,375,4,Muy bueno,LosOlivos,2,Si,NoEspecifica,3,NoEspecifica,0
39,5+,3,Muy luminoso,Casa,516,516,5,Muy bueno,LaMolina,0,NoEspecifica,NoEspecifica,4,0,NoEspecifica
22.5,5+,3,NoEspecifica,Casa,90,350,4,NoEspecifica,LaVictoria,1,NoEspecifica,NoEspecifica,4,NoEspecifica,NoEspecifica
120,5+,3,Muy luminoso,Casa en condominio,640,460,5,Excelente,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
19,3,3,Muy luminoso,Casa,126,210,3,Excelente,Chorrillos,0,Si,NoEspecifica,3,NoEspecifica,NoEspecifica
32.5,4,3,Muy luminoso,Casa,174,174,3,Excelente,SanMiguel,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
18,3,3,Muy luminoso,Casa,181,181,4,Muy bueno,Chorrillos,1,NoEspecifica,NoEspecifica,3,0,0
45,4,4,NoEspecifica,Casa,250,246,4,Muy bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
58,5+,3,Muy luminoso,Casa,472,372,5,Excelente,LaMolina,4,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
33,3,1,Muy luminoso,Casa,360,210,3,Excelente,Chorrillos,2,No,NoEspecifica,2,NoEspecifica,0
29.5,4,3,Luminoso,Casa,170,350,3,Bueno,SanMiguel,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
92,5+,2,Muy luminoso,Casa,347,230,5,Remodelado,SanBorja,1,NoEspecifica,NoEspecifica,2,NoEspecifica,0
40,3,3,Muy luminoso,Casa,183,263,3,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
38.5,5+,2,Muy luminoso,Casa,210,250,5,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
35,4,3,NoEspecifica,Casa,160,220,2,Muy bueno,SanBorja,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
72,5+,3,NoEspecifica,Casa,511,470,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
87,4,3,Muy luminoso,Casa,492,492,5,Muy bueno,SanIsidro,4,NoEspecifica,NoEspecifica,1,0,0
65,4,3,NoEspecifica,Casa,358,310,4,Bueno,SanBorja,2,NoEspecifica,NoEspecifica,2,0,0
13.9999,5+,3,Muy luminoso,Casa,142,187,2,Muy bueno,SanMartinDePorres,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
8.7,5+,1,Luminoso,Casa,89,89,3,Bueno,VillaMariaDelTriunfo,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
25,2,3,Luminoso,Casa,400,237,3,Excelente,Chaclacayo,2,NoEspecifica,NoEspecifica,1,NoEspecifica,0
43.3,4,2,Muy luminoso,Casa,165,235,3,Bueno,LaMolina,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
65,3,4,NoEspecifica,Casa,350,280,3,NoEspecifica,SanBorja,2,No,No,2,NoEspecifica,0
31.5,2,3,NoEspecifica,Casa,120,120,5,NoEspecifica,SanBorja,1,NoEspecifica,NoEspecifica,1,NoEspecifica,NoEspecifica
27.9,4,3,Muy luminoso,Casa en condominio,240,240,3,Excelente,LaMolina,1,No,No,2,0,0
76.8,3,3,Muy luminoso,Casa en condominio,300,307,3,Muy bueno,LaMolina,1,No,No,2,NoEspecifica,0
42,4,2,Muy luminoso,Casa,331,330,3,Muy bueno,LaMolina,2,No,No,2,NoEspecifica,0
53,4,3,NoEspecifica,Casa,359,289,3,NoEspecifica,LaMolina,2,No,No,2,NoEspecifica,0
11,1,1,NoEspecifica,Casa,246,120,1,NA,VillaMariaDelTriunfo,1,NoEspecifica,Si,2,NoEspecifica,NoEspecifica
46,4,3,NoEspecifica,Casa,323,180,3,NoEspecifica,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
63,4,3,NoEspecifica,Casa,300,260,4,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
120,5+,3,NoEspecifica,Casa,1000,490,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
125,4,3,NoEspecifica,Casa,600,440,5,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
56,3,3,NoEspecifica,Casa en condominio,250,280,4,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
43.5,4,4,NoEspecifica,Casa,300,244,4,A Remodelar,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
74,5+,4,Muy luminoso,Casa,300,440,5,Remodelado,SanBorja,4,No,No,3,NoEspecifica,0
17.9,4,3,Muy luminoso,Casa,150,150,3,Excelente,SanMartinDePorres,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
25.7,5+,3,Muy luminoso,Casa,260,260,4,Muy bueno,Ate,2,Si,Si,3,0,0
32,5+,9,NoEspecifica,Casa de Playa en condominio,180,230,5,Muy bueno,Asia,3,NoEspecifica,NoEspecifica,2,1,0
56,4,1,Muy luminoso,Casa en condominio,500,300,4,Excelente,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
47,5+,3,Luminoso,Casa,180,320,4,Muy bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
54,4,3,Muy luminoso,Casa,300,280,3,NoEspecifica,SanBorja,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
30,4,3,NoEspecifica,Casa,160,160,2,NoEspecifica,LaMolina,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
68,5+,2,Muy luminoso,Casa,320,358,4,Remodelado,SanBorja,3,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
37,3,2,NoEspecifica,Casa,192,232,2,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
57,4,3,Muy luminoso,Casa,318,380,3,Excelente,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
35,3,1,Muy luminoso,Casa,160,200,2,Remodelado,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
53.5,3,1,Muy luminoso,Casa en condominio,300,280,2,Excelente,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
60,4,3,Muy luminoso,Casa,370,370,5,Remodelado,MagdalenaDelMar,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
40.5,5+,2,Muy luminoso,Casa,200,280,3,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
22,4,1,Muy luminoso,Casa,156,170,2,Muy bueno,Chorrillos,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
56,4,2,Muy luminoso,Casa,371,355,4,Excelente,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
85,4,1,NoEspecifica,Casa,508,510,5,Muy bueno,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
