Puntuacion,Colegio,Disponibilidad de recursos tecnologicos no materiales ,Disponibilidad de recursos tecnologicos materiales,Ingresos familiares por mes (soles),"Cantidad de horas diarias promedio frente a una pantalla (Laptop, Computadora, Tablet o Celular Inteligente) para fines academicos","Cantidad de horas diarias promedio frente a una pantalla (Laptop, Computadora, Tablet o Celular Inteligente) para fines de entretenimiento",Edad aprende a usar Internet,Grado ,Red social mas usada,Acceso a internet,Frecuencia de spam,Uso de addblock ,Numero de aplicaciones descargadas al mes,Sexo,Edad,Horas en internet (total),Número de recursos materiales,Número de recursos no materiales,Dispositivos con acceso a internet,Nivel de conectividad,Promedio escolar de ultimo trimestre,"Numero total de contenido multimedia visto, usado o descargado por dia. ",Interés en la ciberseguridad (%)
5,I.E. N° 56175 Sagrado Corazón De Jesús,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",1210,6,6,8,4,Facebook,Sí,25,No,0,f,16,12,2,5,3,58,13.4,6,67
7,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Laptop, Router",1300,5,7,7,4,Facebook,Sí,50,No,8,f,16,12,3,3,3,59,16.6,5,52
4,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",920,5,7,8,3,WhatsApp,Sí,25,No,5,F,14,12,2,3,2,42,12.4,10,72
4,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online",Laptop,560,4,8,7,5,Facebook,Sí,25,No,5,F,17,12,1,4,1,24,11.1,8,87
4,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",2500,5,7,9,4,Facebook,Sí,75,No,14,M,16,12,2,4,6,109,12.0,5,50
4,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Módem",3500,5,5,8,4,WhatsApp,Sí,50,No,7,F,15,10,3,3,9,152,11.9,8,17
2,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,1000,5,6,8,3,WhatsApp,Sí,25,No,3,M,14,11,1,3,3,48,11.4,7,29
3,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",2560,10,2,5,3,Facebook,Sí,25,No,6,m,14,12,2,3,6,111,11.6,5,44
5,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal",3000,12,12,5,3,Facebook,Sí,25,Si,8,f,14,24,2,3,8,130,15.0,14,73
5,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",2500,6,5,7,3,Facebook,Sí,25,No,4,m,14,11,2,4,6,119,13.2,7,31
5,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Laptop, Computadora personal",200,8,2,14,3,WhatsApp,Sí,25,No,4,m,14,10,2,4,1,9,14.3,7,17
5,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",1200,8,7,11,3,Facebook,Sí,0,Si,4,f,14,15,2,3,1,57,13.1,6,59
4,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",1500,10,3,9,3,WhatsApp,Sí,0,Si,5,m,15,13,2,3,4,68,12.5,8,47
4,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",900,8,4,7,3,WhatsApp,Sí,0,Si,3,f,14,12,2,4,2,39,14.1,6,44
9,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Laptop",2300,5,2,11,3,Facebook,Sí,0,Si,3,m,14,7,3,5,6,110,17.3,2,19
2,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint",Laptop,2800,5,11,10,3,Facebook,Sí,25,No,13,F,14,16,1,4,7,127,12.0,10,43
2,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",1100,5,1,7,3,Whatsapp,Sí,25,No,2,F,14,6,2,4,3,50,11.1,3,15
3,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Módem",2650,5,6,11,3,Facebook,No,25,No,0,F,14,11,3,4,7,115,12.6,8,30
3,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,2100,3,1,10,3,Twitter,Sí,50,No,9,M,14,4,1,4,5,96,11.1,2,58
4,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",700,5,3,12,4,Facebook,Sí,25,No,5,M,16,8,2,3,2,32,11.9,4,66
9,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Computadora personal",1300,10,3,9,5,Whatsapp,Sí,25,No,2,M,17,13,2,5,3,59,16.3,10,73
3,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",1300,8,2,11,5,Whatsapp,No,0,No,2,F,16,10,2,3,3,59,11.3,3,50
2,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Laptop, Computadora personal",1650,6,15,11,5,Facebook,No,25,No,3,M,17,21,2,5,4,72,12.4,8,52
0,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",700,5,4,6,5,Whatsapp,No,0,No,3,M,17,9,2,5,2,32,10.3,7,17
10,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",1200,7,5,10,5,Facebook,Sí,0,Si,4,M,17,12,2,3,3,57,15.6,8,22
7,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",3000,8,8,7,3,Facebook,Sí,0,Si,4,F,14,16,2,4,8,130,15.7,5,46
8,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Laptop",150,8,3,7,3,Facebook,Sí,0,No,5,F,14,11,3,3,1,7,17.3,7,32
9,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Router",2000,5,5,9,3,Facebook,No,0,No,3,M,14,10,4,3,5,95,16.7,5,33
6,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Computadora personal, Router",3000,6,7,5,3,Facebook,Sí,25,No,3,M,14,13,4,4,8,136,13.3,10,45
4,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Router",3000,5,5,11,3,Facebook,Sí,25,No,4,F,14,10,4,4,8,143,12.9,8,16
5,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente",2000,10,3,9,4,Facebook,Sí,50,No,5,F,16,13,2,4,5,95,13.0,5,51
5,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",700,8,2,11,4,WhatsApp,No,0,No,1,F,16,10,2,3,2,33,13.3,4,19
4,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,3500,6,15,11,3,WhatsApp,No,25,No,3,F,14,21,1,3,9,167,12.3,11,72
5,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,1000,5,4,6,5,WhatsApp,No,0,No,3,F,17,9,1,3,3,46,14.8,7,54
8,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Módem",2560,7,5,10,4,Facebook,Sí,25,No,3,M,16,12,4,3,6,111,16.5,10,36
9,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online",Teléfono Inteligente,3000,8,8,7,4,WhatsApp,No,0,No,1,F,15,16,1,5,8,136,17.4,10,80
0,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,2500,8,3,7,3,WhatsApp,No,0,No,3,M,14,11,1,4,6,109,10.2,9,28
5,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Computadora personal, Router",200,5,5,9,3,WhatsApp,Sí,25,No,5,f,14,10,4,3,1,9,14.4,3,31
8,I.E. Teniente Coronel Pedro Ruiz Gallo,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Router",1200,6,7,5,3,WhatsApp,Sí,25,No,4,f,14,13,4,5,3,52,16.3,5,32
7,I.E. Teniente Coronel Pedro Ruiz Gallo,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",1500,5,5,11,3,WhatsApp,Sí,50,No,5,m,14,10,2,3,4,68,15.2,4,18
9,I.E. N° 56175 Sagrado Corazón De Jesús,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente",900,4,2,9,3,WhatsApp,Sí,75,Si,6,f,14,6,2,5,2,39,16.3,,61
10,I.E. N° 56175 Sagrado Corazón De Jesús,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online",Teléfono Inteligente,2300,7,3,6,3,WhatsApp,No,25,No,2,m,14,10,1,5,6,110,17.8,5,61
7,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,2800,7,3,6,3,WhatsApp,Sí,0,No,2,m,15,10,1,3,7,133,15.5,7,19
6,I.E. N° 56175 Sagrado Corazón De Jesús,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Módem",2560,7,4,11,3,WhatsApp,Sí,25,Si,8,m,14,11,4,4,6,111,14.3,9,31
3,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,3000,6,6,8,3,WhatsApp,Sí,25,Si,11,B,14,12,1,3,8,130,11.6,5,44
