Marca temporal,1. ¿ Cuál es tu edad?,2. ¿Qué ciclo te encuentras cursando?,3.¿Cuál es tu peso actual?(kg),4. ¿Cuál es tu género?,5. ¿Cuál es tu estatura (cm)? ,"6. Cuando tenías clases semipresenciales, aproximadamente, ¿Cuál es el monto que gastabas en comida a la semana?","7. Cuando tenías clases presenciales, aproximadamente, ¿Cuál es el monto que gastabas en comida a la semana? ","8.Cuando tenías clases virtuales o semipresenciales, aproximadamente, ¿Cuál era la cantidad de alimentos que consumía a la semana?","9.Actualmente en las clases presenciales, aproximadamente, ¿Cuál era la cantidad de alimentos que consumía a la semana?",10. ¿Qué tan seguido consumes comida rápida?,11. ¿La saciedad de tus alimentos a lo largo del día es suficiente para rendir correctamente en tus estudios académicos?,"12. ¿Cuántos minutos demoras en terminar una comida principal?",13. Tiempo aproximado entre el consumo de tu desayuno y almuerzo en horas.,14. Tiempo aproximado entre el consumo de tu almuerzo y cena en horas.,15.¿ Cuál es el alimento con el mayor  consumo semanal ?,16. ¿Qué tipo de comida consumes a diario?
28/09/2022 21:17:09,20,2,65,Femenino,153,0,20,3,3,Una o más veces al mes,Sí,Menos de una hora,3,3,Verduras,Comida de casa
29/09/2022 8:39:17,18,1,75,Masculino,172,10,50,3,4,Una vez a la semana,No,Menos de una hora,6,7,Frutas,Comida de casa
29/09/2022 14:43:11,21,4,70,Femenino,165,100,150,3,3,Nunca,Sí,Una hora a más,3,3,Carnes,Comida de restaurante
29/09/2022 18:42:25,18,2,73,Masculino,172,100,200,4,9,Nunca,Sí,Menos de una hora,5,6,Frutas,Comida de casa
29/09/2022 18:42:31,18,4,75,Masculino,178,20,64,4,5,Una o más veces al mes,Sí,Menos de una hora,3,3,Carnes,Comida de casa
29/09/2022 19:39:45,20,5,80,Masculino,174,10,15,3,3,Una o más veces al mes,Sí,Menos de una hora,6,7,Carnes,Comida de casa
29/09/2022 20:06:03,21,1,67,Femenino,163,100,200,3,4,Una o más veces al mes,No,Una hora a más,3,3,Carnes,Comida congelada
29/09/2022 20:07:15,21,5,64,Masculino,175,100,150,3,4,Una vez a la semana,No,Una hora a más,3,3,Carnes,Comida de restaurante
29/09/2022 20:09:50,20,8,54,Femenino,158,20,50,2,3,Una vez a la semana,Sí,Una hora a más,5,7,Carnes,Comida de casa
29/09/2022 20:12:33,20,6,78,Femenino,172,100,180,4,6,Una vez a la semana,No,Menos de una hora,7,6,Productos lácteos,Comida de casa
29/09/2022 20:12:38,20,5,80,Masculino,174,30,60,3,6,Una o más veces al mes,Sí,Menos de una hora,3,3,Verduras,Comida de casa
29/09/2022 20:14:14,18,3,47,Femenino,170,32,55,2,3,Una vez a la semana,No,Una hora a más,5,3,Productos lácteos,Comida de restaurante
29/09/2022 20:18:49,19,4,95,Masculino,186,0,20,3,3,Una o más veces al mes,Sí,Menos de una hora,4,7,Carnes,Comida de casa
29/09/2022 20:26:57,19,4,60,Otra opción,160,150,200,3,2,Una o más veces al mes,Sí,Una hora a más,4,4,Carnes,Comida de restaurante
29/09/2022 20:29:29,19,1,54.7,Femenino,155,300,500,4,2,Una o más veces al mes,Sí,Menos de una hora,5,5,Frituras,Comida de casa
29/09/2022 20:34:06,18,1,45,Masculino,143,40,48,2,2,Una vez a la semana,No,Una hora a más,6,4,Carnes,Comida de casa
29/09/2022 20:34:18,18,1,55,Masculino,167,150,200,3,6,Una vez a la semana,No,Una hora a más,6,6,Carnes,Comida de casa
29/09/2022 20:35:45,20,5,72,Masculino,165,50,70,4,4,Una o más veces al mes,Sí,Menos de una hora,5,9,Productos lácteos,Comida de restaurante
29/09/2022 20:36:07,21,5,57,Femenino,168,200,230,3,1,Más de una vez a la semana,No,Dos horas a más,3,3,Carnes,Comida de casa
29/09/2022 20:36:20,20,4,66,Femenino,177,40,66,1,4,Una vez a la semana,No,Una hora a más,6,5,Frutas,Comida de casa
29/09/2022 20:37:12,23,1,67,Masculino,175,200,220,3,2,Más de una vez a la semana,No,Una hora a más,3,3,Frituras,Comida congelada
29/09/2022 20:37:14,20,5,72,Masculino,165,50,80,4,4,Una o más veces al mes,Sí,Menos de una hora,5,8,Productos lácteos,Comida de restaurante
29/09/2022 20:37:18,23,3,80,Masculino,180,350,400,4,4,Más de una vez a la semana,Sí,Menos de una hora,3,3,Carnes,Comida de casa
29/09/2022 20:38:01,18,10,40,Femenino,140,200,200,3,4,Nunca,Sí,Menos de una hora,5,4,Productos lácteos,Comida de casa
29/09/2022 20:38:35,21,5,66,Femenino,167,50,67,2,3,Diario,No,Una hora a más,5,5,Productos lácteos,Comida de casa
29/09/2022 20:38:35,26,5,50,Femenino,160,400,500,4,4,Una vez a la semana,Sí,Una hora a más,5,5,Carnes,Comida de restaurante
29/09/2022 20:42:57,21,10,70,Otra opción,172,300,450,4,5,Diario,No,Una hora a más,4,3,Frituras,Comida de restaurante
29/09/2022 20:43:33,22,7,66,Otra opción,170,100,100,3,3,Nunca,No,Una hora a más,5,7,Frutas,Comida de casa
29/09/2022 20:44:19,18,3,63,Femenino,148,150,210,2,1,Una o más veces al mes,No,Una hora a más,3,5,Frituras,Comida de restaurante
29/09/2022 20:47:47,19,6,60,Femenino,168,60,80,3,2,Una vez a la semana,Sí,Una hora a más,5,8,Productos lácteos,Comida de casa
29/09/2022 20:48:54,17,3,59,Femenino,162,60,100,4,6,Más de una vez a la semana,No,Una hora a más,4,4,Carnes,Comida de restaurante
29/09/2022 21:04:22,21,8,70,Femenino,172,10,20,3,2,Más de una vez a la semana,Sí,Una hora a más,7,4,Productos lácteos,Comida de casa
29/09/2022 21:13:10,20,3,58,Femenino,156,50,100,4,4,Más de una vez a la semana,Sí,Menos de una hora,4,5,Frutas,Comida de restaurante
29/09/2022 23:39:31,21,8,65,Femenino,170,0,50,4,4,Una o más veces al mes,Sí,Menos de una hora,4,7,Carnes,Comida de casa
30/09/2022 12:02:01,19,3,58,Femenino,160,20,30,5,3,Más de una vez a la semana,No,Menos de una hora,3,5,Productos lácteos,Comida de casa
1/10/2022 9:08:33,46,1,77,Femenino,157,70,60,4,3,Una vez a la semana,Sí,Menos de una hora,5,5,Productos lácteos,Comida de casa
3/10/2022 0:46:30,19,3,55,Femenino,155,600,800,3,4,Una vez a la semana,No,Menos de una hora,4,6,Carnes,Comida de casa
