Edad,Genero,Carrera,Realizacion_actividad_extra,Tipo_actividad_extra,Deportivas,Recreacionales,Acad√©micas,Trabajo,Cantidad_actividad_extra,Tiempo_semanal_actividad,Influencia_actividad,Facilidad_actividad,Promedio_2022.2,Facilidades_UTEC,Ninguna,Instalaciones,Horarios flexibles,Becas,Cursos_2022.2
21,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,28,2,5,"13,7",Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
20,Femenino,Ingenier√≠a Electr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,2,4,2,3,14.6,Ninguna,SÌ,No,No,No,6
,Otro,Ingenier√≠a Mecatr√≥nica,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,4,2,2,15,Ninguna,SÌ,No,No,No,6
20,Masculino,Ingenier√≠a Mec√°nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",No,SÌ,No,SÌ,2,10,1,5,12,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
20,Masculino,Ingenier√≠a Civil,No,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,2,4,15,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
22,Femenino,Ingenier√≠a Ambiental,No,,No,No,No,No,,,,,15.26,Ninguna,SÌ,No,No,No,3
18,Masculino,Ingenier√≠a Mec√°nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,2,1,4,14,Ninguna,SÌ,No,No,No,7
21,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,1 hora,1,4,15,"Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias, Me brinda instalaciones adecuadas para mi actividad extracurricular",No,SÌ,SÌ,No,5
20,Masculino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,4,1,4,15,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
19,Masculino,Ingenier√≠a Mecatr√≥nica,No,Trabajo,No,No,No,SÌ,2,8,2,3,14.65,Ninguna,SÌ,No,No,No,5
22,Masculino,Ingenier√≠a Electr√≥nica,No,,No,No,No,No,,,,2,16.19,Ninguna,SÌ,No,No,No,5
17,Femenino,Bioingenier√≠a,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,4,1,3,16,Ninguna,SÌ,No,No,No,5
17,Femenino,Ciencia de la Computaci√≥n,No,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,2,3,3,3,16.4,Ninguna,SÌ,No,No,No,6
,Femenino,Ingenier√≠a Ambiental,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,2,"3,5",1,3,14,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
19,Femenino,Ingenier√≠a Mecatr√≥nica,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,3,1,4,13.12,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
22,Masculino,Ciencia de la Computaci√≥n,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,5.5,2,3,13.5,Ninguna,SÌ,No,No,No,7
19,Femenino,Ingenier√≠a Ambiental,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,SÌ,No,2,7,2,2,13.4,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,6
19,Femenino,Bioingenier√≠a,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,2,1,3,13,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
19,Masculino,Ingenier√≠a Civil,No,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,6,2,3,14,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,6
18,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,2,1,2,14.76,Ninguna,SÌ,No,No,No,6
18,Masculino,Ingenier√≠a Mecatr√≥nica,No,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,0,3,2,3,13.3,Ninguna,SÌ,No,No,No,6
17,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,6,1,1,10,Ninguna,SÌ,No,No,No,6
22,Masculino,Bioingenier√≠a,No,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,3,1,5,12,Ninguna,SÌ,No,No,No,5
18,Masculino,Ciencia de la Computaci√≥n,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,6,1,4,14.2,Ninguna,SÌ,No,No,No,6
18,Masculino,Ciencia de la Computaci√≥n,S√≠,Trabajo,No,No,No,SÌ,4,4,1,3,14.3,Ninguna,SÌ,No,No,No,3
18,Masculino,Bioingenier√≠a,No,,No,No,No,No,,,1,,16.9,Ninguna,SÌ,No,No,No,7
18,Femenino,Bioingenier√≠a,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",SÌ,SÌ,No,SÌ,3,10,1,3,16.15,Ninguna,SÌ,No,No,No,7
18,Masculino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,"1,5",1,4,"14,5",Ninguna,SÌ,No,No,No,6
17,Masculino,Ciencia de Datos,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,4,2,1,3,15.6,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
18,Femenino,Ingenier√≠a Qu√≠mica,No,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,3,1,2,17.3,,No,No,No,No,6
20,Masculino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,3,3,1,16,Ninguna,SÌ,No,No,No,5
19,Femenino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,4,"6,5",1,3,12,Ninguna,SÌ,No,No,No,5
19,Masculino,Ingenier√≠a Ambiental,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,12,1,3,15.7,Ninguna,SÌ,No,No,No,7
19,Masculino,Bioingenier√≠a,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,1,2,13,Ninguna,SÌ,No,No,No,6
20,Masculino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,,,3,1,18.26,Ninguna,SÌ,No,No,No,5
18,Femenino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,3,6,1,1,14,Ninguna,SÌ,No,No,No,6
20,Masculino,Ingenier√≠a Ambiental,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",SÌ,SÌ,No,SÌ,3,10,2,3,17.21,"Me brinda instalaciones adecuadas para mi actividad extracurricular, Ninguna",SÌ,SÌ,No,No,6
18,Femenino,Ingenier√≠a Mecatr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,2,2,2,3,13.5,Ninguna,SÌ,No,No,No,6
28,Femenino,Bioingenier√≠a,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Trabajo",No,No,SÌ,SÌ,2,30,2,3,15,Ninguna,SÌ,No,No,No,4
20,Masculino,Ciencia de la Computaci√≥n,No,,No,No,No,No,,,,2,11.88,,No,No,No,No,4
18,Masculino,Ciencia de Datos,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,4,3,1,14.3,Ninguna,SÌ,No,No,No,6
17,Masculino,Ciencia de la Computaci√≥n,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,SÌ,No,4,26,3,3,16,Ninguna,SÌ,No,No,No,6
16,Femenino,Ingenier√≠a Industrial,No,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,No,No,No,2,3,1,3,Primer ciclo,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,0
19,Masculino,Ciencia de la Computaci√≥n,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,3,2,1,14.9,Ninguna,SÌ,No,No,No,6
19,Masculino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,3,10,1,4,17,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,2
22,Masculino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",SÌ,SÌ,No,SÌ,4,20,3,3,13.5,Ninguna,SÌ,No,No,No,5
24,Masculino,Ingenier√≠a Industrial,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Trabajo",No,No,SÌ,SÌ,2,6,3,3,16,Ninguna,SÌ,No,No,No,6
22,Femenino,Ingenier√≠a Industrial,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,3,2,2,13,"Me brinda becas por la actividad extracurricular que hago, Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias, Me brinda instalaciones adecuadas para mi actividad extracurricular",No,SÌ,SÌ,SÌ,6
20,Femenino,Ingenier√≠a Civil,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,3,6,1,3,14.5,Ninguna,SÌ,No,No,No,6
17,Femenino,Bioingenier√≠a,No,,No,No,No,No,,,2,2,14,Ninguna,SÌ,No,No,No,
18,Femenino,Ciencia de la Computaci√≥n,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,SÌ,No,2,4,2,4,17.42,Ninguna,SÌ,No,No,No,6
18,Femenino,Ingenier√≠a Industrial,No,,No,No,No,No,,,1,3,17,Ninguna,SÌ,No,No,No,7
23,Masculino,Ciencia de la Computaci√≥n,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,5,14,1,2,14.3,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
,Masculino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,2,4,2,3,15,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,6
21,Femenino,Ingenier√≠a Ambiental,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,1,3,15,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,8
21,Masculino,Ingenier√≠a Industrial,S√≠,Trabajo,No,No,No,SÌ,1,5,2,3,12,Ninguna,SÌ,No,No,No,6
17,Masculino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,,,,,12,,No,No,No,No,6
19,Femenino,Ciencia de la Computaci√≥n,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,2,1,4,14.66,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
,Otro,Ingenier√≠a Electr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,2,5,2,3,15,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
20,Masculino,Ciencia de la Computaci√≥n,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,"2,5",2,3,11,Ninguna,SÌ,No,No,No,5
18,Masculino,Ciencia de la Computaci√≥n,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,4,8,2,3,14.5,Ninguna,SÌ,No,No,No,4
18,Masculino,Ingenier√≠a Electr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,1,3,1,3,16,Ninguna,SÌ,No,No,No,3
18,Femenino,Ingenier√≠a Industrial,No,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,8,1,1,12.34,Ninguna,SÌ,No,No,No,6
20,Femenino,Ingenier√≠a Mecatr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,2,3,1,3,14.28,Ninguna,SÌ,No,No,No,6
20,Masculino,Ciencia de la Computaci√≥n,No,,No,No,No,No,,,3,1,12.48,Ninguna,SÌ,No,No,No,4
18,Masculino,Ciencia de la Computaci√≥n,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,2,4,2,1,14.5,Ninguna,SÌ,No,No,No,6
17,Masculino,Ciencia de la Computaci√≥n,No,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",No,No,No,No,,,1,3,Entre el 2023-1,Ninguna,SÌ,No,No,No,0
21,Masculino,Administraci√≥n y Negocios Digitales,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,10,2,2,15,Ninguna,SÌ,No,No,No,7
21,Masculino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,3,5,1,3,11.2,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
