Marca temporal,Puntuación,1. ¿Cuál es tu edad?,2. ¿Cuál es tu género?,3. ¿Cuál es tu carrera?,4. ¿En qué ciclo de estudio te encuentras?,5. ¿Cuál es tu peso actual(kg)?,6. ¿Cuál es tu estatura (cm)?,7. ¿Cuántas horas de actividad física realizas a la semana?,8. ¿Cuántas veces a la semana  consumes comidas rápidas?,9. ¿Cuál es tu horario de almuerzo en un día laborable (días de clase)?,10. ¿Cuánto tiempo dedicas a almorzar?,11. ¿Qué tipo de comida consumes con mayor frecuencia a la semana? ,12. Con respecto a la pregunta anterior. ¿A qué se debe esa preferencia a este tipo de comida?,13. ¿Cuál es el alimento con el mayor consumo semanal?,14. ¿Cuántos litros de agua bebes al día?,15. ¿Consideras que tienes acceso a opciones de alimentos saludables en el campus universitario?,16.¿Cuánto dinero en soles aproximadamente gastas en comidas no saludables a la semana?,17. ¿Cuál es tu promedio ponderado en el último semestre/periodo académico?,18. ¿Qué tan satisfecho/a estás con tu rendimiento académico en general?,19. ¿Crees que tu alimentación afecta tu rendimiento académico?
4/05/2023 22:39:02,,22,Masculino,Ing. Mecatrónica,5,80,171,4.5,2,14 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,No,30.6,15.4,Neutral,Sí
4/05/2023 23:38:28,,22,Masculino,Ing. Civil,5,75.8,166,2,3,15 horas,55,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,24.2,13.8,Neutral,Sí
5/05/2023 0:55:07,,24,Femenino,Ing. Industrial,6,72,165,1.5,4,16 horas,50,Comida rápida/chatarra,Tiempo empleado,Grasas,2.5,No,68.3,14.5,Poco satisfecho,Sí
5/05/2023 1:13:35,,21,Femenino,Ing. de la Energía,7,60.5,170,6.5,1,14 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,50.5,17.6,Neutral,Sí
5/05/2023 1:16:47,,19,Masculino,Ciencias de la computación,4,80.5,190,10,3,14 horas,30,Comida de restaurante,Tiempo empleado,Frutas y Verduras,2.5,Sí,80,19.3,Satisfecho,Sí
5/05/2023 1:20:03,,17,Masculino,Ing. Química,2,60,170,5,1,14 horas,50,Comida de restaurante,Tiempo empleado,Proteínas,2,Sí,50,18.5,Satisfecho,Sí
5/05/2023 1:27:26,,19,Masculino,Ing. Civil,4,60,165,2,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,50,15,Satisfecho,Sí
5/05/2023 1:30:05,,19,Masculino,Bioingenería,4,70,185,1,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30.5,17.5,Satisfecho,Sí
5/05/2023 1:32:02,,20,Masculino,Ing. Electrónica,4,50,170,3.5,2,13 horas,40,Comida preparada en casa,Situación económica,Frutas y Verduras,2,Sí,20,18,Satisfecho,Sí
5/05/2023 3:22:23,,24,Femenino,Ing. Electrónica,6,68,161,1.5,3,15 horas,46,Comida envasada/congelada,Tiempo empleado,Productos lácteos,1.5,No,43.7,15.25,Neutral,Sí
5/05/2023 7:51:12,,21,Masculino,Ciencias de la computación,6,56.6,167,2,2,13 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2.5,No,45,17,Satisfecho,Sí
5/05/2023 8:41:11,,19,Masculino,Ing. Electrónica,4,55,163,0,2,13 horas,30,Comida de restaurante,Situación económica,Proteínas,1.5,Sí,12,14,Poco satisfecho,Sí
5/05/2023 15:03:27,,24,Femenino,Ing. Electrónica,7,72.4,168,0,3,14 horas,50,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,38.4,13.7,Poco satisfecho,Sí
5/05/2023 17:04:11,,19,Masculino,Ing. Civil,3,69,171,0,4,13 horas,40,Comida de restaurante,Tiempo empleado,Carbohidratos,3,No,20,17.71,Muy satisfecho,Sí
5/05/2023 17:14:26,,18,Femenino,Ing. Ambiental,3,68,163,10,2,13 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,Mas de 3 litros,No,12.5,16,Poco satisfecho,No
5/05/2023 17:38:23,,17,Masculino,Administración y negocios digitales,3,52.6,158,1,2,13 horas,60,Comida de restaurante,Tiempo empleado,Frutas y Verduras,2,No,35.5,17.8,Neutral,No
5/05/2023 18:40:13,,19,Femenino,Ing. Industrial,2,60,170,7,2,13 horas,30,Comida preparada en casa,Situación económica,Proteínas,2,Sí,30,18,Neutral,Sí
5/05/2023 18:46:06,,22,Masculino,Ciencias de la computación,7,70,180,10,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,50,18,Satisfecho,Sí
5/05/2023 19:29:12,,19,Femenino,Bioingenería,5,46,155,10,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,15,Satisfecho,Sí
5/05/2023 19:50:23,,20,Femenino,Administración y negocios digitales,2,60,175,7,1,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,17.5,Neutral,Sí
5/05/2023 19:51:50,,21,Femenino,Administración y negocios digitales,4,50,165,5,1,14 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,40,18,Satisfecho,Sí
5/05/2023 19:53:14,,19,Femenino,Bioingenería,4,60,175,10,1,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,30,18.5,Satisfecho,Sí
5/05/2023 19:54:28,,17,Masculino,Bioingenería,2,70,185,15,1,13 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,19,Muy satisfecho,Sí
5/05/2023 20:01:07,,19,Masculino,Bioingenería,5,65,175,5,2,14 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,19,Satisfecho,Sí
5/05/2023 22:55:40,,18,Femenino,Ing. Industrial,2,67.6,167,2,1,13 horas,60,Comida preparada en casa,Otros,Proteínas,1.5,No,15,14,Neutral,No
5/05/2023 22:59:31,,17,Masculino,Bioingenería,3,80,190,10,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,30,18.7,Satisfecho,Sí
5/05/2023 23:00:49,,22,Masculino,Ing. de la Energía,4,78.5,169,0,2,14 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Grasas,2.5,No,42.6,14.3,Poco satisfecho,Sí
5/05/2023 23:00:51,,20,Femenino,Ing. Industrial,7,55,170,8,1,14 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,35,18.2,Satisfecho,Sí
5/05/2023 23:02:19,,17,Masculino,Ciencia de datos,2,75,189,8,1,13 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,15,17.6,Satisfecho,Sí
5/05/2023 23:02:29,,22,Prefiero no decirlo,Ing. de la Energía,7,60.8,166,3,3,15 horas,45,Comida de restaurante,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,40,13.6,Neutral,No
5/05/2023 23:04:31,,21,Femenino,Ing. de la Energía,6,60.5,170,10,4,14 horas,50,Comida rápida/chatarra,Preferencias a ese tipo de comida,Grasas,1.5,Sí,100,13,Neutral,Sí
5/05/2023 23:04:47,,21,Masculino,Ing. Mecatrónica,3,81.7,169,1.5,3,15 horas,55,Comida de restaurante,Tiempo empleado,Grasas,2,Sí,53.5,13.5,Poco satisfecho,Sí
5/05/2023 23:06:10,,18,Femenino,Administración y negocios digitales,2,50,165,15,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,Sí,20,18.8,Muy satisfecho,Sí
5/05/2023 23:07:32,,24,Masculino,Ing. Mecatrónica,8,78.4,171,0,2,15 horas,58,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,38.4,15.70,Neutral,Sí
5/05/2023 23:12:27,,19,Masculino,Administración y negocios digitales,4,56.3,162.4,3,1,13 horas,35,Comida rápida/chatarra,Preferencias a ese tipo de comida,Proteínas,2,No,43,17.6,Neutral,No
5/05/2023 23:15:37,,17,Femenino,Ing. Mecánica,2,60,170,10,1,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,20,16,Satisfecho,Sí
5/05/2023 23:16:21,,20,Masculino,Ing. Civil,3,73.6,168,2.5,2,13 horas,60,Comida de restaurante,Tiempo empleado,Proteínas,1.5,No,35.8,16.7,Satisfecho,Sí
23/05/2023 22:36:29,,20,Femenino,Bioingenería,5,60,160,2,3,14 horas,30,Comida preparada en casa,Situación económica,Frutas y Verduras,2,Sí,10,15,Satisfecho,Sí
23/05/2023 22:37:01,,22,Femenino,Bioingenería,5,58,165,2,2,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,25.5,16.7,Satisfecho,Sí
23/05/2023 22:39:14,,20,Femenino,Administración y negocios digitales,4,48.5,158,3,1,13 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2,No,20,15,Satisfecho,No
23/05/2023 22:45:36,,20,Femenino,Ing. Industrial,4,54,166,5,2,14 horas,45,Comida de restaurante,Preferencias a ese tipo de comida,Proteínas,3,No,30,14,Neutral,Sí
