Marca temporal,"Ingresa tu Edad (en años, y en números enteros):",Selecciona tu Carrera Universitaria:,Selecciona tu Género:,¿Te cuesta concentrarte al rendir una evaluación académica cuando hace mucho CALOR? [¿Cuánto te afecta?],¿Te cuesta concentrarte al rendir una evaluación académica cuando hace mucho FRÍO? [¿Cuánto te afecta?],¿Qué medidas tomas cuando tienes una evaluación y hace mucho CALOR?,¿Qué medidas tomas cuando tienes una evaluación y hace mucho FRÍO?,Cuando prefieres dar una evaluación. ¿Cuándo hace FRÍO o CALOR?,¿Crees que tu rendimiento académico mejoraría al incluir un sistema de aire acondicionado en las aulas en época de mucho CALOR? [¿Mejoraría?],¿Crees que tu rendimiento académico mejoraría al incluir un sistema de calefacción en las aulas en época de mucho FRÍO? [¿Mejoraría?],¿Qué sensación te produce al estar en un ambiente CALUROSO y tener clase o examen en ella?,¿Qué sensación te produce al estar en un ambiente FRÍO y tener clase o examen en ella?,Rendiste tu examen parcial de Introducción a la Mecánica en la Universidad:,Nota de tu examen parcial de Introducción a la Mecánica:,Rendiste tu examen parcial de Laboratorio de Comunicación 2 en la Universidad:,Nota de tu examen final de Introducción a la Mecánica:,Nota de tu examen parcial de Laboratorio de Comunicación 2:,Nota de tu examen final de Laboratorio de Comunicación 2:
25/09/2022 19:08:08,18,Civil,Masculino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Técnicas de respiración,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Incomodidad,Desconcentración,Si,0,Si,0,0,0
25/09/2022 19:08:29,17,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Muy activo,Sueño,Si,12,Si,12,12,10
25/09/2022 19:08:35,19,Industrial,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Muy activo,Desconcentración,No,11,No,11,11,11
25/09/2022 19:09:11,19,Bioingeniería,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Nervios,Si,12,Si,13,14,13
25/09/2022 19:09:16,22,Ciencia de la Computación,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Sueño,Muy activo,Si,12,Si,12,11,11
25/09/2022 19:09:31,19,Química,Femenino,Me afecta y de forma considerable,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,13,Si,15,13,14
25/09/2022 19:09:37,20,Civil,Masculino,Me afecta y de forma considerable,Me afecta en ciertas ocasiones,Técnicas de respiración,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Desconcentración,No,14,No,12,12,12
25/09/2022 19:09:51,19,Ambiental,Femenino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Ropa ligera,Nada,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Desconcentración,Si,13,Si,14,14,18
25/09/2022 19:10:01,19,Civil,Masculino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Muy activo,Si,12,Si,14,12,12
25/09/2022 19:10:25,19,Civil,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Desconcentración,Si,15,Si,15,13,13
25/09/2022 19:10:37,19,Ambiental,Masculino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Técnicas de respiración,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,Si,14,Si,14,12,17
25/09/2022 19:10:39,17,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Abrir ventana,Tomar café,Cuando hace calor,Daría igual,Daría igual,Cansancio,Estrés,Si,0,Si,0,0,0
25/09/2022 19:10:40,21,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace calor,Daría igual,Daría igual,Sueño,Muy activo,Si,18,Si,18,18,17
25/09/2022 19:10:53,19,Civil,Femenino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Desconcentración,Si,15,Si,18,18,18
25/09/2022 19:11:00,20,Bioingeniería,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Pequeño ventilador,Alejasrse de ventanas,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Muy activo,Muy activo,Si,11,Si,12,11,12
25/09/2022 19:11:04,19,Civil,Masculino,No me afecta en nada,Me afecta y de forma considerable,Nada,Usar abrigo ,Cuando hace frío,Daría igual,Mejoraría de forma considerable,Sueño,Desconcentración,Si,11,Si,12,13,8
25/09/2022 19:11:04,19,Industrial,Masculino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta y de forma considerable,Ropa ligera,Usar una manta,Cuando hace frío,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Dolor de cabeza,Desconcentración,Si,20,Si,15,13,20
25/09/2022 19:11:06,18,Mecatrónica,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Abrir ventana,Alejasrse de ventanas,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Incomodidad,Muy activo,Si,11,Si,12,14,12
25/09/2022 19:11:19,19,Civil,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Abrir ventana,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Desconcentración,Si,18,Si,16,16,17
25/09/2022 19:11:46,19,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Muy activo,No,10,No,15,15,16
25/09/2022 19:12:04,19,Ambiental,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta y de forma considerable,Bañarse,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Dolor de cabeza,Nervios,Si,0,Si,0,0,0
25/09/2022 19:13:09,19,Bioingeniería,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Ropa ligera,Tomar café,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Cansancio,Sueño,Si,10,Si,15,13,15
25/09/2022 19:14:13,18,Bioingeniería,Femenino,Me afecta y de forma considerable,Me afecta en ciertas ocasiones,Bañarse,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Daría igual,Cansancio,Muy activo,Si,15,Si,15,14,15
25/09/2022 19:14:18,19,Civil,Masculino,Me afecta en ciertas ocasiones,No me afecta en nada,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría en un pequeño porcentaje,Cansancio,Muy activo,Si,14,Si,15,16,13
25/09/2022 19:16:14,18,Civil,Masculino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Desconcentración,Si,09,Si,11,08,12
25/09/2022 19:16:28,18,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,Si,0,Si,0,0,0
25/09/2022 19:22:56,19,Ambiental,Femenino,Me afecta y de forma considerable,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Dolor de cabeza,Sueño,Si,0,Si,0,18,19
25/09/2022 19:36:19,20,Industrial,Masculino,No me afecta en nada,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Cansancio,Muy activo,Si,0,Si,0,0,0
25/09/2022 21:12:10,18,Bioingeniería,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Aire con cuaderno,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Desconcentración,Si,0,Si,0,15,15
25/09/2022 21:42:11,19,Bioingeniería,Femenino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Cansancio,Sueño,No,0,No,0,0,0
25/09/2022 21:49:30,20,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Tomar café,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Sueño,Muy activo,Si,10,Si,9,12,13
25/09/2022 21:49:54,17,Civil,Femenino,No me afecta en nada,Me afecta a tal punto de alterar mi concentración por completo,Nada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,12,Si,10,15,16
25/09/2022 21:50:26,18,Ciencia de la Computación,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Desconcentración,Si,12,Si,12,12,12
25/09/2022 21:50:50,21,Civil,Masculino,Me afecta pero puedo lidiarlo,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Escalofríos ,Si,8,Si,9,18,14
25/09/2022 21:54:46,18,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Dolor de cabeza,Sueño,Si,5,Si,0,15,16
25/09/2022 21:55:54,19,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,Si,13,Si,11,16,15
25/09/2022 21:57:47,19,Ciencia de la Computación,Femenino,Me afecta y de forma considerable,Me afecta y de forma considerable,Aire con cuaderno,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Dolor de cabeza,Sueño,Si,0,Si,0,16,11
25/09/2022 22:00:16,19,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Tomar café,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Sueño,Escalofríos ,Si,11,Si,6,17,16
25/09/2022 22:09:20,19,Civil,Masculino,No me afecta en nada,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace calor,Daría igual,Daría igual,Sueño,Muy activo,Si,10,Si,9,14,12
25/09/2022 22:17:09,20,Química,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Alejasrse de ventanas,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Escalofríos ,Si,1,Si,10,14,12
25/09/2022 22:20:04,20,Industrial,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace frío,Me mantendría muy activo académicamente,Daría igual,Incomodidad,Muy activo,Si,16,Si,13,18,16
25/09/2022 22:20:33,18,Industrial,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,Si,15,Si,5,14,12
25/09/2022 22:35:35,21,Bioingeniería,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace frío,Daría igual,Mejoraría en un pequeño porcentaje,Incomodidad,Sueño,Si,9,Si,4,15,13
25/09/2022 22:58:02,19,Civil,Femenino,Me afecta y de forma considerable,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,12,Si,11,18,18
25/09/2022 23:23:32,18,Ciencia de la Computación,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Ropa ligera,Alejasrse de ventanas,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Cansancio,Sueño,Si,0,Si,0,14,13
25/09/2022 23:36:54,18,Industrial,Masculino,Me afecta pero puedo lidiarlo,No me afecta en nada,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría en un pequeño porcentaje,Incomodidad,Muy activo,Si,13,Si,4,9,15
26/09/2022 0:06:34,19,Industrial,Masculino,Me afecta pero puedo lidiarlo,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Desconcentración,Si,0,Si,0,18,16
26/09/2022 10:19:09,19,Civil,Masculino,No me afecta en nada,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Muy activo,Si,13,Si,11,14,13
26/09/2022 11:20:26,20,Industrial,Femenino,Me afecta y de forma considerable,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Sueño,Sueño,Si,0,Si,0,15,13
26/09/2022 11:33:24,17,Civil,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Escalofríos ,Si,7,Si,3,17,14
26/09/2022 11:50:21,19,Civil,Femenino,Me afecta y de forma considerable,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Muy activo,Si,5,Si,0,6,6
26/09/2022 13:33:06,19,Industrial,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Abrir ventana,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Incomodidad,Sueño,Si,9,Si,10,17,17
26/09/2022 14:33:29,20,Electrónica,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Estrés,Escalofríos ,Si,9,Si,11,17,17
26/09/2022 15:09:16,18,Industrial,Masculino,Me afecta pero puedo lidiarlo,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Incomodidad,Muy activo,Si,14,Si,5,14,12
26/09/2022 15:24:13,19,Industrial,Femenino,Me afecta y de forma considerable,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Estrés,Sueño,Si,11,Si,12,15,17
26/09/2022 17:03:49,18,Ciencia de la Computación,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Incomodidad,Muy activo,Si,0,Si,0,12,17
26/09/2022 17:14:02,20,Energía,Masculino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Escalofríos ,Si,20,Si,20,20,20
26/09/2022 17:26:05,20,Electrónica,Femenino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Estrés,Muy activo,Si,9,Si,11,17,17
26/09/2022 17:26:37,20,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Muy activo,Si,13,Si,13,12,15
26/09/2022 19:23:42,21,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Muy activo,Si,13,Si,11,12,12
26/09/2022 21:34:27,20,Mecánica,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Incomodidad,Sueño,Si,15,Si,12,16,15
26/09/2022 22:11:31,17,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Estrés,Sueño,Si,13,Si,15,16,15
26/09/2022 22:12:08,19,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Estrés,Sueño,Si,15,Si,13,14,12
26/09/2022 22:14:22,18,Civil,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Estrés,Escalofríos ,Si,0,Si,0,0,0
26/09/2022 22:16:05,17,Ambiental,Femenino,Me afecta y de forma considerable,Me afecta a tal punto de alterar mi concentración por completo,Técnicas de respiración,Usar una manta,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Sueño,Si,15,Si,16,15,15
26/09/2022 22:19:03,17,Civil,Femenino,Me afecta y de forma considerable,Me afecta y de forma considerable,Técnicas de respiración,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Incomodidad,Sueño,Si,0,Si,0,0,0
26/09/2022 23:12:20,19,Mecatrónica,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace frío,Daría igual,Mejoraría de forma considerable,Muy activo,Escalofríos ,Si,15,Si,16,16,15
26/09/2022 23:13:46,17,Civil,Femenino,Me afecta y de forma considerable,Me afecta en ciertas ocasiones,Técnicas de respiración,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Estrés,Sueño,Si,1,Si,00,00,00
26/09/2022 23:14:03,22,Mecánica,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Incomodidad,Escalofríos ,Si,13,Si,13,13,13
26/09/2022 23:14:20,23,Civil,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Escalofríos ,Si,16,Si,18,20,18
26/09/2022 23:14:31,18,Civil,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Abrir ventana,Alejasrse de ventanas,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Muy activo,Si,16,Si,15,16,18
26/09/2022 23:14:51,21,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar una manta,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Muy activo,Escalofríos ,Si,10,Si,12,12,11
26/09/2022 23:15:17,20,Electrónica,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Usar una manta,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Incomodidad,Sueño,No,14,No,13,17,14
26/09/2022 23:15:41,20,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Tengo que aguantar,Usar una manta,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Sueño,Muy activo,Si,13,Si,09,15,16
26/09/2022 23:15:46,22,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Sueño,Sueño,Si,15,Si,16,18,16
26/09/2022 23:15:48,18,Civil,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Desconcentración,Si,11,Si,15,18,18
26/09/2022 23:15:55,19,Ambiental,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Bañarse,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Dolor de cabeza,Escalofríos ,Si,0,Si,0,0,0
26/09/2022 23:15:57,20,Bioingeniería,Masculino,Me afecta en ciertas ocasiones,No me afecta en nada,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Muy activo,Muy activo,Si,12,Si,11,10,13
26/09/2022 23:16:02,20,Civil,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Tengo que aguantar,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Dolor de cabeza,Escalofríos ,Si,11,Si,15,13,14
26/09/2022 23:16:39,21,Bioingeniería,Masculino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Técnicas de respiración,Tomar café,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Escalofríos ,Si,14,Si,13,16,14
26/09/2022 23:16:40,19,Industrial,Masculino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Muy activo,Escalofríos ,Si,15,Si,10,16,14
26/09/2022 23:17:04,18,Industrial,Femenino,Me afecta y de forma considerable,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Muy activo,Si,15,Si,18,16,17
26/09/2022 23:17:58,18,Ambiental,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Escalofríos ,Si,13,Si,15,18,16
26/09/2022 23:19:00,19,Ciencia de la Computación,Femenino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Agua helada,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Desconcentración,Si,20,Si,20,20,20
27/09/2022 2:19:12,18,Bioingeniería,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar una manta,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Dolor de cabeza,Muy activo,Si,10,Si,10,17,17
27/09/2022 18:57:54,18,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Desconcentración,Si,12,Si,14,16,16
27/09/2022 19:49:56,20,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Bañarse,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Dolor de cabeza,Sueño,Si,00,Si,00,15,15
27/09/2022 22:13:49,19,Civil,Femenino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Desconcentración,Si,12,Si,10,14,14
27/09/2022 23:00:57,19,Civil,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Sueño,Escalofríos ,Si,6,Si,0,16,13
27/09/2022 23:56:14,18,Ambiental,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Escalofríos ,Si,0,Si,0,0,0
28/09/2022 12:17:51,19,Química,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace frío,Daría igual,Me mantendría muy activo académicamente,Sueño,Muy activo,Si,13,Si,13,17,16
28/09/2022 12:19:46,19,Civil,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Escalofríos ,Si,4,Si,6,15,15
28/09/2022 14:55:47,19,Bioingeniería,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta y de forma considerable,Agua helada,Usar una manta,Cuando hace calor,Me mantendría muy activo académicamente,Mejoraría de forma considerable,Muy activo,Desconcentración,Si,11,Si,7,15,18
28/09/2022 15:05:02,19,Electrónica,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Nada,Frotar mis manos,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Sueño,Si,9,Si,6,16,14
28/09/2022 15:38:20,20,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta a tal punto de alterar mi concentración por completo,Nada,Usar una manta,Cuando hace calor,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Sueño,Sueño,Si,11,Si,11,20,20
28/09/2022 16:01:17,20,Química,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Me encanta el frío,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Escalofríos ,Si,12,Si,13,13,14
28/09/2022 16:07:55,18,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Escalofríos ,Si,9,Si,3,16,13
