Marca temporal,1. ¿Sigues el género K-pop?,2. ¿Qué edad tienes?,3.¿Cuál es su género?,4. ¿Hace cuántos años sigue el K-pop? ,5. ¿Pertenece a algún fan club?,6. ¿Qué es lo que más le gusta del género K-pop?,7. ¿Cuál es su grupo favorito?,8. ¿Cuán importante considera el K-pop en su vida? Siendo 1 poco importante y 5 muy importante,9.  ¿De qué forma le llegó a gustar el K-pop?,10. ¿Cómo se siente al escuchar K-pop?,11. ¿Qué medios de comunicación sueles utilizar para mantenerte al tanto del K-pop?,12. ¿Cuánto dinero (S/) mensualmente invierte en compras de productos relacionados al K-pop?,13. ¿Cuánto dinero (S/) mensualmente invierte en servicios relacionados al K-Pop?,14. ¿Qué productos compras o comprarías relacionados al K-pop? Elija 1 de acuerdo a su preferencia,15. ¿A qué servicios recurre o recurriría con temática K-pop? Elija 1 de acuerdo a su preferencia,16. ¿Te has sentido juzgado o discriminado por ser K-poper?
10/06/2021 20:14:47,Si,12,Femenino,1,Si,Idols,Black Pink,5,Escuché su música y me gustó,Esperanzada (o),Tik Tok,50,50,Poster,Lounge coffee,Si
10/06/2021 20:14:50,Si,20,Masculino,1,No,Coreografías,Black Pink,5,Influencia de un amiga (o),Fortalecida (o),YouTube,60,0,Ropa,Conciertos,No
10/06/2021 20:20:11,Si,24,Masculino,3,Si,Letra de canciones,Black Pink,4,Influencia Redes Sociales,Esperanzada (o),Facebook,30,10,Discos,Merchandising online,Si
10/06/2021 20:23:10,Si,19,Femenino,4,Si,Idols,BTS,3,Influencia de un amiga (o),Alegre,Whatsapp,0,0,Álbumes,Conciertos,No
10/06/2021 20:23:28,Si,21,Masculino,1,Si,Idols,Twice,4,Escuché su música y me gustó,Tranquila (o),Instagram,20,30,Discos,Merchandising online,Si
10/06/2021 20:25:32,Si,35,Femenino,10,No,Letra de canciones,Black Pink,2,Influencia de un amiga (o),Fortalecida (o),Twitter,100,100,Álbumes,Restaurantes,No
10/06/2021 20:25:51,Si,9,Femenino,2,Si,Idols,EXO,2,Escuché su música y me gustó,Alegre,Tik Tok,0,0,Poster,Restaurantes,No
10/06/2021 20:27:45,Si,18,Femenino,1,Si,Coreografías,BTS,3,Escuché su música y me gustó,Alegre,Twitter,20,0,Poster,Conciertos,No
10/06/2021 20:32:57,Si,12,Femenino,2,Si,Idols,Twice,4,Influencia de un amiga (o),Fortalecida (o),Tik Tok,0,0,Poster,Conciertos,Si
10/06/2021 20:34:21,Si,15,Femenino,4,Si,Coreografías,EXO,4,Influencia Redes Sociales,Relajada (o),Instagram,50,0,Discos,Restaurantes,No
10/06/2021 20:34:40,Si,20,Masculino,3,Si,Letra de canciones,Black Pink,5,Escuché su música y me gustó,Esperanzada (o),Facebook,25,20,Discos,Merchandising online,Si
10/06/2021 20:35:03,Si,21,Masculino,4,Si,Look de los Idols,BTS,4,Escuché su música y me gustó,Alegre,Facebook,40,10,Poster,Conciertos,Si
10/06/2021 20:36:11,No,,,,,,,,,,,,,,,
10/06/2021 20:36:38,Si,20,Masculino,2,Si,Letra de canciones,Black Pink,4,Escuché su música y me gustó,Esperanzada (o),Facebook,30,10,Discos,Merchandising online,No
10/06/2021 20:46:09,Si,16,Femenino,3,Si,Idols,BTS,3,Escuché su música y me gustó,Alegre,YouTube,30,20,Discos,Academia de Baile,No
