Marca temporal,¿Cuántos años tienes? (Ingrese un valor entero),Año de egreso del colegio (Ingrese un valor entero. Ejem 2020),"Ciclo de ingreso a la universidad (Ejem. 2022.1, 2021.2)",Género biológico , ¿En qué ciclo estás actualmente? (del 2 al 10),¿Qué carrera estudias?,¿Tuviste orientación vocacional antes de elegir la carrera que actualmente estudias?, ¿Qué influyó en la elección de tu carrera? (Puedes marcar más de una),¿Cuánto tiempo le dedicas a estudiar al dia ? (Escribir en horas y si requiere de decimales usar el punto.  Ejem: 2.5 => 2 h 30min),¿Cuál es el monto mensual de salario que esperas después de graduarte? (Usa punto decimal),¿Te encuentras en riesgo académico?,¿Alguna vez pensaste en retirarte de la carrera que actualmente estudias en UTEC?,Si tuvieras la oportunidad de volver a estudiar una carrera.¿Estudiarías tu carrera actual de UTEC? ,Del 1 al 10 qué tan satisfecho te encuentras con la carrera que estudias?, ¿Cuál es tu promedio ponderado exacto del semestre pasado? Use punto decimal (0 al 20),Según la siguiente escala. ¿Cómo consideras que se encuentra tu salud mental?
2/05/2023 14:33:39,20,2019,2021.1,Masculino,5,Administración y negocios digitales,No,"Salario, Campo laboral, Intereses, Ubicación de la universidad",2,2000,No,Sí,No,7,15,Bueno
2/05/2023 14:35:36,18,2019,2021.1,Masculino,5,Administración y negocios digitales,Si,"Campo laboral, Test vocacional",1,100000,No,Sí,Si,5,16,Bueno
2/05/2023 14:36:08,19,2019,2019,Masculino,5,Administración y negocios digitales,No,Habilidades,2,18000,No,No,Si,7,15.34,Regular
2/05/2023 14:43:04,19,2019,2021.2,Femenino,4,Bioingeniería,No,"Habilidades, Intereses",3,2000,No,Sí,No,7,14,Regular
2/05/2023 14:43:16,21,2018,2022.1,Masculino,4,Ingeniería Industrial,Si,"Salario, Campo laboral",5,10000,No,Sí,Si,7,17,Regular
2/05/2023 14:43:38,18,2020,2021,Femenino,3,Ingeniería Química,Si,"Test vocacional, Habilidades, Intereses",2.5,3000,No,No,Si,10,14.5,Regular
2/05/2023 14:43:40,23,2016,2019,Masculino,4,Ingeniería Mecatrónica,No,Intereses,3,7.000,No,No,Si,8,13,Muy malo
2/05/2023 14:45:07,19,2019,2022.2,Masculino,2,Ingeniería Industrial,No,Intereses,2.4,10000,No,No,Si,10,3,Bueno
2/05/2023 14:51:11,18,2021,2022.1,Femenino,3,Bioingeniería,Si,"Salario, Habilidades, Intereses, Ubicación de la universidad",7,5000,No,Sí,Si,5,17.62,Malo
2/05/2023 14:51:44,18,2021,2022.1,Masculino,3,Bioingeniería,Si,"Salario, Campo laboral, Habilidades, Intereses, Ubicación de la universidad, Posibilidad de obtener una beca",2,3000,No,No,Si,10,16.9,Regular
2/05/2023 15:30:14,18,2021,2022.1,Masculino,3,Ingeniería Industrial,Si,"Campo laboral, Habilidades, Intereses",2,3000,No,No,Si,8,17.45,Muy bueno
2/05/2023 17:19:41,20,2018,2021.2,Femenino,4,Ingeniería Ambiental,Si,"Presión familiar, Intereses",5,1200,No,No,Si,9,14,Bueno
2/05/2023 18:45:44,17,2021,2022.1,Femenino,3,Ingeniería Mecánica,Si,"Campo laboral, Habilidades, Intereses, Posibilidad de obtener una beca",4,5000,No,Sí,No,8,17.56,Regular
2/05/2023 19:15:54,21,2018,2019.1,Femenino,9,Ingeniería Industrial,Si,"Campo laboral, Habilidades, Intereses",3,1500,No,No,Si,9,15.16,Bueno
3/05/2023 1:14:46,23,2016,2021.1,Femenino,5,Bioingeniería,Si,Intereses,4,3000,No,No,Si,10,12,Regular
3/05/2023 12:08:13,19,2020,2022,Femenino,3,Ingeniería Electrónica,Si,"Campo laboral, Test vocacional, Posibilidad de obtener una beca",3,1500,No,No,No,7,17.37,Regular
3/05/2023 12:10:58,19,2020,2021.1,Masculino,5,Ingeniería Civil,Si,"Salario, Intereses, Posibilidad de obtener una beca",1,10000,Si,Sí,No,6,15.83,Regular
3/05/2023 12:34:36,21,2018,2021.2,Masculino,4,Ingeniería Civil,No,"Salario, Campo laboral, Habilidades, Intereses",5,5000,No,No,Si,9,12.33,Bueno
3/05/2023 12:35:56,19,2020,2021,Femenino,3,Ingeniería Industrial,No,"Salario, Campo laboral, Habilidades, Intereses",2,5000,No,No,No,7,18,Bueno
3/05/2023 14:11:57,19,2020,2021.1,Masculino,5,Ingeniería Electrónica,Si,"Campo laboral, Intereses, Ubicación de la universidad",2,8000,No,No,Si,7,12.94,Malo
3/05/2023 15:00:41,19,2019,2021.2,Masculino,4,Ingeniería Mecatrónica,Si,"Test vocacional, Habilidades, Intereses, Posibilidad de obtener una beca",8,5000,No,No,Si,7,14.7,Regular
3/05/2023 15:04:00,18,2020,2021.2,Masculino,4,Ingeniería Electrónica,Si,"Salario, Campo laboral, Intereses, Posibilidad de obtener una beca",3,4000,No,No,Si,10,15.3,Malo
3/05/2023 15:12:24,19,2020,2021.2,Masculino,4,Bioingeniería,Si,"Test vocacional, Posibilidad de obtener una beca",5,2000,No,No,No,7,15.68,Regular
3/05/2023 15:14:27,20,2019,2021,Femenino,4,Ingeniería Civil,Si,"Test vocacional, Habilidades, Intereses",4,3.200,No,No,Si,9,16,Bueno
3/05/2023 15:24:06,19,2020,2021.1,Masculino,4,Ingeniería Industrial,No,"Presión familiar, Salario, Campo laboral, Intereses, Ubicación de la universidad",4,3.500,No,No,Si,7,13.2,Regular
3/05/2023 15:26:45,21,2019,2021.2,Masculino,3,Ciencia de la computación,No,"Salario, Habilidades, Intereses",4,2200,No,Sí,Si,9,14.6,Regular
3/05/2023 15:28:17,22,2017,2021,Masculino,4,Ingeniería Civil,No,"Presión familiar, Habilidades, Posibilidad de obtener una beca",5,5000,Si,No,Si,10,15,Regular
3/05/2023 15:30:25,22,2020,2020.1,Masculino,4,Ingeniería Mecatrónica,Si,"Salario, Campo laboral, Test vocacional, Habilidades, Intereses, Ubicación de la universidad",3,100000,No,No,Si,10,17,Muy bueno
3/05/2023 15:35:13,21,2018,2021.2,Femenino,4,Ingeniería Industrial,Si,"Salario, Campo laboral, Test vocacional, Habilidades, Intereses, Posibilidad de obtener una beca",2.5,5000,No,No,Si,10,14.9,Regular
3/05/2023 19:02:01,19,2019,2020.1,Femenino,4,Ingeniería Mecatrónica,No,Intereses,3,5000,No,Sí,Si,6,13.12,Malo
4/05/2023 13:05:22,18,2021,2022.2,Masculino,2,Ingeniería Civil,No,Test vocacional,2.5,20.000,No,No,Si,6,12,Muy bueno
4/05/2023 13:54:54,18,2021,2022.1,Masculino,3,Ingeniería Química,Si,"Salario, Campo laboral, Habilidades, Intereses",3,4000,No,No,Si,8,19,Bueno
4/05/2023 13:56:08,23,2018,2019,Masculino,5,Ingeniería Industrial,Si,"Campo laboral, Intereses",4.5,3000,No,No,No,9,13.4,Bueno
4/05/2023 14:00:03,20,2019,2021,Masculino,3,Ingeniería Mecatrónica,No,Presión familiar,6,3,No,No,Si,8,13,Bueno
4/05/2023 14:00:41,17,2022,2022.1,Femenino,3,Ingeniería Química,Si,Intereses,6,2500,Si,No,Si,6,12.3,Regular
4/05/2023 14:02:30,19,2020,2021.2,Femenino,4,Ingeniería Ambiental,No,Presión familiar,6,2.500,Si,Sí,No,1,11,Malo
4/05/2023 14:18:23,21,2018,2019.1,Masculino,3,Ingeniería Mecatrónica,Si,"Campo laboral, Test vocacional, Habilidades, Intereses",2,3000,Si,No,Si,10,14.5,Malo
4/05/2023 14:24:25,20,2019,2022.1,Masculino,3,Ingeniería Electrónica,Si,"Habilidades, Ubicación de la universidad, Posibilidad de obtener una beca",1,5000,No,No,No,8,17,Muy bueno
4/05/2023 14:56:34,25,2015,2019.2,Masculino,4,Ingeniería Mecatrónica,Si,"Campo laboral, Habilidades",2,2000,No,No,Si,8,15,Regular
4/05/2023 15:02:52,20,2019,2022.2,Masculino,2,Ingeniería Civil,Si,"Salario, Campo laboral, Habilidades, Intereses",4,12.0000,No,No,No,10,16,Muy malo
4/05/2023 15:03:44,19,2020,2021.2,Femenino,4,Ciencia de la computación,Si,Posibilidad de obtener una beca,4,1200,No,Sí,Si,7,14.00,Muy malo
4/05/2023 15:05:34,20,2019,2022.1,Femenino,4,Ciencia de la computación,Si,"Presión familiar, Salario, Campo laboral, Test vocacional, Habilidades, Intereses, Posibilidad de obtener una beca",5,4500,No,Sí,No,5,14,Bueno
4/05/2023 15:05:50,19,2019,2022.1,Masculino,3,Ingeniería Mecatrónica,No,"Campo laboral, Test vocacional",3,2000,No,No,Si,7,13.2,Bueno
4/05/2023 15:05:59,19,2019,2021.1,Masculino,4,Ciencia de la computación,No,"Campo laboral, Habilidades, Intereses, Posibilidad de obtener una beca",4,3000,No,No,Si,9,16.45,Bueno
4/05/2023 15:06:24,19,2021,2021,Masculino,4,Ingeniería Electrónica,Si,"Salario, Campo laboral, Intereses",3,5000,No,Sí,No,5,14,Bueno
4/05/2023 15:07:13,19,2019,2021.2,Masculino,4,Ingeniería Civil,Si,"Salario, Test vocacional, Habilidades, Intereses",6,4000,No,No,Si,8,14.78,Bueno
4/05/2023 15:10:14,20,2020,2022.1,Masculino,2,Ingeniería Civil,Si,Test vocacional,2,4000,Si,No,Si,10,12,Regular
4/05/2023 15:12:58,19,2020,2021.2,Femenino,4,Ingeniería Civil,Si,Posibilidad de obtener una beca,4,2000,No,Sí,Si,7,14,Regular
4/05/2023 15:16:16,21,2017,2021.1,Femenino,4,Ingeniería Química,No,"Habilidades, Intereses, Posibilidad de obtener una beca",8,3000,No,No,Si,10,14.75,Bueno
4/05/2023 15:34:49,18,2021,2022,Femenino,2,Ingeniería Industrial,Si,Presión familiar, 2.30,5000,No,Sí,No,2,14,Muy bueno
4/05/2023 15:39:20,19,2019,2020.1,Femenino,4,Ingeniería Mecatrónica,No,Intereses,4,5000,No,Sí,Si,7,12.21,Muy malo
4/05/2023 15:46:39,20,2019,2021,Masculino,5,Bioingeniería,No,"Habilidades, Intereses",4,3000,No,Sí,Si,9,13.7,Regular
4/05/2023 15:52:02,21,2018,2022.2,Masculino,2,Ingeniería Mecatrónica,Si,"Intereses, Ubicación de la universidad",9,100000,No,No,Si,9,16,Bueno
4/05/2023 15:52:06,18,2004,2022.1,Masculino,2,Ingeniería Mecatrónica,No,"Salario, Intereses, Ubicación de la universidad, Posibilidad de obtener una beca",6,20.000,No,No,No,9,15.7,Bueno
4/05/2023 15:52:54,17,2022,2022.2,Masculino,2,Ingeniería Mecatrónica,Si,"Salario, Campo laboral, Habilidades",2,5000,No,No,Si,8,14.5,Bueno
