C9_CARRERA,SELECT,C9P901_ORD,C9P901,C9P902,C9P903,C9P904,C9P905,C9P906,C9P907,C9P908,C9P909,C9P910,C9P911,C9P912,C9P913,C9P914,C9P915,C9P916,C9P917,C9P918,C9P919,C9P920,C9P921,C9P922,C9P923,C9P924,C9P925,C9P926
1031,U0015,7,INGENIERIA PESQUERA,10,4,66,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1032,U0015,8,INGENIERIA INDUSTRIAL,10,4,67,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1033,U0015,9,INGENIERIA DE SISTEMAS,10,4,66,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,1,5
1034,U0015,10,INGENIERIA QUIMICA,10,4,67,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1035,U0015,11,INGENIERIA MECANICA,10,4,64,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1036,U0015,12,INGENIERIA DE ENERGIA,10,4,66,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1037,U0015,13,ENFERMERIA,10,4,49,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1038,U0015,14,FISICA,10,4,50,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1039,U0015,15,MATEMATICA,10,4,50,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1040,U0015,16,INGENIERIA AMBIENTAL,10,4,72,1,1,5,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1275,U0016,1,PSICOLOGIA,12,4,84,200,243,192,654,96,12,26,1,23,67,65,60,2,1,7,320,320,750,1920,0,0,3
1276,U0016,2,EDUCACIÇüN INICIAL,10,4,76,85,89,67,274,76,21,14,3,11,43,178,36,2,1,7,320,320,750,1920,0,0,5
1277,U0016,3,EDUCACION PRIMARIA,10,4,79,1,1,1,26,76,21,14,3,11,4,178,36,2,1,7,320,320,750,1920,0,0,5
1278,U0016,4,EDUCACION ESPECIAL,10,4,79,50,38,32,175,76,21,14,3,11,27,178,59,2,1,7,320,320,750,1920,0,0,5
1279,U0016,5,TRADUCCION E INTERPRETACION,10,4,74,100,98,80,285,36,3,4,2,0,40,44,17,2,1,7,320,320,750,1920,0,0,5
1280,U0016,6,CIENCIAS DE LA COMUNICACION,10,4,79,45,71,28,118,14,1,1,0,1,16,28,3,2,1,7,320,320,750,1920,0,0,5
1281,U0016,7,ARQUITECTURA,10,4,78,100,121,70,253,27,9,5,0,2,36,33,23,2,1,7,320,320,750,1920,0,0,5
1282,U0016,8,NUTRICION Y DIETETICA,10,4,71,90,91,58,238,38,7,5,3,5,41,40,36,2,1,7,320,320,750,1920,0,0,5
1283,U0016,9,INGENIERIA DE SISTEMAS Y GESTION DE TECNOLOGIA DE INFORMACION,10,4,76,1,1,1,26,22,3,5,2,4,7,18,9,2,1,7,320,320,750,1920,0,0,5
1284,U0016,10,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,10,4,86,105,122,50,205,22,5,10,0,0,16,7,0,2,1,7,320,320,750,1920,0,0,5
1285,U0016,11,DERECHO,12,4,103,45,61,37,169,60,13,10,2,4,40,42,38,2,1,7,320,320,750,1920,0,0,5
202,U0017,1,COMUNICACION SOCIAL,10,6,58,90,118,86,63,134,0,24,0,21,23,40,20,2,1,3,462,532,430,500,0,0,1
204,U0017,2,TEOLOGIA,10,6,42,32,5,5,2,134,0,24,0,21,5,6,0,2,1,3,462,532,430,500,0,0,1
210,U0017,4,PUBLICIDAD Y MULTIMEDIA,10,6,50,90,270,81,73,134,0,24,0,21,28,34,25,2,1,3,462,532,430,500,0,0,1
212,U0017,5,PSICOLOGIA,10,6,51,90,320,90,76,134,0,24,0,21,39,54,39,2,1,3,462,532,430,500,0,0,1
213,U0017,6,EDUCACION,10,6,70,90,35,45,32,134,0,24,0,21,18,45,16,2,1,3,462,532,430,500,0,0,1
214,U0017,7,TURISMO Y HOTELERIA,10,6,60,90,64,45,32,134,0,24,0,21,27,35,25,2,1,3,462,532,430,500,0,0,1
215,U0017,8,INGENIERIA INDUSTRIAL,10,6,65,175,500,175,165,143,0,36,0,11,84,95,48,2,1,3,558,658,520,620,0,0,1
216,U0017,9,INGENIERIA MECANICA MECANICA ELECTRICA Y MECATRONICA,10,6,70,175,500,175,163,143,0,36,0,11,25,47,22,1,1,3,558,658,520,620,0,0,1
217,U0017,10,INGENIERIA DE SISTEMAS,10,6,70,135,182,135,99,143,0,36,0,11,28,38,16,1,1,3,558,658,520,620,0,0,1
219,U0017,12,INGENIERIA DE MINAS,10,6,24,135,500,135,131,143,0,34,0,11,0,0,0,2,1,3,558,658,520,620,0,0,1
220,U0017,13,INGENIERIA AGRONOMICA Y AGRICOLA,10,6,70,100,33,48,30,44,0,14,0,5,5,20,5,2,1,3,558,658,520,620,0,0,1
221,U0017,14,MEDICINA VETERINARIA Y ZOOTECNIA,10,6,64,130,124,119,74,44,0,14,0,5,32,60,32,2,1,3,558,658,520,620,0,0,1
222,U0017,15,INGENIERIA DE INDUSTRIAS ALIMENTARIAS,10,6,69,100,59,89,52,44,0,14,0,5,19,26,19,2,1,3,558,658,520,620,0,0,1
223,U0017,16,ARQUITECTURA,10,6,63,132,500,132,118,52,0,8,0,1,75,73,19,2,1,3,558,658,520,620,0,0,1
224,U0017,17,INGENIERIA CIVIL,10,6,69,132,500,132,127,52,0,8,0,1,27,41,27,2,1,3,558,658,620,620,0,0,1
225,U0017,18,INGENIERIA AMBIENTAL,10,6,24,91,464,91,83,52,0,8,0,1,0,0,0,2,1,3,558,658,620,620,0,0,1
226,U0017,19,ENFERMERIA,10,6,44,92,132,92,54,23,0,2,0,9,37,67,37,2,1,3,620,720,580,680,0,0,1
227,U0017,20,MEDICINA HUMANA,14,6,62,120,500,120,120,132,0,21,0,24,143,120,120,1,1,3,767,867,720,820,0,0,1
228,U0017,21,OBSTETRICIA Y PUERICULTURA,10,6,50,92,96,87,56,23,0,9,0,1,31,41,24,2,1,3,620,720,580,680,0,0,1
229,U0017,22,ODONTOLOGIA,10,6,60,137,500,137,116,74,0,14,0,19,62,103,62,1,1,3,767,867,720,820,0,0,1
230,U0017,23,INGENIERIA BIOTECNOLOGICA,10,6,48,90,121,89,54,41,0,14,0,9,29,39,29,2,1,3,620,720,580,680,0,0,1
231,U0017,24,FARMACIA Y BIOQUIMICA,10,6,51,91,77,89,51,41,0,14,0,9,30,52,30,2,1,3,620,720,580,680,0,0,1
232,U0017,25,CONTABILIDAD,10,6,61,132,158,132,103,19,0,6,0,5,32,53,32,2,1,3,473,553,440,520,0,0,1
233,U0017,26,INGENIERIA COMERCIAL,10,6,70,135,483,135,122,39,0,8,0,7,61,77,33,2,1,3,473,553,440,520,0,0,1
234,U0017,27,ADMINISTRACION DE EMPRESAS,10,6,60,205,500,205,159,39,0,8,0,7,63,86,44,2,1,3,473,553,440,520,0,0,1
235,U0017,28,DERECHO,12,6,68,215,500,215,185,29,0,7,0,7,102,153,94,2,1,3,473,553,440,520,0,0,1
1595,U0018,1,derecho,12,1,1,1,1,11,1,6,1,1,1,1,1,1,1,1,1,1,420,420,420,420,0,0,1
406,U0019,1,ESCUELA DE FORMACION PROFESIONAL DE AGRONOMIA,10,4,64,53,283,81,568,37,20,0,0,2,34,34,64,2,2,0,0,0,0,0,64,0,3
503,U0019,3,ESCUELA DE FORMACION PROFESIONAL DE EDUCACION INICIAL,10,4,60,49,140,58,190,8,0,7,0,0,25,25,12,2,2,0,0,0,0,0,64,0,3
504,U0019,4,ESCUELA DE FORMACION PROFESIONAL DE EDUCACION PRIMARIA,10,4,60,54,39,58,205,71,71,0,0,0,30,44,43,2,2,0,0,0,0,0,64,0,3
505,U0019,5,ESCUELA DE FORMACION PROFESIONAL DE EDUCACION SECUNDARIA,10,4,65,65,185,87,458,71,71,0,0,0,60,60,23,2,2,0,0,0,0,0,64,0,3
506,U0019,6,ESCUELA DE FORMACION PROFESIONAL DE EDUCACION FISICA,10,4,64,63,45,40,178,7,5,2,0,0,25,13,11,2,2,0,0,0,0,0,64,0,3
507,U0019,7,ESCUELA DE FORMACION PROFESIONAL DE ADMINISTRACION DE EMPRESAS,10,4,60,61,745,96,640,12,3,7,0,2,61,54,9,2,2,0,0,0,0,0,64,0,3
508,U0019,8,ESCUELA DE FORMACION PROFESIONAL DE CONTABILIDAD Y AUDITORIA,10,4,60,61,657,100,710,16,6,6,2,2,53,44,40,2,2,0,0,0,0,0,64,0,3
509,U0019,9,ESCUELA DE FORMACION PROFESIONAL DE BIOLOGIA,10,4,58,53,202,72,504,43,2,18,4,7,42,30,20,2,2,0,0,0,0,0,64,0,3
510,U0019,10,ESCUELA DE FORMACION PROFESIONAL DE ECONOMIA,10,4,60,58,379,92,703,17,4,8,2,3,70,41,48,2,2,0,0,0,0,0,64,0,3
511,U0019,11,ESCUELA DE FORMACION PROFESIONAL DE ANTROPOLOGIA,10,4,60,55,169,74,375,13,7,3,2,1,33,33,75,2,2,0,0,0,0,0,64,0,3
512,U0019,12,ESCUELA DE FORMACION PROFESIONAL DE ARQUEOLOGIA E HISTORIA,10,4,55,63,87,64,290,18,18,0,0,0,29,29,35,2,2,0,0,0,0,0,64,0,3
567,U0019,13,ESCUELA DE FORMACION PROFESIONAL DE TRABAJO SOCIAL,10,4,65,56,480,82,377,12,5,1,0,2,45,51,9,2,2,0,0,0,0,0,64,0,3
568,U0019,14,ESCUELA DE FORMACION PROFESIONAL DE DERECHO,12,4,66,56,621,89,695,22,22,0,0,0,85,85,63,2,2,0,0,0,0,0,64,0,3
569,U0019,15,ESCUELA DE FORMACION PROFESIONAL DE ENFERMERIA,10,4,55,62,278,81,437,40,40,0,0,0,59,28,36,2,2,0,0,0,0,0,64,0,3
570,U0019,16,ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA DE MINAS,10,4,60,45,229,73,398,16,3,10,0,3,50,33,28,2,2,0,0,0,0,0,64,0,3
575,U0019,17,ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA CIVIL,10,4,60,45,755,88,599,16,11,5,0,0,104,33,6,2,2,0,0,0,0,0,64,0,3
580,U0019,19,ESCUELA DE FORMACION PROFESIONAL DE OBSTETRICIA,11,4,57,61,277,79,502,42,1,23,0,5,53,53,22,2,2,0,0,0,0,0,64,0,3
581,U0019,20,ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA EN INDUSTRIAS ALIMENTARIAS,10,4,63,54,136,71,326,12,4,7,0,1,18,18,11,2,2,0,0,0,0,0,64,0,3
583,U0019,22,ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA AGRICOLA,10,4,65,46,228,75,578,14,1,3,2,0,56,56,15,2,2,0,0,0,0,0,64,0,3
584,U0019,23,ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA AGROINDUSTRIAL,10,4,59,47,96,63,322,8,5,2,1,0,25,16,33,2,2,0,0,0,0,0,64,0,3
585,U0019,24,ESCUELA DE FORMACION PROFESIONAL DE CIENCIAS DE LA COMUNICACION,10,4,63,48,192,72,441,14,14,0,0,0,45,45,36,2,2,0,0,0,0,0,64,0,3
586,U0019,25,ESCUELA DE FORMACION PROFESIONAL DE MEDICINA VETERINARIA,12,4,78,51,92,59,279,17,1,4,0,1,21,21,9,2,2,0,0,0,0,0,64,0,3
587,U0019,26,ESCUELA DE FORMACION PROFESIONAL DE CIENCIAS FISICO MATEMATICA,10,4,42,49,42,59,200,56,56,0,0,0,6,6,2,2,2,0,0,0,0,0,64,0,3
588,U0019,27,ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA DE SISTEMAS,10,4,62,55,271,82,495,16,15,1,0,0,42,42,13,2,2,0,0,0,0,0,64,0,3
589,U0019,28,ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA AGROFORESTAL,10,4,67,69,96,73,225,14,6,1,0,0,0,0,0,2,2,0,0,0,0,0,64,0,3
631,U0019,31,ESCUELA DE FORMACION PROFESIONAL DE MEDICINA HUMANA,14,4,54,23,347,35,63,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,64,0,3
331,U0020,1,INGENIERIA AGRONOMICA,10,4,75,57,51,41,357,34,0,19,0,7,27,31,43,2,2,0,0,0,0,0,0,0,5
332,U0020,2,INGENIERIA AGROINDUSTRIAL,10,4,61,80,85,27,300,13,0,8,0,2,28,20,24,2,2,0,0,0,0,0,0,0,5
333,U0020,3,INGENIERIA TOPOGRAFICA Y AGRIMENSURA,10,4,69,70,230,64,452,13,0,5,0,0,45,20,9,2,2,0,0,0,0,0,0,0,5
334,U0020,4,MEDICINA VETERINARIA Y ZOOTECNIA,10,4,65,110,185,37,679,55,0,20,0,16,8,46,35,2,2,0,0,0,0,0,0,0,5
335,U0020,5,INGENIERIA ECONOMICA,10,4,56,88,1114,89,717,41,0,23,0,11,123,118,72,2,2,0,0,0,0,0,0,0,5
336,U0020,6,CIENCIAS CONTABLES,10,4,62,106,2359,107,965,33,0,16,0,12,113,99,108,2,2,0,0,0,0,0,0,0,5
337,U0020,7,ADMINISTRACION,10,4,60,40,799,41,636,14,0,7,0,2,115,43,39,2,2,0,0,0,0,0,0,0,5
338,U0020,8,TRABAJO SOCIAL,10,4,56,90,303,90,590,19,0,12,0,3,56,56,18,2,2,0,0,0,0,0,0,0,5
339,U0020,9,ENFERMERIA,10,4,53,80,454,66,553,24,0,15,0,6,74,52,44,2,2,0,0,0,0,0,0,0,5
340,U0020,10,INGENIERIA DE MINAS,10,4,62,60,749,60,717,17,0,8,0,2,47,66,22,2,2,0,0,0,0,0,0,0,5
341,U0020,11,SOCIOLOGIA,10,4,60,50,139,49,499,22,0,9,0,7,83,85,28,2,2,0,0,0,0,0,0,0,5
342,U0020,12,TURISMO,10,4,57,54,263,54,508,13,0,4,0,2,62,54,31,2,2,0,0,0,0,0,0,0,5
343,U0020,13,ANTROPOLOGIA,10,4,61,120,156,86,376,18,0,12,0,3,29,45,16,2,2,0,0,0,0,0,0,0,5
344,U0020,14,CIENCIAS DE LA COMUNICACION SOCIAL,10,4,57,50,161,51,571,16,0,9,0,4,75,93,41,2,2,0,0,0,0,0,0,0,5
345,U0020,15,ARTE,10,4,60,119,87,66,385,2,0,1,0,0,42,18,17,2,2,0,0,0,0,0,0,0,5
346,U0020,16,BIOLOGIA,10,4,61,80,128,48,420,26,0,16,0,6,34,43,42,2,2,0,0,0,0,0,0,0,5
347,U0020,17,EDUCACION SECUNDARIA,10,4,60,188,105,78,786,38,0,12,0,22,131,729,118,2,2,0,0,0,0,0,0,0,5
348,U0020,18,EDUCACION PRIMARIA,10,4,60,45,55,34,309,9,0,5,0,1,67,0,66,2,2,0,0,0,0,0,0,0,5
349,U0020,19,EDUCACION INICIAL,10,4,60,48,110,44,316,9,0,2,0,5,26,0,40,2,2,0,0,0,0,0,0,0,5
350,U0020,20,EDUCACION FISICA,10,4,60,50,43,38,218,12,0,6,0,4,15,0,30,2,2,0,0,0,0,0,0,0,5
351,U0020,21,INGENIERIA ESTADISTICA E INFORMATICA,10,4,60,60,42,32,320,19,0,13,0,4,18,42,23,2,2,0,0,0,0,0,0,0,5
352,U0020,22,DERECHO,12,4,80,44,662,45,645,23,0,6,0,6,66,57,38,2,2,0,0,0,0,0,0,0,5
353,U0020,23,INGENIERIA QUIMICA,10,4,63,70,50,38,281,23,0,16,0,4,21,35,25,2,2,0,0,0,0,0,0,0,5
354,U0020,24,ODONTOLOGIA,11,4,60,19,250,19,473,13,0,4,0,2,46,30,26,2,2,0,0,0,0,0,0,0,5
355,U0020,25,NUTRICION HUMANA,10,4,51,54,156,33,339,15,0,8,0,4,31,50,66,2,2,0,0,0,0,0,0,0,5
356,U0020,26,INGENIERIA GEOLOGICA,10,4,63,40,351,41,602,17,0,11,0,1,14,44,23,2,2,0,0,0,0,0,0,0,5
357,U0020,27,INGENIERIA METALURGICA,10,4,59,60,82,50,374,16,0,10,0,1,13,43,15,2,2,0,0,0,0,0,0,0,5
358,U0020,28,INGENIERIA CIVIL,10,4,65,70,1239,70,797,21,0,9,0,0,73,64,66,2,2,0,0,0,0,0,0,0,5
359,U0020,29,ARQUITECTURA Y URBANISMO,10,4,58,69,651,71,616,21,0,8,0,1,48,50,27,2,2,0,0,0,0,0,0,0,5
360,U0020,30,CIENCIAS FISICO MATEMATICAS,10,4,57,80,84,37,177,33,0,12,0,0,0,5,12,2,2,0,0,0,0,0,0,0,5
361,U0020,31,INGENIERIA AGRICOLA,10,4,67,88,259,75,504,16,0,7,0,2,51,65,60,2,2,0,0,0,0,0,0,0,5
362,U0020,32,MEDICINA HUMANA,14,4,71,28,790,29,410,40,0,9,0,0,33,40,30,2,2,0,0,0,0,0,0,0,5
363,U0020,33,INGENIERIA MECANICA ELECTRICA,10,4,71,49,248,49,627,14,0,4,0,0,50,61,48,2,2,0,0,0,0,0,0,0,5
364,U0020,34,INGENIERIA ELECTRONICA,10,4,62,55,106,39,412,14,0,11,0,0,50,29,26,2,2,0,0,0,0,0,0,0,5
365,U0020,35,INGENIERIA DE SISTEMAS,10,4,60,80,296,67,556,14,0,9,0,2,82,47,22,2,2,0,0,0,0,0,0,0,5
402,U0021,1,ADMINISTRACION DE EMPRESAS,10,4,71,45,625,45,1010,32,8,12,4,8,61,30,16,2,2,0,0,0,0,0,122,0,5
403,U0021,2,AGRONOMIA,10,4,70,110,118,33,377,41,5,22,6,8,38,44,38,2,2,0,0,0,0,0,122,122,4
404,U0021,3,ANTROPOLOGIA,10,4,74,114,62,34,390,20,6,12,1,1,18,23,19,2,2,0,0,0,0,0,122,0,5
405,U0021,4,TRABAJO SOCIAL,10,4,57,76,492,76,854,23,13,3,2,5,22,65,67,2,2,0,0,0,0,0,122,0,5
407,U0021,5,INGENIERIA AGROINDUSTRIAL  JUNIN,10,4,63,40,20,15,133,14,6,6,0,0,11,6,2,2,2,0,0,0,0,0,122,0,5
408,U0021,6,CIENCIAS DE LA COMUNICACION,10,4,68,68,175,64,594,18,18,0,0,0,42,64,44,2,2,0,0,0,0,0,122,0,5
409,U0021,7,INGENIERIA AGROINDUSTRIAL TARMA,10,4,63,45,60,24,301,9,6,0,2,1,38,26,0,2,2,0,0,0,0,0,122,0,5
410,U0021,8,ADMINISTRACION DE NEGOCIOS TARMA,10,4,67,45,70,46,408,7,2,2,1,1,48,25,16,2,2,0,0,0,0,0,122,0,5
414,U0021,9,HOTELERIA Y TURISMO TARMA,10,4,62,45,70,45,348,6,4,2,0,0,32,18,14,2,2,0,0,0,0,0,122,0,5
415,U0021,10,EDUCACION MECANICA AUTOMOTRIZ,10,4,63,1,1,1,56,1,1,0,0,0,0,19,15,2,2,0,0,0,0,0,122,0,5
416,U0021,11,ARQUITECTURA,10,4,56,72,584,72,944,38,0,19,0,7,43,62,53,2,2,0,0,0,0,0,122,0,5
417,U0021,12,CIENCIAS FORESTALES Y DEL AMBIENTE,10,4,64,94,458,76,1028,34,1,17,1,2,30,83,48,2,2,0,0,0,0,0,122,0,5
418,U0021,13,CONTABILIDAD,10,4,60,94,753,94,850,30,1,17,1,5,35,76,81,2,2,0,0,0,0,0,122,0,5
419,U0021,14,ECONOMIA,10,4,52,90,461,90,1067,28,1,21,1,5,42,84,31,2,2,0,0,0,0,0,122,0,5
420,U0021,15,ENFERMERIA,10,4,48,77,229,77,757,36,1,17,1,6,27,44,26,2,2,0,0,0,0,0,122,0,5
421,U0021,16,INGENIERIA CIVIL,10,4,59,85,1041,86,1048,18,1,8,1,2,17,38,21,2,2,0,0,0,0,0,122,0,5
422,U0021,17,INGENIERIA DE MINAS,10,4,60,105,871,105,862,26,0,19,0,7,23,109,81,2,2,0,0,0,0,0,122,0,5
423,U0021,18,INGENIERIA DE SISTEMAS,10,4,63,61,267,61,608,24,0,12,1,3,21,33,55,1,2,0,0,0,0,0,122,0,5
424,U0021,19,INGENIERIA ELECTRICA,10,4,68,83,494,83,933,32,0,17,0,5,26,54,113,2,2,0,0,0,0,0,122,0,5
425,U0021,20,INGENIERIA EN INDUSTRIAS ALIMENTARIAS,10,4,51,100,90,100,620,28,0,21,0,7,16,38,30,2,2,0,0,0,0,0,122,0,5
426,U0021,21,INGENIERIA MECANICA,10,4,59,81,515,81,1042,35,0,22,0,13,23,52,51,2,2,0,0,0,0,0,122,0,5
427,U0021,22,INGENIERIA METALURGICA Y DE MATERIALES,10,4,63,90,249,90,764,24,1,16,1,4,66,62,105,2,2,0,0,0,0,0,122,0,5
428,U0021,23,INGENIERIA QUIMICA,10,4,60,48,114,48,348,37,0,25,0,11,31,71,73,2,2,0,0,0,0,0,122,0,5
429,U0021,24,MEDICINA HUMANA,14,4,88,41,546,41,680,53,0,23,0,10,38,46,45,2,2,0,0,0,0,0,122,0,5
430,U0021,25,SOCIOLOGIA,10,4,63,56,88,43,661,22,0,14,0,3,22,42,16,2,2,0,0,0,0,0,122,0,5
431,U0021,26,ZOOTECNIA,10,4,46,130,78,16,557,30,0,21,0,9,27,39,14,2,2,0,0,0,0,0,122,0,5
432,U0021,27,EDUCACION,10,4,65,91,81,91,221,81,2,42,0,22,22,38,52,2,2,0,0,0,0,0,122,0,5
751,U0022,1,ADMINISTRACION DE EMPRESAS,10,4,50,80,12,10,9,5,2,1,1,1,0,0,0,2,2,0,0,0,0,0,500,5500,1
752,U0022,2,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,10,4,50,80,15,14,14,4,1,1,1,1,0,0,0,2,2,0,0,0,0,0,500,5500,1
753,U0022,3,CONTABILIDAD Y FINANZAS,10,4,50,80,11,11,10,5,2,1,1,1,0,0,0,2,2,0,0,0,0,0,500,5500,1
754,U0022,4,ADMINISTRACION DE REDES Y SEGURIDAD INFORMATICA,10,4,50,80,11,11,12,3,1,1,1,0,0,0,0,2,2,0,0,0,0,0,500,5500,1
755,U0022,5,MARKETING Y PUBLICIDAD,10,4,50,80,13,13,12,4,1,0,2,1,0,0,0,2,2,0,0,0,0,0,500,5500,1
256,U0023,1,INGENIERIA AGRONOMA,10,4,70,212,210,210,509,29,5,3,3,2,57,45,15,2,1,4,190,190,220,280,0,0,1
257,U0023,2,INGENIERIA CIVIL,10,4,70,400,398,398,800,113,10,10,4,4,169,138,45,2,1,4,190,190,220,280,0,0,1
258,U0023,3,INGENIERIA INFORMATICA Y DE SISTEMAS,10,4,70,399,386,386,800,61,9,9,4,4,123,124,79,2,1,4,190,190,220,280,0,0,1
259,U0023,4,INGENIERIA INDUSTRIAL,10,4,70,210,198,198,800,71,5,5,3,3,60,46,5,2,1,4,190,190,220,280,0,0,1
260,U0023,5,INGENIERIA MECANICA ELECTRICA,10,4,70,160,153,153,690,52,3,3,2,2,0,0,1,2,1,4,190,190,260,280,0,0,1
261,U0023,6,ARQUITECTURA Y URBANISMO,10,4,70,340,327,327,800,63,4,4,2,2,38,58,8,2,1,4,190,190,220,280,0,0,1
262,U0023,7,ENFERMERIA,10,4,46,400,451,451,800,56,4,4,2,2,250,212,182,2,1,4,190,190,240,300,0,0,1
263,U0023,8,OBSTETRICIA,10,4,38,120,110,110,665,44,7,7,3,3,21,10,19,2,1,4,190,190,260,300,0,0,1
264,U0023,9,PSICOLOGIA,11,4,77,390,382,382,800,60,5,5,2,2,81,72,46,2,1,4,190,190,220,300,0,0,1
265,U0023,10,TECNOLOGIA MEDICA TERAPIA FISICA Y REHABILITACION,10,4,49,240,231,231,800,45,1,1,2,2,94,46,71,2,1,4,190,190,220,300,0,0,1
266,U0023,11,TECNOLOGIA MEDICA LABORATORIO CLINICO Y ANATOMIA PATOLOGICA,10,4,52,180,175,175,657,29,2,2,1,1,20,9,8,2,1,4,190,190,240,300,0,0,1
267,U0023,12,TECNOLOGIA MEDICA RADIOLOGIA,10,4,46,60,59,59,203,24,2,2,1,1,0,0,1,2,1,4,190,190,280,300,0,0,1
268,U0023,13,ADMINISTRACION,10,4,58,400,1066,800,800,90,11,11,5,5,191,176,86,2,1,4,190,190,220,260,0,0,1
269,U0023,14,CONTABILIDAD,10,4,61,400,718,718,800,95,6,6,4,4,292,231,154,2,1,4,190,190,220,250,0,0,1
270,U0023,15,ADMINISTRACION HOTELERA Y DE TURISMO,10,4,55,90,69,69,177,23,1,1,2,2,0,0,1,2,1,4,190,190,240,260,0,0,1
271,U0023,16,ECONOMIA Y NEGOCIOS INTERNACIONALES,10,4,62,90,81,81,380,46,3,3,3,3,0,0,1,2,1,4,190,190,240,260,0,0,1
272,U0023,17,DERECHO,12,4,85,400,809,800,800,78,5,5,5,5,387,396,280,2,1,4,190,190,220,260,0,0,1
273,U0023,18,MEDICINA,14,5,57,150,220,150,800,115,6,6,3,3,89,84,83,1,2,0,0,0,0,0,400,9000,1
274,U0023,19,FARMACIA Y BIOQUIMICA,11,4,60,210,199,199,800,27,2,2,2,2,32,21,11,2,2,0,0,0,0,0,380,2560,1
275,U0023,20,EDUCACION INICIAL,10,4,77,370,361,361,800,45,2,2,1,1,120,71,105,2,1,4,160,160,130,150,0,0,1
276,U0023,21,EDUCACION PRIMARIA,10,4,77,120,118,118,800,23,4,4,6,6,70,134,147,2,1,4,160,160,130,150,0,0,1
277,U0023,22,EDUCACION SECUNDARIA IDIOMAS INGLES FRANCES,10,5,77,110,109,109,84,21,3,3,1,1,25,15,13,2,1,4,160,160,130,150,0,0,1
278,U0023,23,EDUCACION ESPECIAL,10,4,64,10,9,9,37,8,2,2,1,1,6,4,4,2,1,4,160,160,130,150,0,0,1
242,U0024,1,INGENIERIA DE MINAS,10,5,51,59,407,59,59,33,5,7,3,3,48,34,13,2,2,0,0,0,0,0,0,0,5
243,U0024,2,INGENIERIA METALURGICA,10,5,62,60,121,60,60,24,3,6,6,5,23,20,16,2,2,0,0,0,0,0,0,0,5
244,U0024,3,INGENIERIA MECANICA,10,5,58,30,183,30,30,29,5,2,1,1,27,40,9,2,2,0,0,0,0,0,0,0,5
245,U0024,4,INGENIERIA EN INFORMATICA Y SISTEMAS,10,5,62,66,347,66,66,66,2,1,1,1,25,24,14,2,2,0,0,0,0,0,0,0,5
246,U0024,5,INGENIERIA QUIMICA,10,5,70,50,67,51,51,29,2,5,4,4,9,13,1,2,2,0,0,0,0,0,0,0,5
279,U0024,6,CIENCIAS CONTABLES Y FINANCIERAS,10,5,63,93,1100,96,96,52,8,10,2,3,88,75,2,2,2,0,0,0,0,0,0,0,5
288,U0024,7,CIENCIAS ADMINISTRATIVAS,10,5,56,69,700,70,68,52,5,7,2,3,60,58,22,2,2,0,0,0,0,0,0,0,5
289,U0024,8,DERECHO Y CIENCIAS POLITICAS,12,5,90,48,670,50,50,36,5,3,1,2,274,75,74,2,2,0,0,0,0,0,0,0,5
292,U0024,11,INGENIERIA EN INDUSTRIAS ALIMENTARIAS,10,5,64,70,140,70,68,53,2,7,1,2,35,29,28,2,2,0,0,0,0,0,0,0,5
293,U0024,12,AGRONOMIA,10,5,70,34,91,34,34,39,1,8,1,3,20,18,16,2,2,0,0,0,0,0,0,0,5
294,U0024,13,ECONOMIA AGRARIA,10,5,61,34,132,35,35,33,1,6,1,0,37,41,18,2,2,0,0,0,0,0,0,0,5
299,U0024,17,OBSTETRICIA,12,5,59,50,145,51,50,43,7,6,5,8,51,24,19,2,2,0,0,0,0,0,0,0,5
300,U0024,18,MEDICINA HUMANA,14,5,62,26,703,29,29,36,12,5,4,9,19,18,19,2,2,0,0,0,0,0,0,0,5
314,U0024,19,ENFERMERIA,10,5,53,59,213,64,64,28,5,13,1,1,18,20,46,2,2,0,0,0,0,0,1,1,5
