C9P901,C9P902,C9P903,C9P904,C9P908,C9P914,C9P917,C9P918,C9P920,C9P921,C9P922,C9P923,C9P924,C9P925,C9P926
DERECHO,12,4,80,645,66,No,No,0,0,0,0,0,0,No aplica
INGENIERIA QUIMICA,10,4,63,281,21,No,No,0,0,0,0,0,0,No aplica
ODONTOLOGIA,11,4,60,473,46,No,No,0,0,0,0,0,0,No aplica
NUTRICION HUMANA,10,4,51,339,31,No,No,0,0,0,0,0,0,No aplica
INGENIERIA GEOLOGICA,10,4,63,602,14,No,No,0,0,0,0,0,0,No aplica
INGENIERIA METALURGICA,10,4,59,374,13,No,No,0,0,0,0,0,0,No aplica
INGENIERIA CIVIL,10,4,65,797,73,No,No,0,0,0,0,0,0,No aplica
ARQUITECTURA Y URBANISMO,10,4,58,616,48,No,No,0,0,0,0,0,0,No aplica
CIENCIAS FISICO MATEMATICAS,10,4,57,177,0,No,No,0,0,0,0,0,0,No aplica
INGENIERIA AGRICOLA,10,4,67,504,51,No,No,0,0,0,0,0,0,No aplica
MEDICINA HUMANA,14,4,71,410,33,No,No,0,0,0,0,0,0,No aplica
INGENIERIA MECANICA ELECTRICA,10,4,71,627,50,No,No,0,0,0,0,0,0,No aplica
INGENIERIA ELECTRONICA,10,4,62,412,50,No,No,0,0,0,0,0,0,No aplica
INGENIERIA DE SISTEMAS,10,4,60,556,82,No,No,0,0,0,0,0,0,No aplica
ADMINISTRACION DE EMPRESAS,10,4,71,1010,61,No,No,0,0,0,0,122,0,No aplica
AGRONOMIA,10,4,70,377,38,No,No,0,0,0,0,122,122,Anual
ANTROPOLOGIA,10,4,74,390,18,No,No,0,0,0,0,122,0,No aplica
TRABAJO SOCIAL,10,4,57,854,22,No,No,0,0,0,0,122,0,No aplica
INGENIERIA AGROINDUSTRIAL  JUNIN,10,4,63,133,11,No,No,0,0,0,0,122,0,No aplica
CIENCIAS DE LA COMUNICACION,10,4,68,594,42,No,No,0,0,0,0,122,0,No aplica
INGENIERIA AGROINDUSTRIAL TARMA,10,4,63,301,38,No,No,0,0,0,0,122,0,No aplica
ADMINISTRACION DE NEGOCIOS TARMA,10,4,67,408,48,No,No,0,0,0,0,122,0,No aplica
HOTELERIA Y TURISMO TARMA,10,4,62,348,32,No,No,0,0,0,0,122,0,No aplica
EDUCACION MECANICA AUTOMOTRIZ,10,4,63,56,0,No,No,0,0,0,0,122,0,No aplica
ARQUITECTURA,10,4,56,944,43,No,No,0,0,0,0,122,0,No aplica
CIENCIAS FORESTALES Y DEL AMBIENTE,10,4,64,1028,30,No,No,0,0,0,0,122,0,No aplica
CONTABILIDAD,10,4,60,850,35,No,No,0,0,0,0,122,0,No aplica
ECONOMIA,10,4,52,1067,42,No,No,0,0,0,0,122,0,No aplica
ENFERMERIA,10,4,48,757,27,No,No,0,0,0,0,122,0,No aplica
INGENIERIA CIVIL,10,4,59,1048,17,No,No,0,0,0,0,122,0,No aplica
INGENIERIA DE MINAS,10,4,60,862,23,No,No,0,0,0,0,122,0,No aplica
INGENIERIA DE SISTEMAS,10,4,63,608,21,Sí,No,0,0,0,0,122,0,No aplica
INGENIERIA ELECTRICA,10,4,68,933,26,No,No,0,0,0,0,122,0,No aplica
INGENIERIA EN INDUSTRIAS ALIMENTARIAS,10,4,51,620,16,No,No,0,0,0,0,122,0,No aplica
INGENIERIA MECANICA,10,4,59,1042,23,No,No,0,0,0,0,122,0,No aplica
INGENIERIA METALURGICA Y DE MATERIALES,10,4,63,764,66,No,No,0,0,0,0,122,0,No aplica
INGENIERIA QUIMICA,10,4,60,348,31,No,No,0,0,0,0,122,0,No aplica
MEDICINA HUMANA,14,4,88,680,38,No,No,0,0,0,0,122,0,No aplica
SOCIOLOGIA,10,4,63,661,22,No,No,0,0,0,0,122,0,No aplica
ZOOTECNIA,10,4,46,557,27,No,No,0,0,0,0,122,0,No aplica
EDUCACION,10,4,65,221,22,No,No,0,0,0,0,122,0,No aplica
ADMINISTRACION DE EMPRESAS,10,4,50,9,0,No,No,0,0,0,0,500,5500,Mensual
ADMINISTRACION DE NEGOCIOS INTERNACIONALES,10,4,50,14,0,No,No,0,0,0,0,500,5500,Mensual
CONTABILIDAD Y FINANZAS,10,4,50,10,0,No,No,0,0,0,0,500,5500,Mensual
ADMINISTRACION DE REDES Y SEGURIDAD INFORMATICA,10,4,50,12,0,No,No,0,0,0,0,500,5500,Mensual
MARKETING Y PUBLICIDAD,10,4,50,12,0,No,No,0,0,0,0,500,5500,Mensual
INGENIERIA AGRONOMA,10,4,70,509,57,No,Sí,190,190,220,280,0,0,Mensual
INGENIERIA CIVIL,10,4,70,800,169,No,Sí,190,190,220,280,0,0,Mensual
INGENIERIA INFORMATICA Y DE SISTEMAS,10,4,70,800,123,No,Sí,190,190,220,280,0,0,Mensual
INGENIERIA INDUSTRIAL,10,4,70,800,60,No,Sí,190,190,220,280,0,0,Mensual
INGENIERIA MECANICA ELECTRICA,10,4,70,690,0,No,Sí,190,190,260,280,0,0,Mensual
ARQUITECTURA Y URBANISMO,10,4,70,800,38,No,Sí,190,190,220,280,0,0,Mensual
ENFERMERIA,10,4,46,800,250,No,Sí,190,190,240,300,0,0,Mensual
OBSTETRICIA,10,4,38,665,21,No,Sí,190,190,260,300,0,0,Mensual
PSICOLOGIA,11,4,77,800,81,No,Sí,190,190,220,300,0,0,Mensual
TECNOLOGIA MEDICA TERAPIA FISICA Y REHABILITACION,10,4,49,800,94,No,Sí,190,190,220,300,0,0,Mensual
TECNOLOGIA MEDICA LABORATORIO CLINICO Y ANATOMIA PATOLOGICA,10,4,52,657,20,No,Sí,190,190,240,300,0,0,Mensual
TECNOLOGIA MEDICA RADIOLOGIA,10,4,46,203,0,No,Sí,190,190,280,300,0,0,Mensual
ADMINISTRACION,10,4,58,800,191,No,Sí,190,190,220,260,0,0,Mensual
CONTABILIDAD,10,4,61,800,292,No,Sí,190,190,220,250,0,0,Mensual
ADMINISTRACION HOTELERA Y DE TURISMO,10,4,55,177,0,No,Sí,190,190,240,260,0,0,Mensual
ECONOMIA Y NEGOCIOS INTERNACIONALES,10,4,62,380,0,No,Sí,190,190,240,260,0,0,Mensual
DERECHO,12,4,85,800,387,No,Sí,190,190,220,260,0,0,Mensual
MEDICINA,14,5,57,800,89,Sí,No,0,0,0,0,400,9000,Mensual
FARMACIA Y BIOQUIMICA,11,4,60,800,32,No,No,0,0,0,0,380,2560,Mensual
EDUCACION INICIAL,10,4,77,800,120,No,Sí,160,160,130,150,0,0,Mensual
EDUCACION PRIMARIA,10,4,77,800,70,No,Sí,160,160,130,150,0,0,Mensual
EDUCACION SECUNDARIA IDIOMAS INGLES FRANCES,10,5,77,84,25,No,Sí,160,160,130,150,0,0,Mensual
EDUCACION ESPECIAL,10,4,64,37,6,No,Sí,160,160,130,150,0,0,Mensual
INGENIERIA DE MINAS,10,5,51,59,48,No,No,0,0,0,0,0,0,No aplica
INGENIERIA METALURGICA,10,5,62,60,23,No,No,0,0,0,0,0,0,No aplica
INGENIERIA MECANICA,10,5,58,30,27,No,No,0,0,0,0,0,0,No aplica
INGENIERIA EN INFORMATICA Y SISTEMAS,10,5,62,66,25,No,No,0,0,0,0,0,0,No aplica
INGENIERIA QUIMICA,10,5,70,51,9,No,No,0,0,0,0,0,0,No aplica
CIENCIAS CONTABLES Y FINANCIERAS,10,5,63,96,88,No,No,0,0,0,0,0,0,No aplica
CIENCIAS ADMINISTRATIVAS,10,5,56,68,60,No,No,0,0,0,0,0,0,No aplica
DERECHO Y CIENCIAS POLITICAS,12,5,90,50,274,No,No,0,0,0,0,0,0,No aplica
INGENIERIA EN INDUSTRIAS ALIMENTARIAS,10,5,64,68,35,No,No,0,0,0,0,0,0,No aplica
AGRONOMIA,10,5,70,34,20,No,No,0,0,0,0,0,0,No aplica
ECONOMIA AGRARIA,10,5,61,35,37,No,No,0,0,0,0,0,0,No aplica
OBSTETRICIA,12,5,59,50,51,No,No,0,0,0,0,0,0,No aplica
MEDICINA HUMANA,14,5,62,29,19,No,No,0,0,0,0,0,0,No aplica
ENFERMERIA,10,5,53,64,18,No,No,0,0,0,0,1,1,No aplica
MEDICINA VETERINARIA Y ZOOTECNIA,10,5,72,60,16,No,No,0,0,0,0,1,1,No aplica
FARMACIA Y BIOQUIMICA,12,5,60,163,22,No,No,0,0,0,0,1,1,No aplica
ODONTOLOGIA,12,5,84,51,42,No,No,0,0,0,0,1,1,No aplica
EDUCACION,10,5,73,180,97,No,No,0,0,0,0,1,1,No aplica
CIENCIAS DE LA COMUNICACION,10,5,66,52,28,No,No,0,0,0,0,1,1,No aplica
BIOLOGIA MICROBIOLOGIA,10,5,50,70,24,No,No,0,0,0,0,1,1,No aplica
FISICA APLICADA,10,5,50,52,5,No,No,0,0,0,0,1,1,No aplica
INGENIERIA GEOLOGICA GEOTECNIA,10,5,56,58,10,No,No,0,0,0,0,1,1,No aplica
ARQUITECTURA,10,5,64,60,27,No,No,0,0,0,0,1,1,No aplica
INGENIERIA CIVIL,10,5,64,38,47,No,No,0,0,0,0,1,1,No aplica
ARTES,10,5,81,41,1,No,No,0,0,0,0,1,1,No aplica
ARQUITECTURA Y URBANISMO,10,5,60,1888,242,Sí,Sí,300,300,795,1350,0,0,Mensual
BIOLOGIA,10,5,73,300,37,No,Sí,300,300,795,1250,0,0,Mensual
MEDICINA HUMANA,14,5,59,1714,156,Sí,Sí,300,300,795,2100,0,0,Mensual
MEDICINA VETERINARIA,10,5,73,250,0,No,Sí,300,300,860,1350,0,0,Mensual
ECONOMIA,10,5,68,148,16,No,Sí,300,300,795,1250,0,0,Mensual
ADMINISTRACION DE NEGOCIOS GLOBALES,10,5,73,970,98,No,Sí,300,300,795,1350,0,0,Mensual
TURISMO HOTELERIA Y GASTRONOMIA,10,5,59,415,76,No,Sí,300,300,795,1250,0,0,Mensual
MARKETING GLOBAL Y ADMINISTRACION COMERCIAL,10,5,73,80,0,No,Sí,300,300,950,1350,0,0,Mensual
PSICOLOGIA,10,5,70,548,71,No,Sí,300,300,795,1250,0,0,Mensual
DERECHO Y CIENCIAS POLITICAS,12,5,74,268,0,No,Sí,300,300,860,1250,0,0,Mensual
TRADUCCION E INTERPRETACION,10,5,118,793,97,No,Sí,300,300,795,1350,0,0,Mensual
INGENIERIA CIVIL,10,5,64,1766,122,Sí,Sí,300,300,795,1350,0,0,Mensual
INGENIERIA ELECTRONICA,10,5,74,234,47,Sí,Sí,300,300,795,1350,0,0,Mensual
INGENIERIA INDUSTRIAL,10,5,73,1031,99,Sí,Sí,300,300,795,1350,0,0,Mensual
INGENIERIA INFORMATICA,10,5,64,398,62,Sí,Sí,300,300,795,1350,0,0,Mensual
INGENIERIA MECATRONICA,10,5,64,272,18,No,Sí,300,300,860,1350,0,0,Mensual
ADMINISTRACION Y GERENCIA,10,5,65,822,76,No,Sí,300,300,795,1250,0,0,Mensual
CONTABILIDAD Y FINANZAS,10,5,69,363,46,No,Sí,300,300,795,1250,0,0,Mensual
ADMINISTRACION Y GERENCIA EPEL,10,4,61,1963,272,No,Sí,350,350,550,700,0,0,Mensual
CONTABILIDAD Y FINANZAS EPEL,10,4,61,713,90,No,Sí,350,350,550,700,0,0,Mensual
MARKETING GLOBAL Y ADMINISTRACION COMERCIAL EPEL,10,4,73,94,0,No,Sí,350,350,550,700,0,0,Mensual
AGRONOMIA,10,4,60,975,114,Sí,No,0,0,0,0,200,0,No aplica
BIOLOGIA,10,4,60,317,35,No,No,0,0,0,0,200,0,No aplica
INGENIERIA AMBIENTAL,10,4,60,316,41,No,No,0,0,0,0,200,0,No aplica
METEOROLOGIA,10,4,60,172,15,No,No,0,0,0,0,200,0,No aplica
CIENCIAS FORESTALES,10,4,60,444,56,No,No,0,0,0,0,200,0,No aplica
ECONOMIA,10,4,60,342,47,No,No,0,0,0,0,200,0,No aplica
ESTADISTICA,10,4,60,251,20,No,No,0,0,0,0,200,0,No aplica
INGENIERIA EN GESTION EMPRESARIAL,10,4,60,364,72,No,No,0,0,0,0,200,0,No aplica
INGENIERIA AGRICOLA,10,4,60,523,60,No,No,0,0,0,0,200,0,No aplica
ZOOTECNIA,10,4,60,464,52,No,No,0,0,0,0,200,0,No aplica
PESQUERIA,10,4,60,436,62,No,No,0,0,0,0,200,0,No aplica
INDUSTRIAS ALIMENTARIAS,10,4,60,526,68,No,No,0,0,0,0,200,0,No aplica
MEDICINA HUMANA,7,6,55,1140,130,Sí,No,0,0,0,0,0,0,No aplica
OBSTETRICIA,5,6,49,421,36,Sí,No,0,0,0,0,0,0,No aplica
ENFERMERIA,5,6,46,376,59,Sí,No,0,0,0,0,0,0,No aplica
TECNOLOGIA MEDICA,5,6,50,802,52,Sí,No,0,0,0,0,0,0,No aplica
NUTRICION,5,6,46,313,39,Sí,No,0,0,0,0,0,0,No aplica
DERECHO,6,6,60,2062,281,No,No,0,0,0,0,0,0,No aplica
CIENCIA POLITICA,5,6,57,214,358,No,No,0,0,0,0,0,0,No aplica
LITERATURA,10,4,58,331,31,No,No,0,0,0,0,0,0,No aplica
FILOSOFIA,10,4,48,297,17,No,No,0,0,0,0,0,0,No aplica
LINGUISTICA,10,4,50,275,41,No,No,0,0,0,0,0,0,No aplica
COMUNICACION SOCIAL,10,4,53,561,71,No,No,0,0,0,0,0,0,No aplica
ARTE,10,4,51,286,15,No,No,0,0,0,0,0,0,No aplica
BIBLIOTECOLOGIA Y CIENCIAS DE LA INFORMACION,10,4,51,262,40,No,No,0,0,0,0,0,0,No aplica
DANZA,10,4,58,33,0,No,No,0,0,0,0,0,0,No aplica
CONSERVACION Y RESTAURACION,10,4,55,58,0,No,No,0,0,0,0,0,0,No aplica
FARMACIA Y BIOQUIMICA,12,4,66,570,20,Sí,No,0,0,0,0,0,0,No aplica
CIENCIAS DE LOS ALIMENTOS,5,6,66,100,0,No,No,0,0,0,0,0,0,No aplica
TOXICOLOGIA,6,6,56,100,0,No,No,0,0,0,0,0,0,No aplica
ODONTOLOGIA,6,6,65,420,34,Sí,No,0,0,0,0,0,0,No aplica
EDUCACION,10,4,45,1119,111,Sí,No,0,0,0,0,0,0,No aplica
EDUCACION FISICA,10,4,46,594,35,Sí,No,0,0,0,0,0,0,No aplica
QUIMICA,10,4,51,437,50,Sí,No,0,0,0,0,0,0,No aplica
INGENIERIA QUIMICA,10,4,52,614,82,No,No,0,0,0,0,0,0,No aplica
INGENIERIA AGROINDUSTRIAL,10,4,50,283,36,No,No,0,0,0,0,0,0,No aplica
MEDICINA VETERINARIA,6,6,45,360,34,Sí,No,0,0,0,0,0,0,No aplica
ADMINISTRACION,10,4,62,1265,189,No,No,0,0,0,0,0,0,No aplica
ADMINISTRACION DE TURISMO,10,4,69,666,106,No,No,0,0,0,0,0,0,No aplica
ADMINISTRACION DE NEGOCIOS INTERNACIONALES,10,4,62,676,87,No,No,0,0,0,0,0,0,No aplica
CIENCIAS BIOLOGICAS,10,4,51,353,56,Sí,No,0,0,0,0,0,0,No aplica
GENETICA Y BIOTECNOLOGIA,10,4,50,152,27,Sí,No,0,0,0,0,0,0,No aplica
MICROBIOLOGIA Y PARASITOLOGIA,10,4,50,204,23,Sí,No,0,0,0,0,0,0,No aplica
CONTABILIDAD,10,4,64,1372,284,Sí,No,0,0,0,0,0,0,No aplica
GESTION TRIBUTARIA,6,4,42,364,0,No,No,0,0,0,0,0,0,No aplica
AUDITORIA DE EMPRESAS Y DEL SECTOR PUBLICO,6,4,42,360,0,No,No,0,0,0,0,0,0,No aplica
ECONOMIA,10,4,55,1607,162,No,No,0,0,0,0,0,0,No aplica
ECONOMIA PUBLICA,10,4,55,144,0,No,No,0,0,0,0,0,0,No aplica
ECONOMIA INTERNACIONAL,10,4,55,150,0,No,No,0,0,0,0,0,0,No aplica
FISICA,10,4,50,349,26,No,No,0,0,0,0,0,0,No aplica
INGENIERIA MECANICA DE FLUIDOS,10,4,52,597,45,No,No,0,0,0,0,0,0,No aplica
MATEMATICA,10,4,45,529,21,No,No,0,0,0,0,0,0,No aplica
ESTADISTICA,10,4,45,318,16,No,No,0,0,0,0,0,0,No aplica
INVESTIGACION OPERATIVA,10,4,45,527,43,No,No,0,0,0,0,0,0,No aplica
"COMPUTACIÇ""N CIENTÇ_FICA",10,4,48,351,18,No,No,0,0,0,0,0,0,No aplica
HISTORIA,10,4,55,340,56,No,No,0,0,0,0,0,0,No aplica
SOCIOLOGIA,10,4,55,393,65,No,No,0,0,0,0,0,0,No aplica
ANTROPOLOGIA,10,4,55,357,58,No,No,0,0,0,0,0,0,No aplica
ARQUEOLOGIA,10,4,55,323,46,No,No,0,0,0,0,0,0,No aplica
TRABAJO SOCIAL,10,4,55,453,83,Sí,No,0,0,0,0,0,0,No aplica
GEOGRAFIA,10,4,55,479,42,No,No,0,0,0,0,0,0,No aplica
INGENIERIA GEOGRAFICA,10,4,50,436,42,No,No,0,0,0,0,0,0,No aplica
INGENIERIA GEOGRAFICA,10,4,55,370,52,No,No,0,0,0,0,0,0,No aplica
INGENIERIA DE MINAS,10,4,55,269,57,No,No,0,0,0,0,0,0,No aplica
INGENIERIA METALURGICA,10,4,55,318,24,No,No,0,0,0,0,0,0,No aplica
INGENIERIA CIVIL,10,4,55,109,0,No,No,0,0,0,0,0,0,No aplica
INGENIERIA INDUSTRIAL,10,4,55,1201,168,Sí,No,0,0,0,0,0,0,No aplica
INGENIERIA TEXTIL Y CONFECCIONES,10,4,55,341,8,No,No,0,0,0,0,0,0,No aplica
PSICOLOGIA,12,4,70,767,87,Sí,No,0,0,0,0,0,0,No aplica
INGENIERIA ELECTRONICA,10,4,45,636,76,Sí,No,0,0,0,0,0,0,No aplica
INGENIERIA ELECTRICA,10,4,45,487,44,No,No,0,0,0,0,0,0,No aplica
INGENIERIA DE TELECOMUNICACIONES,10,4,52,230,0,No,No,0,0,0,0,0,0,No aplica
INGENIERIA DE SISTEMAS,10,4,55,1120,117,No,No,0,0,0,0,0,0,No aplica
INGENIERIA DE SOFTWARE,10,4,55,338,9,No,No,0,0,0,0,0,0,No aplica
ADMINISTRACION,10,4,70,38,25,No,No,0,0,0,0,26,26,Semestral
AGRONOMIA,10,4,70,43,20,No,No,0,0,0,0,26,26,Semestral
CONTABILIDAD,10,4,70,47,25,No,No,0,0,0,0,26,26,Semestral
DERECHO,12,4,70,50,25,No,No,0,0,0,0,26,26,Semestral
ECONOMIA,10,4,70,39,20,No,No,0,0,0,0,26,26,Semestral
EDUCACION,10,4,70,180,100,No,No,0,0,0,0,26,26,Semestral
ENFERMERIA,10,4,70,37,25,No,No,0,0,0,0,26,26,Semestral
INGENIERIA CIVIL,10,4,70,65,10,No,No,0,0,0,0,26,26,Semestral
INGENIERIA DE MINAS,10,4,70,27,0,No,No,0,0,0,0,26,26,Semestral
INGENIERIA DE SISTEMAS,10,4,70,38,20,No,No,0,0,0,0,26,26,Semestral
INGENIERIA FORESTAL,10,4,70,37,15,No,No,0,0,0,0,26,26,Semestral
INGENIERIA GEOLOGICA,10,4,70,27,15,No,No,0,0,0,0,26,26,Semestral
INGENIERIA HIDRAULICA,10,4,70,20,8,No,No,0,0,0,0,26,26,Semestral
INGENIERIA ZOOTECNISTA,10,4,70,50,20,No,No,0,0,0,0,26,26,Semestral
MEDICINA HUMANA,14,4,70,31,25,No,No,0,0,0,0,26,26,Semestral
MEDICINA VETERINARIA,10,4,70,50,27,No,No,0,0,0,0,26,26,Semestral
OBSTETRICIA,10,4,70,40,25,No,No,0,0,0,0,26,26,Semestral
SOCIOLOGIA,10,4,70,38,30,No,No,0,0,0,0,26,26,Semestral
TURISMO Y HOTELERIA,10,4,70,36,25,No,No,0,0,0,0,26,26,Semestral
INGENIERIA EN ENERGIA,10,4,60,49,46,No,No,0,0,0,0,178,12,Anual
INGENIERIA AGROINDUSTRIAL,10,4,56,54,58,No,No,0,0,0,0,178,12,Anual
INGENIERIA CIVIL,10,4,62,60,42,No,No,0,0,0,0,178,12,Anual
INGENIERIA DE SISTEMAS,10,4,55,55,43,No,No,0,0,0,0,178,12,Anual
AGRONOMIA,10,4,75,185,131,No,No,0,0,0,0,80,0,Semestral
OBSTETRICIA,10,4,61,69,0,No,No,0,0,0,0,80,0,Semestral
ARQUITECTURA,10,4,4,102,0,No,No,0,0,0,0,80,0,Semestral
ENFERMERIA,10,4,62,476,106,No,No,0,0,0,0,80,0,Semestral
MEDICINA VETERINARIA,11,4,65,1,35,No,No,0,0,0,0,80,0,Semestral
FARMACIA Y BIOQUIMICA,10,4,83,66,112,No,No,0,0,0,0,80,0,Semestral
INGENIERIA AMBIENTAL,10,4,66,75,53,No,No,0,0,0,0,80,0,Semestral
INGENIERA DE SISTEMAS,10,4,67,750,0,No,No,0,0,0,0,80,0,Semestral
INGENIERIA DE MINAS,10,4,66,320,25,No,No,0,0,0,0,80,0,Semestral
INGENIERIA METALURGIA,10,4,57,311,29,No,No,0,0,0,0,80,0,Semestral
DERECHO Y CIENCIAS POLITICAS,12,4,48,1952,159,No,No,0,0,0,0,80,0,Anual
INGENIERIA CIVIL,10,4,80,240,122,No,No,0,0,0,0,80,0,Semestral
INGENIERIA ELECTRICA,10,4,68,546,15,No,No,0,0,0,0,80,0,Semestral
INGENIERIA MECANICA,10,4,72,682,28,No,No,0,0,0,0,80,0,Semestral
ADMINISTRACION,10,5,82,77,50,No,No,0,0,0,0,80,0,Semestral
INGENIERIA QUIMICA,10,4,60,1,92,No,No,0,0,0,0,80,0,Semestral
INGENIERIA PETROQUIMICA,10,4,50,1,0,No,No,0,0,0,0,80,0,Semestral
MEDICINA HUMANA,14,5,57,1100,75,No,No,0,0,0,0,80,0,Semestral
BIOLOGICA,10,5,57,258,62,No,No,0,0,0,0,80,0,Semestral
CIENCIAS DE LA COMUNICACION,10,4,79,1,60,No,No,0,0,0,0,80,0,Semestral
TURISMO,10,4,81,1,60,No,No,0,0,0,0,80,0,Semestral
ARQUEOLOGIA,10,4,77,1,21,No,No,0,0,0,0,80,0,Semestral
MATEMATICA,10,4,58,50,6,No,No,0,0,0,0,80,0,Semestral
FISICA,10,4,50,17,0,No,No,0,0,0,0,80,0,Semestral
EDUCACION ARTISTICA,10,4,79,92,22,No,No,0,0,0,0,80,0,Semestral
EDUCACION FISICA,10,4,78,68,27,No,No,0,0,0,0,80,0,Semestral
EDUCACION PRIMARIA,10,4,79,236,40,No,No,0,0,0,0,80,0,Semestral
EDUCACION INICIAL,10,4,79,279,51,No,No,0,0,0,0,80,0,Semestral
CIENCIAS BIOLOGICAS,10,4,79,82,22,No,No,0,0,0,0,80,0,Semestral
CIENCIAS MATEMATICAS,10,4,80,77,15,No,No,0,0,0,0,80,0,Semestral
HISTORIA Y GEOGRAFIA,10,4,80,85,9,No,No,0,0,0,0,80,0,Semestral
LENGUA Y LITERATURA,10,4,80,210,39,No,No,0,0,0,0,80,0,Semestral
FILOSOFIA PSICOLOGIA Y CIENCIAS SOCIALES,10,4,80,89,18,No,No,0,0,0,0,80,0,Semestral
MATEMATICA E IN FORMATICA,10,4,58,50,6,No,No,0,0,0,0,80,0,Semestral
INGENIERIA ALIMENTARIA,10,5,73,350,20,No,No,0,0,0,0,80,0,Semestral
INGENIERIA PESQUERA,10,5,79,250,17,No,No,0,0,0,0,80,0,Semestral
CONTABILIDAD,10,4,82,1400,106,No,No,0,0,0,0,80,0,Semestral
ECONOMIA,10,5,90,691,120,No,No,0,0,0,0,80,0,Semestral
NEGOCIOS INTERNACIONALES,10,5,90,1,0,No,No,0,0,0,0,80,0,Semestral
INGENIERIA AGRONOMA,10,4,70,62,48,No,No,0,0,0,0,50,50,Semestral
INGENIERIA AGROINDUSTRIAL,10,4,70,41,0,No,No,0,0,0,0,50,50,Semestral
INGENIERIA FORESTAL,10,4,70,48,27,No,No,0,0,0,0,50,50,Semestral
INGENIERIA AMBIENTAL,10,4,70,79,11,No,No,0,0,0,0,50,50,Semestral
MEDICINA,14,4,70,57,24,No,No,0,0,0,0,50,50,Semestral
ADMINISTRACION,10,4,70,100,37,No,No,0,0,0,0,50,50,Semestral
CONTABILIDAD,10,4,70,136,52,No,No,0,0,0,0,50,50,Semestral
INGENIERIA DE SISTEMAS,10,4,70,80,30,No,No,0,0,0,0,50,50,Semestral
INGENIERIA CIVIL,10,4,70,80,0,No,No,0,0,0,0,50,50,Semestral
DERECHO,12,4,70,120,60,No,No,0,0,0,0,50,50,Semestral
EDUCACION PRIMARIA,10,4,70,20,7,No,No,0,0,0,0,50,50,Semestral
EDUCACION SECUNDARIA,10,4,70,45,13,No,No,0,0,0,0,50,50,Semestral
EDUCACION INICIAL,10,4,70,20,0,No,No,0,0,0,0,50,50,Semestral
ENFERMERIA,10,4,55,590,40,No,No,0,0,0,0,110,0,No aplica
OBSTETRICIA,10,4,60,471,22,No,No,0,0,0,0,110,0,No aplica
ODONTOLOGIA,10,4,88,262,57,No,No,0,0,0,0,110,0,No aplica
ZOOTECNIA,10,4,68,377,22,No,No,0,0,0,0,110,0,No aplica
AGRONOMIA,10,4,84,789,25,No,No,0,0,0,0,110,0,No aplica
INDUSTRIAS ALIMENTARIAS,10,4,70,103,0,No,No,0,0,0,0,110,0,No aplica
ECONOMIA,10,4,61,423,23,No,No,0,0,0,0,110,0,No aplica
CONTABILIDAD,10,4,56,577,42,No,No,0,0,0,0,110,0,No aplica
ADMINISTRACION,10,4,62,505,44,No,No,0,0,0,0,55,0,No aplica
EDUCACION INICIAL,10,4,62,92,6,No,No,0,0,0,0,110,0,No aplica
EDUCACION PRIMARIA,10,4,71,258,18,No,No,0,0,0,0,110,0,No aplica
EDUCACION SECUNDARIA,10,4,66,588,39,No,No,0,0,0,0,110,0,No aplica
CIENCIAS DE LA COMUNICACION,10,4,75,188,29,No,No,0,0,0,0,110,0,No aplica
DERECHO Y CIENCIAS POLITICAS,12,4,88,296,28,No,No,0,0,0,0,110,0,No aplica
INGENIERIA DE MINAS,10,4,67,376,1,No,No,0,0,0,0,110,0,No aplica
INGENIERIA AMBIENTAL,10,4,69,536,17,No,No,0,0,0,0,110,0,No aplica
INGENIERIA METALURGICA,10,4,73,336,7,No,No,0,0,0,0,110,0,No aplica
INGENIERIA GEOLOGICA,10,4,60,348,7,No,No,0,0,0,0,110,0,No aplica
INGENIERIA CIVIL,10,4,69,351,3,No,No,0,0,0,0,110,0,No aplica
INGENIERIA DE SISTEMA Y COMPUTACION,10,4,87,262,5,No,No,0,0,0,0,110,0,No aplica
MEDICINA HUMANA,14,4,78,27,0,No,No,0,0,0,0,110,0,No aplica
ADMINISTRACION,10,4,1,2,3,No,Sí,76,236,998,998,0,0,Mensual
ANTROPOLOGIA,10,4,1,217,15,No,Sí,76,236,998,998,0,0,Mensual
ARQUEOLOGIA,10,4,1,41,4,No,Sí,76,236,998,998,0,0,Mensual
ARQUITECTURA,10,4,1,790,23,No,Sí,76,236,998,998,0,0,Mensual
ARTES ESCENICAS,10,4,1,124,6,No,Sí,76,236,998,998,0,0,Mensual
CIENCIA POLITICA Y GOBIERNO,10,4,1,279,32,No,Sí,76,236,998,998,0,0,Mensual
CIENCIAS DE LA INFORMACION,10,4,1,19,1,No,Sí,76,236,998,998,0,0,Mensual
COMUNICACION AUDIOVISUAL,10,4,1,643,32,No,Sí,76,236,998,998,0,0,Mensual
COMUNICACION PARA EL DESARROLLO,10,4,1,330,24,No,Sí,76,236,998,998,0,0,Mensual
CONTABILIDAD,10,4,1,358,19,No,Sí,76,236,998,998,0,0,Mensual
DANZA,10,4,1,51,1,No,Sí,76,236,998,998,0,0,Mensual
DERECHO,12,4,1,2513,137,No,Sí,76,236,998,998,0,0,Mensual
DISEO INDUSTRIAL,10,4,1,192,5,No,Sí,76,236,998,998,0,0,Mensual
ECONOMIA,10,4,1,794,53,No,Sí,76,236,998,998,0,0,Mensual
