Marca temporal,Puntuación,Ciclo,Edad (años),Sexo,"¿Qué tan sociable eras antes de la pandemia?
1. Poco Sociable  
2. Sociable  
3.Muy Sociable","¿Qué tan sociable eres después de la pandemia?
1. Poco Sociable  2. Sociable  3.Muy Sociable  ",¿De qué manera prefieres socializar?,¿Sientes que te desenvuelves mejor en un salón de clases o por una reunión de zoom?,"¿Antes de la pandemia tu personalidad era introvertida o extrovertida ?
",¿Me podrías indicar la cantidad de amigos  que tienes en total (Online y presencialmente)?,"¿Me podrías indicar  la cantidad de  redes sociales  que usas para conocer personas nuevas?
",¿Cuál es la cantidad   de amigos a los que  les hablas frecuentemente por whatsap ?,¿Me podrías indicar la cantidad  de amigos a los que  les hablas frecuentemente por telegram?,¿Cuánto tiempo dialogas con tus  amigos de forma presencial a la semana ?(Horas:Minutos),"¿Del 1 al  5 qué tan necesarias crees que son las redes sociales para la formación de tu grupo social?
donde 1 es nada y 5 total mente necesario ",¿Cuál es  tiempo que  dialogas de forma virtual a la semana ? (Horas:Minutos),¿Cuánto tiempo usas  telegram al día?  (Horas:Minutos),¿Me podrías indicar la cantidad  de   tiempo que  usas  whatsapp al día ?  (Horas:Minutos),¿Cuántas tiempo usas  instagram al día ?  (Horas:Minutos),¿Cuál es la cantidad  de  tiempo que usas  facebook al día ?  (Horas:Minutos),"¿Cuántos seguidores tienes  por instagram  ?
",¿Me podrías indicar la cantidad de contactos de amigos tienes en tu celular?  ,"¿Cuántos amigos tienes por facebook tienes ?
","¿De cuántas personas componen tu grupo social(amigos cercanos)?
","Es muy necesario la redes sociales  para la formación de los grupos sociales.
(1 en desacuerdo , 5 muy de acuerdo ) [1 al 5 ]","Soy muy sociable después  de la pandemia. 
(1 poco sociable , 5 muy sociable ) [1 a 5 ]","Me desenvuelvo mejor en un salón de clases que en un salón virtual.
(1 en desacuerdo , 5 muy de acuerdo ) [1 a 5 ]","Antes de la pandemia mi personalidad era muy introvertida.
 (1 en desacuerdo , 5 muy de acuerdo ) [1 a 5 ]"
5/05/2023 17:09:44,,3,10,Varon,3,2,Virtual,Reunión de zoom,Extrovertida,3,8,11,0,5,3,9:11:00,14:11:00,4:32:00,9:11:00,9:43:00,1,1000,300,87,5,3,4,1
5/05/2023 17:11:40,,2,19,Mujer,3,3,Presencial,Salón de clases,Extrovertida,15,2,1,0,2,4,5:28:00,0:00:00,3:08:00,0:00:00,1:00:00,1,100,89,4,3,2,2,3
5/05/2023 17:12:49,,1,16,Varon,2,2,Presencial,Salón de clases,Extrovertida,150,4,15,3,12,3,15:00:00,0:30:00,9:00:00,3:00:00,2:00:00,758,256,1327,20,3,3,3,2
5/05/2023 17:16:23,,5,19,Mujer,1,2,Presencial,Salón de clases,Introvertida,10,3,3,6,7,4,5:00:00,0:30:00,12:00:00,6:00:00,1:30:00,909,250,230,5,2,2,2,2
5/05/2023 17:19:22,,3,18,Varon,2,1,Presencial,Reunión de zoom,Introvertida,3,1,1,0,200,2,4:00:00,0:00:00,0:40:00,3:00:00,0:00:00,235,10,60,2,2,2,2,2
5/05/2023 17:19:28,,5,19,Varon,2,2,Presencial,Salón de clases,Introvertida,10,1,2,0,6,4,0:30:00,0:05:00,1:50:00,1:00:00,0:20:00,232,50,200,2,4,4,3,3
5/05/2023 17:32:57,,3,18,Mujer,3,2,Virtual,Salón de clases,Extrovertida,10,2,3,0,12,4,12:00:00,0:00:00,2:30:00,0:15:00,0:15:00,166,270,550,4,4,3,4,1
5/05/2023 18:56:59,,2,18,Mujer,3,3,Presencial,Salón de clases,Introvertida,25,2,8,0,3,2,1:30:00,0:00:00,10:00:00,3:00:00,0:30:00,10,100,82,6,1,4,5,3
5/05/2023 18:59:51,,5,22,Mujer,2,2,Presencial,Reunión de zoom,Extrovertida,20,1,20,5,20,3,4:00:00,0:30:00,4:00:00,4:00:00,2:00:00,530,50,830,5,3,4,3,2
5/05/2023 20:53:04,,5,19,Varon,3,2,Presencial,Salón de clases,Extrovertida,169,3,12,0,5,4,5:04:00,0:00:00,8:00:00,2:00:00,0:00:00,98,250,150,5,3,4,4,1
5/05/2023 20:56:28,,3,19,Mujer,2,3,Presencial,Salón de clases,Extrovertida,30,3,5,2,120,3,5:30:00,1:45:00,7:30:00,8:30:00,0:00:00,50,21,1,12,3,4,2,3
5/05/2023 20:59:16,,1,20,Mujer,2,2,Presencial,Salón de clases,Extrovertida,7,3,6,2,2,4,1:00:00,3:30:00,2:30:00,2:30:00,3:30:00,148,75,8,3,3,3,3,1
6/05/2023 9:07:34,,1,19,Varon,1,1,Presencial,Salón de clases,Introvertida,25,3,10,0,20,4,15:00:00,0:00:00,5:00:00,2:00:00,2:00:00,64,15,200,4,3,2,4,2
6/05/2023 9:08:29,,1,16,Varon,2,2,Presencial,Salón de clases,Introvertida,80,2,6,0,2,3,5:00:00,0:00:00,3:00:00,2:00:00,0:00:00,80,60,100,9,4,3,5,3
6/05/2023 10:57:07,,1,16,Varon,2,3,Presencial,Salón de clases,Introvertida,125,4,14,2,4,3,1:20:00,0:25:00,2:50:00,7:20:00,0:15:00,245,123,2084,10,3,3,4,3
6/05/2023 11:00:28,,2,19,Varon,3,3,Presencial,Salón de clases,Extrovertida,30,2,5,1,2,4,2:00:00,0:00:00,5:00:00,1:00:00,0:00:00,1,50,1,5,5,5,5,3
6/05/2023 14:38:37,,2,18,Varon,1,2,Presencial,Salón de clases,Introvertida,10,1,7,0,1,1,4:00:00,0:00:00,0:57:00,0:00:00,2:00:00,3,10,6,10,1,3,3,3
7/05/2023 8:16:11,,10,23,Varon,2,2,Presencial,Salón de clases,Extrovertida,23,50,30,18,30,3,1:02:00,12:23:00,15:12:00,15:10:00,14:12:00,16,69,1002,50,2,2,2,3
8/05/2023 16:18:51,,4,19,Mujer,2,1,Presencial,Salón de clases,Extrovertida,30,2,5,0,4,2,2:00:00,0:00:00,5:00:00,6:00:00,0:00:00,1651,367,120,10,1,2,4,2
8/05/2023 16:52:11,,4,20,Varon,2,2,Virtual,Reunión de zoom,Extrovertida,100,3,5,0,40,3,4:00:00,0:00:00,10:00:00,2:00:00,1:00:00,200,200,500,5,3,3,3,3
8/05/2023 16:58:25,,5,19,Varon,3,3,Presencial,Salón de clases,Extrovertida,100,1,5,0,4,3,1:00:00,0:00:00,1:00:00,2:00:00,0:00:00,600,200,10,10,3,1,5,1
8/05/2023 17:03:04,,5,19,Varon,1,1,Presencial,Salón de clases,Introvertida,76,2,4,0,6,4,5:00:00,0:00:00,3:00:00,2:00:00,0:00:00,212,54,56,3,4,1,4,1
8/05/2023 17:12:54,,5,19,Mujer,2,2,Presencial,Reunión de zoom,Introvertida,27,1,10,0,6,3,5:00:00,0:00:00,0:40:00,1:40:00,0:00:00,470,100,300,10,3,4,5,5
8/05/2023 18:20:52,,5,19,Varon,3,2,Presencial,Salón de clases,Extrovertida,30,3,3,0,8,2,5:00:00,0:00:00,3:00:00,3:00:00,0:30:00,626,80,120,5,2,3,5,1
8/05/2023 18:23:34,,5,18,Mujer,2,2,Presencial,Salón de clases,Extrovertida,5,1,5,1,3,3,1:00:00,0:30:00,2:00:00,2:00:00,0:00:00,789,219,300,5,3,3,3,3
8/05/2023 18:29:12,,2,20,Mujer,2,2,Presencial,Salón de clases,Extrovertida,5,2,8,2,9,3,5:00:00,1:00:00,12:00:00,6:00:00,0:00:00,500,100,1000,5,1,5,5,1
8/05/2023 18:30:41,,2,18,Varon,2,3,Presencial,Salón de clases,Extrovertida,100,1,7,1,4,2,4:00:00,0:00:00,4:00:00,0:30:00,0:30:00,30,50,500,5,4,4,5,2
8/05/2023 18:33:26,,2,19,Varon,2,3,Presencial,Salón de clases,Extrovertida,6,3,3,0,21,3,15:00:00,0:05:00,5:30:00,1:00:00,1:00:00,50,70,60,3,2,4,4,2
8/05/2023 18:48:29,,5,19,Varon,1,1,Presencial,Salón de clases,Introvertida,30,1,3,0,3,1,2:00:00,0:00:00,2:00:00,2:00:00,0:00:00,175,100,120,5,1,2,3,4
8/05/2023 18:48:50,,5,19,Mujer,1,2,Presencial,Salón de clases,Introvertida,30,1,12,0,7,3,4:00:00,0:00:00,2:00:00,2:00:00,0:00:00,220,250,300,6,2,3,4,4
8/05/2023 20:19:33,,2,10,Varon,2,1,Presencial,Salón de clases,Introvertida,1,2,5,9,8,5,9:09:00,8:08:00,9:09:00,9:09:00,3:08:00,9,9,9,7,2,3,2,3
8/05/2023 20:22:00,,4,20,Varon,3,3,Presencial,Salón de clases,Extrovertida,300,4,10,2,60,3,0:20:00,0:30:00,1:00:00,0:45:00,0:40:00,127,220,300,10,3,3,3,3
8/05/2023 20:22:33,,6,21,Varon,1,3,Presencial,Salón de clases,Extrovertida,60,3,5,0,4,4,4:30:00,0:00:00,6:00:00,3:00:00,0:10:00,550,786,1600,11,3,3,5,2
8/05/2023 20:27:21,,4,19,Mujer,1,1,Presencial,Salón de clases,Introvertida,10,1,4,0,30,4,10:00:00,0:00:00,3:00:00,1:00:00,0:00:00,744,30,500,3,3,2,3,4
8/05/2023 21:37:26,,3,19,Mujer,1,2,Presencial,Salón de clases,Introvertida,20,2,1,0,2,4,1:00:00,0:20:00,8:00:00,8:00:00,1:00:00,367,120,30,2,4,3,3,3
8/05/2023 22:22:11,,4,20,Varon,2,2,Presencial,Salón de clases,Introvertida,50,4,7,0,200,3,5:45:00,0:00:00,5:00:00,8:00:00,1:00:00,70,40,200,18,4,5,4,3
8/05/2023 22:25:56,,10,53,Mujer,3,1,Presencial,Salón de clases,Extrovertida,45,3,1,0,80,4,10:30:00,0:00:00,17:00:00,10:00:00,0:00:00,373,50,1,4,4,2,2,1
9/05/2023 0:53:17,,3,19,Varon,2,3,Presencial,Salón de clases,Extrovertida,16,1,5,0,13,3,5:40:00,0:00:00,5:00:00,4:00:00,0:00:00,530,494,700,4,5,5,5,1
9/05/2023 7:25:57,,1,19,Varon,2,2,Presencial,Salón de clases,Extrovertida,10,2,5,1,1,4,11:00:00,1:00:00,10:00:00,5:00:00,1:30:00,555,200,2,4,4,3,3,3
9/05/2023 13:11:37,,6,20,Varon,2,2,Presencial,Salón de clases,Extrovertida,53,3,7,0,20,4,21:00:00,0:00:00,0:40:00,7:00:00,0:20:00,363,133,533,25,3,3,5,3
9/05/2023 14:04:08,,1,17,Mujer,1,2,Presencial,Reunión de zoom,Introvertida,10,1,3,0,3,4,20:00:00,0:00:00,3:00:00,3:00:00,0:00:00,140,85,100,2,5,3,2,1
9/05/2023 17:31:58,,5,19,Varon,2,3,Presencial,Salón de clases,Extrovertida,60,1,6,0,6,3,6:00:00,0:00:00,6:00:00,4:00:00,0:00:00,137,50,50,15,3,4,5,3
9/05/2023 20:06:46,,2,23,Varon,2,2,Presencial,Salón de clases,Extrovertida,10,2,5,0,6,2,18:30:00,0:00:00,4:00:00,1:00:00,1:00:00,60,50,399,2,1,3,5,1
11/05/2023 18:36:44,,2,19,Varon,2,2,Presencial,Salón de clases,Extrovertida,4,2,2,0,6,4,5:00:00,0:00:00,2:00:00,5:00:00,0:00:00,200,50,2,2,3,1,5,2
11/05/2023 18:57:54,,5,18,Varon,3,3,Presencial,Salón de clases,Introvertida,40,2,5,0,5,3,2:20:00,0:00:00,4:00:00,1:00:00,0:00:00,30,40,50,5,4,5,5,3
11/05/2023 20:01:26,,5,20,Mujer,3,2,Presencial,Salón de clases,Extrovertida,580,1,7,0,10,2,8:00:00,0:00:00,5:00:00,3:00:00,1:00:00,586,645,2064,12,4,3,1,5
11/05/2023 20:20:02,,2,18,Varon,2,2,Presencial,Salón de clases,Extrovertida,50,3,15,0,40,2,8:00:00,0:00:00,4:30:00,2:00:00,0:30:00,100,109,390,12,3,3,4,3
11/05/2023 20:20:33,,5,19,Mujer,3,2,Presencial,Salón de clases,Extrovertida,20,1,3,0,14,4,15:00:00,0:00:00,10:00:00,0:40:00,0:00:00,378,90,396,5,2,3,5,3
11/05/2023 21:20:00,,2,18,Mujer,1,2,Presencial,Salón de clases,Introvertida,8,1,3,0,2,3,0:30:00,0:00:00,5:00:00,0:00:00,0:30:00,100,67,100,3,3,4,4,2
11/05/2023 21:23:24,,3,18,Mujer,3,1,Presencial,Salón de clases,Extrovertida,50,1,4,0,250,2,2:00:00,0:01:00,6:00:00,1:00:00,0:05:00,54,40,700,10,3,2,3,1
11/05/2023 21:25:53,,3,18,Mujer,3,1,Presencial,Salón de clases,Extrovertida,50,1,7,0,15,2,1:00:00,1:00:00,6:00:00,4:00:00,1:00:00,78,370,420,10,4,4,2,5
12/05/2023 13:08:33,,3,18,Varon,2,1,Virtual,Salón de clases,Extrovertida,20,1,5,0,36,3,5:00:00,0:00:00,6:00:00,3:00:00,3:00:00,40,100,100,10,3,3,3,3
12/05/2023 13:18:13,,5,25,Varon,2,3,Presencial,Salón de clases,Extrovertida,20,5,5,0,4,4,14:00:00,0:00:00,1:00:00,0:30:00,0:40:00,80,100,200,5,2,2,1,3
12/05/2023 13:25:55,,5,20,Varon,1,3,Presencial,Salón de clases,Introvertida,15,2,4,0,5,2,2:00:00,0:00:00,2:00:00,3:00:00,1:00:00,60,50,100,5,3,5,5,4
12/05/2023 14:14:48,,2,17,Varon,1,2,Presencial,Salón de clases,Introvertida,34,2,4,0,9,4,10:30:00,0:00:00,3:25:00,0:00:00,1:15:00,1,137,148,6,4,3,4,4
12/05/2023 14:39:57,,5,19,Varon,3,2,Presencial,Salón de clases,Introvertida,24,1,3,0,5,3,5:00:00,0:00:00,5:00:00,2:00:00,0:00:00,120,130,198,10,3,3,4,3
12/05/2023 15:04:08,,2,18,Varon,2,3,Presencial,Salón de clases,Introvertida,60,3,20,0,4,2,2:00:00,0:00:00,2:00:00,0:30:00,0:30:00,130,146,150,10,2,5,5,3
12/05/2023 15:53:49,,5,19,Mujer,2,2,Presencial,Reunión de zoom,Extrovertida,70,3,25,8,8,3,4:00:00,1:00:00,12:00:00,8:00:00,3:00:00,1850,500,147,2,2,2,2,3
12/05/2023 18:32:20,,3,18,Mujer,3,3,Presencial,Salón de clases,Extrovertida,50,1,20,0,4,3,2:30:00,0:00:00,3:25:00,0:30:00,0:00:00,70,200,50,10,3,5,5,1
12/05/2023 18:37:13,,3,17,Mujer,2,1,Presencial,Salón de clases,Introvertida,15,1,2,0,2,2,0:00:00,0:00:00,8:00:00,9:00:00,0:00:00,86,20,130,3,3,1,4,3
12/05/2023 18:45:49,,3,17,Mujer,2,2,Presencial,Salón de clases,Extrovertida,30,2,3,0,4,3,2:00:00,0:03:00,1:00:00,0:30:00,0:00:00,324,100,70,10,3,2,1,4
18/05/2023 0:07:30,,2,21,Mujer,3,3,Presencial,Reunión de zoom,Extrovertida,1728,1,18,123,25,2,4:21:00,20:00:00,20:00:00,2:00:00,0:00:00,1,267,1,10,2,5,3,1
18/05/2023 9:31:18,,5,19,Mujer,2,2,Virtual,Salón de clases,Introvertida,60,2,18,0,20,3,14:00:00,0:00:00,2:00:00,3:00:00,0:00:00,654,90,250,8,4,3,4,2
