,Identificador,Nombre,Equipos,Saldo,Provincia,Distrito,Latitud,Longitud,Tipo,Giro,Clasificación,Trimestre1,Trimestre2,Trimestre3,Trimestre4
200,988837935,E000000135163,U,748,CAÑETE,CHILCA,-12.4866,-76.73783,MINORISTAS,BODEGA,D,53,79,110,69
201,985705586,E000000129680,U,3069,CAÑETE,ASIA,-12.79468,-76.56051,MINORISTAS,BODEGA,C,396,251,201,494
202,969100014,E000000084358,U,946,CAÑETE,ASIA,-12.7982994,-76.5673661,MINORISTAS,BODEGA,D,45,94,123,47
203,969938434,E000000087587,U,1056,CAÑETE,SAN VICENTE DE CAÑETE,-13.0741,-76.371,MINORISTAS,AMBULANTE,C,89,59,100,77
204,945333785,E000000023913,U,1133,CAÑETE,MALA,-12.655732,-76.635099,MINORISTAS,BODEGA,C,80,116,63,46
205,988244056,E000000132210,V,22,CAÑETE,NUEVO IMPERIAL,-12.967,-76.3361,MINORISTAS,BODEGA,E,22,22,15,5
206,979573980,E000000116842,U,330,CAÑETE,MALA,-12.04282,-77.0379,MINORISTAS,BODEGA,D,59,45,51,38
207,956058575,E000000048897,U,66,CAÑETE,SAN VICENTE DE CAÑETE,-13.0629,-76.351,PERSONAL,PERSONAL,E,34,45,34,19
208,980359162,E000000120364,U,3905,CAÑETE,IMPERIAL,-13.0612,-76.3513,MINORISTAS,BODEGA,C,454,407,513,690
209,999584522,E000000154750,U,5126,CAÑETE,IMPERIAL,-13.0641,-76.3493,MINORISTAS,BODEGA,C,405,470,415,394
210,978550998,E000000113059,U,2597.1,CAÑETE,MALA,-12.65184,-76.62718,MINORISTAS,BODEGA,C,172,122,128,104
211,999551826,E000000154626,U,550,CAÑETE,SAN LUIS,-13.0565,-76.4308,MINORISTAS,BODEGA,D,50,45,35,43
212,w0050100189,E000000164983,U,154,CAÑETE,IMPERIAL,-13.0613,-76.3474,MINORISTAS,BODEGA,D,16,26,45,29
213,990201758,E000000136857,U,1298,CAÑETE,MALA,-12.4839,-76.7776,MINORISTAS,BODEGA,C,64,67,52,97
214,961505909,E000000063249,U,3586,CAÑETE,MALA,-12.660222,-76.629246,MINORISTAS,BODEGA,C,728,710,498,456
215,979899763,E000000118003,U,1683,CAÑETE,MALA,-12.65567,-76.6296,MINORISTAS,BODEGA,C,73,94,75,52
216,949605666,E000000033361,U,1870,CAÑETE,SAN VICENTE DE CAÑETE,-13.0662,-76.3579,MINORISTAS,BODEGA,C,60,23,91,75
217,945377237,E000000024096,U,5082,CAÑETE,CHILCA,-12.5154,-76.7395,MINORISTAS,FARMACIA,C,218,621,534,399
218,985176230,E000000127045,U,2244,CAÑETE,SAN VICENTE DE CAÑETE,-13.072,-76.386,MINORISTAS,BODEGA,C,113,182,187,172
219,985417399,E000000128257,U,4928,CAÑETE,QUILMANA,-12.9505,-76.3802,PERSONAL,PERSONAL,C,585,477,136,803
220,938260267,E000000007716,U,88,CAÑETE,MALA,-12.6556597,-76.6296921,MINORISTAS,BODEGA,E,28,30,15,25
221,998709961,E000000151654,U,616,CAÑETE,CHILCA,-12.4848,-76.7956,MINORISTAS,BODEGA,D,86,94,80,93
222,966643120,E000000077413,V,1342,CAÑETE,IMPERIAL,-13.0727,-76.3175,MINORISTAS,BODEGA,C,114,62,87,92
223,944645211,E000000021661,U,2046,CAÑETE,MALA,-12.6528,-76.6239,MINORISTAS,BODEGA,C,301,178,125,200
224,971667777,E000000095682,U,12397,CAÑETE,SAN VICENTE DE CAÑETE,-13,-76,PERSONAL,PERSONAL,B,797,632,575,520
225,990731243,E000000139314,U,25022.8,CAÑETE,SAN VICENTE DE CAÑETE,-13.1229,-76.3616,MINORISTAS,BODEGA,B,338,890,339,840
226,938781677,E000000010192,U,1210,CAÑETE,SAN VICENTE DE CAÑETE,-13.0728,-76.3736,MINORISTAS,CABINA DE INTERNET,C,115,42,121,44
227,971354273,E000000094090,U,3828,CAÑETE,NUEVO IMPERIAL,-13.0756598,-76.3196335,MINORISTAS,BODEGA,C,596,264,430,355
228,w0030119203,E000000162739,U,2123,CAÑETE,MALA,-12.6548,-76.62893,MINORISTAS,BODEGA,C,206,71,72,159
229,w003014567,E000000163656,U,3027.2,CAÑETE,MALA,-12.6541,-76.6354,MINORISTAS,CABINA DE INTERNET,C,358,649,589,423
230,968520744,E000000081650,U,1881,CAÑETE,IMPERIAL,-13.0611,-76.3535,MINORISTAS,BODEGA,C,42,54,91,95
231,995487548,E000000143765,U,2200,CAÑETE,ASIA,-12.7649,-76.5305,MINORISTAS,BODEGA,C,93,319,207,284
232,938774692,E000000010096,U,2024,CAÑETE,SAN LUIS,-13.04,-76.3942,MINORISTAS,BODEGA,C,285,115,212,165
233,985410201,E000000128215,U,6358,CAÑETE,QUILMANA,-12.9444,-76.3802,MINORISTAS,BODEGA,C,820,567,376,476
234,938735326,E000000009932,V,1639,CAÑETE,QUILMANA,-12.9972,-76.3877,MINORISTAS,BODEGA,C,85,67,88,63
235,996814325,E000000149317,U,7557,CAÑETE,MALA,-12.65166,-76.62713,MINORISTAS,BODEGA,C,415,549,695,510
236,953524096,E000000042699,U,440,CAÑETE,IMPERIAL,-13.0575,-76.3486,MINORISTAS,BODEGA,D,79,48,45,57
237,999238963,E000000153509,U,6636.3,CAÑETE,CERRO AZUL,-13.0223,-76.4777,MINORISTAS,BODEGA,C,847,190,562,529
238,985752380,E000000129896,U,3080,CAÑETE,IMPERIAL,-12.9617,-76.1423,MINORISTAS,CABINA DE INTERNET,C,654,644,625,587
239,965915635,E000000074860,U,1199,CAÑETE,CHILCA,-12.5173136,-76.7318246,MINORISTAS,BODEGA,C,80,117,116,58
240,968974248,E000000083623,U,1408,CAÑETE,ASIA,-12.6466,-76.6159,MINORISTAS,BODEGA,C,95,46,68,74
241,996413015,E000000147651,U,308,CAÑETE,ASIA,-12.7627,-76.59867,MINORISTAS,BODEGA,D,93,37,45,40
242,964749171,E000000072176,U,1738,CAÑETE,IMPERIAL,-13.0562,-76.3512,MINORISTAS,BODEGA,C,88,69,27,70
243,945726579,E000000025498,U,1199,CAÑETE,SAN VICENTE DE CAÑETE,-13.0526,-76.4299,MINORISTAS,LIBRERIA,C,86,67,74,64
244,998603086,E000000151214,V,2079,CAÑETE,CALANGO,-12.65678,-76.63636,MINORISTAS,BODEGA,C,321,137,241,169
245,966669708,E000000077661,U,1276,CAÑETE,MALA,-12.6550667,-76.6354101,MINORISTAS,BODEGA,C,74,82,55,70
246,w0030104285,E000000161903,V,297,CAÑETE,MALA,-12.6603,-76.63191,MINORISTAS,BODEGA,D,52,45,52,93
247,965858075,E000000074577,U,1045,CAÑETE,ASIA,-12.7802,-76.5566,MINORISTAS,BODEGA,C,52,74,63,94
248,961628597,E000000063861,U,5555,CAÑETE,IMPERIAL,-13.0374,-76.3515,MINORISTAS,BODEGA,C,750,379,281,768
249,938775953,E000000010113,U,858,CAÑETE,SAN VICENTE DE CAÑETE,-13.0232,-76.4769,MINORISTAS,BODEGA,D,55,55,83,102
250,996722012,E000000148879,U,660,CAÑETE,MALA,-12.65526,-76.63543,MINORISTAS,BODEGA,D,50,108,59,98
251,976188357,E000000107275,U,1089,CAÑETE,CHILCA,-11.93636,-77.04506,MINORISTAS,BODEGA,C,87,79,58,43
252,998686588,E000000151534,U,1034,CAÑETE,MALA,-12.6552,-76.6353,MINORISTAS,FARMACIA,C,85,73,80,48
253,945526710,E000000024661,U,3630,CAÑETE,MALA,-12.516,-76.7339,MINORISTAS,LIBRERIA,C,428,652,708,600
254,959094914,E000000060082,U,1408,CAÑETE,IMPERIAL,-13.0773,-76.3508,MINORISTAS,BODEGA,C,66,56,74,56
255,947053600,E000000027270,U,781,CAÑETE,ASIA,-12.7975,-76.5699,MINORISTAS,BODEGA,D,109,57,89,65
256,999494268,E000000154396,U,9991.96,CAÑETE,SAN VICENTE DE CAÑETE,-13.075,-76.3846,PERSONAL,PERSONAL,C,442,580,406,650
257,964773381,E000000072309,U,5874,CAÑETE,ASIA,-12.7629,-76.5998,MINORISTAS,BODEGA,C,595,628,645,821
258,958651374,E000000058632,U,1782,CAÑETE,ASIA,-12.7124473,-76.6100926,MINORISTAS,FARMACIA,C,93,66,67,81
259,969280675,E000000085338,V,1518,CAÑETE,CERRO AZUL,-13.0236,-76.4767,MINORISTAS,BODEGA,C,92,67,108,62
260,988712519,E000000134567,U,4224,CAÑETE,IMPERIAL,-13.0089,-76.3786,MINORISTAS,AMBULANTE,C,52,876,588,392
261,988098080,E000000131460,U,396,CAÑETE,MALA,-12.66285,-76.63037,MINORISTAS,BODEGA,D,45,75,26,38
262,w0050100340,E000000165000,U,1463,CAÑETE,IMPERIAL,-13.0754,-76.3868,MINORISTAS,BODEGA,C,112,92,90,66
263,985752000,E000000129880,U,2332,CAÑETE,IMPERIAL,-13.04514,-76.3905,MINORISTAS,CABINA DE INTERNET,C,168,222,310,154
264,976124962,E000000106974,U,345.4,CAÑETE,MALA,-12.6573,-76.6333,MINORISTAS,BODEGA,D,24,70,67,32
265,957622373,E000000055785,U,7172,CAÑETE,CERRO AZUL,-13.0238,-76.4764,MINORISTAS,BODEGA,C,336,505,432,301
266,969970965,E000000087764,U,5214,CAÑETE,CERRO AZUL,-13.0329,-76.4673,MINORISTAS,BODEGA,C,242,678,350,332
267,970050208,E000000088149,V,220,CAÑETE,IMPERIAL,-13.0582,-76.3473,MINORISTAS,BODEGA,D,49,64,52,71
268,998562844,E000000151056,U,110,CAÑETE,SAN ANTONIO,-12.1482,-76.93413,MINORISTAS,BODEGA,D,29,31,24,41
269,5.19E+11,E000000160495,U,6314,CAÑETE,CERRO AZUL,-12.1212,-77.03513,MINORISTAS,BODEGA,C,274,313,462,405
270,981945420,E000000122130,U,572,CAÑETE,CHILCA,-12.51857,-76.73771,MINORISTAS,BODEGA,D,25,44,52,46
271,948542688,E000000030688,U,946,CAÑETE,MALA,-12.5771809,-75.5070915,MINORISTAS,BODEGA,D,45,123,89,103
272,990701669,E000000139202,U,1507,CAÑETE,SAN VICENTE DE CAÑETE,-13.1312,-76.3658,MINORISTAS,BODEGA,C,78,13,59,99
273,975574179,E000000104699,U,1089,CAÑETE,CHILCA,-12.51626,-76.73659,MINORISTAS,FARMACIA,C,68,94,122,104
274,961095825,E000000062874,U,539,CAÑETE,SAN VICENTE DE CAÑETE,-13.0786,-76.3899,MINORISTAS,BODEGA,D,64,87,62,67
275,999943551,E000000155927,U,14454,CAÑETE,CHILCA,-12.48688,-76.77611,MINORISTAS,BODEGA,B,642,445,312,448
276,976512878,E000000107930,U,803,CAÑETE,MALA,-12.6548,-76.626,MINORISTAS,BODEGA,D,48,92,61,92
277,957406405,E000000054763,U,1573,CAÑETE,MALA,-12.4844,-76.7787,MINORISTAS,BODEGA,C,101,63,72,101
278,959427102,E000000060292,U,836,CAÑETE,IMPERIAL,-13.0331,-76.3321,MINORISTAS,BODEGA,D,78,63,29,58
279,978846609,E000000113652,U,1881,CAÑETE,SAN VICENTE DE CAÑETE,-13.0825,-76.3867,MINORISTAS,BODEGA,C,92,57,110,94
280,966662579,E000000077630,U,990,CAÑETE,IMPERIAL,-13.0786,-76.3181,MINORISTAS,BODEGA,D,83,32,103,75
281,961508690,E000000063262,V,1650,CAÑETE,MALA,-12.671779,-76.646043,MINORISTAS,BODEGA,C,44,127,87,52
282,981924936,E000000122034,U,1452,CAÑETE,IMPERIAL,-13.056,-76.3503,MINORISTAS,BODEGA,C,88,75,93,74
283,998507228,E000000150877,U,2948,CAÑETE,SAN VICENTE DE CAÑETE,-13.1341,-76.347,MINORISTAS,BODEGA,C,107,166,240,185
284,956095022,E000000051058,U,836,CAÑETE,SAN VICENTE DE CAÑETE,-13.0583,-76.3478,PERSONAL,PERSONAL,D,55,70,43,80
285,945506158,E000000024592,U,539,CAÑETE,QUILMANA,-12.9397,-76.3709,MINORISTAS,BODEGA,D,38,78,44,93
286,990463926,E000000137931,U,451,CAÑETE,CHILCA,-12.51793,-76.73807,MINORISTAS,BODEGA,D,24,51,47,60
287,975159631,E000000102876,V,682,CAÑETE,CHILCA,-12.5347,-76.7207,MINORISTAS,BODEGA,D,56,74,83,55
288,968403505,E000000080994,U,176,CAÑETE,SAN VICENTE DE CAÑETE,-13.0976,-76.3806,MINORISTAS,BODEGA,D,42,30,28,82
289,956584338,E000000053090,U,2442,CAÑETE,LUNAHUANA,-13.0793,-76.3043,MINORISTAS,AMBULANTE,C,164,110,149,192
290,988842069,E000000135183,V,198,CAÑETE,ASIA,-12.79878,-76.56725,MINORISTAS,BODEGA,D,67,54,39,91
291,956532748,E000000052802,U,18403,CAÑETE,SAN VICENTE DE CAÑETE,-13.0745,-76.3852,MINORISTAS,BODEGA,B,403,712,281,365
292,978851686,E000000113672,U,154,CAÑETE,IMPERIAL,-13.0474,-76.3639,MINORISTAS,BODEGA,D,30,28,14,34
293,980158314,E000000119334,U,1001,CAÑETE,CHILCA,-12.51369,-76.73775,MINORISTAS,BODEGA,C,81,106,54,60
294,978055048,E000000111047,U,1430,CAÑETE,ASIA,-12.73783,-76.61247,MINORISTAS,BODEGA,C,79,74,70,122
295,956058563,E000000048893,U,990,CAÑETE,IMPERIAL,-13.0612,-76.3522,PERSONAL,PERSONAL,D,72,42,91,43
296,942621135,E000000016767,U,1936,CAÑETE,CHILCA,-11.9362196,-77.0451262,MINORISTAS,BODEGA,C,206,294,118,218
297,979478347,E000000116371,U,1276,CAÑETE,SAN VICENTE DE CAÑETE,-13.0774,-76.3877,MINORISTAS,BODEGA,C,59,58,108,78
298,966178776,E000000076076,U,1067,CAÑETE,MALA,-12.65099,-76.623636,MINORISTAS,BODEGA,C,108,82,87,111
299,w0050100951,E000000165121,U,275,CAÑETE,IMPERIAL,-13.05893,-76.35172,MINORISTAS,CENTRO COMERCIAL,D,57,61,37,65
300,995126257,E000000142059,U,2310,CAÑETE,ASIA,-12.7812,-76.5837,MINORISTAS,BODEGA,C,163,193,139,173
301,968163948,E000000080203,U,132,CAÑETE,ASIA,-12.7958,-76.5699,MINORISTAS,BODEGA,D,10,41,35,43
302,969931777,E000000087551,U,2244,CAÑETE,SAN VICENTE DE CAÑETE,-13.1243,-76.3036,MINORISTAS,BODEGA,C,248,157,188,175
303,990010419,E000000136008,U,4312,CAÑETE,MALA,-12.67141,-76.61722,MINORISTAS,BODEGA,C,381,588,956,462
304,943434023,E000000019489,U,4873,CAÑETE,SAN LUIS,-13.0506,-76.4274,MINORISTAS,BODEGA,C,661,498,272,499
305,938626194,E000000009314,U,6589,CAÑETE,SAN VICENTE DE CAÑETE,-13.0751,-76.3847,PERSONAL,PERSONAL,C,431,670,396,460
306,945458958,E000000024389,U,1672,CAÑETE,CERRO AZUL,-13.024,-76.4801,MINORISTAS,BODEGA,C,61,107,13,57
307,979545766,E000000116708,U,1518,CAÑETE,CHILCA,-12.5147,-76.7292,MINORISTAS,FARMACIA,C,32,54,50,84
308,968553996,E000000081807,U,18337,CAÑETE,SAN VICENTE DE CAÑETE,-13.0746,-76.3837,MINORISTAS,CABINA DE INTERNET,B,818,331,406,696
309,980164219,E000000119395,U,4290,CAÑETE,CERRO AZUL,-13.0752,-76.4023,MINORISTAS,BODEGA,C,571,468,324,490
310,988784831,E000000134919,U,880,CAÑETE,IMPERIAL,-13.0916,-76.324,MINORISTAS,BODEGA,D,47,77,69,91
311,979847137,E000000117721,U,2134,CAÑETE,SAN VICENTE DE CAÑETE,-13.0775,-76.3818,MINORISTAS,BODEGA,C,147,124,332,53
312,945950492,E000000026393,U,2002,CAÑETE,MALA,-12.6622,-76.6316,MINORISTAS,BODEGA,C,128,185,87,74
313,920132837,E000000000961,U,1122,CAÑETE,IMPERIAL,-13.0601,-76.3527,MINORISTAS,BODEGA,C,79,83,103,82
314,956407046,E000000052196,U,528,CAÑETE,IMPERIAL,-13.0607,-76.3527,PERSONAL,PERSONAL,D,73,91,47,35
315,955998186,E000000048385,U,385,CAÑETE,SAN VICENTE DE CAÑETE,-13.0664,-76.3563,MINORISTAS,BODEGA,D,21,76,60,24
316,971576168,E000000095219,U,495,CAÑETE,QUILMANA,-12.9505,-76.3846,MINORISTAS,BODEGA,D,74,89,65,25
317,976132882,E000000107017,U,3960,CAÑETE,IMPERIAL,-13.0389,-76.3518,MINORISTAS,BODEGA,C,561,745,761,737
318,996137940,E000000146643,U,990,CAÑETE,SAN VICENTE DE CAÑETE,-13.0983,-76.3825,MINORISTAS,BODEGA,D,86,82,37,78
319,963683542,E000000069588,U,660,CAÑETE,IMPERIAL,-13.0378,-76.3525,MINORISTAS,BODEGA,D,51,81,82,64
320,944625429,E000000021566,V,2222,CAÑETE,SAN LUIS,-13.0413,-76.4259,MINORISTAS,BODEGA,C,137,185,198,254
321,978189213,E000000111794,U,1298,CAÑETE,SAN VICENTE DE CAÑETE,-13.0639,-76.3541,MINORISTAS,BODEGA,C,98,84,75,115
322,980040714,E000000118591,U,88,CAÑETE,MALA,-12.71068,-76.63258,MINORISTAS,BODEGA,E,36,36,17,21
323,956532827,E000000052804,U,13277,CAÑETE,SAN VICENTE DE CAÑETE,-13.0825,-76.3866,MINORISTAS,CABINA DE INTERNET,B,431,442,214,325
324,981880239,E000000121825,U,528,CAÑETE,QUILMANA,-12.997,-76.382,MINORISTAS,LIBRERIA,D,64,49,58,72
325,950938763,E000000036795,U,286,CAÑETE,SAN VICENTE DE CAÑETE,-13.0737,-76.3839,MINORISTAS,BODEGA,D,82,63,56,62
326,975713606,E000000105300,U,3377,CAÑETE,IMPERIAL,-13.0606,-76.3544,MINORISTAS,BODEGA,C,424,604,621,606
327,985389610,E000000128090,U,1595,CAÑETE,SAN LUIS,-13.0409,-76.3933,MINORISTAS,BODEGA,C,42,101,53,104
328,w0050100362,E000000165009,U,4642,CAÑETE,SAN VICENTE DE CAÑETE,-13.0743,-76.3846,MINORISTAS,BAZAR,C,582,435,567,511
329,965672339,E000000074234,U,33,CAÑETE,CHILCA,-12.4862,-76.7362,MINORISTAS,BODEGA,E,21,25,11,2
330,990126095,E000000136500,U,1969,CAÑETE,SAN VICENTE DE CAÑETE,-13.0718,-76.364,MINORISTAS,BODEGA,C,177,134,179,122
331,971123584,E000000092923,U,1151.92,CAÑETE,SAN VICENTE DE CAÑETE,-13.0746,-76.3853,MINORISTAS,BODEGA,C,59,112,56,27
332,996141960,E000000146662,U,561,CAÑETE,SAN VICENTE DE CAÑETE,-13.0769,-76.3864,MINORISTAS,BODEGA,D,45,79,26,69
333,954667661,E000000045910,U,1507,CAÑETE,ASIA,-12.2092,-77.0071262,MINORISTAS,BODEGA,C,48,20,86,65
334,996876527,E000000149570,U,1628,CAÑETE,LUNAHUANA,-12.9653,-76.146,MINORISTAS,BODEGA,C,72,113,69,104
335,956058754,E000000048916,U,4235,CAÑETE,IMPERIAL,-13.0614,-76.3525,PERSONAL,PERSONAL,C,291,699,879,433
336,w0050100259,E000000164992,U,110,CAÑETE,IMPERIAL,-13.0603,-76.3508,PERSONAL,PERSONAL,D,34,34,15,43
337,996422282,E000000147689,U,1034,CAÑETE,SAN VICENTE DE CAÑETE,-13.0794,-76.3862,MINORISTAS,BODEGA,C,67,93,39,40
338,984865833,E000000125508,U,1496,CAÑETE,SAN VICENTE DE CAÑETE,-13.0977,-76.3836,MINORISTAS,BODEGA,C,8,89,36,62
339,985467079,E000000128545,U,5951,CAÑETE,MALA,-12.66889,-76.64141,MINORISTAS,BODEGA,C,560,459,499,650
340,w005010072,E000000165077,U,4873,CAÑETE,SAN VICENTE DE CAÑETE,-13.0756,-76.3878,MINORISTAS,FARMACIA,C,814,595,335,967
341,945699444,E000000025366,U,242,CAÑETE,SAN LUIS,-13.0424,-76.4248,MINORISTAS,BODEGA,D,65,57,90,56
342,956058216,E000000048848,U,4928,CAÑETE,IMPERIAL,-13.0644,-76.3474,MINORISTAS,CABINA DE INTERNET,C,583,296,358,225
343,985311628,E000000127691,U,8019,CAÑETE,MALA,-12.6558,-76.6362,MINORISTAS,BODEGA,C,540,648,542,127
344,979846446,E000000117712,U,6666,CAÑETE,SAN VICENTE DE CAÑETE,-13.0779,-76.386,MINORISTAS,BODEGA,C,677,766,598,294
345,w0050100356,E000000165003,U,3454,CAÑETE,SAN VICENTE DE CAÑETE,-13.1917,-76.2475,MINORISTAS,BODEGA,C,591,385,171,487
346,949500658,E000000032945,U,44,CAÑETE,IMPERIAL,-13.0563,-76.3558,MINORISTAS,BODEGA,E,38,22,36,44
347,978852032,E000000113676,U,220,CAÑETE,IMPERIAL,-13.056,-76.3512,MINORISTAS,CASA HOGAR,D,20,65,36,81
348,999661136,E000000155034,U,2805,CAÑETE,SAN ANTONIO,-12.4843,-76.7787,MINORISTAS,BODEGA,C,174,215,220,210
349,985889822,E000000130470,U,174.24,CAÑETE,CHILCA,-12.51543,-76.73578,MINORISTAS,BODEGA,D,61,33,23,77
350,996705268,E000000148803,U,1254,CAÑETE,CHILCA,-12.5169,-76.736,MINORISTAS,BODEGA,C,74,47,98,66
351,988522825,E000000133739,V,143,CAÑETE,SAN VICENTE DE CAÑETE,-13.0983,-76.3825,MINORISTAS,BODEGA,D,17,27,24,42
352,945569830,E000000024827,U,1760,CAÑETE,QUILMANA,-12.9507,-76.3873,MINORISTAS,BODEGA,C,79,113,96,55
353,984890922,E000000125670,U,1276,CAÑETE,MALA,-12.63453,-76.65471,MINORISTAS,BODEGA,C,68,138,61,109
354,994409065,E000000140685,U,374,CAÑETE,SAN VICENTE DE CAÑETE,-13.0751,-76.3907,MINORISTAS,BODEGA,D,61,85,41,49
355,988786016,E000000134945,U,968,CAÑETE,ASIA,-12.7629,-76.5985,MINORISTAS,BODEGA,D,89,23,84,91
356,945308128,E000000023820,U,1173.7,CAÑETE,MALA,-12.651116,-76.625921,MINORISTAS,BODEGA,C,93,85,69,67
357,51901020125,E000000158245,U,1914,CAÑETE,IMPERIAL,-13.0598,-76.3504,MINORISTAS,CABINA DE INTERNET,C,213,124,127,204
358,968157043,E000000080160,U,242,CAÑETE,IMPERIAL,-12.9486,-76.3771,MINORISTAS,BODEGA,D,66,21,30,37
359,w005010060,E000000165070,U,44,CAÑETE,SAN VICENTE DE CAÑETE,-13.0773,-76.3833,MINORISTAS,BODEGA,E,15,24,10,26
360,975265530,E000000103421,V,4829,CAÑETE,QUILMANA,-12.9478,-76.3821,MINORISTAS,AMBULANTE,C,491,362,334,679
361,990206938,E000000136880,V,4356,CAÑETE,CHILCA,-12.517,-76.7371,MINORISTAS,BODEGA,C,642,518,589,378
362,999229485,E000000153462,V,594,CAÑETE,SAN VICENTE DE CAÑETE,-13.0732,-76.3851,MINORISTAS,BODEGA,D,94,47,78,61
363,985334976,E000000127793,U,1353,CAÑETE,SAN VICENTE DE CAÑETE,-13.1367,-76.3467,MINORISTAS,BODEGA,C,44,22,84,54
364,990475112,E000000137996,U,550,CAÑETE,CHILCA,-12.4681,-76.7467,MINORISTAS,BODEGA,D,78,61,79,40
365,995647246,E000000144481,U,836,CAÑETE,SAN VICENTE DE CAÑETE,-13.075,-76.384,MINORISTAS,BODEGA,D,107,53,83,21
366,w0053200099,E000000172110,U,385,CAÑETE,MALA,-12.65567,-76.6296,MINORISTAS,BODEGA,D,42,78,83,41
367,998471973,E000000150743,U,3080,CAÑETE,SAN VICENTE DE CAÑETE,-13.076,-76.3924,MINORISTAS,BODEGA,C,585,424,677,380
368,999204567,E000000153372,V,44,CAÑETE,CHILCA,-12.51887,-76.7265,MINORISTAS,BODEGA,E,5,20,18,12
369,971800620,E000000096315,U,2211,CAÑETE,MALA,-12.6568,-76.6362,MINORISTAS,BODEGA,C,220,187,290,225
370,965857416,E000000074572,U,1705,CAÑETE,CHILCA,-12.519,-76.7364,MINORISTAS,BODEGA,C,97,89,66,70
371,920554740,E000000002371,U,2640,CAÑETE,CHILCA,-12.1891997,-76.9761261,MINORISTAS,BODEGA,C,62,207,168,177
372,968618481,E000000082167,U,3179,CAÑETE,SAN LUIS,-13.0505,-76.4266,MINORISTAS,BODEGA,C,265,450,481,604
373,980141576,E000000119217,U,3498,CAÑETE,CHILCA,-12.5119,-76.738,MINORISTAS,BODEGA,C,543,624,204,155
374,938443173,E000000008596,U,1760,CAÑETE,CALANGO,-12.8025,-75.8938,MINORISTAS,BODEGA,C,73,64,67,91
375,956533082,E000000052810,U,5401,CAÑETE,QUILMANA,-12.9474,-76.3842,MINORISTAS,BAZAR,C,321,699,764,800
376,945436014,E000000024316,U,1012,CAÑETE,CHILCA,-12.5154,-76.7359,MINORISTAS,BODEGA,C,81,73,33,42
377,990833173,E000000139795,U,440,CAÑETE,CHILCA,-12.4622,-76.746,MINORISTAS,BODEGA,D,57,85,72,37
378,945248743,E000000023586,U,341,CAÑETE,MALA,-12.6565,-76.636,MINORISTAS,BODEGA,D,56,40,91,55
379,979573872,E000000116841,U,165,CAÑETE,MALA,-12.65494,-76.62629,MINORISTAS,BODEGA,D,57,31,46,38
380,996077255,E000000146398,U,418,CAÑETE,CALANGO,-12.65678,-76.63636,MINORISTAS,BODEGA,D,57,19,41,39
381,966649881,E000000077488,U,2178,CAÑETE,NUEVO IMPERIAL,-13.0555,-76.3239,MINORISTAS,BODEGA,C,155,229,162,150
382,951891411,E000000039280,U,1859,CAÑETE,CHILCA,-12.5170166,-76.7373093,MINORISTAS,BODEGA,C,63,88,80,49
383,950843831,E000000036376,V,3454,CAÑETE,SAN LUIS,-13.0699,-76.451,MINORISTAS,BODEGA,C,662,724,569,834
384,939791644,E000000013738,V,1232,CAÑETE,SAN VICENTE DE CAÑETE,-13.0751,-76.3843,PERSONAL,PERSONAL,C,86,100,78,75
385,w0072400482,E000000178580,U,44,CANTA,SANTA ROSA DE QUIVES,-11.72219,-76.96413,MINORISTAS,BODEGA,E,14,25,10,11
386,945280324,E000000023715,V,539,CANTA,SANTA ROSA DE QUIVES,-11.6977306,-76.9360453,MINORISTAS,BODEGA,D,93,74,82,94
387,939601761,E000000013053,U,1287,CANTA,CANTA,-11.698256,-76.8648339,MINORISTAS,BODEGA,C,42,57,73,86
388,968091159,E000000079776,U,1254,CANTA,CANTA,-11.7924106,-76.9832632,MINORISTAS,BODEGA,C,54,94,70,48
389,962519969,E000000067108,U,1452,CANTA,CANTA,-11.6950951,-76.8462918,MINORISTAS,BODEGA,C,87,96,53,90
390,975438549,E000000104163,V,1782,CANTA,SANTA ROSA DE QUIVES,-11.69503,-76.84721,MINORISTAS,BODEGA,C,93,63,81,136
391,971036744,E000000092485,U,5016,CANTA,CANTA,-11.4687923,-76.6236316,MINORISTAS,BODEGA,C,407,183,754,427
392,969295101,E000000085422,U,594,CANTA,CANTA,-11.6812731,-76.9052298,MINORISTAS,BODEGA,D,38,53,69,63
393,990646382,E000000139000,U,2255,CANTA,CANTA,-11.78755,-76.98309,MINORISTAS,FARMACIA,C,154,181,300,164
394,1.00E+11,E000000159301,U,6369,CANTA,SANTA ROSA DE QUIVES,-11.69494,-76.8464,MINORISTAS,LIBRERIA BAZAR,C,592,723,501,521
395,972805996,E000000098065,U,1111,CANTA,CANTA,-11.7770842,-76.9824043,MINORISTAS,BODEGA,C,77,90,119,67
396,1.00E+11,E000000159378,U,1243,CANTA,CANTA,-11.46816,-76.62332,MINORISTAS,FARMACIA,C,70,37,60,51
397,968233284,E000000080428,U,979,CANTA,CANTA,-11.6935956,-76.8715878,MINORISTAS,BODEGA,D,113,86,54,66
398,949069677,E000000032483,U,2189,CANTA,CANTA,-11.8030996,-76.9859555,MINORISTAS,BODEGA,C,72,265,98,128
399,966173829,E000000076044,U,5423,CANTA,SANTA ROSA DE QUIVES,-11.9241,-77.0819,MINORISTAS,BODEGA,C,355,725,885,536
400,1.00E+11,E000000159449,U,3465,CANTA,SAN BUENAVENTURA,-11.46886,-76.62359,MINORISTAS,FARMACIA,C,674,445,677,363
