Edad ,Selecciona tu género:,Desde tu perspectiva cual es tu nivel socioeconómico:,¿En cuántos cursos te matriculaste este ciclo?,¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Lunes],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Martes],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Miercoles ],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Jueves],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Viernes ],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Sabados ],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Domingo],¿Cuántas horas DUERMES habitualmente? [Lunes],¿Cuántas horas DUERMES habitualmente? [Martes],¿Cuántas horas DUERMES habitualmente? [Miercoles ],¿Cuántas horas DUERMES habitualmente? [Jueves],¿Cuántas horas DUERMES habitualmente? [Viernes ],¿Cuántas horas DUERMES habitualmente? [Sabados ],¿Cuántas horas DUERMES habitualmente? [Domingo],¿Qué factores crees que contribuyen en tu agotamiento mental?,¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Lunes],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Martes],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Miercoles ],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Jueves],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Viernes ],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Sabados ],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Domingo],¿Consumes cafeína? ,¿Que tanto usas aparatos electrónicos antes de  ir a dormir? Siendo 1 poco y 5 mucho,¿Qué tan adecuado consideras que son tus hábitos alimenticios? ,¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Lunes],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Martes],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Miercoles ],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Jueves],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Viernes ],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Sabados ],¿Consideras que el agotamiento mental tiene efectos en la salud física y mental?,¿El efecto del agotamiento mental puede estar influenciando en tu rendimiento académico?,¿Crees que el efecto del agotamiento mental tiene influencia en tus relaciones sociales?,,,,
19,Masculino,Bajo,6,4,6,4,5,4,3,3,4,6,4,4,4,5,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Sí,3,Muy malo,1,1,1,1,1,1,Puede ser un factor,Definitivamente influye,Tiene mediana influencia,,,,
18,Femenino,Bajo,6,4,2,4,2,3,2,1,7,8,7,8,8,8,8,Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,5,Normal,1,1,1,1,1,1,Sí tiene efecto,Tiene mediana influencia,Tiene mediana influencia,,,,
18,Masculino,Bajo,6,3,5,3,5,5,6,6,5,5,5,5,5,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,3,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
21,Femenino,Medio Alto,4,4,5,5,5,4,5,7,6,5,5,6,5,5,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,1,2,Sí,4,Normal,5,5,5,5,5,5,No tiene efecto alguno,Definitivamente influye,Definitivamente influye,,,,
21,Otros,Medio,5,2,6,2,1,7,5,3,8,7,8,7,8,8,8,"Problemas financieros: Los gastos pueden causar estrés y ansiedad., Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",1,Menos de 1 o nada,1,Menos de 1 o nada,1,1,1,No,2,Bueno,2,2,2,2,1,2,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
23,Masculino,Medio,7,3,2,2,2,2,3,3,4,4,4,4,4,4,4,"Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",2,1,1,2,1,1,2,Sí,3,Muy malo,4,4,4,4,4,4,Puede ser un factor,Tiene mediana influencia,No influye,,,,
19,Masculino,Medio,6,1,1,1,1,1,1,1,7,7,7,7,7,7,7,"Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,4,Normal,1,1,1,1,1,1,Puede ser un factor,Tiene mediana influencia,Tiene mediana influencia,,,,
21,Masculino,Medio,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Carga académica: La cantidad de trabajo y la presión de tener éxito,1,1,1,1,1,1,1,Sí,3,Bueno,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Femenino,Medio Bajo,5,5,2,4,4,3,3,5,6,6,6,6,7,8,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,1,Menos de 1 o nada,Menos de 1 o nada,1,1,Sí,3,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Femenino,Medio Bajo,6,5,5,3,6,3,4,6,5,6,5,7,6,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,5,Normal,1,2,2,1,2,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
20,Masculino,Medio,6,3,4,3,6,4,8,8,7,7,7,7,7,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad.",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,1,1,Sí,4,Normal,1,1,1,1,1,1,Sí tiene efecto,Tiene mediana influencia,Definitivamente influye,,,,
19,Femenino,Medio,6,5,4,5,4,5,4,8,6,5,5,4,4,5,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,1,1,Sí,3,Normal,1,2,3,4,4,1,Sí tiene efecto,Definitivamente influye,No influye,,,,
18,Masculino,Alto,7,1,2,1,2,1,2,2,7,6,6,6,7,7,6,"Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,2,Menos de 1 o nada,2,Menos de 1 o nada,Menos de 1 o nada,2,No,3,Normal,1,1,1,1,1,1,Puede ser un factor,Tiene mediana influencia,No influye,,,,
19,Masculino,Medio Bajo,6,4,2,1,1,2,1,1,3,1,1,1,1,3,2,Tiempo de transporte: Los desplazamientos pueden ser extenuantes,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Sí,2,Normal,1,1,1,1,1,1,Sí tiene efecto,Tiene mediana influencia,Tiene mediana influencia,,,,
18,Masculino,Bajo,6,2,2,2,3,2,2,3,6,6,6,5,5,6,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Tiempo de transporte: Los desplazamientos pueden ser extenuantes",Menos de 1 o nada,1,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,4,Normal,3,3,3,3,3,3,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Masculino,Medio,6,2,2,2,2,2,3,2,6,6,6,6,7,7,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",2,2,2,2,2,2,Menos de 1 o nada,Sí,5,Bueno,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Masculino,Medio Bajo,6,5,5,5,5,5,5,5,8,7,7,3,6,8,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Sí,4,Bueno,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
18,Femenino,Medio,6,3,4,2,2,2,4,4,8,8,8,8,8,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",1,2,Menos de 1 o nada,1,Menos de 1 o nada,Menos de 1 o nada,2,No,3,Malo,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
19,Femenino,Medio,6,4,6,3,6,2,6,4,6,5,5,6,6,7,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,3,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Femenino,Bajo,6,3,3,3,3,3,5,5,5,5,5,5,5,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,1,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
18,Masculino,Medio Bajo,6,2,2,2,2,2,2,2,6,6,8,8,8,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",1,Menos de 1 o nada,1,1,1,1,1,Sí,4,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Femenino,Medio,6,4,2,3,3,1,4,4,5,5,5,5,5,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Sí,4,Malo,1,1,1,1,1,1,Sí tiene efecto,Tiene mediana influencia,Definitivamente influye,,,,
18,Masculino,Medio Bajo,6,3,3,1,2,2,3,2,7,7,6,7,7,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,5,Malo,2,2,2,2,2,2,Sí tiene efecto,Tiene mediana influencia,Definitivamente influye,,,,
19,Masculino,Medio,5,6,4,5,2,6,7,3,6,6,4,4,4,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",Menos de 1 o nada,Menos de 1 o nada,1,Menos de 1 o nada,1,Menos de 1 o nada,1,No,4,Malo,2,2,2,2,2,2,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
18,Masculino,Medio,6,5,4,4,4,5,2,2,4,4,4,4,4,4,4,"Problemas financieros: Los gastos pueden causar estrés y ansiedad., Tiempo de transporte: Los desplazamientos pueden ser extenuantes",3,3,3,3,3,3,3,Sí,3,Normal,4,4,4,4,4,4,Puede ser un factor,Definitivamente influye,Tiene mediana influencia,,,,
20,Masculino,Medio Bajo,6,2,4,2,4,2,4,5,7,7,7,7,7,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,5,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
18,Femenino,Bajo,5,4,3,3,4,4,2,4,4,4,5,5,8,7,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,4,Muy bueno,2,2,2,2,1,2,Sí tiene efecto,Tiene mediana influencia,Definitivamente influye,,,,
19,Masculino,Bajo,7,4,5,5,5,5,5,5,6,6,6,4,5,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,4,Normal,2,2,2,2,2,2,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
17,Masculino,Medio,6,2,2,2,2,2,1,2,6,6,6,6,6,6,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",2,Menos de 1 o nada,Menos de 1 o nada,2,Menos de 1 o nada,Menos de 1 o nada,2,Sí,3,Normal,3,3,3,3,3,3,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Masculino,Medio,6,4,3,4,3,4,5,3,6,6,7,6,6,5,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,1,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,3,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
20,Masculino,Bajo,5,2,2,1,2,2,1,3,5,5,5,4,4,4,8,Carga académica: La cantidad de trabajo y la presión de tener éxito,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Sí,1,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
19,Femenino,Medio,6,3,5,4,6,6,5,4,3,3,3,3,3,3,3,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,3,Malo,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Masculino,Medio,5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Falta de descanso: No tener tiempo para actividades desestresantes o dormir",2,Menos de 1 o nada,Menos de 1 o nada,2,Menos de 1 o nada,2,Menos de 1 o nada,No,4,Normal,2,2,2,2,2,2,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
18,Masculino,Medio Bajo,6,3,3,3,2,2,2,1,6,6,6,6,6,8,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",2,2,2,2,Menos de 1 o nada,2,1,Sí,3,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Masculino,Medio Bajo,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,"Problemas financieros: Los gastos pueden causar estrés y ansiedad., Falta de descanso: No tener tiempo para actividades desestresantes o dormir",2,2,1,2,2,2,Menos de 1 o nada,No,4,Normal,1,1,1,1,1,1,Puede ser un factor,Tiene mediana influencia,Tiene mediana influencia,,,,
20,Masculino,Medio Bajo,6,2,8,8,8,6,4,3,5,4,5,5,4,6,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,5,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Femenino,Medio Bajo,6,3,3,2,4,3,3,2,7,7,6,6,6,6,7,Carga académica: La cantidad de trabajo y la presión de tener éxito,1,1,1,1,1,1,1,No,3,Normal,2,2,2,2,2,2,Sí tiene efecto,Tiene mediana influencia,No influye,,,,
18,Masculino,Medio,5,2,2,2,3,3,5,1,5,5,5,8,8,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,4,Bueno,1,1,1,1,1,1,Sí tiene efecto,No influye,No influye,,,,
18,Masculino,Medio Bajo,6,1,1,1,1,1,1,1,8,8,8,8,8,8,8,Falta de descanso: No tener tiempo para actividades desestresantes o dormir,1,1,1,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,5,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
19,Femenino,Bajo,5,5,5,5,5,5,5,3,5,5,5,5,5,6,6,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,2,2,Sí,2,Normal,1,1,1,1,1,1,Sí tiene efecto,Tiene mediana influencia,Tiene mediana influencia,,,,
19,Masculino,Medio,3,2,2,2,1,1,1,3,4,6,8,7,6,6,4,"Problemas financieros: Los gastos pueden causar estrés y ansiedad., Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",Menos de 1 o nada,1,1,1,1,3,Menos de 1 o nada,Sí,5,Malo,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
18,Femenino,Medio Bajo,6,3,5,4,5,6,6,6,4,4,4,4,4,4,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,2,2,Sí,2,Normal,2,2,2,2,2,2,Sí tiene efecto,Tiene mediana influencia,Tiene mediana influencia,,,,
21,Femenino,Medio,6,7,7,7,6,7,7,7,6,6,6,6,6,3,4,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",6,6,5,4,4,2,1,No,4,Normal,3,3,4,4,3,4,Sí tiene efecto,Tiene mediana influencia,Tiene mediana influencia,,,,
18,Masculino,Medio,5,1,2,1,2,1,1,1,4,4,4,4,4,4,4,Falta de descanso: No tener tiempo para actividades desestresantes o dormir,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,2,1,2,2,No,3,Bueno,1,1,1,1,1,1,Puede ser un factor,Tiene mediana influencia,Tiene mediana influencia,,,,
18,Femenino,Medio,7,4,5,5,5,5,8,8,5,7,7,7,7,4,4,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Sí,3,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
20,Femenino,Medio Alto,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",1,Menos de 1 o nada,1,Menos de 1 o nada,1,Menos de 1 o nada,1,No,1,Normal,2,2,2,2,2,2,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
17,Masculino,Medio Alto,6,2,2,2,2,1,2,1,7,7,7,7,7,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",1,1,1,1,1,1,3,Sí,4,Bueno,1,1,1,1,1,1,Sí tiene efecto,Tiene mediana influencia,Definitivamente influye,,,,
17,Masculino,Bajo,8,4,4,4,4,4,4,1,8,8,8,8,8,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad.",2,2,2,2,2,2,2,No,2,Bueno,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
19,Femenino,Medio Bajo,6,4,6,6,5,2,2,4,6,5,6,6,6,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,1,1,1,1,1,Menos de 1 o nada,Sí,4,Malo,2,1,2,2,2,2,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Femenino,Medio,6,1,1,1,2,2,2,3,5,4,4,4,5,5,5,Trabajar y estudiar xd,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Sí,1,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
20,Masculino,Bajo,6,3,3,3,2,2,2,4,4,4,4,6,6,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,3,Malo,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
18,Masculino,Medio Bajo,5,1,3,5,2,4,5,2,7,6,7,6,6,7,7,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",2,Menos de 1 o nada,2,2,Menos de 1 o nada,2,2,Sí,4,Malo,1,1,1,1,1,1,Puede ser un factor,Tiene mediana influencia,Definitivamente influye,,,,
18,Masculino,Bajo,6,4,5,4,5,5,7,7,5,6,6,6,5,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,5,Malo,2,2,2,2,2,2,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
17,Femenino,Medio Bajo,6,6,6,6,4,4,2,1,3,3,3,3,4,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,3,3,No,4,Malo,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
18,Masculino,Medio,5,1,2,2,1,1,1,1,4,6,4,8,8,8,8,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Problemas financieros: Los gastos pueden causar estrés y ansiedad., Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir, Estado anímicos ",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,3,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
19,Masculino,Medio Alto,6,4,2,3,2,3,2,2,6,4,3,7,7,7,6,Falta de descanso: No tener tiempo para actividades desestresantes o dormir,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,No,1,Normal,2,2,2,2,2,1,Sí tiene efecto,Definitivamente influye,No influye,,,,
