Edad,Genero,Carrera,Ciclo,Estado.animo,Situacion.economica,Salud,Desempenho,Efecto.desempenho,Efecto.carrera,Horas.estudio,Pre.pandemia,Cursos.jalados.retirados,Actividades
18,Femenino,Ciencia de la Computacion,3,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Lo empeoró,No afecto mi carrera,10,No,0,"Deporte/ejercicio, Otras actividades"
18,Masculino,Bioingeniería,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,Perjudico un poco mi carrera,3,No,2,"Deporte/ejercicio, Salir de fiesta, Ver series/películas"
20,Masculino,Ingeniería Civil,4,4,Clase Media,Me contagié de Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,7,Si,0,Trabajar
20,Masculino,Ingeniería Mecatrónica,4,4,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,Beneficio un poco mi carrera,5,Si,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
21,Femenino,Administración y Negocios Digitales,9,4,Clase Media,Me contagié de Covid-19,4,Lo mejoró,Beneficio mucho mi carrera,8,No,0,"Deporte/ejercicio, Ver series/películas, Trabajar"
19,Masculino,Ingeniería Mecatrónica,5,3,Clase Media,Me contagié de Covid-19,2,Lo empeoró,Perjudico un poco mi carrera,5,No,1,"Deporte/ejercicio, Ver series/películas, Otras actividades"
24,Femenino,Ingeniería Industrial,4,1,Clase Baja,Pasé por un deceso familiar,1,Lo mejoró,No afecto mi carrera,2,No,0,"Lectura (Aparte de las de la Universidad), Trabajar, Otras actividades"
18,Femenino,Ingeniería Ambiental,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Se mantuvo igual,Perjudico un poco mi carrera,8,Si,3,"Lectura (Aparte de las de la Universidad), Ver series/películas, Otras actividades"
19,Femenino,Administración y Negocios Digitales,5,3,Clase Media,Me contagié de Covid-19,5,Se mantuvo igual,Perjudico un poco mi carrera,6,No,0,"Deporte/ejercicio, Salir de fiesta"
18,Femenino,Ingeniería Industrial,3,2,Clase Baja,Tuve alguna otra enfermedad,2,Lo empeoró,Perjudico mucho mi carrera,5,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad)"
19,Masculino,Ingeniería Industrial,3,4,Clase Media,Me contagié de Covid-19,4,Lo empeoró,No afecto mi carrera,6,No,0,"Deporte/ejercicio, Ver series/películas"
19,Femenino,Administración y Negocios Digitales,7,2,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,8,Si,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Otras actividades"
17,Femenino,Ingeniería Industrial,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,No afecto mi carrera,5,No,0,Otras actividades
19,Femenino,Ingeniería Química,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico mucho mi carrera,7,No,2,"Lectura (Aparte de las de la Universidad), Salir de fiesta, Ver series/películas, Otras actividades"
25,Masculino,Ingeniería Mecánica,10,1,Clase Media,Me contagié de Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,5,No,0,Deporte/ejercicio
19,Masculino,Ingeniería Mecatrónica,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo mejoró,Perjudico mucho mi carrera,8,No,0,"Deporte/ejercicio, Otras actividades"
19,Masculino,Ingeniería Industrial,3,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Se mantuvo igual,No afecto mi carrera,4,Si,0,"Jugar videojuegos, Ver series/películas"
19,Masculino,Ingeniería Mecatrónica,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo mejoró,Perjudico un poco mi carrera,3,No,1,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas, Trabajar"
18,Masculino,Ingeniería Electrónica,3,3,Clase Media,Me contagié de Covid-19,4,Lo empeoró,Perjudico mucho mi carrera,4,No,0,"Deporte/ejercicio, Jugar videojuegos, Salir de fiesta"
18,Femenino,Ingeniería Industrial,3,4,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,No afecto mi carrera,6,Si,1,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas"
18,Masculino,Ingeniería Mecánica,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,Beneficio un poco mi carrera,7,Si,5,"Jugar videojuegos, Salir de fiesta"
19,Femenino,Administración y Negocios Digitales,5,3,Clase Baja,Pasé por un deceso familiar,4,Se mantuvo igual,No afecto mi carrera,5,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas, Otras actividades"
21,Masculino,Ingeniería Civil,4,4,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,5,No,0,"Deporte/ejercicio, Jugar videojuegos"
21,Femenino,Ingeniería Industrial,3,3,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,No afecto mi carrera,8,No,1,Otras actividades
21,Femenino,Ingeniería Industrial,5,1,Clase Baja,Tuve alguna otra enfermedad,1,Lo mejoró,Beneficio mucho mi carrera,0,No,3,"Jugar videojuegos, Ver series/películas, Otras actividades"
18,Femenino,Ingeniería Industrial,3,2,Clase Media,Me contagié de Covid-19,3,Se mantuvo igual,No afecto mi carrera,7,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas, Otras actividades"
18,Masculino,Ingeniería Mecánica,3,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,Beneficio un poco mi carrera,7,Si,0,Deporte/ejercicio
19,Femenino,Ingeniería Industrial,5,1,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Lo empeoró,Perjudico un poco mi carrera,9,No,0,Jugar videojuegos
18,Femenino,Bioingeniería,3,2,Clase Baja,Pasé por un deceso familiar,3,Lo empeoró,Perjudico un poco mi carrera,4,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad)"
18,Masculino,Ingeniería Química,3,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,Beneficio un poco mi carrera,2,No,0,"Jugar videojuegos, Salir de fiesta, Otras actividades"
18,Femenino,Ingeniería Civil,3,3,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,No afecto mi carrera,7,No,0,"Jugar videojuegos, Ver series/películas"
20,Masculino,Ingeniería Mecatrónica,3,2,Clase Baja,Tuve alguna otra enfermedad,3,Se mantuvo igual,No afecto mi carrera,5,Si,0,"Jugar videojuegos, Ver series/películas"
22,Femenino,Ciencia de la Computacion,4,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,Beneficio un poco mi carrera,7,No,2,"Jugar videojuegos, Salir de fiesta, Ver series/películas, Trabajar"
19,Femenino,Ingeniería Civil,6,4,Clase Media,Tuve alguna otra enfermedad,5,Lo mejoró,Perjudico un poco mi carrera,6,No,0,Otras actividades
19,Masculino,Ciencia de la Computacion,4,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo mejoró,Beneficio un poco mi carrera,7,No,0,"Jugar videojuegos, Ver series/películas"
17,Masculino,Bioingeniería,3,2,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Lo mejoró,Perjudico un poco mi carrera,6,No,0,"Jugar videojuegos, Salir de fiesta"
19,Masculino,Ciencia de la Computacion,5,1,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,Perjudico un poco mi carrera,2,No,0,"Trabajar, Otras actividades"
20,Masculino,Ciencia de la Computacion,4,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Se mantuvo igual,Perjudico un poco mi carrera,9,Si,0,"Jugar videojuegos, Ver series/películas, Otras actividades"
20,Masculino,Ciencia de la Computacion,5,2,Clase Baja,Algún familiar se vio afectado con el Covid-19,1,Lo empeoró,No afecto mi carrera,4,Si,4,Jugar videojuegos
17,Masculino,Ingeniería Industrial,3,2,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,No afecto mi carrera,10,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Trabajar"
18,Femenino,Ingeniería Industrial,3,4,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,6,No,0,"Lectura (Aparte de las de la Universidad), Ver series/películas"
20,Masculino,Bioingeniería,3,4,Clase Media,Pasé por un deceso familiar,4,Se mantuvo igual,Beneficio un poco mi carrera,6,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas, Otras actividades"
18,Masculino,Ingeniería Industrial,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,6,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad)"
17,Femenino,Ingeniería Ambiental,3,4,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,Perjudico mucho mi carrera,2,No,1,"Lectura (Aparte de las de la Universidad), Ver series/películas, Otras actividades"
18,Masculino,Ingeniería Mecánica,3,3,Clase Media,Me contagié de Covid-19,4,Lo mejoró,No afecto mi carrera,3,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos"
20,Femenino,Ciencia de la Computacion,5,3,Clase Media,Tuve alguna otra enfermedad,2,Lo empeoró,Perjudico mucho mi carrera,5,No,2,Salir de fiesta
19,Femenino,Ingeniería Civil,4,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo mejoró,No afecto mi carrera,3,Si,0,Ver series/películas
20,Masculino,Administración y Negocios Digitales,4,1,Clase Baja,Pasé por un deceso familiar,2,Lo empeoró,Perjudico mucho mi carrera,3,No,1,Lectura (Aparte de las de la Universidad)
18,Femenino,Ingeniería de la Energía,3,5,Clase Alta,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,No afecto mi carrera,3,Si,0,Jugar videojuegos
21,Masculino,Ingeniería Química,6,4,Clase Media,Me contagié de Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,3,Si,0,"Lectura (Aparte de las de la Universidad), Jugar videojuegos"
19,Femenino,Ingeniería Mecatrónica,4,3,Clase Media,Me contagié de Covid-19,2,Lo empeoró,Perjudico un poco mi carrera,5,No,2,"Deporte/ejercicio, Salir de fiesta"
18,Masculino,Bioingeniería,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo mejoró,No afecto mi carrera,6,No,4,Lectura (Aparte de las de la Universidad)
18,Masculino,Ciencia de la Computacion,4,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,Beneficio un poco mi carrera,3,Si,0,Lectura (Aparte de las de la Universidad)
19,Masculino,Ingeniería Industrial,4,3,Clase Alta,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,5,Si,1,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos"
19,Masculino,Ingeniería Química,5,3,Clase Baja,Tuve alguna otra enfermedad,2,Lo empeoró,Perjudico mucho mi carrera,5,No,1,Lectura (Aparte de las de la Universidad)
23,Masculino,Ingeniería de la Energía,7,5,Clase Media,Me contagié de Covid-19,5,Se mantuvo igual,Perjudico un poco mi carrera,4,No,0,"Lectura (Aparte de las de la Universidad), Jugar videojuegos, Trabajar"
18,Femenino,Ingeniería Industrial,3,3,Clase Alta,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,No afecto mi carrera,7,No,6,Jugar videojuegos
19,Masculino,Ingeniería Mecatrónica,3,1,Clase Baja,Me contagié de Covid-19,1,Lo empeoró,Perjudico mucho mi carrera,2,No,1,Jugar videojuegos
19,Femenino,Ingeniería Industrial,5,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Lo empeoró,Perjudico un poco mi carrera,8,No,0,"Lectura (Aparte de las de la Universidad), Jugar videojuegos"
18,Femenino,Ingeniería Ambiental,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,No afecto mi carrera,6,No,0,Ver series/películas
18,Masculino,Ingeniería Química,3,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Lo mejoró,Beneficio mucho mi carrera,9,No,0,"Deporte/ejercicio, Ver series/películas"
21,Femenino,Ingeniería Industrial,3,4,Clase Media,Pasé por un deceso familiar,4,Se mantuvo igual,No afecto mi carrera,4,No,0,Lectura (Aparte de las de la Universidad)
20,Femenino,Ingeniería Industrial,3,2,Clase Baja,Algún familiar se vio afectado con el Covid-19,4,Lo empeoró,No afecto mi carrera,4,No,0,Ver series/películas
20,Masculino,Ciencia de la Computacion,3,3,Clase Media,Me contagié de Covid-19,3,Lo empeoró,No afecto mi carrera,8,No,1,"Jugar videojuegos, Salir de fiesta, Ver series/películas"
19,Masculino,Ingeniería Mecatrónica,5,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,Perjudico un poco mi carrera,4,Si,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos, Salir de fiesta, Ver series/películas"
