"Sexo","Carrera","Edad","Ciclo","Frecuencia_INC","Tiempo_de_demora","Nivel_confianza","Estrategia_veracidad","Acciones_INC","Medida_responsabilidad","Tmax_estudio_tradicional","Tmax_estudio_digital","Tmin_estudio_tradicional","Tmin_estudio_digital","Herramientas_D","Frecuencia_herramientas_D","Capacitacion_INC","Consideracion_info","Acciones_responsables","Percepcion_efectividad"
"Femenino","Ingeniería Industrial",21,"6","A veces",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Poco responsable",1,20,2,20,"No encuentro ninguna herramienta digital eficiente o efectiva","Rara vez","C3","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Mecánica",19,"1","Con frecuencia",5,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Responsable",15,20,8,20,"No encuentro ninguna herramienta digital eficiente o efectiva","Rara vez","C3","Información engañosa o sesgada","A2","Positiva"
"Femenino","Ingeniería Mecatrónica",18,"5","A veces",30,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",10,10,0,10,"Herramientas de toma de notas","A veces","C2","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ciencia de datos",17,"3","A veces",8,"Neutral","Utilizar bases de datos académicas y fuentes confiables","La comparto en mis redes sociales o con otros sin verificar su veracidad","Neutral",5,10,1,4,"Plataformas de aprendizaje en línea","Siempre","C3","Noticias falsas","A1","Positiva"
"Femenino","Bioingeniería",18,"3","A veces",5,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",0,8,0,10,"Herramientas de toma de notas","Con frecuencia","C3","Noticias falsas","A1","Positiva"
"Masculino","Bioingeniería",19,"5","A veces",15,"Neutral","Consultar a un profesor o experto en el tema","La comparto en mis redes sociales o con otros sin verificar su veracidad","Responsable",14,14,10,14,"Herramientas de toma de notas","A veces","C3","Información engañosa o sesgada","A2","Positiva"
"Masculino","Ingeniería Mecatrónica",26,"8","A veces",8,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",3,20,1,14,"Aplicaciones de gestión del tiempo","Con frecuencia","C3","Noticias falsas","A1","Neutral"
"Masculino","Ciencias de la Computación",22,"8","A veces",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",0,20,0,10,"Aplicaciones de gestión del tiempo","A veces","C2","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Civil",17,"1","A veces",7,"Neutral","Verificar la fuente de la información","La utilizo, pero la verifico con otras fuentes confiables","Neutral",8,10,5,5,"Plataformas de aprendizaje en línea","Rara vez","C1","Noticias falsas","A4","Positiva"
"Femenino","Bioingeniería",20,"3","A veces",5,"Neutral","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",20,22,10,16,"No encuentro ninguna herramienta digital eficiente o efectiva","Con frecuencia","C1","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ciencias de la Computación",22,"8","Con frecuencia",30,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",7,30,8,10,"Herramientas de toma de notas","Siempre","C3","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ciencias de la Computación",21,"8","A veces",20,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",0,15,0,10,"Herramientas de toma de notas","Siempre","C1","Información engañosa o sesgada","A1","Positiva"
"Femenino","Bioingeniería",19,"5","A veces",10,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",3,6,1,3,"Herramientas de toma de notas","A veces","C3","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Mecánica",19,"5","Rara vez",10,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",26,20,9,10,"Plataformas de aprendizaje en línea","Nunca","C1","Información engañosa o sesgada","A2","Neutral"
"Femenino","Ingeniería Mecánica",19,"5","Con frecuencia",1,"Neutral","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",18,20,12,10,"Herramientas de toma de notas","Rara vez","C1","Noticias falsas","A3","Positiva"
"Femenino","Ciencias de la Computación",18,"3","Rara vez",3,"Muy confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Nada responsable",3,10,1,8,"Aplicaciones de gestión del tiempo","Con frecuencia","C2","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Ambiental",18,"4","Siempre",10,"Neutral","Comparar la información con otras fuentes confiables","La utilizo tal cual, sin verificar su veracidad","Muy responsable",16,20,12,16,"Plataformas de aprendizaje en línea","Con frecuencia","C3","Desinformación intencionada","A3","Neutral"
"Femenino","Ciencia de datos",18,"3","A veces",5,"Confiable","Consultar a un profesor o experto en el tema","No la utilizo y busco fuentes confiables","Responsable",6,17,3,10,"Herramientas de toma de notas","A veces","C3","Información engañosa o sesgada","A1","Neutral"
"Femenino","Bioingeniería",19,"5","A veces",30,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",2,10,1,8,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Mecatrónica",21,"6","A veces",10,"Muy confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",0,0,0,0,"Plataformas de aprendizaje en línea","Siempre","C2","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ingeniería Ambiental",20,"4","Con frecuencia",30,"Neutral","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",10,45,2,10,"Aplicaciones de gestión del tiempo","Con frecuencia","C3","Rumores o leyendas urbanas","A2","Positiva"
"Femenino","Ingeniería Civil",22,"10","A veces",30,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Muy responsable",0,25,0,15,"Herramientas de toma de notas","Siempre","C1","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Química",17,"3","Con frecuencia",15,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",3,5,1,2,"Herramientas de toma de notas","Con frecuencia","C2","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Química",18,"3","A veces",4,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",2,20,1,9,"Herramientas de toma de notas","Con frecuencia","C1","Noticias falsas","A1","Neutral"
"Femenino","Ingeniería Química",18,"3","A veces",8,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Muy responsable",0,20,0,10,"Herramientas de toma de notas","Siempre","C2","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Ambiental",21,"3","Rara vez",4,"Confiable","Consultar a un profesor o experto en el tema","La comparto en mis redes sociales o con otros sin verificar su veracidad","Responsable",16,21,17,14,"Aplicaciones de gestión del tiempo","A veces","C2","Información engañosa o sesgada","A3","Neutral"
"Masculino","Ingeniería Mecatrónica",18,"2","A veces",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","La comparto en mis redes sociales o con otros sin verificar su veracidad","Responsable",15,20,14,16,"Herramientas de toma de notas","Rara vez","C2","Rumores o leyendas urbanas","A2","Positiva"
"Femenino","Ciencias de la Computación",18,"5","Con frecuencia",6,"Confiable","Consultar a un profesor o experto en el tema","La utilizo tal cual, sin verificar su veracidad","Neutral",20,21,12,14,"Herramientas de toma de notas","A veces","C2","Rumores o leyendas urbanas","A2","Neutral"
"Masculino","Ingeniería Química",18,"5","Rara vez",10,"Neutral","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",8,18,16,13,"Aplicaciones de gestión del tiempo","A veces","C1","Información engañosa o sesgada","A4","Neutral"
"Masculino","Ciencias de la Computación",24,"3","Con frecuencia",15,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Poco responsable",14,18,8,12,"Plataformas de aprendizaje en línea","Con frecuencia","C2","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Industrial",20,"8","A veces",7,"Muy confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",5,15,2,13,"Herramientas de toma de notas","Con frecuencia","C2","Desinformación intencionada","A1","Neutral"
"Femenino","Ingeniería Civil",18,"4","Con frecuencia",5,"Confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",17,6,8,8,"Herramientas de toma de notas","A veces","C2","Información engañosa o sesgada","A2","Positiva"
"Masculino","Ciencias de la Computación",21,"9","Rara vez",10,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Muy responsable",5,25,0,18,"Aplicaciones de gestión del tiempo","Con frecuencia","C1","Información engañosa o sesgada","A2","Positiva"
"Femenino","Ingeniería Mecatrónica",22,"6","Con frecuencia",10,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Poco responsable",0,50,0,10,"Herramientas de toma de notas","Siempre","C1","Información engañosa o sesgada","A2","Negativa"
"Femenino","Ingeniería Civil",22,"4","A veces",30,"Neutral","Consultar a un profesor o experto en el tema","No la utilizo y busco fuentes confiables","Neutral",20,30,15,24,"Aplicaciones de gestión del tiempo","A veces","C1","Información engañosa o sesgada","A2","Neutral"
"Femenino","Ingeniería Ambiental",19,"3","A veces",15,"Poco confiable","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Muy responsable",7,30,1,15,"Aplicaciones de gestión del tiempo","Con frecuencia","C1","Información engañosa o sesgada","A2","Positiva"
"Femenino","Ingeniería Ambiental",19,"4","A veces",7,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",16,20,14,16,"Plataformas de aprendizaje en línea","A veces","C1","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ingeniería Mecánica",20,"3","A veces",6,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Poco responsable",5,8,1,3,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información en la que su edición es libre; en otras palabras, cualquiera usuario pueda modificarla.","A1","Neutral"
"Femenino","Ingeniería Química",18,"4","Con frecuencia",15,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",16,22,13,15,"Aplicaciones de gestión del tiempo","A veces","C1","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Industrial",20,"3","Con frecuencia",5,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Poco responsable",12,30,10,14,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Ambiental",20,"4","A veces",15,"Neutral","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",5,25,16,14,"Plataformas de aprendizaje en línea","A veces","C1","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ciencia de datos",18,"3","A veces",80,"Poco confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",12,20,3,8,"Plataformas de aprendizaje en línea","Con frecuencia","C3","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Mecatrónica",19,"5","A veces",40,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Poco responsable",10,28,4,14,"Herramientas de toma de notas","A veces","C2","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Mecatrónica",22,"9","Con frecuencia",5,"Muy confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",0,70,0,40,"Plataformas de aprendizaje en línea","Siempre","C1","Noticias falsas","A2","Positiva"
"Masculino","Ciencias de la Computación",21,"7","Rara vez",10,"Muy confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",0,30,0,20,"Plataformas de aprendizaje en línea","Nunca","C1","Noticias falsas","A1","Neutral"
"Masculino","Ingeniería Mecatrónica",19,"5","A veces",10,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Nada responsable",0,30,0,20,"Aplicaciones de gestión del tiempo","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Mecatrónica",18,"3","Con frecuencia",40,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Responsable",5,3,5,3,"Herramientas de toma de notas","A veces","C2","Información engañosa o sesgada","A1","Positiva"
"Masculino","Bioingeniería",18,"3","A veces",10,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Muy responsable",15,23,12,18,"Plataformas de aprendizaje en línea","Siempre","C3","Información engañosa o sesgada","A4","Neutral"
"Femenino","Ingeniería Industrial",18,"4","A veces",15,"Confiable","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",5,30,5,15,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ingeniería Industrial",18,"3","Con frecuencia",5,"Poco confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",3,22,2,23,"Plataformas de aprendizaje en línea","A veces","C2","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Mecánica",20,"1","Con frecuencia",30,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Responsable",20,40,10,30,"No encuentro ninguna herramienta digital eficiente o efectiva","A veces","C1","Información engañosa o sesgada","A1","Negativa"
"Masculino","Ciencias de la Computación",23,"4","A veces",8,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",5,10,3,7,"Herramientas de toma de notas","Con frecuencia","C2","Noticias falsas","A2","Positiva"
"Femenino","Bioingeniería",21,"10","Con frecuencia",3,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",3,40,1,25,"Herramientas de toma de notas","Siempre","C2","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ciencias de la Computación",17,"1","A veces",10,"Neutral","Consultar a un profesor o experto en el tema","No la utilizo y busco fuentes confiables","Neutral",18,22,14,16,"Aplicaciones de gestión del tiempo","A veces","C2","Rumores o leyendas urbanas","A3","Neutral"
"Masculino","Ciencias de la Computación",17,"1","Rara vez",6,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",14,30,10,17,"Aplicaciones de gestión del tiempo","Con frecuencia","C2","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Civil",18,"2","Siempre",10,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",6,12,3,11,"No encuentro ninguna herramienta digital eficiente o efectiva","A veces","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Civil",22,"4","A veces",2,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Responsable",8,12,8,8,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Rumores o leyendas urbanas","A1","Positiva"
"Femenino","Ingeniería Industrial",17,"2","A veces",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",17,21,12,15,"Plataformas de aprendizaje en línea","A veces","C1","Desinformación intencionada","A1","Neutral"
"Masculino","Ingeniería Civil",22,"4","Con frecuencia",5,"Neutral","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",0,48,0,35,"Plataformas de aprendizaje en línea","Rara vez","C2","Información engañosa o sesgada","A1","Negativa"
"Femenino","Ciencias de la Computación",20,"2","Con frecuencia",5,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Poco responsable",21,35,3,14,"Plataformas de aprendizaje en línea","Siempre","C2","Desinformación intencionada","A1","Neutral"
