CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,THOGAR,NHOGAR,ESTRATO,VRESFIN,RESFIN,P15,P15_N,INF_200,P200_N,P203,P204,P205_A,P205_B,P206,P207_1,P208,P209,P209_N,P209_1,P210,P210_N,P210_1,P211_N,P211_1,P200_APORTANTE,P211_N_PARENTESCO,P211_N_SEXO,P211_N_AÑOS,P211_N_MESES,P211_N_ECIVIL,P211_N_MIGRANTE,factorfinal
15,LIMA,01,LIMA,03,ATE,Lima,2350902,59793,14,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,33, ,2.Casado/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,03,ATE,Lima,2350902,59793,14,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,3,3.Hijo/a o hijastro/a,2.Mujer,8, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,03,ATE,Lima,2367102,58244,15,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,1,2,1,1.Jefe/a del hogar,1.Hombre,24, ,1.Conviviente,1.El Nº es,2.No, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,03,ATE,Lima,2367102,58244,15,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,1,2,2,2.Esposo/a o compañero/a,2.Mujer,21, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,01,LIMA,Lima,2494801,36548,2,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,1.Hombre,37, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,2494801,36548,2,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,23, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,2494801,36548,2,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,3,1,3,3.Hijo/a o hijastro/a,1.Hombre,4, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,36,SAN MIGUEL,Lima,2551502,38791,23,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,2.Mujer,32, ,5.Separado o Ex conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,36,SAN MIGUEL,Lima,2551502,38791,23,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,3.Hijo/a o hijastro/a,1.Hombre,15, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,2.Venezuela,1.Sí,1, , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,36,SAN MIGUEL,Lima,2551502,38791,23,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,3,3.Hijo/a o hijastro/a,2.Mujer,5, , , ,1.Sí,2.No, ,1.Perú,1.Sí,1, , , , , , , , , , ,79.8184115118666
11,ICA,01,ICA,01,ICA,Ica,34380,11558,5,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,2,1,2,2.Esposo/a o compañero/a,2.Mujer,24, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,35.8756689538651
11,ICA,01,ICA,01,ICA,Ica,34443,11725,24,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,1,1.Jefe/a del hogar,2.Mujer,32, ,5.Separado o Ex conviviente,2.No quiso dar Nº,1.Sí, , , , , , , , , , , , , , , ,35.8756689538651
11,ICA,01,ICA,01,ICA,Ica,34443,11725,24,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,2,3.Hijo/a o hijastro/a,1.Hombre,9, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,1, , , , , , , , , , ,35.8756689538651
11,ICA,01,ICA,01,ICA,Ica,34443,11725,24,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,3,3.Hijo/a o hijastro/a,1.Hombre,1, , , ,1.Sí,2.No, ,3.Otro país,1.Sí,1, , , , , , , , , , ,35.8756689538651
11,ICA,01,ICA,01,ICA,Ica,34443,11725,24,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,4,6.Padres/suegros,2.Mujer,54, ,5.Separado o Ex conviviente,2.No quiso dar Nº,1.Sí, , , , , , , , , , , , , , , ,35.8756689538651
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42107,12366,6,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,2.Mujer,32, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,44.2092192842152
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42107,12366,6,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,2,3.Hijo/a o hijastro/a,2.Mujer,12, ,6.Soltero/a, ,1.Sí,2.No, ,2.Venezuela,1.Sí,1, , , , , , , , , , ,44.2092192842152
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42125,12585,2,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,1,1.Jefe/a del hogar,1.Hombre,34, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,44.2092192842152
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42125,12585,2,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,2,2.Esposo/a o compañero/a,2.Mujer,45, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,44.2092192842152
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42125,12585,2,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,3,3.Hijo/a o hijastro/a,2.Mujer,6, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,44.2092192842152
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42125,12585,2,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,4,3.Hijo/a o hijastro/a,1.Hombre,4, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,44.2092192842152
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42177,12400,11,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,1,1.Jefe/a del hogar,2.Mujer,52, ,4.Divorciado/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,66.3138289263227
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42177,12400,11,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,2,3.Hijo/a o hijastro/a,2.Mujer,27, ,5.Separado o Ex conviviente,4.No Sabe,1.Sí, , , , , , , , , , , , , , , ,66.3138289263227
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42177,12400,11,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,3,5.Nieto/a,2.Mujer,4, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,66.3138289263227
04,AREQUIPA,01,AREQUIPA,04,CERRO COLORADO,Arequipa,42177,12400,11,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,4,5.Nieto/a,2.Mujer,1, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,66.3138289263227
04,AREQUIPA,01,AREQUIPA,01,AREQUIPA,Arequipa,42430,12959,1,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,1.Hombre,27, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,33.1569144631614
04,AREQUIPA,01,AREQUIPA,01,AREQUIPA,Arequipa,42430,12959,1,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,2,1,2,2.Esposo/a o compañero/a,2.Mujer,27, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,33.1569144631614
15,LIMA,01,LIMA,01,LIMA,Lima,24680,35686,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,9,3,4,3.Hijo/a o hijastro/a,2.Mujer,16, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,24680,35686,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,9,3,5,3.Hijo/a o hijastro/a,1.Hombre,12, ,6.Soltero/a, ,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,24680,35686,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,9,3,6,3.Hijo/a o hijastro/a,1.Hombre,5, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,24680,35686,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,9,3,7,3.Hijo/a o hijastro/a,1.Hombre,31, ,1.Conviviente,4.No Sabe,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,24680,35686,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,9,3,8,4.Yerno/nuera,2.Mujer,25, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,24680,35686,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,9,3,9,5.Nieto/a,1.Hombre,5, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,8, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,25005,37447,1,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,2.Mujer,30, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,42,VILLA EL SALVADOR,Lima,2828201,65398,9,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,3,3.Hijo/a o hijastro/a,1.Hombre, ,2, , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,99.7730143898332
11,ICA,01,ICA,02,LA TINGUIÑA,Ica,3413602,12128,27,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,2,1,1.Jefe/a del hogar,1.Hombre,24, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,53.8135034307977
11,ICA,01,ICA,02,LA TINGUIÑA,Ica,3413602,12128,27,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,2,2,2.Esposo/a o compañero/a,2.Mujer,22, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,53.8135034307977
11,ICA,01,ICA,02,LA TINGUIÑA,Ica,3413602,12128,27,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,2,3,3.Hijo/a o hijastro/a,2.Mujer,4, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,53.8135034307977
11,ICA,01,ICA,02,LA TINGUIÑA,Ica,3413602,12128,27,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,2,4,3.Hijo/a o hijastro/a,1.Hombre,1, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,53.8135034307977
11,ICA,01,ICA,02,LA TINGUIÑA,Ica,3413602,12128,27,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,2,5,11.Otro no pariente,1.Hombre,41, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,53.8135034307977
11,ICA,01,ICA,02,LA TINGUIÑA,Ica,3413602,12128,27,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,2,6,11.Otro no pariente,1.Hombre,30, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,53.8135034307977
11,ICA,01,ICA,02,LA TINGUIÑA,Ica,3413602,12128,27,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,2,7,11.Otro no pariente,1.Hombre,19, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,53.8135034307977
11,ICA,01,ICA,02,LA TINGUIÑA,Ica,3413602,12128,27,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,2,8,11.Otro no pariente,1.Hombre,26, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,53.8135034307977
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,4477901,00457,5,1,1,5.Alto,1.Completa,1.Completa,1.Sí,4,2,1,1.Jefe/a del hogar,1.Hombre,38, ,1.Conviviente,1.El Nº es,2.No, , , , , , , , , , , , , , , ,12.2814386978209
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,4477901,00457,5,1,1,5.Alto,1.Completa,1.Completa,1.Sí,4,2,2,2.Esposo/a o compañero/a,2.Mujer,37, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,12.2814386978209
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,4477901,00457,5,1,1,5.Alto,1.Completa,1.Completa,1.Sí,4,2,3,3.Hijo/a o hijastro/a,1.Hombre,17, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,12.2814386978209
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,4477901,00457,5,1,1,5.Alto,1.Completa,1.Completa,1.Sí,4,2,4,3.Hijo/a o hijastro/a,2.Mujer,15, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,12.2814386978209
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,4477901,00457,5,1,1,5.Alto,1.Completa,1.Completa,1.Sí,4,2,5,3.Hijo/a o hijastro/a,2.Mujer,9, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,12.2814386978209
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,4526301,06121,33,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,2,1,1.Jefe/a del hogar,1.Hombre,44, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,4526301,06121,33,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,2,2,2.Esposo/a o compañero/a,2.Mujer,39, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,4526301,06121,33,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,2,3,3.Hijo/a o hijastro/a,1.Hombre,21, ,6.Soltero/a,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,4526301,06121,33,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,2,4,3.Hijo/a o hijastro/a,2.Mujer,17, ,6.Soltero/a,3.No tiene,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,4526301,06121,33,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,2,5,3.Hijo/a o hijastro/a,2.Mujer,3, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,4526301,06121,33,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,2,6,3.Hijo/a o hijastro/a,2.Mujer,2, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,33.7211559817993
20,PIURA,01,PIURA,04,CASTILLA,Piura,01582,01931,4,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,1,1.Jefe/a del hogar,1.Hombre,51, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,94.1046726420262
20,PIURA,01,PIURA,04,CASTILLA,Piura,01582,01931,4,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,2,2.Esposo/a o compañero/a,2.Mujer,40, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,94.1046726420262
20,PIURA,01,PIURA,04,CASTILLA,Piura,01582,01931,4,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,3,3.Hijo/a o hijastro/a,2.Mujer,17, ,1.Conviviente,3.No tiene,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,94.1046726420262
20,PIURA,01,PIURA,04,CASTILLA,Piura,01582,01931,4,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,4,4.Yerno/nuera,1.Hombre,25, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,94.1046726420262
20,PIURA,01,PIURA,04,CASTILLA,Piura,01582,01931,4,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,5,5.Nieto/a,2.Mujer, ,0, , ,1.Sí,1.Sí,4, ,1.Sí,3, , , , , , , , , , ,94.1046726420262
20,PIURA,01,PIURA,04,CASTILLA,Piura,01582,01931,4,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,6,8.Otro pariente,1.Hombre,44, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,94.1046726420262
20,PIURA,01,PIURA,04,CASTILLA,Piura,01582,01931,4,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,7,8.Otro pariente,2.Mujer,35, ,1.Conviviente,1.El Nº es,2.No, , , , , , , , , , , , , , , ,94.1046726420262
13,LA LIBERTAD,01,TRUJILLO,11,VICTOR LARCO HERRERA,Trujillo,10819,09177,20,1,1,3.Medio,1.Completa,1.Completa,1.Sí,1,1,1,1.Jefe/a del hogar,1.Hombre,19, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,25.2908669863495
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12077,09350,9,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,1.Hombre,28, ,1.Conviviente,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,17.5677605416671
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12077,09350,9,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,2,2.Esposo/a o compañero/a,2.Mujer,29, ,1.Conviviente,1.El Nº es,2.No, , , , , , , , , , , , , , , ,17.5677605416671
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12077,09350,9,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,3,3.Hijo/a o hijastro/a,1.Hombre,9, , , ,2.No, , , , , , , , , , , , , , , ,17.5677605416671
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12077,09350,9,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,4,3.Hijo/a o hijastro/a,1.Hombre, ,7, , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,17.5677605416671
15,LIMA,01,LIMA,03,ATE,Lima,23511,59785,20,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,1.Hombre,25, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,03,ATE,Lima,23511,59785,20,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,25, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,03,ATE,Lima,23511,59785,20,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,3,3.Hijo/a o hijastro/a,2.Mujer,7, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28081,64187,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,1,1,1.Jefe/a del hogar,1.Hombre,34, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28081,64187,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,1,2,2.Esposo/a o compañero/a,2.Mujer,29, ,1.Conviviente,4.No Sabe,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28081,64187,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,1,3,3.Hijo/a o hijastro/a,1.Hombre,12, ,6.Soltero/a, ,1.Sí,2.No, ,3.Otro país,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28081,64187,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,1,4,3.Hijo/a o hijastro/a,1.Hombre,10, , , ,1.Sí,2.No, ,3.Otro país,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28081,64187,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,1,5,6.Padres/suegros,2.Mujer,72, ,4.Divorciado/a,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28081,64189,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,2.Mujer,43, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28081,64189,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,2,1,2,3.Hijo/a o hijastro/a,1.Hombre,16, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,2.Venezuela,1.Sí,1, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28124,64797,8,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,1.Hombre,22, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28124,64797,8,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,2,2.Esposo/a o compañero/a,2.Mujer,31, ,1.Conviviente,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28143,64225,40,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,2,1,1.Jefe/a del hogar,1.Hombre,42, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28143,64225,40,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,2,2,2.Esposo/a o compañero/a,2.Mujer,41, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28143,64225,40,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,2,3,3.Hijo/a o hijastro/a,1.Hombre,19, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28143,64225,40,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,2,4,3.Hijo/a o hijastro/a,1.Hombre,13, ,6.Soltero/a, ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65088,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,1,1,1.Jefe/a del hogar,1.Hombre,41, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65088,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,1,2,2.Esposo/a o compañero/a,2.Mujer,39, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65088,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,1,3,3.Hijo/a o hijastro/a,1.Hombre,20, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65088,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,1,4,3.Hijo/a o hijastro/a,2.Mujer,18, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65088,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,1,5,3.Hijo/a o hijastro/a,2.Mujer,5, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65088,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,1,6,3.Hijo/a o hijastro/a,1.Hombre,3, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65088,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,1,7,6.Padres/suegros,2.Mujer,56, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65088,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,8,1,8,7.Hermano/a,2.Mujer,15, ,6.Soltero/a,3.No tiene,1.Sí,2.No, ,2.Venezuela,1.Sí,7, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28232,65115,30,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,1.Hombre,27, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,399.092057559333
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28232,65115,30,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,24, ,1.Conviviente,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,399.092057559333
