CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,THOGAR,NHOGAR,ESTRATO,VRESFIN,RESFIN,P15,P15_N,P200_N,INF_500,P501A,P501,P501B,P502,P503,P504_1,P504_2,P504_3,P504_4,P505,P506,P506A,P507_1,P507_2,P507_3,P507_4,P508_1,P508_2,P508_3,P508_4,P509_1,P509_2,P509_3,P509_4,P509_5,P509_6,P509_7,P509_8,P510,P511,P512,P513,P514,P515,P516,factorfinal
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07740,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,7,1,1,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,4.Blanco,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07740,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,7,2,2,1.VENEZUELA,10.Superior Universitaria Completa, ,111026,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,2.No traje mis diplomas,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07740,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,7,3,3,1.VENEZUELA,9.Superior Universitaria Incompleta, ,331036,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,2.Estoy trabajando/ayudando a la familia en el trabajo, , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07740,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,7,4,2,2.PERU, ,2.Educación inicial, ,2.No, , , , ,1.Sí,1.Sí,2.Remota,1.Educación Inicial,3, ,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,"4.Su paquete de internet o plan de datos era limitado, no pudo comprar más",0,0,0,0, , , , , , , ,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07740,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,7,5,5,1.VENEZUELA,6.Educación Media Diversificada, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07740,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,7,6,6,1.VENEZUELA,6.Educación Media Diversificada, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,4.Blanco,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07740,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,7,7,6,2.PERU, ,4.Primaria completa, ,1.Sí,2.Primaria, ,1,1.Estatal,1.Sí,1.Sí,2.Remota,2.Primaria, ,2,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,3.La conexión de internet o plan datos era mala o inestable,0,0,0,0,0,1.¿Aprobado?, , , , , , ,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07741,3,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,1,1.VENEZUELA,9.Superior Universitaria Incompleta, ,331036,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07741,3,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,3,3,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07741,3,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,4,4,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07741,3,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,5,5,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,2.Estoy trabajando/ayudando a la familia en el trabajo, , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07741,3,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,6,6,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,5.Mestizo,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07741,3,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,7,7,1.VENEZUELA,8.Técnico Superior Completa, ,712015,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07742,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,1,1.VENEZUELA,6.Educación Media Diversificada, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07742,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,2,2,1.VENEZUELA,9.Superior Universitaria Incompleta, ,335076,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07742,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,3,2,3.Sin nivel educativo, , , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,1.Problemas económicos, , , , , ,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07742,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,5,5,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,2.Estoy trabajando/ayudando a la familia en el trabajo, , , ,3.Moreno,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10552,07742,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,6,6,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,2.Estoy trabajando/ayudando a la familia en el trabajo, , , ,5.Mestizo,1.Heterosexual,25.2908669863495
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10553,07751,9,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,2,1,1,1.VENEZUELA,9.Superior Universitaria Incompleta, ,342056,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,5.Mestizo,1.Heterosexual,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10553,07751,9,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,2,2,1,2.PERU, ,2.Educación inicial, ,2.No, , , , ,1.Sí,1.Sí,2.Remota,1.Educación Inicial,2, ,2.No Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,0,0,8.NO TUVO DIFICULTADES, , , , , , , ,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10553,07748,19,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,1,1.VENEZUELA,9.Superior Universitaria Incompleta, ,526036,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,5.Mestizo,1.Heterosexual,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10553,07748,19,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,2,2,1.VENEZUELA,10.Superior Universitaria Completa, ,511026,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,2.No traje mis diplomas,4.Blanco,1.Heterosexual,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10553,07748,19,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,3,2,3.Sin nivel educativo, , , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,"11.No consiguió vacante, no lo aceptaron, no sabía el procedimiento de la matricula", , , , , ,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10553,07749,7,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,1,2,2,1.VENEZUELA,10.Superior Universitaria Completa, ,321026,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,3.No tengo dinero,5.Mestizo,1.Heterosexual,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10567,07015,2,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,1,1,1,1.VENEZUELA,8.Técnico Superior Completa, ,715015,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,4.Blanco,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10567,07017,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,1,1.VENEZUELA,10.Superior Universitaria Completa, ,711026,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,1.Sí, ,5.Mestizo,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10567,07017,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,2,2,1.VENEZUELA,10.Superior Universitaria Completa, ,711016,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,1.Sí, ,5.Mestizo,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10567,07017,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,3,2,2.PERU, ,2.Educación inicial, ,2.No, , , , ,1.Sí,1.Sí,2.Remota,1.Educación Inicial,3, ,2.No Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,0,0,8.NO TUVO DIFICULTADES, , , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07758,23,1,1,3.Medio,1.Completa,1.Completa,1.Sí,1,1,1,1.VENEZUELA,6.Educación Media Diversificada, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07761,15,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,1,1.VENEZUELA,8.Técnico Superior Completa, ,441125,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,4.Blanco,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07761,15,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,2,2,1.VENEZUELA,10.Superior Universitaria Completa, ,121456,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,1.No conozco el procedimiento,4.Blanco,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07761,15,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,3,2,2.PERU, ,4.Primaria completa, ,1.Sí,2.Primaria, ,4,2.No Estatal,1.Sí,1.Sí,2.Remota,2.Primaria, ,5,2.No Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,0,0,8.NO TUVO DIFICULTADES,1.¿Aprobado?, , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07761,15,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,4,2,2.PERU, ,3.Primaria incompleta, ,1.Sí,1.Educación Inicial,3, ,2.No Estatal,1.Sí,1.Sí,2.Remota,2.Primaria, ,1,2.No Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,0,0,8.NO TUVO DIFICULTADES,1.¿Aprobado?, , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07762,24,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,1,1.VENEZUELA,8.Técnico Superior Completa, ,525015,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07762,24,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,2,1.VENEZUELA,8.Técnico Superior Completa, ,331095,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07763,25,1,1,3.Medio,1.Completa,1.Completa,1.Sí,1,1,1,1.VENEZUELA,3.Educación Básica Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,1.Negro/a,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07764,26,1,1,3.Medio,1.Completa,1.Completa,1.Sí,6,1,1,1.VENEZUELA,3.Educación Básica Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07764,26,1,1,3.Medio,1.Completa,1.Completa,1.Sí,6,2,2,2.PERU, ,4.Primaria completa, ,2.No, , , , ,1.Sí,1.Sí,2.Remota,2.Primaria, ,5,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,3.La conexión de internet o plan datos era mala o inestable,0,0,0,0,0, , , , , , , ,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07764,26,1,1,3.Medio,1.Completa,1.Completa,1.Sí,6,3,1,3.Sin nivel educativo, , , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,"11.No consiguió vacante, no lo aceptaron, no sabía el procedimiento de la matricula", , , , , ,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07764,26,1,1,3.Medio,1.Completa,1.Completa,1.Sí,6,5,5,1.VENEZUELA,10.Superior Universitaria Completa, ,342056,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,3.No tengo dinero,2.Afrodescendientes,1.Heterosexual,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10586,07764,26,1,1,3.Medio,1.Completa,1.Completa,1.Sí,6,6,6,1.VENEZUELA,9.Superior Universitaria Incompleta, ,342056,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10604,08476,38,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,1,1,1.VENEZUELA,10.Superior Universitaria Completa, ,351016,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,4.Otra razón,3.Moreno,1.Heterosexual,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10604,08476,38,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,2,2,1.VENEZUELA,8.Técnico Superior Completa, ,526245,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10604,08476,38,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,3,3,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,12.Otra razón, , , ,4.Blanco,1.Heterosexual,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10604,08476,38,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,4,4,1.VENEZUELA,3.Educación Básica Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,12.Otra razón, , , , , ,101.163467945398
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07925,8,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,1,1,1,1.VENEZUELA,9.Superior Universitaria Incompleta, ,313016,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07926,9,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,1,1.VENEZUELA,3.Educación Básica Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07926,9,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,2,2,1.VENEZUELA,3.Educación Básica Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07926,9,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,3,3,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,12.Otra razón, , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07927,20,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,1,1,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07927,20,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,2,2,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,2.Estoy trabajando/ayudando a la familia en el trabajo, , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07927,20,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,3,3,2.PERU, ,3.Primaria incompleta, ,2.No, , , , ,1.Sí,1.Sí,2.Remota,2.Primaria, ,4,2.No Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,3.La conexión de internet o plan datos era mala o inestable,0,0,6.Era complicado para el niño/a o para los padres acceder al programa/plataforma virtual,0,0, , , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07927,20,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,4,4,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,2.Estoy trabajando/ayudando a la familia en el trabajo, , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07931,12,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,1,1.VENEZUELA,3.Educación Básica Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,4.Blanco,1.Heterosexual,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07931,12,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,2,2,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07931,12,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,3,2,2.PERU, ,3.Primaria incompleta, ,2.No, , , , ,1.Sí,1.Sí,2.Remota,2.Primaria, ,1,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,3.La conexión de internet o plan datos era mala o inestable,0,0,6.Era complicado para el niño/a o para los padres acceder al programa/plataforma virtual,0,0, , , , , , , ,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07933,23,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,1,1,1,1.VENEZUELA,10.Superior Universitaria Completa, ,526036,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,1.No conozco el procedimiento,3.Moreno,1.Heterosexual,50.5817339726989
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07935,14,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,1,1,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,2.Estoy trabajando/ayudando a la familia en el trabajo, , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07935,14,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,2,2,1.VENEZUELA,9.Superior Universitaria Incompleta, ,521026,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07935,14,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,3,1,2.PERU, ,3.Primaria incompleta, ,1.Sí,2.Primaria, ,3,1.Estatal,1.Sí,1.Sí,2.Remota,2.Primaria, ,4,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,0,0,8.NO TUVO DIFICULTADES,1.¿Aprobado?, , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07935,14,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,4,4,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07935,14,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,5,5,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,4.No tiene documentos, , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07935,14,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,6,6,4,2.PERU, ,3.Primaria incompleta, ,2.No, , , , ,1.Sí,1.Sí,2.Remota,2.Primaria, ,1,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,0,0,8.NO TUVO DIFICULTADES, , , , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07936,15,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,1,1.VENEZUELA,9.Superior Universitaria Incompleta, ,511026,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,5.Mestizo,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07936,15,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,2,2,1.VENEZUELA,9.Superior Universitaria Incompleta, ,331036,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,4.Blanco,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07936,15,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,3,3,2.PERU, ,5.Secundaria incompleta, ,1.Sí,3.Secundaria,1, ,1.Estatal,1.Sí,1.Sí,2.Remota,3.Secundaria,2, ,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,5.El profesor no interactuaba continuamente con el niño/a,0,0,0,1.¿Aprobado?, , , , ,5.Mestizo,5.Pansexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07936,15,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,4,2,3.Sin nivel educativo, , , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,"11.No consiguió vacante, no lo aceptaron, no sabía el procedimiento de la matricula", , , , , ,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07938,25,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,1,1.VENEZUELA,3.Educación Básica Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,1.Negro/a,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07938,25,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,2,2,1.VENEZUELA,4.Educación Básica Completa, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07938,25,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,3,3,1.VENEZUELA,9.Superior Universitaria Incompleta, ,339996,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , ,1.Problemas económicos, , , ,5.Mestizo,1.Heterosexual,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,10609,07938,25,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,4,2,2.PERU, ,3.Primaria incompleta, ,1.Sí,1.Educación Inicial,3, ,1.Estatal,1.Sí,1.Sí,2.Remota,2.Primaria, ,1,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,6.Era complicado para el niño/a o para los padres acceder al programa/plataforma virtual,0,0,1.¿Aprobado?, , , , , , ,33.7211559817993
