"","Genero","Carrera","Ciclo_2022_2","Cursos_2022_1","Cursos_2022_2","Sueño_2022_1","Sueño_2022_2","Clases_promedio_2022_1","Clases_promedio_2022_2","Promedio_2022_1","Promedio_2022_2","Cursos_aprobados_2022_1","Cursos_aprobados_2022_2","Horas_libres_2022_1","Horas_libres_2022_2","Estrés_2022_1","Estrés_2022_2","Interes_2022_2","Conocimiento","Uso","Razones_no_uso","Sesiones_minimas","Modalidad","Medios"
"102","Otros","INGENIERÍA MECATRÓNICA","5to ciclo",6,5,6,7,5,4,16.7,16.9,6,5,5,5,"Medio","Bajo","Nada interesado","Si","No","Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional"
"103","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",6,4,6,8,5,4,15.2,15.6,5,4,3,5,"Muy alto","Medio","Poco interesado","No","No","No estaba enterado",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"104","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",6,5,6,7,5,4,16.5,17.1,6,5,3,4,"Medio","Bajo","Poco interesado","Si","No","Considero que no lo necesito",3,"Presenciales","Redes sociales, Volantes en la universidad"
"105","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,7,7,4,5,15.63,16.59,6,6,5,3,"Bajo","Medio","Nada interesado","Si","No","No contaba con tiempo, Miedo y vergüenza",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"106","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,5.5,6,5,6,14.85,14.55,6,6,3,3,"Alto","Alto","Muy interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza, Considero que no lo necesito",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"107","Femenino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,5,6,6,6,8,14.63,14.75,6,5,4,5,"Medio","Alto","Poco interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"108","Femenino","BIOINGENIERÍA","3er ciclo",6,6,5,5,6,6,15.5,15.4,6,6,2,2,"Muy alto","Muy alto","Muy interesado","Si","No","No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"109","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,6,4,5,13,13,5,5,6,6,"Alto","Alto","Muy interesado","No","No","No estaba enterado, No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"110","Femenino","BIOINGENIERÍA","2do ciclo",6,7,8,7,8,8,17.64,18.56,6,7,4,4,"Alto","Alto","Poco interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",2,"Virtuales","Correo Institucional"
"111","Masculino","INGENIERÍA CIVIL","4rto ciclo",7,6,5.3,6.3,6,3,12.56,14.89,7,6,3.9,5.9,"Alto","Alto","Poco interesado","No","No","No estaba enterado",5,"Presenciales","Charlas"
"112","Masculino","INGENIERÍA MECATRÓNICA","3er ciclo",6,6,5,6,5,7,17.95,18.9,6,6,4,4,"Medio","Muy alto","Nada interesado","No","No","No estaba enterado",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"113","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,5,5,5,5,16,15.02,6,6,2,3,"Alto","Alto","Muy interesado","Si","No","No estaba enterado, No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"114","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,7,7,5,6,15,13.97,6,4,2,3,"Bajo","Medio","Muy interesado","No","No","No estaba enterado, Miedo y vergüenza",2,"Presenciales","Redes sociales, Charlas"
"115","Masculino","INGENIERÍA MECÁNICA","3er ciclo",7,5,5,7,8,5,10,13,2,5,3.5,7,"Muy alto","Medio","Muy interesado","No","No","No estaba enterado, No contaba con tiempo, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"116","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","3er ciclo",7,6,6,5,4,5,14.35,12.34,7,6,3,2,"Alto","Muy alto","Muy interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre",5,"Virtuales","Correo Institucional, Volantes en la universidad"
"117","Femenino","INGENIERÍA MECATRÓNICA","3er ciclo",7,6,5,7,7,6,15.78,14.35,5,6,3,5,"Alto","Alto","Poco interesado","Si","No","No contaba con tiempo, Considero que no lo necesito",2,"Presenciales","Redes sociales, Charlas"
"118","Masculino","BIOINGENIERÍA","5to ciclo",6,5,6,6,5,5,15,11.2,4,3,5,5,"Medio","Medio","Nada interesado","Si","No","No contaba con tiempo, Considero que no lo necesito",5,"Presenciales","Redes sociales, Volantes en la universidad"
"119","Masculino","INGENIERÍA MECATRÓNICA","3er ciclo",5,5,5,5,4,5,10,13,4,4,4,4,"Muy alto","Muy alto","Nada interesado","No","No","No estaba enterado",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"120","Masculino","INGENIERÍA INDUSTRIAL","5to ciclo",6,6,3,5,4,4,14.23,14.57,6,6,5,5,"Muy alto","Muy alto","Poco interesado","No","No","No estaba enterado, No contaba con tiempo",5,"Presenciales","Charlas"
"121","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,6,5,6,16.5,17,6,6,3,2,"Alto","Alto","Poco interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",1,"Presenciales","Correo Institucional"
"122","Femenino","INGENIERÍA ELECTRÓNICA","4rto ciclo",6,5,6,6,6,5,12.9,13.5,5,5,2,3,"Alto","Alto","Poco interesado","No","No","No estaba enterado, No contaba con tiempo",3,"Presenciales","Correo Institucional, Volantes en la universidad"
"123","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,7,5,5,15.5,15.16,6,6,3,3,"Medio","Bajo","Nada interesado","No","No","No estaba enterado, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional"
"124","Femenino","INGENIERÍA MECÁNICA","3er ciclo",5,3,2,5,4,4,15,12,3,3,3,4,"Muy bajo","Alto","Poco interesado","No","No","Malas referencias",3,"Presenciales","Volantes en la universidad"
"125","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",7,6,6,6,4,4,12,14,7,4,3,3,"Medio","Medio","Poco interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre",2,"Presenciales","Correo Institucional"
"126","Femenino","INGENIERÍA AMBIENTAL","3er ciclo",7,6,8,8,9,8,16,17,7,6,3,3.5,"Alto","Medio","Poco interesado","No","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"127","Masculino","INGENIERÍA INDUSTRIAL","5to ciclo",6,6,10,2,9,7,12,12,4,7,10,10,"Alto","Muy alto","Nada interesado","Si","No","No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"128","Masculino","BIOINGENIERÍA","2do ciclo",6,7,6,5,5,6,15.13,14.41,6,6,4,4,"Alto","Alto","Nada interesado","Si","No","Considero que no lo necesito",5,"Presenciales","Correo Institucional"
"129","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",7,5,6.5,6,6,6,13,12.93,5,4,4,4,"Medio","Bajo","Muy interesado","Si","No","Malas referencias, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",3,"Presenciales","Correo Institucional"
"130","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,7,4,3.5,6,6,15.6,14.5,6,6,2,2,"Medio","Medio","Poco interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"131","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,6,6,7,6,14,15,6,6,3,4,"Medio","Medio","Poco interesado","Si","No","No estaba enterado",2,"Presenciales","Redes sociales, Charlas"
"132","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,6,8,8,6,7,15,15,5,6,4,5,"Muy alto","Alto","Poco interesado","No","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Charlas"
"133","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,7,8.2,8.3,6,7,12,14,5,7,5,4,"Bajo","Bajo","Nada interesado","No","No","No estaba enterado",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"134","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",6,5,7,6,5,6,15.4,15.76,6,5,4.5,6,"Alto","Medio","Nada interesado","Si","No","No contaba con tiempo, Miedo y vergüenza",3,"Presenciales","Redes sociales, Charlas"
"135","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",6,6,6.5,6.5,7,8,16,17,6,6,3.5,3.5,"Medio","Medio","Nada interesado","Si","No","No contaba con tiempo",2,"Virtuales","Redes sociales"
"136","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,5,5,8,15.4,16.23,6,6,0,0,"Muy alto","Muy alto","Nada interesado","No","No","No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Redes sociales, Correo Institucional"
"137","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",4,5,8,8,4,4,13,12.8,4,2,4,3,"Bajo","Alto","Poco interesado","No","No","No estaba enterado",5,"Presenciales","Redes sociales, Correo Institucional"
"138","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,6,7,6,12.91,14.46,6,6,3,3,"Muy alto","Alto","Nada interesado","No","No","No estaba enterado, No contaba con tiempo, Miedo y vergüenza",1,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"139","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",6,6,7,7,6,6,15,14,5,4,2,4,"Medio","Alto","Poco interesado","Si","No","No estaba enterado, No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional"
"140","Femenino","INGENIERÍA AMBIENTAL","5to ciclo",5,5,7.5,7.5,5,5,15.6,15.7,5,5,4.5,3.4,"Medio","Alto","Nada interesado","Si","No","No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"141","Masculino","INGENIERÍA CIVIL","3er ciclo",5,6,7.5,6.5,6,6,13.66,12.55,5,5,5,5,"Medio","Alto","Poco interesado","Si","No","No contaba con tiempo, Miedo y vergüenza",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"142","Femenino","INGENIERÍA MECATRÓNICA","2do ciclo",7,5,6,5,6,4,12,13,6,4,2,5,"Medio","Alto","Nada interesado","Si","No","Miedo y vergüenza, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"143","Masculino","INGENIERÍA MECÁNICA","3er ciclo",4,4,7,6,4,4,13.3,13.7,4,3,4,3,"Medio","Medio","Nada interesado","Si","No","Considero que no lo necesito",2,"Presenciales","Correo Institucional, Charlas"
"144","Femenino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,5,4.5,7,5,13,13,5,4,5,4,"Muy alto","Muy alto","Poco interesado","No","No","No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"145","Masculino","INGENIERÍA QUÍMICA","5to ciclo",5,7,7,5,5,8,15,13,5,7,5,2,"Alto","Muy alto","Nada interesado","Si","No","Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"146","Masculino","INGENIERÍA QUÍMICA","5to ciclo",6,6,6.5,6.5,5,5,14.7,14.4,6,6,4,3,"Medio","Alto","Nada interesado","Si","No","No contaba con tiempo, Miedo y vergüenza, Considero que no lo necesito",2,"Presenciales","Correo Institucional"
"147","Masculino","INGENIERÍA MECÁNICA","9no ciclo",3,3,7,7,3,3,13,12,2,3,4,4,"Medio","Medio","Poco interesado","Si","No","No contaba con tiempo",3,"Virtuales","Redes sociales"
"148","Masculino","INGENIERÍA MECÁNICA","7mo ciclo",6,5,5,7,6,5,15.8,16.5,6,5,2,4,"Muy alto","Medio","Poco interesado","Si","No","Malas referencias, Considero que no lo necesito",2,"Presenciales","Correo Institucional, Volantes en la universidad"
"149","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",4,4,8,8,6,5,13.5,14.5,4,4,5,4,"Bajo","Bajo","Poco interesado","Si","No","No contaba con tiempo",5,"Presenciales","Correo Institucional, Charlas"
"150","Masculino","INGENIERÍA MECÁNICA","5to ciclo",5,6,7,7,4,5,16.9,18.5,5,6,5,3,"Muy bajo","Medio","Nada interesado","Si","No","No estaba enterado, Considero que no lo necesito",5,"Virtuales","Correo Institucional"
"151","Femenino","INGENIERÍA MECÁNICA","5to ciclo",6,5,8,8,6,5,15,15,5,5,5,5,"Medio","Medio","Poco interesado","Si","No","Considero que no lo necesito",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"152","Masculino","INGENIERÍA MECÁNICA","4rto ciclo",5,6,6,6.5,5,5,16.27,16.21,5,6,4,4.5,"Medio","Muy bajo","Nada interesado","No","No","No estaba enterado, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"153","Masculino","INGENIERÍA MECÁNICA","4rto ciclo",5,6,7,5.5,5,6,18.1,17.9,5,6,3,2,"Medio","Alto","Poco interesado","No","No","No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"154","Masculino","INGENIERÍA MECÁNICA","3er ciclo",6,5,6,5,4,3,15.45,14.55,4,5,6,6,"Alto","Medio","Nada interesado","Si","No","Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"155","Masculino","INGENIERÍA MECATRÓNICA","3er ciclo",6,6,5,5,5,4,14.2,14,5,5,6,5.5,"Bajo","Alto","Nada interesado","No","No","No estaba enterado",5,"Virtuales","Redes sociales, Correo Institucional, Charlas"
"156","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",4,5,6.5,5.5,3,4,14.6,15.5,4,4,4.1,4.1,"Alto","Muy alto","Nada interesado","Si","No","Malas referencias",2,"Virtuales","Correo Institucional, Volantes en la universidad, Charlas"
