"","Genero","Carrera","Ciclo_2022_2","Cursos_2022_1","Cursos_2022_2","Sueño_2022_1","Sueño_2022_2","Clases_promedio_2022_1","Clases_promedio_2022_2","Promedio_2022_1","Promedio_2022_2","Cursos_aprobados_2022_1","Cursos_aprobados_2022_2","Horas_libres_2022_1","Horas_libres_2022_2","Estrés_2022_1","Estrés_2022_2","Interes_2022_2","Conocimiento","Uso","Asistencia","Tiempo_espera","Debilidades","Apoyo","Satisfaccion","Razones_no_uso","Sesiones_minimas","Modalidad","Medios"
"90","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,7,4,7,6,14,13,7,6,6,4,"Medio","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional"
"91","Femenino","INGENIERÍA MECATRÓNICA","3er ciclo",7,6,6,5,5,5,14.9,14.84,7,6,3,3,"Alto","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Miedo y vergüenza",5,"Virtuales","Redes sociales, Correo Institucional"
"92","Masculino","INGENIERÍA MECATRÓNICA","3er ciclo",7,6,6,5,7,5,15.05,14.78,7,6,3,1,"Alto","Muy alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",3,"Virtuales","Redes sociales, Correo Institucional, Charlas"
"93","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,8,6,6,6,15.33,12.3,7,6,4,5,"Medio","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",3,"Virtuales","Redes sociales, Correo Institucional"
"94","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,7.5,7.5,5,5,15.1,15.64,7,6,5,5,"Bajo","Bajo","Nada interesado","No","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"95","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","5to ciclo",7,7,6,6,6,6,14.43,15.73,7,7,5,4,"Medio","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, Considero que no lo necesito",5,"Presenciales","Redes sociales, Correo Institucional"
"96","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","4rto ciclo",6,6,6,7,3,4,15.6,16.5,6,6,3.5,5,"Bajo","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"97","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","5to ciclo",6,6,6,4,4,6,16.25,14.5,6,6,5,5,"Alto","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",5,"Presenciales","Redes sociales, Volantes en la universidad"
"98","Femenino","INGENIERÍA CIVIL","3er ciclo",6,6,5,4,5,5,15,15,6,6,2,2,"Muy alto","Muy alto","Muy interesado","Si","Si",5,1,"La página Web “Registra tu cita” tiene problemas, Las agendas de los psicólogos suelen estar llenas","Apoyado",5,"",5,"Presenciales","Correo Institucional, Volantes en la universidad, Charlas"
"99","Masculino","INGENIERÍA MECATRÓNICA","5to ciclo",5,4,6,7,5,4,11.5,12,3,4,2,4,"Alto","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo",2,"Presenciales","Correo Institucional, Volantes en la universidad"
"100","Masculino","INGENIERÍA MECATRÓNICA","6to ciclo",7,6,6,7,3,3,15.21,15.1,6,6,5,6,"Alto","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"101","Femenino","INGENIERÍA MECATRÓNICA","7mo ciclo",6,6,5,5,8,8,14,15.5,6,6,3,4,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Malas referencias, No contaba con tiempo, Considero que no lo necesito",1,"Presenciales","Redes sociales, Volantes en la universidad"
"102","Femenino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","2do ciclo",7,6,5,6.5,8,7,13.95,11.4,7,4,4.5,6,"Medio","Muy alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"103","Femenino","INGENIERÍA ELECTRÓNICA","6to ciclo",5,5,7,5,5,6,15,12,5,4,4,3,"Medio","Muy alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Redes sociales, Charlas"
"104","Masculino","INGENIERÍA MECATRÓNICA","9no ciclo",6,5,5,3,4,4,12.3,8.5,2,2,2,2,"Muy alto","Medio","Muy interesado","Si","No",NA,NA,NA,NA,NA,"Malas referencias, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"105","Femenino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","5to ciclo",5,6,7,7,6,7,12.27,12.4,5,5,6,5,"Bajo","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Me olvidaba",5,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"106","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",5,6,7,7,4,5,15,14,5,6,4,4,"Medio","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, Considero que no lo necesito",3,"Presenciales","Volantes en la universidad, Charlas"
"107","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",5,5,5,4,4,4,16.53,15.72,5,5,6,4,"Alto","Muy alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"108","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",6,4,6.5,6,6,5,17.2,16.5,6,4,4,5,"Medio","Alto","Muy interesado","Si","Si",2,5,"Las agendas de los psicólogos suelen estar llenas","Apoyado",4,"",5,"Presenciales","Correo Institucional, Volantes en la universidad"
"109","Masculino","INGENIERÍA ELECTRÓNICA","7mo ciclo",4,6,5,4,4,3,13.2,13.8,4,4,8,6,"Bajo","Bajo","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, Malas referencias, No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"110","Masculino","INGENIERÍA DE LA ENERGÍA","6to ciclo",5,4,4,4,4,5,12.3,11.7,5,3,2.5,4,"Alto","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"111","Masculino","INGENIERÍA CIVIL","2do ciclo",6,7,6.5,6.5,7,6,13,16,5,7,3.5,2.5,"Medio","Bajo","Poco interesado","Si","Si",1,3,"La página Web “Registra tu cita” tiene problemas","Muy apoyado",5,"",5,"Presenciales","Redes sociales, Charlas"
"112","Masculino","INGENIERÍA CIVIL","6to ciclo",7,8,8,6,6,8,14.5,15,7,8,2,1,"Medio","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Presenciales","Volantes en la universidad"
"113","Masculino","INGENIERÍA ELECTRÓNICA","5to ciclo",6,4,9,9,7,5,16.3,16.5,6,4,4,6,"Medio","Medio","Nada interesado","No","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"114","Masculino","INGENIERÍA MECATRÓNICA","7mo ciclo",6,6,6,6,5,5,13.4,14.3,6,5,3,3,"Medio","Alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, Malas referencias, No contaba con tiempo, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"115","Masculino","INGENIERÍA MECATRÓNICA","8vo ciclo",6,5,6,6,6,8,13,14,6,6,4,5,"Alto","Alto","Poco interesado","No","Si",1,1,"La página Web “Registra tu cita” tiene problemas","Apoyado",4,"",3,"Virtuales","Redes sociales"
"116","Masculino","INGENIERÍA MECATRÓNICA","7mo ciclo",5,6,5,6,4,5,14,13,5,6,1,1,"Medio","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",1,"Presenciales","Redes sociales, Volantes en la universidad"
"117","Masculino","INGENIERÍA MECÁNICA","4rto ciclo",6,6,6,6,6,6,15,15.4,6,6,5,6,"Alto","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Redes sociales, Correo Institucional"
"118","Masculino","INGENIERÍA CIVIL","6to ciclo",8,7,5,7,7,7,14.7,14.56,8,7,4,4,"Medio","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Volantes en la universidad, Charlas"
"119","Masculino","INGENIERÍA CIVIL","5to ciclo",7,7,2,1,8,8,15.55,15.4,7,7,2,2,"Muy alto","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"120","Masculino","INGENIERÍA QUÍMICA","5to ciclo",4,5,7,6,5,6,16,15,4,3,4,3,"Bajo","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Correo Institucional"
"121","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,6.8,6,5,5,15.56,12.9,6,5,2,3.5,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",1,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"122","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,5,5.5,7,5,4,14.8,15.6,6,5,3.5,4.5,"Alto","Medio","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, Miedo y vergüenza",3,"Presenciales","Correo Institucional, Volantes en la universidad"
"123","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,5,6,7,5,5,14.48,14.3,6,5,3,4,"Medio","Alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"124","Masculino","INGENIERÍA INDUSTRIAL","5to ciclo",7,6,7,6,5,6,15,14.92,7,6,6,4,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"125","Femenino","BIOINGENIERÍA","3er ciclo",6,5,5,5,7,6,14,14,5,4,5,5,"Alto","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"126","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,6.8,6,5,5,15.56,12.63,6,5,2,3.5,"Medio","Medio","Nada interesado","No","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",1,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"127","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",5,6,7,7,5,4,12.05,12.57,4,5,3,3,"Alto","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"128","Femenino","INGENIERÍA QUÍMICA","4rto ciclo",4,5,6.5,6.5,5,6,15.5,14.8,4,5,4,3.5,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional"
"129","Masculino","INGENIERÍA MECÁNICA","6to ciclo",6,5,5,5,7,6,14,13,6,6,3,4,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"130","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",6,4,5,6,4,2,16.4,16.1,5,4,4,4,"Muy alto","Medio","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"131","Otros","INGENIERÍA MECATRÓNICA","5to ciclo",6,5,6,7,5,4,16.7,16.9,6,5,5,5,"Medio","Bajo","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional"
"132","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",6,4,6,8,5,4,15.2,15.6,5,4,3,5,"Muy alto","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"133","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",6,5,6,7,5,4,16.5,17.1,6,5,3,4,"Medio","Bajo","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",3,"Presenciales","Redes sociales, Volantes en la universidad"
"134","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,7,7,4,5,15.63,16.59,6,6,5,3,"Bajo","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Miedo y vergüenza",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"135","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,5.5,6,5,6,14.85,14.55,6,6,3,3,"Alto","Alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza, Considero que no lo necesito",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"136","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,6,6,5,6,5,15,15,6,6,3,3,"Medio","Medio","Poco interesado","Si","Si",2,3,"Las agendas de los psicólogos suelen estar llenas","Apoyado",4,"",3,"Virtuales","Volantes en la universidad"
"137","Femenino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,5,6,6,6,8,14.63,14.75,6,5,4,5,"Medio","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"138","Femenino","BIOINGENIERÍA","3er ciclo",6,6,5,5,6,6,15.5,15.4,6,6,2,2,"Muy alto","Muy alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"139","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,6,4,5,13,13,5,5,6,6,"Alto","Alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"140","Femenino","BIOINGENIERÍA","2do ciclo",6,7,8,7,8,8,17.64,18.56,6,7,4,4,"Alto","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",2,"Virtuales","Correo Institucional"
"141","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,5,4,4,6,5,15,15,6,5,5,6,"Medio","Medio","Poco interesado","No","Si",3,5,"Las agendas de los psicólogos suelen estar llenas","Poco apoyado",3,"",3,"Presenciales","Redes sociales"
"142","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",5,5,6.5,7,5,6,14.6,16,4,5,3,2,"Medio","Medio","Muy interesado","Si","Si",3,1,"La página Web “Registra tu cita” tiene problemas","Apoyado",3,"",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"143","Masculino","INGENIERÍA CIVIL","4rto ciclo",7,6,5.3,6.3,6,3,12.56,14.89,7,6,3.9,5.9,"Alto","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",5,"Presenciales","Charlas"
"144","Femenino","INGENIERÍA AMBIENTAL","3er ciclo",6,5,5.5,5.5,6,6,15.4,15.36,5,5,5,5,"Medio","Alto","Muy interesado","Si","Si",1,5,"Respuestas tardías","Poco apoyado",3,"",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"145","Masculino","INGENIERÍA MECATRÓNICA","3er ciclo",6,6,5,6,5,7,17.95,18.9,6,6,4,4,"Medio","Muy alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"146","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,5,5,8,7,7,14.67,14.67,7,5,4.5,5,"Alto","Alto","Muy interesado","Si","Si",2,2,"Mala actitud del personal de servicio","Nada apoyado",5,"",5,"Presenciales","Redes sociales, Correo Institucional"
"147","Otros","CIENCIA DE DATOS","7mo ciclo",8,5,6.5,6.5,6,5,14.45,15.86,5,5,4,6,"Alto","Alto","Nada interesado","Si","Si",3,5,"La página Web “Registra tu cita” tiene problemas, Las agendas de los psicólogos suelen estar llenas, Respuestas tardías","Poco apoyado",5,"",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"148","Masculino","CIENCIA DE LA COMPUTACIÓN","4rto ciclo",6,6,6,6,7,5,15,15,6,6,3,3.5,"Alto","Medio","Muy interesado","Si","Si",5,5,"Las agendas de los psicólogos suelen estar llenas","Poco apoyado",4,"",3,"Virtuales","Charlas"
"149","Femenino","BIOINGENIERÍA","4rto ciclo",5,5,6,5,6,5,12.54,11.83,4,4,3.5,3,"Medio","Alto","Poco interesado","No","Si",1,42,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías, Mala actitud del personal de servicio","Nada apoyado",2,"",5,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"150","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,5,5,5,5,16,15.02,6,6,2,3,"Alto","Alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"151","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,7,7,5,6,15,13.97,6,4,2,3,"Bajo","Medio","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, Miedo y vergüenza",2,"Presenciales","Redes sociales, Charlas"
"152","Masculino","INGENIERÍA MECÁNICA","3er ciclo",7,5,5,7,8,5,10,13,2,5,3.5,7,"Muy alto","Medio","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"153","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","3er ciclo",7,6,6,5,4,5,14.35,12.34,7,6,3,2,"Alto","Muy alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre",5,"Virtuales","Correo Institucional, Volantes en la universidad"
"154","Femenino","INGENIERÍA MECATRÓNICA","3er ciclo",7,6,5,7,7,6,15.78,14.35,5,6,3,5,"Alto","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Considero que no lo necesito",2,"Presenciales","Redes sociales, Charlas"
"155","Masculino","BIOINGENIERÍA","5to ciclo",6,5,6,6,5,5,15,11.2,4,3,5,5,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Considero que no lo necesito",5,"Presenciales","Redes sociales, Volantes en la universidad"
"156","Masculino","INGENIERÍA MECATRÓNICA","3er ciclo",5,5,5,5,4,5,10,13,4,4,4,4,"Muy alto","Muy alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"157","Masculino","INGENIERÍA INDUSTRIAL","5to ciclo",6,6,3,5,4,4,14.23,14.57,6,6,5,5,"Muy alto","Muy alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",5,"Presenciales","Charlas"
"158","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,6,5,6,16.5,17,6,6,3,2,"Alto","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",1,"Presenciales","Correo Institucional"
"159","Femenino","INGENIERÍA ELECTRÓNICA","4rto ciclo",6,5,6,6,6,5,12.9,13.5,5,5,2,3,"Alto","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",3,"Presenciales","Correo Institucional, Volantes en la universidad"
"160","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,7,5,5,15.5,15.16,6,6,3,3,"Medio","Bajo","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional"
"161","Femenino","INGENIERÍA MECÁNICA","3er ciclo",5,3,2,5,4,4,15,12,3,3,3,4,"Muy bajo","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"Malas referencias",3,"Presenciales","Volantes en la universidad"
"162","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",7,6,6,6,4,4,12,14,7,4,3,3,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre",2,"Presenciales","Correo Institucional"
"163","Femenino","INGENIERÍA AMBIENTAL","3er ciclo",7,6,8,8,9,8,16,17,7,6,3,3.5,"Alto","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"164","Masculino","INGENIERÍA INDUSTRIAL","5to ciclo",6,6,10,2,9,7,12,12,4,7,10,10,"Alto","Muy alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"165","Masculino","BIOINGENIERÍA","2do ciclo",6,7,6,5,5,6,15.13,14.41,6,6,4,4,"Alto","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",5,"Presenciales","Correo Institucional"
"166","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",7,5,6,6,4,3,13,13,6,5,4.5,3.5,"Medio","Medio","Nada interesado","Si","Si",1,3,"Las agendas de los psicólogos suelen estar llenas","Apoyado",2,"",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"167","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",7,5,6.5,6,6,6,13,12.93,5,4,4,4,"Medio","Bajo","Muy interesado","Si","No",NA,NA,NA,NA,NA,"Malas referencias, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",3,"Presenciales","Correo Institucional"
"168","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",5,5,6,5,6,7,9.85,11.68,3,2,5,3,"Alto","Muy alto","Muy interesado","Si","Si",2,10,"La página Web “Registra tu cita” tiene problemas, Las agendas de los psicólogos suelen estar llenas, No diria mala actitud pero me ha tocado unos que me paraban reprogramando las citas por su mala organizacion","Apoyado",3,"",3,"Presenciales","Redes sociales, Volantes en la universidad, Charlas"
"169","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,7,4,3.5,6,6,15.6,14.5,6,6,2,2,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"170","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,4,4,6,6,14,14,6,6,2,2,"Muy alto","Muy alto","Muy interesado","Si","Si",2,7,"Las agendas de los psicólogos suelen estar llenas","Apoyado",3,"",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"171","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,5,4.5,5,7,6,14.9,15.7,7,6,5,6,"Alto","Alto","Muy interesado","Si","Si",3,1,"Las agendas de los psicólogos suelen estar llenas","Muy apoyado",5,"",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"172","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,6,6,7,6,14,15,6,6,3,4,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Presenciales","Redes sociales, Charlas"
"173","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,6,8,8,6,7,15,15,5,6,4,5,"Muy alto","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Charlas"
"174","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,7,8.2,8.3,6,7,12,14,5,7,5,4,"Bajo","Bajo","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"175","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",6,5,7,6,5,6,15.4,15.76,6,5,4.5,6,"Alto","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Miedo y vergüenza",3,"Presenciales","Redes sociales, Charlas"
"176","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",6,6,6.5,6.5,7,8,16,17,6,6,3.5,3.5,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",2,"Virtuales","Redes sociales"
"177","Femenino","INGENIERÍA MECATRÓNICA","3er ciclo",4,5,6,7,4,4,13.69,14.12,4,3,5,6,"Medio","Medio","Poco interesado","Si","Si",5,15,"Las agendas de los psicólogos suelen estar llenas, Mala actitud del personal de servicio","Nada apoyado",2,"",3,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"178","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,5,5,8,15.4,16.23,6,6,0,0,"Muy alto","Muy alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Redes sociales, Correo Institucional"
"179","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",4,5,8,8,4,4,13,12.8,4,2,4,3,"Bajo","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",5,"Presenciales","Redes sociales, Correo Institucional"
"180","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,6,7,6,12.91,14.46,6,6,3,3,"Muy alto","Alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, Miedo y vergüenza",1,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
