Sexo,Edad:,Ciclo académico que cursas:,"¿El ciclo pasado realizabas alguna actividad extracurricular? (Dirigir un emprendimiento, realizar deportes, estudiar un nuevo idioma, videojuegos, etc.)",¿Cuántas actividades extracurriculares realizaste el ciclo pasado?,¿ Qué tipo de actividades extracurriculares realizabas?  ,¿A qué tipo de actividad extracurricular le dedicaste más tiempo? ,"Tiempo diario dedicado, en horas, a las actividades extracurriculares:","¿Qué tan bien te sentías al realizar las actividades extracurriculares? (1: me sentía mal (las realizaba contra mi voluntad, no me agradaban, etc.) , 3: me sentía igual que al no realizarlas, 5: me sentía excelente)","¿Qué tan abrumado/a te sentías al realizar las actividades extracurriculares? (1: no tan abrumado, 5: muy abrumado)",Cantidad de cursos que llevaste el ciclo pasado,Promedio académico aproximado del ciclo pasado,¿Te sentías abrumado por la cantidad de cursos?,"En el ciclo pasado, ¿te retiraste de algún curso por falta de tiempo?","¿Qué tiempo le dedicaste a tus cursos diariamente? (horas) , sin contar las horas de clases "
Hombre,18,3,Sí,2,Actividades Académicas,Actividades Académicas,4.71,3,1,7,12.82,No,No,4
Hombre,21,5,Sí,2,Actividades de Ocio,Actividades de Ocio,3.47,5,1,5,13.72,No,No,4
Mujer,20,5,Sí,2,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.81,4,3,5,15.84,No,No,4
Hombre,20,5,Sí,3,Actividades de Ocio,Actividades de Ocio,3.84,4,2,7,13.85,No,No,4
Hombre,19,4,Sí,1,Actividades Académicas,Actividades Académicas,4.67,3,1,6,12.2,No,No,3
Hombre,17,1,Sí,1,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.34,4,4,6,18.82,No,No,7
Hombre,19,4,Sí,4,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,2.49,2,3,5,12.78,No,No,5
Hombre,20,5,Sí,4,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.01,5,4,6,15.88,No,No,5
Mujer,20,5,Sí,4,Actividades Académicas,Actividades Académicas,3.11,3,1,7,12.04,No,No,5
Hombre,19,5,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.5,4,4,6,14.99,No,No,4
Mujer,20,4,Sí,3,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.94,3,5,5,13.94,No,No,3
Mujer,20,5,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.92,5,4,6,18.93,No,No,4
Mujer,19,5,Sí,4,Actividades Académicas,Actividades Académicas,4.01,4,4,7,12.83,No,No,5
Hombre,19,5,Sí,2,Actividades Académicas,Actividades Académicas,3.66,5,2,6,15.49,No,No,4
Hombre,19,5,Sí,3,Actividades de Ocio,Actividades de Ocio,4.19,5,1,6,16.02,No,No,5
Hombre,19,4,Sí,3,Actividades Académicas,Actividades Académicas,3.2,4,3,4,14.01,No,No,1
Hombre,18,4,Sí,3,Actividades de Ocio,Actividades de Ocio,4.24,4,1,5,17.86,No,No,5
Hombre,21,7,Sí,1,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.19,4,3,7,12.56,No,No,5
Mujer,21,5,Sí,2,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.35,4,1,6,18.92,No,No,8
Mujer,18,4,Sí,4,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.6,4,5,6,13.23,No,No,4
Mujer,19,5,Sí,3,Actividades Académicas,Actividades Académicas,3.29,3,4,7,14.27,No,No,4
Hombre,20,4,Sí,1,Actividades Académicas,Actividades Académicas,4.17,3,3,5,16.99,No,No,4
Hombre,17,1,Sí,1,Actividades Académicas,Actividades Académicas,3.43,4,4,6,14.3,No,No,5
Hombre,19,5,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.31,4,1,6,13.52,No,No,5
Mujer,19,5,Sí,2,Actividades Académicas,Actividades Académicas,3.69,5,3,4,15.55,No,No,4
Hombre,20,5,Sí,2,Actividades de Ocio,Actividades de Ocio,3.7,5,3,5,17.13,No,No,4
Hombre,19,4,Sí,2,Actividades Académicas,Actividades Académicas,4.32,5,2,7,11.7,No,No,2
Hombre,21,5,Sí,1,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.1,5,2,4,16.46,No,No,6
Hombre,21,5,Sí,3,Actividades de Ocio,Actividades de Ocio,4.56,5,3,5,17.76,No,No,2
Hombre,25,9,Sí,2,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.22,4,2,6,19.12,No,No,5
Hombre,20,5,Sí,1,Actividades Académicas,Actividades Académicas,3.42,4,1,8,11.72,Sí,No,4
Hombre,20,5,Sí,4,Actividades Académicas,Actividades Académicas,3.24,4,3,5,12.59,No,No,5
Mujer,19,5,Sí,2,Actividades Académicas,Actividades Académicas,3.17,4,3,4,12.99,No,No,4
Mujer,18,3,Sí,2,Actividades de Ocio,Actividades de Ocio,3.69,3,2,3,17.4,No,No,3
Mujer,20,5,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,2.02,4,1,4,18.66,No,No,4
Mujer,18,1,Sí,1,Actividades de Ocio,Actividades de Ocio,3.72,2,5,5,18.09,No,No,5
Hombre,19,5,Sí,3,Actividades de Ocio,Actividades de Ocio,4.89,5,4,6,12.44,No,No,3
Mujer,22,7,Sí,1,Actividades Académicas,Actividades Académicas,4.91,4,3,5,16.43,No,No,3
Hombre,22,5,Sí,2,Actividades Académicas,Actividades Académicas,4.14,4,5,5,13.93,No,No,3
Mujer,21,6,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.51,4,2,7,16.4,No,No,5
Hombre,19,5,Sí,5,Actividades de Ocio,Actividades de Ocio,4.34,3,3,6,17.22,No,No,4
Hombre,19,4,Sí,3,Actividades de Ocio,Actividades de Ocio,3.61,5,2,6,15.01,No,No,4
Mujer,18,2,Sí,1,Actividades Académicas,Actividades Académicas,3.65,5,1,4,16.13,No,No,4
Hombre,19,5,Sí,3,Actividades de Ocio,Actividades de Ocio,3.91,3,1,7,15.96,No,No,5
Hombre,22,5,Sí,1,Actividades de Ocio,Actividades de Ocio,4.35,5,4,8,13.98,No,No,5
Mujer,20,5,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.55,5,3,6,16.41,No,No,4
Mujer,18,3,Sí,3,Actividades Académicas,Actividades Académicas,3.25,4,3,7,19.56,No,No,4
Hombre,19,4,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.78,4,3,7,13.58,No,No,4
Mujer,20,5,Sí,4,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.44,4,3,5,16.84,No,No,2
Hombre,18,3,Sí,1,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.76,4,2,5,18.36,No,No,4
Hombre,19,5,Sí,1,Actividades de Ocio,Actividades de Ocio,4.68,5,1,5,17.14,No,No,5
Mujer,20,4,Sí,4,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.95,4,2,5,11.92,No,No,5
Mujer,19,3,Sí,4,Actividades de Ocio,Actividades de Ocio,3.64,4,2,6,17.34,No,No,3
Hombre,19,5,Sí,3,Actividades Académicas,Actividades Académicas,3.75,4,1,6,15.74,No,No,4
Mujer,19,4,Sí,3,Actividades Académicas,Actividades Académicas,4.73,5,5,5,13.16,No,No,4
Hombre,20,5,Sí,2,Actividades de Ocio,Actividades de Ocio,3.71,5,3,5,16.28,No,No,3
Hombre,21,7,Sí,4,Actividades Académicas,Actividades Académicas,3.39,5,3,7,13.67,No,No,5
Hombre,20,5,Sí,2,Actividades de Ocio,Actividades de Ocio,4.92,4,4,5,18.35,No,No,4
Hombre,22,7,Sí,2,Actividades Académicas,Actividades Académicas,3.87,5,3,7,12.85,No,No,4
Mujer,19,4,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.51,4,1,6,17.03,No,No,3
Hombre,25,10,Sí,2,Actividades Académicas,Actividades Académicas,4.08,4,3,7,10.75,No,No,5
Hombre,20,5,Sí,1,Actividades de Ocio,Actividades de Ocio,3.39,4,2,5,19.78,No,No,3
Hombre,20,5,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.42,4,2,5,18.83,No,No,3
Mujer,22,7,Sí,2,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.84,3,2,6,15.76,No,No,5
Hombre,19,4,Sí,2,Actividades Académicas,Actividades Académicas,4.97,4,3,7,13.14,No,No,3
Mujer,18,4,Sí,2,Actividades Académicas,Actividades Académicas,3.79,3,3,7,18.02,No,No,4
Mujer,19,5,Sí,5,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.75,5,2,8,15.81,No,No,1
Hombre,19,4,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.41,3,2,7,12.74,No,No,4
Hombre,18,1,Sí,3,Actividades Académicas,Actividades Académicas,3.97,5,4,8,14.93,No,No,4
Hombre,19,3,Sí,2,Actividades de Ocio,Actividades de Ocio,2.26,4,3,4,15.58,No,No,4
Hombre,21,5,Sí,3,Actividades Académicas,Actividades Académicas,4.31,5,3,4,13.56,No,No,3
Mujer,21,7,Sí,3,Actividades de Ocio,Actividades de Ocio,3.33,4,2,4,15.65,No,No,4
Hombre,18,3,Sí,6,Actividades de Ocio,Actividades de Ocio,4.19,5,1,5,18.66,No,No,3
Hombre,19,3,Sí,3,Actividades Académicas,Actividades Académicas,3.1,5,1,6,16.76,No,No,4
Hombre,19,3,Sí,2,Actividades de Ocio,Actividades de Ocio,4.97,4,1,8,16.02,No,No,4
Hombre,20,4,Sí,2,Actividades de Ocio,Actividades de Ocio,3.17,5,1,7,11.06,No,No,5
Hombre,19,2,Sí,4,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.85,4,3,6,15.34,No,No,3
Hombre,20,5,Sí,3,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.53,4,2,4,17.73,No,No,3
Hombre,17,1,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.12,5,1,6,13.78,No,No,2
Hombre,18,3,Sí,4,Actividades de Ocio,Actividades de Ocio,4.7,4,3,5,14.38,No,No,3
Hombre,24,8,Sí,4,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.94,4,5,5,14.83,No,No,3
Hombre,18,3,Sí,5,Actividades de Ocio,Actividades de Ocio,3.24,5,4,6,17.96,No,No,3
Hombre,19,5,Sí,2,Actividades de Ocio,Actividades de Ocio,4.12,5,1,7,14.89,No,No,2
Hombre,19,4,Sí,3,Actividades Académicas,Actividades Académicas,4.06,4,1,5,17.48,No,No,4
Mujer,20,5,Sí,1,Actividades Académicas,Actividades Académicas,4.62,4,2,7,11.08,Sí,No,5
Mujer,20,6,Sí,5,Actividades Académicas,Actividades Académicas,4.12,4,1,4,18.88,No,No,5
Hombre,18,3,Sí,2,Actividades de Ocio,Actividades de Ocio,4.65,3,3,5,18.56,No,No,4
Hombre,20,5,Sí,3,Actividades de Ocio,Actividades de Ocio,3.77,5,1,6,14.52,No,Sí,4
Hombre,18,3,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.41,4,2,8,16.98,No,No,4
Mujer,19,4,Sí,3,Actividades de Ocio,Actividades de Ocio,3.29,4,1,7,16.11,No,No,3
Hombre,19,5,Sí,5,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.44,2,3,6,15.5,No,Sí,3
Hombre,19,5,Sí,3,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.19,2,3,5,17.86,No,No,4
Mujer,19,4,Sí,2,Actividades de Ocio,Actividades de Ocio,3.58,4,3,7,13.75,No,No,4
Mujer,19,5,Sí,2,Actividades Académicas,Actividades Académicas,4.57,4,4,5,15.03,No,No,3
Hombre,18,3,Sí,4,Actividades Académicas,Actividades Académicas,3.55,5,1,6,14.61,No,No,5
Hombre,20,5,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.19,4,2,5,16.27,No,No,3
Hombre,20,6,Sí,3,Actividades de Ocio,Actividades de Ocio,3.35,5,2,7,14.99,Sí,No,4
Hombre,19,4,Sí,1,Actividades de Ocio,Actividades de Ocio,3.01,5,3,5,14.29,No,No,1
Hombre,19,5,Sí,4,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.96,5,2,6,16.23,No,No,5
Hombre,18,3,Sí,4,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.83,4,2,6,13.21,Sí,No,3
Hombre,19,5,Sí,2,Actividades de Ocio,Actividades de Ocio,4.32,2,2,5,16.92,No,No,5
Hombre,20,5,Sí,1,Actividades de Ocio,Actividades de Ocio,5.41,5,3,7,11.94,No,No,5
Hombre,19,4,Sí,2,Actividades Académicas,Actividades Académicas,4.29,5,3,7,14.72,No,No,4
Hombre,21,5,Sí,1,Actividades de Ocio,Actividades de Ocio,4.39,4,3,5,17.28,No,No,3
Hombre,19,5,Sí,5,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.58,2,1,6,18.23,No,No,4
Hombre,17,1,No,,,,,,,6,14.09,Sí,No,1
Hombre,17,1,No,,,,,,,8,14.84,No,No,3
Hombre,18,2,No,,,,,,,5,14.4,Sí,Sí,3
Hombre,18,3,No,,,,,,,8,17.67,Sí,Sí,1
Hombre,19,3,No,,,,,,,7,16.86,Sí,No,3
Mujer,18,4,No,,,,,,,6,19.18,No,No,6
Hombre,19,4,No,,,,,,,5,12.83,Sí,No,4
Hombre,19,4,No,,,,,,,5,12.89,No,Sí,4
Mujer,19,4,No,,,,,,,8,17.71,Sí,Sí,3
Mujer,19,4,No,,,,,,,5,14.87,Sí,No,3
Hombre,20,4,No,,,,,,,6,14.45,No,Sí,4
Hombre,21,4,No,,,,,,,5,14.95,No,Sí,1
Mujer,23,4,No,,,,,,,7,15.8,Sí,No,2
Mujer,18,5,No,,,,,,,6,16.7,Sí,No,6
Hombre,18,5,No,,,,,,,6,16.65,No,No,6
Hombre,19,5,No,,,,,,,9,16.77,No,No,3
Mujer,19,5,No,,,,,,,7,17.91,Sí,No,5
Hombre,22,6,No,,,,,,,6,13.35,Sí,No,4
Hombre,23,6,No,,,,,,,6,15.41,Sí,No,4
Hombre,22,7,No,,,,,,,5,14.77,Sí,Sí,3
Mujer,22,7,No,,,,,,,4,15.39,Sí,No,2
Hombre,21,8,No,,,,,,,7,18.66,Sí,No,4
Hombre,20,5,No,,,,,,,7,14.58,Sí ,No,2
Hombre,23,8,No,,,,,,,7,14.33,Sí,No,5
Hombre,22,6,No,,,,,,,5,18.77,No,No,3
Hombre,19,4,No,,,,,,,6,12.27,Sí,Sí,5
Hombre,17,2,No,,,,,,,5,13.6,Sí,No,4
Mujer,21,7,No,,,,,,,6,17.93,No,No,5
Hombre,19,4,No,,,,,,,6,19.72,No,No,2
Mujer,19,5,No,,,,,,,8,13.14,Sí,No,3
Mujer,20,5,No,,,,,,,8,16.32,No,No,2
Hombre,18,3,No,,,,,,,7,15.66,Sí,No,5
Mujer,22,5,No,,,,,,,7,15.54,Sí,No,6
Hombre,19,4,No,,,,,,,8,14.35,Sí,No,6
Hombre,19,4,No,,,,,,,5,18.41,No,No,4
Hombre,19,5,No,,,,,,,6,13.81,Sí,No,3
Mujer,19,4,No,,,,,,,6,13.18,Sí,No,4
Hombre,20,5,No,,,,,,,5,14.06,Sí,No,5
Mujer,18,1,No,,,,,,,7,10.71,Sí,Sí,5
Mujer,20,5,No,,,,,,,6,19.14,Sí,No,2
Hombre,24,7,No,,,,,,,8,12.72,Sí,No,5
Hombre,17,2,No,,,,,,,6,15.87,Sí,Sí,2
Hombre,18,3,No,,,,,,,5,16.51,No,No,4
Hombre,22,8,No,,,,,,,5,16.84,No,No,6
Hombre,19,5,No,,,,,,,6,16.27,Sí,No,4
Mujer,21,7,No,,,,,,,8,15.52,Sí,No,4
Mujer,22,5,No,,,,,,,8,14.42,Sí,No,6
Mujer,19,5,No,,,,,,,7,18.85,Sí,No,4
Hombre,19,4,No,,,,,,,7,16.49,No,No,8
Hombre,24,9,No,,,,,,,8,16.57,No,No,4
Mujer,20,5,No,,,,,,,5,14.7,No,No,3
,,,,,,,,,,6,14.44,Sí,Sí,5
,,,,,,,,,,6,17.72,No,No,4
,,,,,,,,,,5,16.53,Sí,No,4
,,,,,,,,,,6,16.1,No,No,3
