"","Sexo","Edad","CicloActual","HaciaActividadBool","NumActividadesRealizadas","TipoActividadRealizada","ActividadFavorita","TiempoDedicadoAE","EscalaSentimiento","EscalaAbrumado","CantidadCursos","Promedio","AbrumadoPorCursosBool","RetiroBool","TiempoDedicadoCursos"
"188","Hombre",19,4,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.98,4,1,8,12.35,"Sí","No",6
"189","Hombre",20,5,"Sí",1,"Actividades Académicas","Actividades Académicas",5.89,4,4,8,13.49,"Sí","No",4
"190","Hombre",18,1,"Sí",1,"Actividades Académicas","Actividades Académicas",3.24,3,2,7,15.67,"No","No",4
"191","Mujer",21,8,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",5.67,4,2,5,16.64,"No","No",4
"192","Hombre",19,4,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.68,5,2,6,11.33,"No","No",5
"193","Hombre",18,3,"Sí",2,"Actividades Académicas","Actividades Académicas",4.71,3,1,7,12.82,"No","No",4
"194","Hombre",21,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.47,5,1,5,13.72,"No","No",4
"195","Mujer",20,5,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.81,4,3,5,15.84,"No","No",4
"196","Hombre",20,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.84,4,2,7,13.85,"No","No",4
"197","Hombre",19,4,"Sí",1,"Actividades Académicas","Actividades Académicas",4.67,3,1,6,12.2,"No","No",3
"198","Hombre",17,1,"Sí",1,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.34,4,4,6,18.82,"No","No",7
"199","Hombre",19,4,"Sí",4,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2.49,2,3,5,12.78,"No","No",5
"200","Hombre",20,5,"Sí",4,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.01,5,4,6,15.88,"No","No",5
"201","Mujer",20,5,"Sí",4,"Actividades Académicas","Actividades Académicas",3.11,3,1,7,12.04,"No","No",5
"202","Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.5,4,4,6,14.99,"No","No",4
"203","Mujer",20,4,"Sí",3,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.94,3,5,5,13.94,"No","No",3
"204","Mujer",20,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.92,5,4,6,18.93,"No","No",4
"205","Mujer",19,5,"Sí",4,"Actividades Académicas","Actividades Académicas",4.01,4,4,7,12.83,"No","No",5
"206","Hombre",19,5,"Sí",2,"Actividades Académicas","Actividades Académicas",3.66,5,2,6,15.49,"No","No",4
"207","Hombre",19,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",4.19,5,1,6,16.02,"No","No",5
"208","Hombre",19,4,"Sí",3,"Actividades Académicas","Actividades Académicas",3.2,4,3,4,14.01,"No","No",1
"209","Hombre",18,4,"Sí",3,"Actividades de Ocio","Actividades de Ocio",4.24,4,1,5,17.86,"No","No",5
"210","Hombre",21,7,"Sí",1,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.19,4,3,7,12.56,"No","No",5
"211","Mujer",21,5,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.35,4,1,6,18.92,"No","No",8
"212","Mujer",18,4,"Sí",4,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.6,4,5,6,13.23,"No","No",4
"213","Mujer",19,5,"Sí",3,"Actividades Académicas","Actividades Académicas",3.29,3,4,7,14.27,"No","No",4
"214","Hombre",20,4,"Sí",1,"Actividades Académicas","Actividades Académicas",4.17,3,3,5,16.99,"No","No",4
"215","Hombre",17,1,"Sí",1,"Actividades Académicas","Actividades Académicas",3.43,4,4,6,14.3,"No","No",5
"216","Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.31,4,1,6,13.52,"No","No",5
"217","Mujer",19,5,"Sí",2,"Actividades Académicas","Actividades Académicas",3.69,5,3,4,15.55,"No","No",4
"218","Hombre",20,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.7,5,3,5,17.13,"No","No",4
"219","Hombre",19,4,"Sí",2,"Actividades Académicas","Actividades Académicas",4.32,5,2,7,11.7,"No","No",2
"220","Hombre",21,5,"Sí",1,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.1,5,2,4,16.46,"No","No",6
"221","Hombre",21,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",4.56,5,3,5,17.76,"No","No",2
"222","Hombre",25,9,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.22,4,2,6,19.12,"No","No",5
"223","Hombre",20,5,"Sí",1,"Actividades Académicas","Actividades Académicas",3.42,4,1,8,11.72,"Sí","No",4
"224","Hombre",20,5,"Sí",4,"Actividades Académicas","Actividades Académicas",3.24,4,3,5,12.59,"No","No",5
"225","Mujer",19,5,"Sí",2,"Actividades Académicas","Actividades Académicas",3.17,4,3,4,12.99,"No","No",4
"226","Mujer",18,3,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.69,3,2,3,17.4,"No","No",3
"227","Mujer",20,5,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2.02,4,1,4,18.66,"No","No",4
"228","Mujer",18,1,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3.72,2,5,5,18.09,"No","No",5
"229","Hombre",19,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",4.89,5,4,6,12.44,"No","No",3
"230","Mujer",22,7,"Sí",1,"Actividades Académicas","Actividades Académicas",4.91,4,3,5,16.43,"No","No",3
"231","Hombre",22,5,"Sí",2,"Actividades Académicas","Actividades Académicas",4.14,4,5,5,13.93,"No","No",3
"232","Mujer",21,6,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.51,4,2,7,16.4,"No","No",5
"233","Hombre",19,5,"Sí",5,"Actividades de Ocio","Actividades de Ocio",4.34,3,3,6,17.22,"No","No",4
"234","Hombre",19,4,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.61,5,2,6,15.01,"No","No",4
"235","Mujer",18,2,"Sí",1,"Actividades Académicas","Actividades Académicas",3.65,5,1,4,16.13,"No","No",4
"236","Hombre",19,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.91,3,1,7,15.96,"No","No",5
"237","Hombre",22,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4.35,5,4,8,13.98,"No","No",5
"238","Mujer",20,5,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.55,5,3,6,16.41,"No","No",4
"239","Mujer",18,3,"Sí",3,"Actividades Académicas","Actividades Académicas",3.25,4,3,7,19.56,"No","No",4
"240","Hombre",19,4,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.78,4,3,7,13.58,"No","No",4
"241","Mujer",20,5,"Sí",4,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.44,4,3,5,16.84,"No","No",2
"242","Hombre",18,3,"Sí",1,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.76,4,2,5,18.36,"No","No",4
"243","Hombre",19,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4.68,5,1,5,17.14,"No","No",5
"244","Mujer",20,4,"Sí",4,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.95,4,2,5,11.92,"No","No",5
"245","Mujer",19,3,"Sí",4,"Actividades de Ocio","Actividades de Ocio",3.64,4,2,6,17.34,"No","No",3
"246","Hombre",19,5,"Sí",3,"Actividades Académicas","Actividades Académicas",3.75,4,1,6,15.74,"No","No",4
"247","Mujer",19,4,"Sí",3,"Actividades Académicas","Actividades Académicas",4.73,5,5,5,13.16,"No","No",4
"248","Hombre",20,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.71,5,3,5,16.28,"No","No",3
"249","Hombre",21,7,"Sí",4,"Actividades Académicas","Actividades Académicas",3.39,5,3,7,13.67,"No","No",5
"250","Hombre",20,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",4.92,4,4,5,18.35,"No","No",4
"251","Hombre",22,7,"Sí",2,"Actividades Académicas","Actividades Académicas",3.87,5,3,7,12.85,"No","No",4
"252","Mujer",19,4,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.51,4,1,6,17.03,"No","No",3
"253","Hombre",25,10,"Sí",2,"Actividades Académicas","Actividades Académicas",4.08,4,3,7,10.75,"No","No",5
"254","Hombre",20,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3.39,4,2,5,19.78,"No","No",3
"255","Hombre",20,5,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.42,4,2,5,18.83,"No","No",3
"256","Mujer",22,7,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.84,3,2,6,15.76,"No","No",5
"257","Hombre",19,4,"Sí",2,"Actividades Académicas","Actividades Académicas",4.97,4,3,7,13.14,"No","No",3
"258","Mujer",18,4,"Sí",2,"Actividades Académicas","Actividades Académicas",3.79,3,3,7,18.02,"No","No",4
"259","Mujer",19,5,"Sí",5,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.75,5,2,8,15.81,"No","No",1
"260","Hombre",19,4,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.41,3,2,7,12.74,"No","No",4
"261","Hombre",18,1,"Sí",3,"Actividades Académicas","Actividades Académicas",3.97,5,4,8,14.93,"No","No",4
"262","Hombre",19,3,"Sí",2,"Actividades de Ocio","Actividades de Ocio",2.26,4,3,4,15.58,"No","No",4
"263","Hombre",21,5,"Sí",3,"Actividades Académicas","Actividades Académicas",4.31,5,3,4,13.56,"No","No",3
"264","Mujer",21,7,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.33,4,2,4,15.65,"No","No",4
"265","Hombre",18,3,"Sí",6,"Actividades de Ocio","Actividades de Ocio",4.19,5,1,5,18.66,"No","No",3
"266","Hombre",19,3,"Sí",3,"Actividades Académicas","Actividades Académicas",3.1,5,1,6,16.76,"No","No",4
"267","Hombre",19,3,"Sí",2,"Actividades de Ocio","Actividades de Ocio",4.97,4,1,8,16.02,"No","No",4
"268","Hombre",20,4,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.17,5,1,7,11.06,"No","No",5
"269","Hombre",19,2,"Sí",4,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.85,4,3,6,15.34,"No","No",3
"270","Hombre",20,5,"Sí",3,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.53,4,2,4,17.73,"No","No",3
"271","Hombre",17,1,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.12,5,1,6,13.78,"No","No",2
"272","Hombre",18,3,"Sí",4,"Actividades de Ocio","Actividades de Ocio",4.7,4,3,5,14.38,"No","No",3
"273","Hombre",24,8,"Sí",4,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.94,4,5,5,14.83,"No","No",3
"274","Hombre",18,3,"Sí",5,"Actividades de Ocio","Actividades de Ocio",3.24,5,4,6,17.96,"No","No",3
"275","Hombre",19,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",4.12,5,1,7,14.89,"No","No",2
"276","Hombre",19,4,"Sí",3,"Actividades Académicas","Actividades Académicas",4.06,4,1,5,17.48,"No","No",4
"277","Mujer",20,5,"Sí",1,"Actividades Académicas","Actividades Académicas",4.62,4,2,7,11.08,"Sí","No",5
"278","Mujer",20,6,"Sí",5,"Actividades Académicas","Actividades Académicas",4.12,4,1,4,18.88,"No","No",5
"279","Hombre",18,3,"Sí",2,"Actividades de Ocio","Actividades de Ocio",4.65,3,3,5,18.56,"No","No",4
"280","Hombre",20,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.77,5,1,6,14.52,"No","Sí",4
"281","Hombre",18,3,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.41,4,2,8,16.98,"No","No",4
"282","Mujer",19,4,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.29,4,1,7,16.11,"No","No",3
"283","Hombre",19,5,"Sí",5,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.44,2,3,6,15.5,"No","Sí",3
"284","Hombre",19,5,"Sí",3,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.19,2,3,5,17.86,"No","No",4
"285","Mujer",19,4,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.58,4,3,7,13.75,"No","No",4
"286","Mujer",19,5,"Sí",2,"Actividades Académicas","Actividades Académicas",4.57,4,4,5,15.03,"No","No",3
"287","Hombre",18,3,"Sí",4,"Actividades Académicas","Actividades Académicas",3.55,5,1,6,14.61,"No","No",5
"288","Hombre",20,5,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.19,4,2,5,16.27,"No","No",3
"289","Hombre",20,6,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.35,5,2,7,14.99,"Sí","No",4
"290","Hombre",19,4,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3.01,5,3,5,14.29,"No","No",1
"291","Hombre",19,5,"Sí",4,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.96,5,2,6,16.23,"No","No",5
"292","Hombre",18,3,"Sí",4,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.83,4,2,6,13.21,"Sí","No",3
"293","Hombre",19,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",4.32,2,2,5,16.92,"No","No",5
"294","Hombre",20,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",5.41,5,3,7,11.94,"No","No",5
"295","Hombre",19,4,"Sí",2,"Actividades Académicas","Actividades Académicas",4.29,5,3,7,14.72,"No","No",4
"296","Hombre",21,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4.39,4,3,5,17.28,"No","No",3
"297","Hombre",19,5,"Sí",5,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.58,2,1,6,18.23,"No","No",4
"298","Hombre",17,1,"No",NA,NA,NA,NA,NA,NA,6,14.09,"Sí","No",1
"299","Hombre",17,1,"No",NA,NA,NA,NA,NA,NA,8,14.84,"No","No",3
"300","Hombre",18,2,"No",NA,NA,NA,NA,NA,NA,5,14.4,"Sí","Sí",3
"301","Hombre",18,3,"No",NA,NA,NA,NA,NA,NA,8,17.67,"Sí","Sí",1
"302","Hombre",19,3,"No",NA,NA,NA,NA,NA,NA,7,16.86,"Sí","No",3
"303","Mujer",18,4,"No",NA,NA,NA,NA,NA,NA,6,19.18,"No","No",6
"304","Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,5,12.83,"Sí","No",4
"305","Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,5,12.89,"No","Sí",4
"306","Mujer",19,4,"No",NA,NA,NA,NA,NA,NA,8,17.71,"Sí","Sí",3
"307","Mujer",19,4,"No",NA,NA,NA,NA,NA,NA,5,14.87,"Sí","No",3
"308","Hombre",20,4,"No",NA,NA,NA,NA,NA,NA,6,14.45,"No","Sí",4
"309","Hombre",21,4,"No",NA,NA,NA,NA,NA,NA,5,14.95,"No","Sí",1
"310","Mujer",23,4,"No",NA,NA,NA,NA,NA,NA,7,15.8,"Sí","No",2
"311","Mujer",18,5,"No",NA,NA,NA,NA,NA,NA,6,16.7,"Sí","No",6
"312","Hombre",18,5,"No",NA,NA,NA,NA,NA,NA,6,16.65,"No","No",6
"313","Hombre",19,5,"No",NA,NA,NA,NA,NA,NA,9,16.77,"No","No",3
"314","Mujer",19,5,"No",NA,NA,NA,NA,NA,NA,7,17.91,"Sí","No",5
"315","Hombre",22,6,"No",NA,NA,NA,NA,NA,NA,6,13.35,"Sí","No",4
"316","Hombre",23,6,"No",NA,NA,NA,NA,NA,NA,6,15.41,"Sí","No",4
"317","Hombre",22,7,"No",NA,NA,NA,NA,NA,NA,5,14.77,"Sí","Sí",3
"318","Mujer",22,7,"No",NA,NA,NA,NA,NA,NA,4,15.39,"Sí","No",2
"319","Hombre",21,8,"No",NA,NA,NA,NA,NA,NA,7,18.66,"Sí","No",4
"320","Hombre",20,5,"No",NA,NA,NA,NA,NA,NA,7,14.58,"Sí","No",2
"321","Hombre",23,8,"No",NA,NA,NA,NA,NA,NA,7,14.33,"Sí","No",5
"322","Hombre",22,6,"No",NA,NA,NA,NA,NA,NA,5,18.77,"No","No",3
"323","Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,6,12.27,"Sí","Sí",5
"324","Hombre",17,2,"No",NA,NA,NA,NA,NA,NA,5,13.6,"Sí","No",4
"325","Mujer",21,7,"No",NA,NA,NA,NA,NA,NA,6,17.93,"No","No",5
"326","Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,6,19.72,"No","No",2
"327","Mujer",19,5,"No",NA,NA,NA,NA,NA,NA,8,13.14,"Sí","No",3
"328","Mujer",20,5,"No",NA,NA,NA,NA,NA,NA,8,16.32,"No","No",2
"329","Hombre",18,3,"No",NA,NA,NA,NA,NA,NA,7,15.66,"Sí","No",5
"330","Mujer",22,5,"No",NA,NA,NA,NA,NA,NA,7,15.54,"Sí","No",6
"331","Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,8,14.35,"Sí","No",6
"332","Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,5,18.41,"No","No",4
"333","Hombre",19,5,"No",NA,NA,NA,NA,NA,NA,6,13.81,"Sí","No",3
"334","Mujer",19,4,"No",NA,NA,NA,NA,NA,NA,6,13.18,"Sí","No",4
"335","Hombre",20,5,"No",NA,NA,NA,NA,NA,NA,5,14.06,"Sí","No",5
"336","Mujer",18,1,"No",NA,NA,NA,NA,NA,NA,7,10.71,"Sí","Sí",5
"337","Mujer",20,5,"No",NA,NA,NA,NA,NA,NA,6,19.14,"Sí","No",2
"338","Hombre",24,7,"No",NA,NA,NA,NA,NA,NA,8,12.72,"Sí","No",5
"339","Hombre",17,2,"No",NA,NA,NA,NA,NA,NA,6,15.87,"Sí","Sí",2
"340","Hombre",18,3,"No",NA,NA,NA,NA,NA,NA,5,16.51,"No","No",4
"341","Hombre",22,8,"No",NA,NA,NA,NA,NA,NA,5,16.84,"No","No",6
"342","Hombre",19,5,"No",NA,NA,NA,NA,NA,NA,6,16.27,"Sí","No",4
"343","Mujer",21,7,"No",NA,NA,NA,NA,NA,NA,8,15.52,"Sí","No",4
"344","Mujer",22,5,"No",NA,NA,NA,NA,NA,NA,8,14.42,"Sí","No",6
"345","Mujer",19,5,"No",NA,NA,NA,NA,NA,NA,7,18.85,"Sí","No",4
"346","Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,7,16.49,"No","No",8
"347","Hombre",24,9,"No",NA,NA,NA,NA,NA,NA,8,16.57,"No","No",4
"348","Mujer",20,5,"No",NA,NA,NA,NA,NA,NA,5,14.7,"No","No",3
"349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14.44,"Sí","Sí",5
"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,17.72,"No","No",4
"351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16.53,"Sí","No",4
"352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16.1,"No","No",3
